date,open,high,low,close,volume,Name
2016-01-05,117.7969,120.4882,116.728,120.0969,2163572,WLTW
2016-01-06,119.5243,119.8106,114.4662,114.5044,2386461,WLTW
2016-01-07,111.0687,114.2753,109.6848,109.7039,2489451,WLTW
2016-01-08,110.2097,112.0803,108.3201,111.2977,2006267,WLTW
2016-01-11,111.6699,111.9753,108.8832,109.723,1408550,WLTW
2016-01-12,110.2384,110.7633,109.2745,110.2765,1098024,WLTW
2016-01-13,111.145,111.7224,107.4516,107.6998,949576,WLTW
2016-01-14,108.3296,109.7803,105.0275,109.1599,785469,WLTW
2016-01-15,108.1579,109.6371,106.8122,107.3944,1093741,WLTW
2016-01-19,108.4728,110.5819,104.8558,105.3425,1523527,WLTW
2016-01-20,104.0827,106.5068,103.3765,104.3118,1654181,WLTW
2016-01-21,104.7221,105.5334,103.3717,104.9798,944335,WLTW
2016-01-22,106.774,107.7942,105.1612,106.8408,745066,WLTW
2016-01-25,106.2396,109.3985,104.9798,105.0943,703799,WLTW
2016-01-26,105.3807,106.3159,102.4054,105.9342,563603,WLTW
2016-01-27,105.7147,107.4325,104.0445,105.6574,896948,WLTW
2016-01-28,105.8387,107.8143,104.8844,107.4421,680420,WLTW
2016-01-29,108.1769,109.3603,106.5736,109.2458,749928,WLTW
2016-02-01,108.7973,109.6085,107.7475,109.2745,574170,WLTW
2016-02-02,108.0815,108.6637,104.7412,105.5143,694826,WLTW
2016-02-03,108.2056,109.4081,104.6363,108.845,896326,WLTW
2016-02-04,108.8736,111.0114,108.8736,110.4292,956336,WLTW
2016-02-05,109.8662,111.1736,104.7031,108.8164,997061,WLTW
2016-02-08,108.1292,108.1292,105.4188,106.0869,1200452,WLTW
2016-02-09,106.0964,106.9916,104.6363,105.6002,1725244,WLTW
2016-02-10,101.8591,106.9934,101.5059,102.613,1945964,WLTW
2016-02-11,100.8093,104.2688,99.3586,102.2408,1319536,WLTW
2016-02-12,103.6055,104.4335,102.1835,102.9184,922402,WLTW
2016-02-16,104.1304,106.2205,102.1263,105.7147,1185091,WLTW
2016-02-17,105.7719,106.9935,103.0424,106.1632,922004,WLTW
2016-02-18,106.0487,107.0794,103.9587,106.5068,441403,WLTW
2016-02-19,106.2873,107.2655,102.384,105.2948,1244745,WLTW
2016-02-22,106.2778,108.0624,105.9437,107.8811,681534,WLTW
2016-02-23,107.2417,107.652,106.2682,106.7836,411236,WLTW
2016-02-24,105.7147,107.3562,104.808,106.4686,447282,WLTW
2016-02-25,106.5068,107.8334,105.6956,107.7284,559882,WLTW
2016-02-26,108.1674,108.9691,105.9437,107.6043,460167,WLTW
2016-02-29,107.8811,110.0952,106.5545,108.1483,971565,WLTW
2016-03-01,109.0549,110.2956,107.5089,110.2384,694078,WLTW
2016-03-02,110.0857,111.7463,109.9425,111.4504,1159689,WLTW
2016-03-03,111.1736,112.2998,110.1525,111.6604,884727,WLTW
2016-03-04,111.2882,112.1185,110.2957,111.8417,692422,WLTW
2016-03-07,110.7537,112.1185,110.6965,111.6126,898185,WLTW
2016-03-08,111.1832,112.0135,110.1812,111.3836,844475,WLTW
2016-03-09,111.7081,111.9562,110.2288,111.1736,796520,WLTW
2016-03-10,111.5745,112.6147,108.9309,111.4886,416820,WLTW
2016-03-11,112.5479,115.2488,111.3072,115.1151,590200,WLTW
2016-03-14,114.9243,115.516,113.1873,115.1247,495103,WLTW
2016-03-15,114.3707,115.2488,112.7006,115.1915,515925,WLTW
2016-03-16,114.8575,115.516,113.5786,115.306,562061,WLTW
2016-03-17,115.4874,118.7322,113.9985,118.3695,809321,WLTW
2016-03-18,118.5795,118.8753,114.6093,115.7355,1607637,WLTW
2016-03-21,115.3442,116.2795,113.7027,115.9073,1001334,WLTW
2016-03-22,115.5064,117.3006,115.2106,115.9264,711414,WLTW
2016-03-23,115.9264,115.9264,113.6645,113.9317,444186,WLTW
2016-03-24,113.4641,113.989,112.2711,113.9604,534102,WLTW
2016-03-28,114.0558,115.3633,112.6147,113.3019,798518,WLTW
2016-03-29,113.0623,113.963,112.1328,113.0527,591035,WLTW
2016-03-30,113.4552,114.6721,113.1869,113.781,443154,WLTW
2016-03-31,113.8193,114.3511,112.9377,113.7043,577994,WLTW
2016-04-01,113.1485,115.3141,112.1376,114.9213,765063,WLTW
2016-04-04,114.6625,115.3237,112.4766,112.7365,514255,WLTW
2016-04-05,111.5387,111.5722,108.5202,109.306,1149975,WLTW
2016-04-06,109.3252,110.7817,108.9802,110.6475,2036098,WLTW
2016-04-07,109.948,110.4511,108.6065,108.7981,702236,WLTW
2016-04-08,110.0822,110.1972,107.8878,108.6736,689087,WLTW
2016-04-11,109.3443,111.1075,109.3443,109.8522,553784,WLTW
2016-04-12,110.1876,111.1458,109.9576,110.9542,775919,WLTW
2016-04-13,110.9733,113.0815,110.293,113.0623,621917,WLTW
2016-04-14,113.2252,114.6817,112.2765,112.8036,358129,WLTW
2016-04-15,112.5928,113.8385,111.0884,113.5031,939335,WLTW
2016-04-18,113.3785,116.2053,112.6023,116.1957,735929,WLTW
2016-04-19,116.282,117.3073,116.1095,116.5982,924704,WLTW
2016-04-20,116.0424,117.3456,115.9657,117.2019,658832,WLTW
2016-04-21,117.4893,118.9459,116.8377,117.8726,1055381,WLTW
2016-04-22,118.323,119.5304,117.4606,118.6201,695352,WLTW
2016-04-25,118.0547,118.8165,117.0677,118.1505,459972,WLTW
2016-04-26,118.783,119.2621,118.0164,119.2046,532993,WLTW
2016-04-27,119.3866,119.7699,117.9876,119.4825,462677,WLTW
2016-04-28,118.3805,119.4154,117.5564,118.965,910737,WLTW
2016-04-29,118.6296,119.9423,116.9527,119.6837,889670,WLTW
2016-05-02,120.2011,121.4469,119.5879,120.6994,734675,WLTW
2016-05-03,119.3579,121.1498,118.4907,120.9965,1304758,WLTW
2016-05-04,120.1532,121.4852,119.7508,121.2744,1598249,WLTW
2016-05-05,121.3702,122.453,120.9294,122.3284,1917463,WLTW
2016-05-06,122.041,122.041,116.1766,116.4832,3221640,WLTW
2016-05-09,117.1731,118.4763,116.1382,118.2847,919806,WLTW
2016-05-10,118.7159,120.7282,117.681,120.2682,1991598,WLTW
2016-05-11,120.4503,120.6803,118.8884,119.0225,594848,WLTW
2016-05-12,119.2429,119.3675,116.9144,118.7159,475831,WLTW
2016-05-13,118.735,120.9965,117.6235,117.8343,715131,WLTW
2016-05-16,117.978,119.4058,117.7385,118.735,528756,WLTW
2016-05-17,118.2463,118.9842,116.0807,118.2559,580015,WLTW
2016-05-18,118.0739,120.158,117.4031,120.0382,629695,WLTW
2016-05-19,119.3196,120.2299,117.566,119.8945,598200,WLTW
2016-05-20,119.9233,120.5174,118.7209,120.3257,816675,WLTW
