date,open,high,low,close,volume,Name
2014-01-24,13.5709,13.5962,13.3005,13.3005,7749007,WU
2014-01-27,13.3301,13.3765,12.9202,13.0977,7142155,WU
2014-01-28,13.1737,13.5117,13.1399,13.4357,7741248,WU
2014-01-29,13.2751,13.3723,13.085,13.123,7500809,WU
2014-01-30,13.2751,13.3258,13.1653,13.2413,5196894,WU
2014-01-31,13.0723,13.1991,12.9963,13.0132,6108474,WU
2014-02-03,13.0385,13.1061,12.7935,12.8019,9357723,WU
2014-02-04,12.8273,12.9202,12.7512,12.8695,14640492,WU
2014-02-05,12.8188,12.9075,12.6752,12.8526,10332467,WU
2014-02-06,12.8864,13.0385,12.8442,12.9371,6574814,WU
2014-02-07,12.9878,13.2329,12.9625,13.2075,5133019,WU
2014-02-10,13.1906,13.3005,13.0977,13.216,4808124,WU
2014-02-11,13.1906,13.5329,13.1822,13.4188,10367321,WU
2014-02-12,13.9427,14.3567,13.6469,13.8075,17927968,WU
2014-02-13,13.6638,13.7483,13.5962,13.6216,7859125,WU
2014-02-14,13.6385,13.7906,13.5793,13.7399,4820805,WU
2014-02-18,13.7652,13.8666,13.6723,13.7061,5930653,WU
2014-02-19,13.6723,13.7821,13.5371,13.5624,7829194,WU
2014-02-20,13.6131,13.6385,13.4019,13.5117,5271683,WU
2014-02-21,13.5455,13.6723,13.4779,13.554,4932401,WU
2014-02-24,13.5624,13.9596,13.5624,13.8159,6339448,WU
2014-02-25,13.7483,13.7652,13.4188,13.6216,8998343,WU
2014-02-26,13.6723,13.968,13.6723,13.8497,7911508,WU
2014-02-27,13.6976,14.061,13.6047,14.0356,7703291,WU
2014-02-28,14.1539,14.2215,14.0187,14.137,9020750,WU
2014-03-03,13.9765,14.1075,13.8751,14.0187,11050653,WU
2014-03-04,14.1708,14.2215,14.0779,14.1624,5272405,WU
2014-03-05,14.1539,14.3145,14.137,14.2469,5407727,WU
2014-03-06,14.2891,14.3483,14.1793,14.1877,4708095,WU
2014-03-07,14.2807,14.4328,14.1117,14.1286,8947493,WU
2014-03-10,14.1201,14.2638,14.0948,14.1455,4980406,WU
2014-03-11,14.1624,14.4243,14.1539,14.23,8210237,WU
2014-03-12,14.1539,14.2046,14.0103,14.0694,4503145,WU
2014-03-13,14.0822,14.0822,13.648,13.6821,8101809,WU
2014-03-14,13.7076,13.8353,13.4607,13.5629,9035036,WU
2014-03-17,13.7161,13.8609,13.5969,13.8183,4207909,WU
2014-03-18,13.8013,13.9971,13.7587,13.9971,3466660,WU
2014-03-19,14.0311,14.0907,13.8013,13.8949,4106027,WU
2014-03-20,13.8268,14.0482,13.7927,14.0482,3193277,WU
2014-03-21,14.0652,14.0737,13.7502,13.7927,7002142,WU
2014-03-24,13.8779,14.0652,13.7757,14.0056,6130868,WU
2014-03-25,14.1078,14.1333,13.8609,13.9205,4927515,WU
2014-03-26,13.9886,14.0822,13.6054,13.6225,4770429,WU
2014-03-27,13.5203,13.946,13.499,13.9034,5304981,WU
2014-03-28,13.946,14.0056,13.7672,13.8013,3707294,WU
2014-03-31,13.8523,13.9801,13.8438,13.929,3519836,WU
2014-04-01,13.9715,14.2951,13.946,14.278,4967536,WU
2014-04-02,14.2695,14.3972,14.1801,14.2951,4104899,WU
2014-04-03,14.1759,14.3376,14.0354,14.0737,5978419,WU
2014-04-04,14.1333,14.2014,13.9205,13.946,7892831,WU
2014-04-07,13.9375,13.9545,13.5033,13.631,8265406,WU
2014-04-08,13.6565,13.7417,13.5927,13.7246,7887136,WU
2014-04-09,13.8098,14.0652,13.8098,13.963,7722075,WU
2014-04-10,13.9886,14.1844,13.6225,13.665,10845736,WU
2014-04-11,13.5884,13.7246,13.4352,13.4437,12921170,WU
2014-04-14,13.5033,13.6139,13.3543,13.4862,5578238,WU
2014-04-15,13.5373,13.631,13.2223,13.4096,8352400,WU
2014-04-16,13.5458,13.6735,13.4096,13.665,8542865,WU
2014-04-17,12.4731,13.2138,12.4305,12.9839,19583286,WU
2014-04-21,13.0265,13.2053,13.0265,13.1882,8077790,WU
