date,open,high,low,close,volume,Name
2014-01-24,100.0191,100.0191,96.1094,96.2951,717398,XEC
2014-01-27,96.1387,96.2756,92.6982,94.1937,860773,XEC
2014-01-28,95.0049,97.7979,94.223,97.5169,618267,XEC
2014-01-29,95.9726,96.8229,93.9493,94.4869,756394,XEC
2014-01-30,96.5688,96.8369,95.0831,95.523,728977,XEC
2014-01-31,94.7215,97.5853,93.7147,95.7673,789413,XEC
2014-02-03,95.7673,97.3898,92.4441,93.1381,1186774,XEC
2014-02-04,94.2719,98.0398,94.1155,95.0831,1549208,XEC
2014-02-05,95.1027,98.0349,94.0373,97.771,1286857,XEC
2014-02-06,97.771,101.7931,97.3019,100.7228,1549281,XEC
2014-02-07,101.7882,101.9641,99.0514,101.4168,1169225,XEC
2014-02-10,100.6055,101.4754,98.9244,100.4003,894029,XEC
2014-02-11,101.4657,104.652,100.8792,104.3393,1322018,XEC
2014-02-12,104.0162,107.1872,103.5465,106.1498,1618550,XEC
2014-02-13,104.6818,109.1446,103.5073,107.657,1225562,XEC
2014-02-14,107.6179,108.4889,106.1498,106.9328,1073499,XEC
2014-02-18,108.1464,110.3582,107.2362,109.9667,1385420,XEC
2014-02-19,108.5868,113.701,105.9932,109.4578,2012505,XEC
2014-02-20,108.5672,114.2437,108.2736,111.4935,1833021,XEC
2014-02-21,113.7935,113.7935,109.5948,110.1135,1312253,XEC
2014-02-24,111.3271,114.6156,110.5637,111.6207,1502449,XEC
2014-02-25,110.4854,111.1901,108.0485,110.1527,1040571,XEC
2014-02-26,111.1803,111.5914,108.3323,108.9978,1428019,XEC
2014-02-27,108.6357,112.3841,108.4272,111.9241,1325892,XEC
2014-02-28,111.7969,113.4901,110.7448,113.2454,1258296,XEC
2014-03-03,113.1769,115.4744,111.6599,112.7365,1424203,XEC
2014-03-04,113.5879,114.1849,112.208,113.2062,906012,XEC
2014-03-05,113.3922,113.7152,110.1038,110.5148,1021817,XEC
2014-03-06,110.4757,111.2929,109.4089,109.7025,1053449,XEC
2014-03-07,110.4169,112.4918,110.4169,111.7773,1625558,XEC
2014-03-10,110.7693,111.2855,109.2797,111.239,1996709,XEC
2014-03-11,111.5718,112.6484,107.1383,107.3536,1435274,XEC
2014-03-12,106.003,107.794,105.2103,107.6668,2311515,XEC
2014-03-13,108.0289,108.391,106.0226,107.3732,850283,XEC
2014-03-14,107.3536,109.7906,107.1774,109.5067,945011,XEC
2014-03-17,109.6927,111.1901,109.0859,110.2603,658513,XEC
2014-03-18,110.2212,113.5977,109.4187,113.1769,1414182,XEC
2014-03-19,113.862,114.4394,111.239,112.296,794334,XEC
2014-03-20,111.5914,114.1947,110.2506,113.9403,1445340,XEC
2014-03-21,114.7966,117.1798,113.7641,116.5142,1781916,XEC
2014-03-24,117.444,117.6006,112.7463,113.3041,1002157,XEC
2014-03-25,114.5568,115.4964,112.7854,113.3726,602829,XEC
2014-03-26,114.5177,114.6645,112.0514,112.296,660549,XEC
2014-03-27,113.1475,114.8407,111.7773,114.2339,1159781,XEC
2014-03-28,114.9287,119.1176,114.919,117.1993,1081203,XEC
2014-03-31,117.7865,117.8551,115.8438,116.573,914885,XEC
2014-04-01,116.573,117.1504,114.8309,115.7704,1404189,XEC
2014-04-02,116.113,116.6806,115.0462,115.8096,989928,XEC
2014-04-03,115.9662,116.7785,113.7152,114.2143,1274676,XEC
2014-04-04,115.8585,115.9662,112.4213,113.3041,1547759,XEC
2014-04-07,112.9224,113.539,109.1153,109.9276,1273601,XEC
2014-04-08,110.2897,113.5918,109.7123,113.2062,1440029,XEC
2014-04-09,113.2062,115.007,111.2097,114.7624,982933,XEC
2014-04-10,114.0479,114.6058,111.4446,111.9731,1038656,XEC
2014-04-11,111.6207,113.539,111.3076,111.5033,591384,XEC
