date,open,high,low,close,volume,Name
2014-01-24,23.8936,24.0745,23.6076,23.6076,3721186,XEL
2014-01-27,23.6412,23.8263,23.5824,23.7086,2905034,XEL
2014-01-28,23.7254,23.7506,23.5739,23.7254,2763884,XEL
2014-01-29,23.6328,23.8263,23.5992,23.6917,3524846,XEL
2014-01-30,23.8432,24.1713,23.717,24.1713,2803722,XEL
2014-01-31,23.9862,24.4153,23.9189,24.3227,3546359,XEL
2014-02-03,24.348,24.6761,24.0409,24.0703,3712055,XEL
2014-02-04,24.146,24.1923,23.8432,23.9105,3340055,XEL
2014-02-05,23.8516,23.9273,23.7338,23.7843,2351494,XEL
2014-02-06,23.7759,23.9946,23.7338,23.9441,1773086,XEL
2014-02-07,24.003,24.0956,23.8768,24.0871,1650462,XEL
2014-02-10,24.0114,24.2049,23.8347,24.1881,1348436,XEL
2014-02-11,24.1629,24.4573,24.1292,24.4069,1784380,XEL
2014-02-12,24.4153,24.5751,24.3311,24.4994,2259319,XEL
2014-02-13,24.39,24.777,24.3778,24.7602,1962690,XEL
2014-02-14,24.7013,24.9453,24.6433,24.9453,1823975,XEL
2014-02-18,25.0378,25.0799,24.9007,24.979,1996854,XEL
2014-02-19,24.9369,25.0631,24.8023,24.8528,1922700,XEL
2014-02-20,24.8864,25.1472,24.8359,25.0967,1607210,XEL
2014-02-21,25.0463,25.3828,25.021,25.2818,3159682,XEL
2014-02-24,25.3155,25.4164,25.2229,25.2229,3588900,XEL
2014-02-25,25.1809,25.3407,25.1388,25.2398,2464880,XEL
2014-02-26,25.3407,25.366,25.1304,25.164,2084672,XEL
2014-02-27,25.1725,25.3155,25.0715,25.1809,2242779,XEL
2014-02-28,25.2313,25.5174,25.2229,25.4837,3065939,XEL
2014-03-03,25.408,25.509,25.2229,25.2482,3592791,XEL
2014-03-04,25.4501,25.4922,25.3491,25.4669,3187160,XEL
2014-03-05,25.4585,25.4669,25.2566,25.265,2934146,XEL
2014-03-06,25.265,25.3239,25.0757,25.1304,2559723,XEL
2014-03-07,25.122,25.1472,24.878,25.1472,3481164,XEL
2014-03-10,25.122,25.1556,24.899,25.0294,2167005,XEL
2014-03-11,25.0967,25.0967,24.8191,24.8948,1910159,XEL
2014-03-12,24.8612,25.1725,24.8612,25.1725,2502799,XEL
2014-03-13,25.265,25.5931,25.0547,25.5595,3346209,XEL
2014-03-14,25.5511,25.7605,25.4753,25.6773,2829218,XEL
2014-03-17,25.7277,25.8834,25.6226,25.8539,3080715,XEL
2014-03-18,25.8114,25.9406,25.7605,25.8199,2848702,XEL
2014-03-19,25.8199,25.9474,25.2677,25.3611,3344242,XEL
2014-03-20,25.0128,25.2708,24.9788,25.2167,3230739,XEL
2014-03-21,25.4291,25.616,25.1997,25.2252,4527088,XEL
2014-03-24,25.2847,25.4461,25.1232,25.2592,4128260,XEL
2014-03-25,25.3272,25.582,25.1657,25.5056,2629916,XEL
2014-03-26,25.5226,25.633,25.3357,25.3526,2012499,XEL
2014-03-27,25.3781,25.565,25.2762,25.5566,3122313,XEL
2014-03-28,25.5735,25.6585,25.4206,25.5566,2175387,XEL
2014-03-31,25.701,25.9644,25.6585,25.7944,2750812,XEL
2014-04-01,25.8199,25.8539,25.616,25.718,1918455,XEL
2014-04-02,25.718,25.752,25.5698,25.6755,2173481,XEL
2014-04-03,25.752,25.8879,25.6755,25.7265,1706133,XEL
2014-04-04,25.8454,26.1938,25.8114,26.0493,3467411,XEL
2014-04-07,26.0493,26.1938,25.9219,25.9389,2659024,XEL
