date,open,high,low,close,volume,Name
2014-01-24,42.2229,42.3557,41.4661,41.4794,3550403,XLNX
2014-01-27,41.5502,41.7361,40.9129,41.143,2727338,XLNX
2014-01-28,41.1961,41.5944,40.935,41.081,2796231,XLNX
2014-01-29,40.8686,41.2182,40.7978,41.0102,2598525,XLNX
2014-01-30,41.4971,41.5767,40.9704,41.4086,6958970,XLNX
2014-01-31,40.8509,41.4086,40.7801,41.0899,2460313,XLNX
2014-02-03,40.8774,41.0722,39.771,39.8506,3279168,XLNX
2014-02-04,40.2512,40.2512,39.726,40.2334,2945181,XLNX
2014-02-05,39.7883,40.4292,39.7794,40.2423,3327730,XLNX
2014-02-06,40.2334,40.9188,40.2156,40.4025,3268804,XLNX
2014-02-07,40.6517,41.0835,40.3491,41.0345,3417764,XLNX
2014-02-10,41.1591,41.5597,40.9633,41.3727,3834818,XLNX
2014-02-11,41.4618,42.7079,41.3015,42.6901,7950519,XLNX
2014-02-12,42.7702,43.785,42.7702,43.5268,7500201,XLNX
2014-02-13,43.3577,44.4971,43.2509,44.4882,5898547,XLNX
2014-02-14,44.417,44.4526,43.9799,44.4081,3802916,XLNX
2014-02-18,44.1143,44.8309,44.0876,44.7864,4311147,XLNX
2014-02-19,44.6662,45.445,44.6662,45.2804,4766559,XLNX
2014-02-20,45.2804,45.4762,44.7463,45.1647,3660420,XLNX
2014-02-21,45.7788,45.7788,45.04,45.227,4136441,XLNX
2014-02-24,45.3961,46.1972,45.3961,45.6987,3907405,XLNX
2014-02-25,45.8233,46.0014,45.4406,45.8411,3897897,XLNX
2014-02-26,45.9035,46.6333,45.9035,46.4464,6104461,XLNX
2014-02-27,46.215,46.5354,46.0548,46.3129,4411557,XLNX
2014-02-28,46.3752,46.6289,45.9836,46.4642,4048532,XLNX
2014-03-03,46.0726,46.2595,45.6097,46.1972,3815226,XLNX
2014-03-04,46.6423,47.1852,46.571,47.0873,3409664,XLNX
2014-03-05,46.9449,47.2742,46.8915,47.2208,2748065,XLNX
2014-03-06,47.3989,47.746,47.292,47.5947,3835055,XLNX
2014-03-07,47.8706,47.8973,47.0339,47.203,4862710,XLNX
2014-03-10,47.292,47.746,47.0161,47.2831,3561388,XLNX
2014-03-11,47.479,47.7415,46.8915,47.0784,3693091,XLNX
2014-03-12,46.7402,47.1763,46.2773,46.7758,6158738,XLNX
2014-03-13,46.9004,47.1496,45.9569,46.3663,5176192,XLNX
2014-03-14,46.2328,46.669,46.1883,46.1972,3042425,XLNX
2014-03-17,46.6333,47.2164,46.4909,47.0962,2512128,XLNX
2014-03-18,47.0784,47.8439,46.9004,47.7905,2680615,XLNX
2014-03-19,47.7905,48.2,47.4167,47.6926,2527425,XLNX
2014-03-20,47.6481,49.1256,47.4807,49.0144,4556304,XLNX
2014-03-21,48.7874,49.4817,48.2623,48.5115,4209560,XLNX
2014-03-24,48.5916,48.921,48.2623,48.5115,3740609,XLNX
2014-03-25,48.8676,49.4372,48.5738,48.7785,3718068,XLNX
2014-03-26,48.9121,49.2681,48.2712,48.3068,2555993,XLNX
2014-03-27,48.3246,48.3869,47.4167,47.7638,3254809,XLNX
2014-03-28,47.8261,48.3958,47.6659,47.924,2593675,XLNX
2014-03-31,48.2623,48.6361,48.1288,48.3068,2856021,XLNX
2014-04-01,48.921,48.9566,48.289,48.9388,3658040,XLNX
2014-04-02,48.9121,49.0936,48.4937,48.556,3258443,XLNX
2014-04-03,48.7874,49.1524,48.3272,48.5649,3898047,XLNX
2014-04-04,49.01,49.01,46.8915,47.292,4478434,XLNX
2014-04-07,47.025,47.2876,46.6868,47.114,3319796,XLNX
2014-04-08,47.2564,47.5947,47.025,47.3543,4984305,XLNX
2014-04-09,47.5057,47.657,47.0873,47.6303,2736529,XLNX
2014-04-10,47.5057,47.8439,46.3396,46.3396,3108875,XLNX
2014-04-11,46.0103,46.6512,45.672,45.7076,2736048,XLNX
2014-04-14,46.1883,46.4108,45.6898,46.0103,2251020,XLNX
2014-04-15,46.0637,46.3485,45.0801,46.1527,3562553,XLNX
2014-04-16,46.4553,46.482,45.2448,45.7788,3949999,XLNX
2014-04-17,45.7343,46.6423,45.6631,46.4464,2584753,XLNX
2014-04-21,46.6957,47.1051,46.1972,46.6868,1820759,XLNX
2014-04-22,46.5621,47.0072,46.3218,46.6512,3245394,XLNX
2014-04-23,46.6244,46.9983,46.571,46.6601,2982044,XLNX
2014-04-24,43.9986,44.1499,42.1115,42.4231,11240181,XLNX
2014-04-25,42.3608,42.6812,41.8534,42.5477,6061505,XLNX
2014-04-28,42.7257,42.9928,41.3015,41.6665,6970635,XLNX
2014-04-29,41.9513,42.1828,41.5419,41.8801,3308258,XLNX
2014-04-30,41.7288,42.0403,41.4974,42.0047,2899056,XLNX
2014-05-01,42.0848,42.2584,41.4529,41.4796,2649411,XLNX
2014-05-02,41.5508,41.7644,41.2481,41.2748,2240153,XLNX
2014-05-05,41.2036,41.4529,41.0434,41.2125,2462237,XLNX
2014-05-06,41.2392,41.2659,40.7853,40.8031,2657543,XLNX
2014-05-07,40.723,41.1769,40.476,41.1057,3319393,XLNX
2014-05-08,41.0167,42.2006,40.9099,41.3549,3014031,XLNX
2014-05-09,41.2659,41.6398,40.9366,41.5152,2632047,XLNX
2014-05-12,41.6585,42.3482,41.6585,42.3123,3516300,XLNX
2014-05-13,42.3034,42.3929,41.3181,41.3629,2767323,XLNX
2014-05-14,41.4525,41.6809,41.0136,41.0405,2562941,XLNX
2014-05-15,41.1748,41.2509,40.503,40.718,3036639,XLNX
2014-05-16,40.9419,40.9957,40.2702,40.6105,3801913,XLNX
2014-05-19,40.6105,41.2018,40.5837,41.0673,1817517,XLNX
2014-05-20,41.0405,41.542,40.8165,41.0046,2439550,XLNX
2014-05-21,41.0136,41.2554,40.8031,40.8434,2588110,XLNX
2014-05-22,40.9151,41.2017,40.8165,41.0136,2171185,XLNX
2014-05-23,41.1121,41.3719,40.9419,41.2286,2907189,XLNX
2014-05-27,41.336,41.8914,41.2375,41.8734,2540876,XLNX
2014-05-28,41.9003,41.9988,41.6495,41.7839,1749136,XLNX
2014-05-29,41.8824,42.1422,41.7033,41.972,1409664,XLNX
2014-05-30,42.0884,42.2138,41.7481,42.0615,1842672,XLNX
2014-06-02,41.6316,41.9541,41.0763,41.5331,2281310,XLNX
2014-06-03,41.5062,41.766,41.1838,41.2017,3669654,XLNX
2014-06-04,41.0315,41.3092,40.9419,41.1479,4590711,XLNX
2014-06-05,41.336,41.3629,40.8882,41.0315,3820563,XLNX
2014-06-06,41.3539,41.3692,40.9598,41.2017,3258433,XLNX
2014-06-09,41.2375,41.5331,40.9867,41.2823,3025525,XLNX
2014-06-10,41.4077,41.5331,41.0494,41.0852,1692423,XLNX
2014-06-11,41.0673,41.2465,40.8614,41.1838,2123152,XLNX
2014-06-12,41.2644,41.757,41.1032,41.3719,2806772,XLNX
2014-06-13,41.6495,41.963,41.5152,41.8824,3700738,XLNX
2014-06-16,41.6764,42.4556,41.6764,42.178,2585635,XLNX
2014-06-17,41.9988,42.7154,41.9988,42.5183,2150296,XLNX
2014-06-18,42.5004,42.5452,42.169,42.4736,1951742,XLNX
2014-06-19,42.4646,42.5721,42.2049,42.4825,1361776,XLNX
2014-06-20,42.5542,42.6258,42.3034,42.5183,2589365,XLNX
2014-06-23,42.5273,42.7154,42.3213,42.3929,1230588,XLNX
2014-06-24,42.4825,42.6437,41.9809,42.0347,1821326,XLNX
2014-06-25,41.8555,42.0974,41.7122,42.0257,2193495,XLNX
2014-06-26,42.2228,42.2317,41.6316,41.9451,1821434,XLNX
2014-06-27,41.8018,42.0257,41.5958,42.0168,1780863,XLNX
2014-06-30,42.1332,42.5004,41.972,42.375,1941667,XLNX
2014-07-01,42.5452,43.2528,42.375,43.1364,3470545,XLNX
2014-07-02,42.9304,43.9962,42.9035,43.7096,4189304,XLNX
2014-07-03,43.5932,44.3366,43.5932,43.9962,2143216,XLNX
2014-07-07,44.0948,44.1127,43.5394,43.7007,2297673,XLNX
2014-07-08,43.5663,43.7275,43.1991,43.5036,3420792,XLNX
2014-07-09,43.6111,43.7365,43.2259,43.7275,2914449,XLNX
2014-07-10,42.7244,43.5932,42.6706,43.2797,2178201,XLNX
2014-07-11,43.4051,43.4767,43.1274,43.217,1469321,XLNX
2014-07-14,43.5215,43.5663,43.0826,43.2528,2188386,XLNX
2014-07-15,43.2707,43.5484,42.9572,43.2618,1894332,XLNX
2014-07-16,43.4767,43.6738,43.3065,43.3692,1617484,XLNX
2014-07-17,43.2886,43.3692,42.5273,42.581,2765942,XLNX
2014-07-18,42.8497,42.9931,42.6079,42.787,3935969,XLNX
2014-07-21,42.8677,43.5305,42.796,43.2886,2294507,XLNX
2014-07-22,43.6559,43.6917,42.9662,43.1274,3804924,XLNX
2014-07-23,36.6247,37.6189,35.0393,36.9561,33031356,XLNX
2014-07-24,37.0099,37.4219,36.7412,37.0367,10162186,XLNX
2014-07-25,36.8486,37.5383,36.4545,37.1353,7462902,XLNX
2014-07-28,37.0905,37.3502,36.6695,37.0188,4968118,XLNX
2014-07-29,37.0636,37.3502,36.7322,36.777,4813630,XLNX
2014-07-30,37.0278,37.3278,36.8307,37.2696,5227281,XLNX
2014-07-31,37.0905,37.2248,36.6426,36.8397,7079423,XLNX
2014-08-01,36.8128,37.4317,36.7949,37.0367,5620917,XLNX
2014-08-04,37.2081,37.3705,37.0242,37.2712,3842577,XLNX
2014-08-05,37.0638,37.5869,37.0457,37.2983,5524448,XLNX
2014-08-06,37.1179,37.6059,37.1179,37.2171,2401000,XLNX
2014-08-07,37.5238,37.54,36.9555,37.0277,3694616,XLNX
2014-08-08,37.0908,37.2442,36.933,37.0187,3324513,XLNX
2014-08-11,37.1901,37.5148,37.1269,37.1359,1854478,XLNX
2014-08-12,37.0908,37.2712,36.9014,37.0818,1773697,XLNX
2014-08-13,37.0097,37.3254,37.0097,37.2532,2336839,XLNX
2014-08-14,37.2352,37.614,37.1359,37.605,3487158,XLNX
2014-08-15,37.8756,38.3356,37.5599,38.0019,3695021,XLNX
2014-08-18,38.0109,38.2274,37.6501,37.8395,1890596,XLNX
2014-08-19,37.8215,38.3717,37.7854,38.3356,3486876,XLNX
2014-08-20,38.2544,38.498,38.1828,38.4439,1638563,XLNX
2014-08-21,38.3717,38.6062,38.2093,38.489,2565596,XLNX
2014-08-22,38.5521,38.6333,38.1823,38.2364,2266839,XLNX
2014-08-25,38.4439,38.4799,37.614,37.7042,2852062,XLNX
2014-08-26,37.7313,38.0019,37.5779,37.6862,3283399,XLNX
2014-08-27,37.8034,38.0109,37.4607,37.623,2243267,XLNX
2014-08-28,37.605,37.7764,37.4608,37.6681,2342896,XLNX
2014-08-29,37.8215,38.1372,37.6591,38.1101,2077613,XLNX
2014-09-02,38.2454,38.2544,37.7403,37.8846,2114836,XLNX
2014-09-03,38.2815,38.8768,38.1371,38.8317,4723168,XLNX
2014-09-04,38.8317,39.1384,38.7866,39.1384,5176500,XLNX
2014-09-05,38.9219,39.0457,38.507,38.8407,3084438,XLNX
2014-09-08,38.7866,38.94,38.3537,38.6784,3234256,XLNX
2014-09-09,38.5972,38.6603,38.074,38.4619,2583345,XLNX
2014-09-10,38.3807,38.6333,38.1642,38.507,2670283,XLNX
2014-09-11,38.525,38.7145,38.1642,38.5341,2424067,XLNX
2014-09-12,38.6152,38.6152,38.065,38.2905,2368410,XLNX
2014-09-15,38.3446,38.3988,37.7583,37.8576,2321280,XLNX
2014-09-16,38.0109,39.2376,38.0019,38.9896,4458587,XLNX
2014-09-17,39.0392,39.851,38.9512,39.6165,3631707,XLNX
2014-09-18,39.5263,40.1487,39.409,40.1126,2911057,XLNX
2014-09-19,40.1938,40.4283,39.5804,39.7698,3791038,XLNX
2014-09-22,39.8149,39.8149,39.2593,39.3188,2492744,XLNX
2014-09-23,38.958,39.4992,38.8768,38.9896,2707688,XLNX
2014-09-24,39.0933,39.5624,38.976,39.5263,2436556,XLNX
2014-09-25,39.4992,39.5081,38.3897,38.5882,3809425,XLNX
2014-09-26,38.7956,39.0482,38.6513,38.94,2114448,XLNX
2014-09-29,38.4078,38.9174,38.3266,38.7776,1922796,XLNX
2014-09-30,38.8768,38.9851,38.0109,38.2003,3204473,XLNX
2014-10-01,38.2725,38.3086,37.5599,37.7132,4498221,XLNX
2014-10-02,37.7403,37.7403,36.8834,37.3614,3906807,XLNX
2014-10-03,37.4967,37.5779,37.0187,37.0999,4751747,XLNX
2014-10-06,37.1359,37.4065,36.7932,37.1314,3028783,XLNX
2014-10-07,36.8112,37.0006,36.5316,36.5812,3401749,XLNX
2014-10-08,36.6308,37.5418,36.3692,37.4246,2682745,XLNX
2014-10-09,37.2803,37.3885,36.1978,36.252,3380383,XLNX
2014-10-10,35.4672,35.6296,32.9957,33.2212,12130338,XLNX
2014-10-13,33.3294,33.5143,32.689,32.7161,7502121,XLNX
2014-10-14,33.2663,33.9248,32.9235,33.2843,5514394,XLNX
2014-10-15,32.8063,34.1412,32.7161,33.8977,6296367,XLNX
2014-10-16,33.4647,35.0613,33.3836,34.7185,6438242,XLNX
2014-10-17,36.5316,38.507,36.5045,37.0277,15812691,XLNX
2014-10-20,36.9555,37.7132,36.6308,37.5779,4991392,XLNX
2014-10-21,38.0109,39.1474,37.7222,38.976,6442920,XLNX
2014-10-22,38.9941,39.3639,37.5779,37.632,6007838,XLNX
2014-10-23,38.056,38.6243,37.8034,38.3717,4267257,XLNX
2014-10-24,38.5611,39.0482,38.1913,38.967,3802599,XLNX
2014-10-27,38.7956,39.2376,38.7054,38.8949,3872853,XLNX
2014-10-28,39.1925,39.1925,38.4529,39.0482,4334426,XLNX
2014-10-29,39.1925,39.4451,38.7505,39.3278,3743574,XLNX
2014-10-30,39.1023,39.3098,38.0019,38.9851,3825706,XLNX
2014-10-31,39.7608,40.8928,39.6886,40.1216,4521153,XLNX
2014-11-03,40.3304,40.5211,40.0944,40.1489,2858983,XLNX
2014-11-04,40.0217,40.1398,39.4407,39.7403,2090609,XLNX
2014-11-05,39.9491,40.2033,39.4043,40.1216,1953672,XLNX
2014-11-06,40.2124,40.4521,39.9309,39.9491,2017504,XLNX
2014-11-07,39.9309,39.9309,39.2863,39.5905,2839809,XLNX
2014-11-10,39.368,39.8674,39.25,39.6495,2234757,XLNX
2014-11-11,39.7584,39.7675,39.2863,39.4043,1418375,XLNX
2014-11-12,39.4225,39.5133,39.1864,39.368,1703127,XLNX
2014-11-13,39.5133,39.6041,38.8505,38.8868,2894486,XLNX
2014-11-14,39.0139,39.6404,38.7416,39.595,2895322,XLNX
2014-11-17,39.704,39.7584,39.0866,39.4134,1613173,XLNX
2014-11-18,40.0308,40.4212,39.5614,40.2396,2696970,XLNX
2014-11-19,40.167,40.3123,39.7948,40.167,2435547,XLNX
2014-11-20,39.7675,40.2805,39.7403,40.1761,1736083,XLNX
2014-11-21,40.6936,40.7209,40.2124,40.6573,2699464,XLNX
2014-11-24,40.6845,40.857,40.3758,40.5574,1699310,XLNX
2014-11-25,40.7299,40.739,40.276,40.3032,1612922,XLNX
2014-11-26,40.2396,41.3564,40.2396,41.3019,2356519,XLNX
2014-11-28,41.4018,41.4654,40.8013,41.2565,1423057,XLNX
2014-12-01,41.1567,41.3836,40.857,41.1203,2638062,XLNX
2014-12-02,41.0296,41.6197,40.9024,41.5925,1774069,XLNX
2014-12-03,41.311,42.6094,41.0114,42.5367,5606099,XLNX
2014-12-04,42.4187,42.7001,42.0918,42.5867,4055601,XLNX
2014-12-05,42.6729,42.9453,42.4005,42.8182,2144040,XLNX
2014-12-08,42.7274,42.8363,42.4278,42.5821,3244526,XLNX
2014-12-09,42.2099,42.8727,42.0555,42.8545,1958389,XLNX
2014-12-10,42.6548,42.8273,42.0283,42.1281,3377519,XLNX
2014-12-11,42.5004,42.5095,41.6833,41.8013,3158420,XLNX
2014-12-12,41.5652,41.7468,40.9751,41.0023,2524857,XLNX
2014-12-15,41.3746,41.4744,40.0217,40.0944,4404594,XLNX
2014-12-16,40.1035,40.5483,39.6495,39.6813,5930450,XLNX
2014-12-17,39.8129,39.94,38.787,39.4225,12579715,XLNX
2014-12-18,40.1579,40.167,39.3226,39.6858,6461698,XLNX
2014-12-19,39.4134,39.7675,38.4419,39.0457,7023789,XLNX
2014-12-22,39.2863,39.8674,39.2863,39.8311,2508023,XLNX
2014-12-23,40.2124,40.4394,39.8583,39.8674,1830288,XLNX
2014-12-24,39.9309,40.2488,39.822,40.0263,703703,XLNX
2014-12-26,40.1307,40.2669,39.8402,39.8765,1244180,XLNX
2014-12-29,39.8765,39.9128,39.5769,39.7584,1873440,XLNX
2014-12-30,39.477,39.7948,39.3726,39.5405,2805439,XLNX
2014-12-31,39.7766,39.9491,39.2863,39.3045,2827604,XLNX
2015-01-02,39.5042,39.8856,39.141,39.5859,2402443,XLNX
2015-01-05,39.477,39.5587,38.8187,38.855,2611059,XLNX
2015-01-06,38.8868,38.9685,38.106,38.2967,3430462,XLNX
2015-01-07,38.5781,38.6962,38.1968,38.3103,2110610,XLNX
2015-01-08,38.5872,39.3453,38.5418,39.1637,2824232,XLNX
2015-01-09,39.1774,39.3599,38.787,39.132,1452078,XLNX
2015-01-12,39.132,39.2046,38.3602,38.56,2560880,XLNX
2015-01-13,38.9141,39.2863,37.5794,37.9925,4836174,XLNX
2015-01-14,36.5534,37.7519,36.3537,37.5612,6150563,XLNX
2015-01-15,37.5885,38.0788,37.1891,37.2616,4180575,XLNX
2015-01-16,36.9892,37.5612,36.7532,37.4205,4244816,XLNX
2015-01-20,37.6339,38.0061,37.2071,37.2798,3823376,XLNX
