date,open,high,low,close,volume,Name
2014-01-24,64.1564,64.6751,62.2855,62.2855,3487005,ABC
2014-01-27,62.091,62.5263,61.7215,61.878,2836226,ABC
2014-01-28,61.8132,62.8783,61.7669,62.7208,1897287,ABC
2014-01-29,61.7483,62.9061,61.7483,62.2948,1906893,ABC
2014-01-30,62.656,63.1144,62.656,62.7671,1437156,ABC
2014-01-31,61.6835,62.5078,61.2482,62.2577,3733492,ABC
2014-02-03,62.1744,62.1744,60.2942,60.3591,3542201,ABC
2014-02-04,60.5536,60.8314,60.072,60.2109,1864987,ABC
2014-02-05,60.0349,60.3128,59.5348,59.9423,2421358,ABC
2014-02-06,60.072,60.7666,59.6459,60.674,1553872,ABC
2014-02-07,61.0166,61.6742,60.8499,61.6279,1563424,ABC
2014-02-10,61.5538,61.5724,60.8685,61.4705,2913611,ABC
2014-02-11,61.3408,62.8783,61.3038,62.5726,2487869,ABC
2014-02-12,62.8042,63.7396,62.5912,62.7393,1965422,ABC
2014-02-13,62.6139,63.376,62.1585,63.0972,1286198,ABC
2014-02-14,62.9484,63.5293,62.8276,63.1994,1117831,ABC
2014-02-18,63.2552,64.0916,63.1901,63.6641,1544778,ABC
2014-02-19,63.3109,64.1474,63.1808,63.3016,1937429,ABC
2014-02-20,63.5712,63.8035,62.7997,63.5619,1469772,ABC
2014-02-21,63.5897,64.2682,63.3481,63.5712,1113125,ABC
2014-02-24,63.4875,64.3333,63.4875,63.7384,1363080,ABC
2014-02-25,63.5619,64.1195,63.4224,63.8686,1497215,ABC
2014-02-26,64.008,64.2821,63.1622,63.441,1539103,ABC
2014-02-27,63.2087,63.4875,62.8741,63.2087,1401629,ABC
2014-02-28,63.3574,63.5526,62.7115,63.06,1681819,ABC
2014-03-03,62.3722,62.9113,62.2375,62.7347,1389799,ABC
2014-03-04,63.2273,64.073,63.1715,63.9057,2309079,ABC
2014-03-05,64.1288,64.2682,63.85,64.0266,1427189,ABC
2014-03-06,64.1288,64.547,63.8964,63.8964,1495323,ABC
2014-03-07,64.3611,64.3797,63.7199,64.073,1783383,ABC
2014-03-10,64.0451,64.7329,63.8964,64.2217,1232134,ABC
2014-03-11,64.231,64.5656,63.3583,63.5154,1562662,ABC
2014-03-12,62.9763,63.06,62.2421,62.902,1944473,ABC
2014-03-13,63.2087,63.3946,62.7812,63.0042,1897421,ABC
2014-03-14,62.8834,63.1529,62.6447,62.7997,1672775,ABC
2014-03-17,62.9484,63.3667,62.8648,63.2737,1444639,ABC
2014-03-18,63.2737,63.599,62.9903,63.06,1604609,ABC
2014-03-19,63.2459,63.2923,61.8889,62.1492,1337650,ABC
2014-03-20,62.0283,62.177,61.5822,61.7867,1526286,ABC
2014-03-21,61.8518,61.9261,60.0022,60.2439,3534843,ABC
2014-03-24,60.6807,60.8665,59.0449,59.7792,2792905,ABC
2014-03-25,60.0487,60.6993,59.4632,60.0022,1948609,ABC
2014-03-26,60.3368,60.9595,60.2066,60.2718,2186674,ABC
2014-03-27,60.2346,60.2439,59.2215,59.584,2193227,ABC
2014-03-28,59.7141,60.4391,59.6677,60.2439,1672045,ABC
2014-03-31,60.69,61.006,60.4669,60.9595,1479290,ABC
2014-04-01,60.9688,61.2662,60.7086,61.2569,1747343,ABC
2014-04-02,61.1082,61.6845,60.9223,60.9502,1836208,ABC
2014-04-03,61.164,61.2569,60.7644,61.1547,2173432,ABC
2014-04-04,61.3313,61.6566,60.2718,60.4577,1965787,ABC
2014-04-07,60.3554,60.4855,59.1193,59.6491,3037875,ABC
2014-04-08,59.6119,59.9279,58.9241,59.6398,1907337,ABC
2014-04-09,60.1974,61.0711,60.0766,61.006,2409056,ABC
2014-04-10,61.2569,61.5079,60.1695,60.4112,2105725,ABC
2014-04-11,59.9744,60.6435,59.3517,59.6398,2587358,ABC
2014-04-14,59.8907,60.1138,59.3424,59.9558,1432207,ABC
2014-04-15,60.0022,60.3275,58.7661,59.6862,2011115,ABC
2014-04-16,60.2904,60.5413,59.7606,60.3647,1392865,ABC
2014-04-17,60.1788,60.4948,59.9279,60.1138,1049588,ABC
2014-04-21,59.677,60.5506,59.677,60.2253,1224743,ABC
2014-04-22,60.2253,60.8666,60.0952,60.1138,1602811,ABC
2014-04-23,60.2253,60.5878,59.9465,60.2625,1399772,ABC
2014-04-24,61.3406,62.0934,59.2587,60.3089,3612731,ABC
2014-04-25,59.9744,60.216,58.1341,58.3944,2935598,ABC
2014-04-28,58.7847,59.1844,58.2643,58.9706,1666982,ABC
2014-04-29,59.203,59.7606,59.071,59.4725,1758493,ABC
2014-04-30,59.2494,60.6807,59.1007,60.5785,3099892,ABC
2014-05-01,60.1881,60.5692,59.3424,60.2904,2151107,ABC
2014-05-02,60.3089,60.3089,59.6212,59.7327,1796969,ABC
2014-05-05,59.4818,60.69,59.3702,60.5041,1767273,ABC
2014-05-06,60.1417,60.4112,60.0115,60.1974,1445797,ABC
2014-05-07,60.2904,60.374,59.7234,59.9837,1946748,ABC
2014-05-08,59.8442,60.6482,59.663,59.8535,1586471,ABC
2014-05-09,59.9651,61.1082,59.5004,60.9502,2715846,ABC
2014-05-12,61.322,62.0098,61.2198,61.9633,1719577,ABC
2014-05-13,61.8518,62.27,61.3871,62.1306,2622451,ABC
2014-05-14,62.1399,62.6603,61.9912,62.5488,1976824,ABC
2014-05-15,62.3856,62.9639,62.1991,62.9545,1934871,ABC
2014-05-16,62.824,63.738,62.7773,63.71,2558250,ABC
2014-05-19,63.9152,64.8198,63.71,64.7452,3277747,ABC
2014-05-20,64.7359,65.1743,64.1577,65.0903,1907659,ABC
2014-05-21,65.0903,66.0416,65.0903,65.9484,2327406,ABC
2014-05-22,66.0136,66.8344,65.8271,66.5453,1772193,ABC
2014-05-23,66.7318,66.881,66.3604,66.8157,1155062,ABC
2014-05-27,66.9277,67.5339,66.881,67.5246,1521070,ABC
2014-05-28,67.4872,67.9349,67.2354,67.7857,2384825,ABC
2014-05-29,67.795,68.4759,67.795,68.3453,1611723,ABC
2014-05-30,68.4013,68.6158,67.823,68.252,3909596,ABC
2014-06-02,68.3733,68.821,68.1588,68.28,1602057,ABC
2014-06-03,68.0375,68.2707,67.7764,68.1681,1717742,ABC
2014-06-04,68.1867,68.709,67.9443,68.6997,1734230,ABC
2014-06-05,68.5598,68.8396,67.6458,67.8883,2691569,ABC
2014-06-06,68.0468,68.0468,67.1981,67.6178,2388418,ABC
2014-06-09,67.5246,67.9349,67.2541,67.4686,1581366,ABC
2014-06-10,67.31,67.6831,66.853,67.1608,1796736,ABC
2014-06-11,67.0396,67.2075,66.6572,67.0769,1323978,ABC
2014-06-12,66.9556,67.1981,66.3121,66.6479,1509338,ABC
2014-06-13,66.6385,67.0582,66.2188,66.9463,1269685,ABC
2014-06-16,66.7878,67.2448,66.4333,66.7038,1259561,ABC
2014-06-17,66.5639,67.0862,66.3867,66.909,951616,ABC
2014-06-18,66.8251,67.3753,66.3867,67.2448,1052417,ABC
2014-06-19,67.3194,67.5432,66.8157,67.0862,1256916,ABC
2014-06-20,67.31,67.5805,67.0676,67.394,2560137,ABC
2014-06-23,67.5898,67.8696,67.4033,67.5992,969644,ABC
2014-06-24,67.3194,67.8417,67.0676,67.6645,1413799,ABC
2014-06-25,67.6924,68.1867,67.5246,67.8417,1029354,ABC
2014-06-26,67.8417,67.9443,67.5152,67.823,931745,ABC
2014-06-27,67.7018,68.3173,67.5525,67.9629,1121183,ABC
2014-06-30,68.0748,68.0748,67.5246,67.767,1105872,ABC
2014-07-01,67.7764,68.3266,67.7018,68.0655,1096350,ABC
2014-07-02,67.9256,68.252,67.823,68.1308,1272892,ABC
2014-07-03,68.3919,68.4759,68.1308,68.2987,943930,ABC
2014-07-07,68.2707,68.2987,67.7671,68.0935,892266,ABC
2014-07-08,68.0842,68.1494,67.7111,67.9629,1273330,ABC
2014-07-09,68.1774,68.3266,67.7764,68.0655,729488,ABC
2014-07-10,67.6551,68.2147,67.1617,68.0095,764149,ABC
2014-07-11,68.0282,68.1774,67.5525,68.0655,527146,ABC
2014-07-14,68.3826,68.5505,67.9443,68.1774,664817,ABC
2014-07-15,67.8976,68.1681,67.5712,67.8044,1672248,ABC
2014-07-16,68.0748,68.0748,67.5246,68.0562,1446615,ABC
2014-07-17,67.879,68.5971,67.6085,67.8044,1274324,ABC
2014-07-18,67.9443,68.364,67.6738,68.1401,1431481,ABC
2014-07-21,68.0095,68.0842,67.5059,67.8417,1055071,ABC
2014-07-22,68.1401,68.9049,68.1028,68.7557,1257019,ABC
2014-07-23,68.7743,69.278,68.6624,69.0728,1931615,ABC
2014-07-24,71.8614,73.8014,70.5277,71.2272,4459397,ABC
2014-07-25,71.2645,71.8708,71.078,71.6189,2049734,ABC
2014-07-28,71.5816,72.4863,71.4091,72.1879,3131747,ABC
2014-07-29,72.1785,72.7381,72.048,72.393,1533998,ABC
2014-07-30,72.7381,73.1765,72.4611,72.7008,1270841,ABC
2014-07-31,72.4397,72.7848,71.5536,71.7309,2099234,ABC
2014-08-01,72.0759,72.6728,71.3858,72.5516,3296305,ABC
2014-08-04,72.0759,72.6728,71.3858,72.5516,3296305,ABC
2014-08-05,72.0666,72.5423,71.6656,71.8614,1668612,ABC
2014-08-06,71.507,71.6935,70.4066,70.9101,2228307,ABC
2014-08-07,71.2272,71.309,69.8189,69.9122,2009757,ABC
2014-08-08,69.9495,70.4811,69.6324,70.3505,1353122,ABC
2014-08-11,70.6676,71.2459,70.4438,70.7795,1267074,ABC
2014-08-12,70.8262,70.9941,70.5091,70.7143,1084400,ABC
2014-08-13,71.0407,71.3391,70.8262,71.0127,1170230,ABC
2014-08-14,71.1577,71.7003,71.1427,71.6816,1044199,ABC
2014-08-15,71.8406,72.0371,71.1951,71.4103,1594725,ABC
2014-08-18,71.5974,72.0277,71.4383,71.6629,698416,ABC
2014-08-19,71.7377,72.1307,71.6909,71.9716,715761,ABC
2014-08-20,71.9716,72.0558,71.6442,71.9061,718598,ABC
2014-08-21,72.0932,72.3832,71.9248,71.9716,758924,ABC
2014-08-22,72.0839,72.3037,71.5038,71.6629,681067,ABC
2014-08-25,72.0652,72.3084,71.7284,71.9623,454559,ABC
2014-08-26,71.8968,71.9529,71.429,71.7751,615982,ABC
2014-08-27,72.009,72.009,71.1025,71.4477,774424,ABC
2014-08-28,71.3916,71.9623,71.1857,71.7751,580792,ABC
2014-08-29,72.0371,72.4207,71.85,72.402,992147,ABC
2014-09-02,72.5142,72.6826,72.0839,72.1774,1112317,ABC
2014-09-03,72.5142,72.6452,72.2148,72.3739,665290,ABC
2014-09-04,72.3365,72.9165,72.1119,72.3645,840115,ABC
2014-09-05,72.2055,73.2159,72.0184,73.1036,1240679,ABC
2014-09-08,72.8978,73.5332,72.8042,73.2814,1086239,ABC
