date,open,high,low,close,volume,Name
2014-01-24,33.3845,33.3845,32.8191,32.8281,9204891,ABT
2014-01-27,32.9178,33.0525,32.4243,32.5768,9128881,ABT
2014-01-28,32.7922,33.0884,32.5589,32.6396,7608263,ABT
2014-01-29,32.5409,32.7563,31.9935,32.173,10405325,ABT
2014-01-30,32.523,32.864,32.4332,32.7832,9579843,ABT
2014-01-31,32.3345,33.1063,32.2807,32.8999,10845470,ABT
2014-02-03,32.8281,33.1601,32.1281,32.173,12232080,ABT
2014-02-04,32.2178,32.7025,32.173,32.5319,8237356,ABT
2014-02-05,32.4153,32.846,32.2896,32.6217,7597341,ABT
2014-02-06,32.6755,33.1422,32.6486,32.8909,9982322,ABT
2014-02-07,32.9986,33.3935,32.8909,33.3666,12044916,ABT
2014-02-10,33.3576,33.4949,33.1646,33.3486,11207267,ABT
2014-02-11,33.2454,34.1024,33.2454,34.0576,8645614,ABT
2014-02-12,34.0396,34.4435,34.0046,34.3358,8793500,ABT
2014-02-13,34.1653,34.8249,34.1518,34.7486,7253281,ABT
2014-02-14,34.7127,34.9819,34.596,34.8294,7269587,ABT
2014-02-18,34.964,35.1704,34.8204,34.9371,6794100,ABT
2014-02-19,34.7666,35.3319,34.7127,34.7845,7093216,ABT
2014-02-20,34.8383,35.0807,34.5781,34.955,8611905,ABT
2014-02-21,34.8922,35.4037,34.8114,34.8383,8335130,ABT
2014-02-24,34.8787,35.314,34.8383,34.9819,8104555,ABT
2014-02-25,34.9909,35.4665,34.9191,35.2242,7952172,ABT
2014-02-26,35.2601,35.5922,35.0268,35.3499,8752550,ABT
2014-02-27,35.314,35.7448,35.296,35.7089,9189574,ABT
2014-02-28,35.5563,35.8794,35.3768,35.6999,8695830,ABT
2014-03-03,35.4486,35.5742,34.85,35.296,11006319,ABT
2014-03-04,35.664,36.1845,35.6012,36.005,9460192,ABT
2014-03-05,36.3371,36.3371,35.6819,35.7089,8285234,ABT
2014-03-06,35.8255,36.1037,35.655,35.655,6442012,ABT
2014-03-07,35.7537,35.8524,35.2871,35.5114,8630729,ABT
2014-03-10,35.4486,35.7986,35.3678,35.7358,5576312,ABT
2014-03-11,35.7627,36.0409,35.5832,35.6371,5117602,ABT
2014-03-12,35.3948,35.7986,35.3948,35.5922,6933032,ABT
2014-03-13,35.664,35.7358,35.0896,35.2063,6964453,ABT
2014-03-14,35.1704,35.4665,34.9191,34.973,7736046,ABT
2014-03-17,35.0448,35.5204,35.0358,35.4576,5768991,ABT
2014-03-18,35.4486,35.7941,35.4307,35.655,5534330,ABT
2014-03-19,35.655,36.0948,35.2871,35.4037,8679052,ABT
2014-03-20,35.4127,35.5742,34.8025,34.8832,11396612,ABT
2014-03-21,35.1883,35.5383,34.4255,34.4524,21663062,ABT
2014-03-24,34.6948,34.6948,34.2191,34.4883,11078044,ABT
2014-03-25,34.5422,34.7307,34.1742,34.4614,8209588,ABT
2014-03-26,34.596,35.1255,34.4524,34.605,8174785,ABT
2014-03-27,34.596,34.7214,34.2191,34.5063,7404067,ABT
2014-03-28,34.623,34.9864,34.2909,34.3807,6251371,ABT
2014-03-31,34.5332,34.623,34.1922,34.5601,8037950,ABT
2014-04-01,34.5422,34.8473,34.3089,34.5242,5632577,ABT
2014-04-02,34.2101,34.6768,34.1653,34.623,6340897,ABT
2014-04-03,34.7666,34.7755,34.3717,34.6858,6029613,ABT
2014-04-04,34.8832,35.4486,34.6409,34.6678,7368242,ABT
2014-04-07,34.605,34.8563,34.1832,34.255,5893976,ABT
2014-04-08,34.2819,34.2819,33.7345,33.7614,9560130,ABT
2014-04-09,33.8512,33.9589,33.5146,33.7704,13694845,ABT
2014-04-10,33.9409,34.0127,33.3217,33.4383,9788664,ABT
2014-04-11,33.3571,33.6279,33.0863,33.4203,10490437,ABT
2014-04-14,33.5647,34.1064,33.5015,34.0703,12726820,ABT
2014-04-15,34.0974,34.3592,33.6189,34.2779,10725609,ABT
2014-04-16,34.9821,35.1175,33.9078,34.648,10953743,ABT
2014-04-17,34.5397,35.2168,34.4314,35.1446,9825035,ABT
2014-04-21,35.0904,35.1987,34.7112,34.9459,6920345,ABT
2014-04-22,34.9821,35.1175,34.8376,34.8466,6220028,ABT
2014-04-23,34.964,35.0453,34.7744,34.8466,3557726,ABT
2014-04-24,34.8918,34.8918,34.3953,34.6932,4421332,ABT
2014-04-25,34.6571,34.7022,34.2057,34.3321,4232058,ABT
2014-04-28,34.5578,34.6841,34.1064,34.639,4433564,ABT
2014-04-29,34.639,34.955,34.5397,34.7925,4415646,ABT
2014-04-30,34.8105,35.1536,34.7473,34.973,5339686,ABT
2014-05-01,34.8918,35.1084,34.6571,34.9098,3652398,ABT
2014-05-02,34.9098,35.0633,34.7473,34.8105,4775012,ABT
2014-05-05,34.5487,35.3251,34.5307,35.0633,7593496,ABT
2014-05-06,34.9911,35.0453,34.7835,34.8286,4776470,ABT
2014-05-07,34.8918,35.0182,34.5668,34.9279,4990223,ABT
2014-05-08,34.9279,35.1716,34.8015,34.964,3962827,ABT
2014-05-09,34.9189,35.2213,34.8557,35.1987,4409019,ABT
2014-05-12,35.2709,35.5508,35.2393,35.4515,4013168,ABT
2014-05-13,35.5508,35.9029,35.4515,35.8036,6265520,ABT
2014-05-14,35.9841,36.2188,35.9029,36.0473,7183101,ABT
2014-05-15,35.4425,36.0473,35.2529,35.4244,8821559,ABT
2014-05-16,35.7584,35.9209,35.0633,35.2619,11024435,ABT
2014-05-19,35.7675,36.0563,35.5869,35.7765,6464486,ABT
2014-05-20,35.957,35.957,35.5237,35.6952,5438906,ABT
2014-05-21,35.7043,35.8126,35.5327,35.7133,4352500,ABT
2014-05-22,35.632,35.9029,35.4244,35.7945,3801085,ABT
2014-05-23,35.8036,35.8668,35.6682,35.7494,3521823,ABT
2014-05-27,35.6772,35.7945,35.5327,35.7314,4712028,ABT
2014-05-28,35.8126,35.9029,35.7043,35.8126,3681291,ABT
2014-05-29,35.8216,36.0112,35.7043,35.7494,3225183,ABT
2014-05-30,35.7584,36.2279,35.7232,36.1195,5897895,ABT
2014-06-02,36.1286,36.1467,35.8217,35.93,3364495,ABT
2014-06-03,35.8216,36.0925,35.8216,35.948,3775239,ABT
2014-06-04,35.93,35.93,35.7494,35.8848,3664522,ABT
2014-06-05,35.8938,36.3299,35.7494,36.2459,3824162,ABT
2014-06-06,36.1737,36.3362,36.0744,36.1557,3536808,ABT
2014-06-09,36.0563,36.3001,36.0383,36.2279,3444976,ABT
2014-06-10,36.1376,36.6161,36.1376,36.589,5057560,ABT
2014-06-11,36.3272,36.5529,36.0473,36.1105,5940033,ABT
2014-06-12,36.0925,36.1466,35.8036,35.939,6510760,ABT
2014-06-13,35.9029,35.9751,35.8036,35.9209,3966298,ABT
2014-06-16,35.957,36.4445,35.7404,36.0202,5500241,ABT
2014-06-17,35.93,36.0925,35.7855,35.9841,4593190,ABT
2014-06-18,35.9661,36.4761,35.8758,36.4445,5223239,ABT
2014-06-19,36.5709,37.0313,36.4626,37.0133,6380774,ABT
2014-06-20,37.2029,37.2841,36.8418,36.8779,12626781,ABT
2014-06-23,36.9862,37.1216,36.7109,36.7695,4922713,ABT
2014-06-24,36.6612,36.932,36.4987,36.5168,4398233,ABT
2014-06-25,36.6792,36.9952,36.5077,36.7424,4394126,ABT
2014-06-26,36.7786,36.8147,36.4897,36.6702,5691739,ABT
2014-06-27,36.5709,36.7334,36.3001,36.598,8432808,ABT
2014-06-30,36.7154,37.1487,36.6522,36.923,6711180,ABT
2014-07-01,37.1758,37.2841,36.9907,37.1758,5472247,ABT
2014-07-02,37.2209,37.7806,37.1216,37.7265,5766006,ABT
2014-07-03,37.7445,37.8799,37.582,37.8167,3000001,ABT
2014-07-07,37.6272,37.7535,37.4556,37.4737,4043444,ABT
2014-07-08,37.3112,37.4015,36.9591,37.0584,4789824,ABT
2014-07-09,37.2029,37.3563,36.9681,37.257,3562398,ABT
2014-07-10,37.0404,37.2841,36.9411,37.2299,4839231,ABT
2014-07-11,37.2935,37.5385,37.1936,37.4841,5078662,ABT
2014-07-14,38.074,38.074,37.6611,37.956,6699795,ABT
2014-07-15,37.8834,37.9379,37.3661,37.3661,10957323,ABT
2014-07-16,37.7291,37.7382,37.2118,37.2572,5564791,ABT
2014-07-17,38.0286,38.8455,37.9161,38.782,9538018,ABT
2014-07-18,38.0286,38.8455,37.9161,38.782,9538018,ABT
2014-07-21,38.5732,39.0542,38.3554,38.9907,8027487,ABT
2014-07-22,39.027,39.2358,38.9136,39.1087,8315779,ABT
2014-07-23,39.2448,39.2721,38.909,38.9998,4315903,ABT
2014-07-24,38.9726,39.1813,38.791,38.9272,4890718,ABT
2014-07-25,38.9272,39.1268,38.8128,39.0633,3979079,ABT
2014-07-28,38.9816,39.0724,38.6821,38.9635,3449203,ABT
2014-07-29,38.9998,39.0089,38.6186,38.8001,4575268,ABT
2014-07-30,38.9907,39.1087,38.7184,38.8999,3563971,ABT
2014-07-31,38.5914,38.9181,38.192,38.2283,4658756,ABT
2014-08-01,38.2283,38.5732,37.9724,38.4734,3639066,ABT
2014-08-04,38.2283,38.5732,37.9724,38.4734,3639066,ABT
2014-08-05,38.2465,38.4552,37.8108,37.9197,4190516,ABT
2014-08-06,37.8199,38.0922,37.6111,37.9107,3726879,ABT
2014-08-07,37.8925,38.1013,37.6474,37.6928,4013768,ABT
2014-08-08,37.6474,37.8653,37.3488,37.838,4417627,ABT
2014-08-11,38.0468,38.2646,37.7861,38.1648,2630373,ABT
2014-08-12,38.0377,38.2192,37.593,37.7291,3337455,ABT
2014-08-13,38.0105,38.2646,37.9651,38.2646,3441526,ABT
2014-08-14,38.2555,38.5278,38.2555,38.4189,4679931,ABT
2014-08-15,38.4461,38.7093,37.8562,38.1739,5031806,ABT
2014-08-18,38.6821,38.6821,38.2102,38.3282,3234772,ABT
2014-08-19,38.3917,38.6821,38.2011,38.6095,2963360,ABT
2014-08-20,38.3191,38.5641,38.0832,38.2465,4953586,ABT
2014-08-21,38.3826,38.5914,38.3009,38.4098,3060842,ABT
2014-08-22,38.3191,38.4189,38.1194,38.2192,2462384,ABT
2014-08-25,38.4915,38.7547,38.3645,38.5641,2423959,ABT
2014-08-26,38.4824,38.8364,38.4371,38.8092,4143531,ABT
2014-08-27,38.782,38.9181,38.5687,38.664,2805103,ABT
