date,open,high,low,close,volume,Name
2014-01-24,35.6736,35.8845,34.7335,34.7686,5756076,ADM
2014-01-27,35.041,35.2958,34.5138,34.5841,5665785,ADM
2014-01-28,34.6808,35.2695,34.6456,35.208,4097047,ADM
2014-01-29,34.8126,35.0147,34.2326,34.4611,5240790,ADM
2014-01-30,34.7862,34.8741,34.4172,34.7159,3986996,ADM
2014-01-31,34.3469,34.9048,34.2854,34.6895,4333981,ADM
2014-02-03,34.5138,34.9883,34.0657,34.1887,7878336,ADM
2014-02-04,34.9795,35.0059,33.4418,33.5912,7340610,ADM
2014-02-05,34.0481,34.1184,33.3188,33.969,8799086,ADM
2014-02-06,34.1096,34.4918,34.0393,34.3644,5759035,ADM
2014-02-07,34.795,35.1289,34.3996,35.0498,6613964,ADM
2014-02-10,34.9795,35.3661,34.7159,35.2431,6795746,ADM
2014-02-11,35.2519,35.6297,34.9356,35.6121,6510786,ADM
2014-02-12,35.5243,35.8757,35.3925,35.7176,7035371,ADM
2014-02-13,35.5858,35.9372,35.3424,35.7352,3070860,ADM
2014-02-14,35.7703,35.9988,35.5946,35.8318,3791431,ADM
2014-02-18,35.9379,36.1588,35.7699,35.823,4296040,ADM
2014-02-19,35.7964,35.823,35.2573,35.3103,4449254,ADM
2014-02-20,35.3103,35.5843,35.2308,35.4606,3709568,ADM
2014-02-21,35.4517,35.5048,35.16,35.3457,3919612,ADM
2014-02-24,35.4429,35.9467,35.3457,35.4959,3499008,ADM
2014-02-25,35.5755,36.0174,35.4871,35.6992,3734077,ADM
2014-02-26,35.7876,35.9467,35.5976,35.6992,2649446,ADM
2014-02-27,35.6373,35.8318,35.1689,35.2573,5100116,ADM
2014-02-28,35.2661,36.0572,35.2396,35.8848,4379770,ADM
2014-03-03,35.4783,35.5224,34.9391,35.2484,5021614,ADM
2014-03-04,35.6108,36.1765,35.6108,35.9732,3666295,ADM
2014-03-05,35.9379,36.1279,35.6815,35.9467,2790692,ADM
2014-03-06,35.9732,36.3268,35.8848,36.1853,3845694,ADM
2014-03-07,36.3621,36.7157,36.2295,36.53,3008395,ADM
2014-03-10,36.7775,37.52,36.7775,37.52,5695143,ADM
2014-03-11,37.5818,37.8028,37.4051,37.52,4258546,ADM
2014-03-12,37.246,38.1652,37.2018,37.9442,5485292,ADM
2014-03-13,38.0326,38.1917,37.4581,37.4758,3983876,ADM
2014-03-14,37.352,37.7498,37.2902,37.573,3792388,ADM
2014-03-17,37.8116,38.0724,37.5111,37.6172,4392456,ADM
2014-03-18,37.7321,38.0061,37.573,37.9442,2202173,ADM
2014-03-19,37.9442,38.2005,37.3962,37.7056,3514259,ADM
2014-03-20,37.6349,37.8205,37.3697,37.7409,2430317,ADM
2014-03-21,38.0768,38.0856,37.5023,37.7144,8366530,ADM
2014-03-24,37.847,37.9973,37.2813,37.3874,2586763,ADM
2014-03-25,37.5995,37.6879,37.3167,37.4846,3605779,ADM
2014-03-26,37.5465,38.0503,37.5023,37.7409,3909380,ADM
2014-03-27,37.8293,38.1475,37.6614,38.0945,3253940,ADM
2014-03-28,38.2536,38.5399,37.9531,38.1917,2773277,ADM
2014-03-31,38.2182,38.5099,38.0681,38.3508,3294963,ADM
2014-04-01,38.3773,38.6602,38.2005,38.3862,3014225,ADM
2014-04-02,37.6702,38.4657,36.8748,38.3862,3279144,ADM
2014-04-03,38.4215,38.5187,37.8558,38.1387,4171526,ADM
2014-04-04,38.5276,38.5894,38.0326,38.0503,4416020,ADM
2014-04-07,38.0326,38.669,38.0238,38.5364,4276979,ADM
2014-04-08,38.4834,38.7132,38.1564,38.4745,4164245,ADM
2014-04-09,38.5011,39.2965,38.3243,39.2258,4604858,ADM
2014-04-10,39.2877,39.544,38.9209,39.0402,5185153,ADM
2014-04-11,39.1198,39.2877,38.9607,39.2523,5346546,ADM
2014-04-14,39.3761,39.6059,39.2082,39.4998,4174906,ADM
2014-04-15,39.5175,39.5352,38.7751,39.1286,4402000,ADM
2014-04-16,39.3672,39.7915,39.2789,39.7915,2761697,ADM
2014-04-17,39.6501,40.0743,39.5971,39.8092,4119949,ADM
2014-04-21,39.7915,40.1274,39.6147,39.6766,2221401,ADM
2014-04-22,39.6412,39.7296,39.3849,39.4291,2594127,ADM
2014-04-23,39.491,39.7385,39.491,39.5352,2640228,ADM
2014-04-24,39.6147,39.712,39.2965,39.4468,2123986,ADM
2014-04-25,39.4203,39.5263,39.1021,39.2612,2286862,ADM
2014-04-28,39.4203,39.4468,38.943,39.2258,4317513,ADM
2014-04-29,38.1122,38.5718,37.7056,38.2094,7794616,ADM
2014-04-30,38.1564,38.7927,37.9619,38.6513,5913765,ADM
2014-05-01,38.6602,38.6955,38.1652,38.2182,3122117,ADM
2014-05-02,38.2801,38.6778,38.0415,38.4922,3059493,ADM
2014-05-05,38.2713,38.4657,38.0238,38.3685,2288254,ADM
2014-05-06,38.2182,38.3469,38.0238,38.1298,3461707,ADM
2014-05-07,38.1564,39.1905,38.1564,39.1286,4257124,ADM
2014-05-08,39.0491,39.3496,38.7751,38.9518,3364536,ADM
2014-05-09,38.9695,39.3451,38.9695,39.2347,2209385,ADM
2014-05-12,39.4203,39.544,39.1861,39.4821,2405243,ADM
2014-05-13,39.491,39.6865,39.3311,39.3755,2285150,ADM
2014-05-14,39.3933,39.4555,38.949,38.9667,2218768,ADM
2014-05-15,38.9223,38.9934,38.5935,38.6824,2654030,ADM
2014-05-16,38.6824,38.9934,38.6468,38.9401,1935748,ADM
2014-05-19,38.9401,39.0623,38.8246,39.0023,2018366,ADM
2014-05-20,38.9667,39.0023,38.3625,38.5047,2167658,ADM
2014-05-21,38.5757,39.0112,38.5757,38.9756,2293838,ADM
2014-05-22,38.1492,39.1178,38.1225,38.789,1657192,ADM
2014-05-23,38.8335,38.9845,38.5491,38.709,2034394,ADM
2014-05-27,38.789,39.42,38.7624,39.3844,2400276,ADM
2014-05-28,39.3844,39.5888,39.2867,39.3578,1851371,ADM
2014-05-29,39.4466,39.7132,39.4111,39.6688,1727251,ADM
2014-05-30,39.5977,39.9665,39.5977,39.9354,2011074,ADM
2014-06-02,39.8909,40.0331,39.7745,39.8554,2295251,ADM
2014-06-03,39.7488,39.9354,39.3578,39.4111,2483001,ADM
2014-06-04,39.4288,39.5799,39.2156,39.3755,2287701,ADM
2014-06-05,39.3755,39.9887,39.2955,39.962,2506415,ADM
2014-06-06,39.8376,40.3175,39.8376,40.1486,2460053,ADM
2014-06-09,39.9976,40.2464,39.9887,40.1131,1872480,ADM
