date,open,high,low,close,volume,Name
2014-01-24,247.9838,249.4026,243.7471,244.3439,703860,ADS
2014-01-27,245.929,245.929,235.3028,236.751,1242535,ADS
2014-01-28,237.0934,241.066,237.0934,240.5964,676323,ADS
2014-01-29,236.4085,243.2089,236.159,239.6766,734372,ADS
2014-01-30,242.9545,244.5298,240.7334,243.5905,659021,ADS
2014-01-31,239.5494,242.0739,233.8547,234.5005,1202146,ADS
2014-02-03,234.8332,238.4829,228.7275,230.6551,1719551,ADS
2014-02-04,231.0269,233.0621,230.3616,231.5847,601412,ADS
2014-02-05,230.068,232.3381,225.5622,229.158,1069578,ADS
2014-02-06,233.3753,253.201,232.5142,252.9838,1937260,ADS
2014-02-07,254.432,264.7695,253.4731,259.3732,1318192,ADS
2014-02-10,260.9094,262.2989,257.3869,262.2304,920983,ADS
2014-02-11,261.7509,269.5102,260.8801,268.0034,737794,ADS
2014-02-12,267.9936,272.338,267.2206,270.5474,720466,ADS
2014-02-13,269.5787,273.6198,267.0347,273.385,686924,ADS
2014-02-14,273.3752,275.7333,270.6452,274.0797,467132,ADS
2014-02-18,273.5709,277.9153,273.4926,277.8174,488585,ADS
2014-02-19,278.5024,279.383,273.9525,274.6472,402011,ADS
2014-02-20,276.5552,278.3067,273.2481,278.111,879894,ADS
2014-02-21,278.8742,279.5493,276.2734,276.8585,688811,ADS
2014-02-24,273.972,282.0151,272.6022,280.1364,649001,ADS
2014-02-25,279.3928,283.5415,278.1697,279.3341,589850,ADS
2014-02-26,280.9975,282.2401,278.0229,279.1384,679183,ADS
2014-02-27,276.5161,280.1168,274.6671,278.1501,633213,ADS
2014-02-28,278.5904,281.2029,275.9486,278.972,649580,ADS
2014-03-03,275.2636,275.2685,268.1501,272.2108,758663,ADS
2014-03-04,275.8898,281.3399,275.5376,280.9485,525902,ADS
2014-03-05,279.3536,280.1951,275.9388,277.8859,398384,ADS
2014-03-06,279.383,280.5963,275.9583,279.9799,485718,ADS
2014-03-07,281.0953,282.3184,278.835,281.5845,415475,ADS
2014-03-10,281.8585,283.062,276.8977,278.0816,489474,ADS
2014-03-11,279.1775,281.3913,277.0249,279.2362,487074,ADS
2014-03-12,277.2303,279.9114,273.385,279.7254,408161,ADS
2014-03-13,280.8409,281.1149,269.9016,272.1521,512159,ADS
2014-03-14,271.7705,275.0092,269.1286,272.5924,700561,ADS
2014-03-17,273.3165,281.1149,272.9055,275.7235,1080317,ADS
2014-03-18,277.5435,281.9172,276.1932,281.8292,1013495,ADS
2014-03-19,282.2793,285.7137,275.9192,278.2871,933111,ADS
2014-03-20,278.0718,288.1501,277.8664,287.9348,952037,ADS
2014-03-21,290.6941,294.016,280.3321,280.3321,2040251,ADS
2014-03-24,281.8977,283.6589,273.4339,274.608,1024945,ADS
