date,open,high,low,close,volume,Name
2014-01-24,193.6853,202.8778,193.6853,197.9409,358919,AMG
2014-01-27,198.2865,199.9651,193.7199,194.179,357827,AMG
2014-01-28,195.8477,198.0278,195.8477,197.5657,434617,AMG
2014-01-29,196.292,197.23,193.6261,194.0309,246231,AMG
2014-01-30,196.8548,198.5235,196.2327,196.7462,239497,AMG
2014-01-31,194.5147,198.2668,193.5372,196.7264,465464,AMG
2014-02-03,195.897,197.5558,184.8482,185.3221,1007337,AMG
2014-02-04,184.6409,191.5525,178.5684,191.1378,1478565,AMG
2014-02-05,190.0715,190.2393,183.9793,185.2037,756569,AMG
2014-02-06,185.5295,186.823,184.5668,186.2503,419119,AMG
2014-02-07,186.7242,187.8696,183.2684,184.2953,798080,AMG
2014-02-10,183.9201,184.6902,181.0023,184.6507,741494,AMG
2014-02-11,187.1192,188.462,184.5915,188.4423,587745,AMG
2014-02-12,188.5608,192.6387,187.7906,192.303,994777,AMG
2014-02-13,192.5202,192.5202,189.5185,191.6513,711433,AMG
2014-02-14,190.575,191.5377,187.7215,188.1757,530198,AMG
2014-02-18,188.8471,189.9826,187.2377,187.4746,679785,AMG
2014-02-19,187.3068,188.7286,184.7593,185.0556,644615,AMG
2014-02-20,185.1395,187.4228,183.6633,186.9118,541623,AMG
2014-02-21,187.603,188.1362,183.6831,183.8608,697114,AMG
2014-02-24,184.1472,189.1433,183.8411,187.6129,620611,AMG
2014-02-25,187.5931,188.0078,185.8948,186.2799,369144,AMG
2014-02-26,186.0133,187.6425,183.7325,184.4927,455641,AMG
2014-02-27,184.5026,186.4379,183.6436,185.0259,493373,AMG
2014-02-28,184.5322,186.3776,184.1906,185.6776,746799,AMG
2014-03-03,184.0879,185.7665,183.1776,185.1345,638521,AMG
2014-03-04,188.0868,191.8784,187.1784,191.1773,546061,AMG
2014-03-05,191.1773,192.8065,190.4477,192.1647,500493,AMG
2014-03-06,192.1845,194.2185,191.4785,192.9941,552549,AMG
2014-03-07,193.8235,194.5542,191.3353,193.9716,585207,AMG
2014-03-10,194.1099,194.9788,192.145,194.5344,322579,AMG
2014-03-11,194.3666,194.3666,190.9848,191.4143,245118,AMG
2014-03-12,190.1505,192.6288,188.5805,192.4116,484877,AMG
2014-03-13,192.2536,194.0013,185.7566,185.8553,659863,AMG
2014-03-14,185.727,187.1686,182.6463,182.7253,748725,AMG
2014-03-17,185.1642,186.7736,184.0978,185.2728,337127,AMG
2014-03-18,185.7171,186.3688,183.1005,185.6776,523323,AMG
2014-03-19,186.0923,186.9711,184.0682,185.4703,294719,AMG
2014-03-20,184.6902,189.9135,184.6804,189.6173,461275,AMG
2014-03-21,190.2986,191.7401,186.6551,187.3167,473152,AMG
2014-03-24,188.4818,189.2026,184.7297,185.2629,311207,AMG
2014-03-25,186.6551,187.3068,181.9552,182.9524,601139,AMG
2014-03-26,183.377,184.2854,179.6348,180.7703,640016,AMG
2014-03-27,181.2443,181.9157,178.7284,179.6447,322262,AMG
2014-03-28,181.3331,189.2322,180.1038,188.5706,767698,AMG
2014-03-31,193.9223,198.642,192.0956,197.5262,1140379,AMG
2014-04-01,200.6957,203.3913,199.264,202.6606,871298,AMG
2014-04-02,202.5224,203.5888,200.9725,201.4955,485716,AMG
2014-04-03,201.3276,201.6979,197.8126,198.405,514379,AMG
2014-04-04,199.9651,199.9651,191.2968,191.9475,770754,AMG
2014-04-07,191.9475,193.2311,187.4253,188.4127,733561,AMG
2014-04-08,189.4988,190.2294,187.5043,188.778,553925,AMG
2014-04-09,190.4269,191.7698,187.5438,189.8641,351802,AMG
2014-04-10,189.4889,190.5553,179.7099,179.7336,1029942,AMG
2014-04-11,177.0281,179.8323,175.6774,177.038,501809,AMG
2014-04-14,178.9535,180.2964,176.8998,178.8548,480407,AMG
2014-04-15,179.6151,181.0764,175.8837,179.6842,360291,AMG
2014-04-16,181.3232,182.8636,180.4,182.6167,311445,AMG
2014-04-17,182.7944,185.0457,182.1053,184.2854,329483,AMG
2014-04-21,182.9327,184.5125,182.4587,182.9228,242374,AMG
2014-04-22,183.2091,185.1148,182.9327,183.9892,250107,AMG
2014-04-23,184.1175,185.1049,183.0907,183.5646,348974,AMG
2014-04-24,185.3913,185.3913,182.2563,183.3474,222210,AMG
2014-04-25,182.7648,183.1795,180.1088,180.1878,276952,AMG
2014-04-28,181.6195,181.6195,174.6189,177.5021,681765,AMG
2014-04-29,187.7314,196.2624,187.5931,192.6485,1325601,AMG
2014-04-30,192.4511,196.2525,190.7528,195.6996,753781,AMG
2014-05-01,196.5882,196.5882,193.0534,193.399,441026,AMG
2014-05-02,193.1916,194.6431,191.9771,194.4752,403659,AMG
2014-05-05,192.5695,193.6014,190.7923,193.2311,261383,AMG
2014-05-06,192.9744,192.9744,189.953,190.2097,262589,AMG
2014-05-07,191.1872,193.5866,188.5509,193.5668,416318,AMG
2014-05-08,192.688,195.2059,189.4149,189.7753,547641,AMG
2014-05-09,190.2492,190.2788,187.6129,189.2618,418758,AMG
2014-05-12,190.6145,193.7049,190.3776,193.2114,297772,AMG
2014-05-13,193.3595,193.705,190.4072,190.9009,272370,AMG
2014-05-14,190.1702,191.3748,187.8992,188.0572,212989,AMG
2014-05-15,186.9118,187.4055,181.0665,183.5449,436157,AMG
2014-05-16,184.3446,184.3743,181.2048,182.6957,333749,AMG
2014-05-19,182.1329,186.2207,181.2344,186.1219,419522,AMG
2014-05-20,185.3518,185.3518,181.1801,182.044,467558,AMG
2014-05-21,183.0808,186.0805,182.8636,183.9102,489853,AMG
2014-05-22,184.8087,188.3732,184.1472,187.4352,528206,AMG
2014-05-23,187.3759,189.0841,186.8526,187.4549,397175,AMG
2014-05-27,188.3732,189.5348,187.1686,188.3337,282648,AMG
2014-05-28,188.3732,189.0347,184.1768,184.1768,711713,AMG
2014-05-29,184.789,187.287,183.7423,187.2574,346189,AMG
2014-05-30,186.4379,187.2081,184.6014,186.2207,325700,AMG
2014-06-02,186.8822,188.1658,183.3869,187.9782,380568,AMG
2014-06-03,187.0599,188.5213,185.7961,188.2942,411922,AMG
2014-06-04,187.8992,191.5624,186.5811,191.3057,468253,AMG
2014-06-05,192.2338,196.292,190.3578,196.0451,678715,AMG
2014-06-06,196.3019,199.5701,195.2059,199.0369,624001,AMG
2014-06-09,198.3655,199.738,197.6447,198.484,366229,AMG
2014-06-10,197.5163,197.6645,196.1241,197.6447,237273,AMG
2014-06-11,196.3809,196.8745,195.0775,196.7462,259407,AMG
2014-06-12,195.8674,197.3979,195.0874,195.4428,346853,AMG
2014-06-13,196.3117,196.4105,193.8137,194.4851,260322,AMG
2014-06-16,194.4851,198.5531,194.4061,198.3852,611612,AMG
2014-06-17,197.3781,202.2953,197.3781,201.0216,519018,AMG
2014-06-18,201.4955,201.4955,198.1384,200.3106,423576,AMG
2014-06-19,201.1598,202.0386,197.9409,199.185,272111,AMG
2014-06-20,199.6096,201.1005,199.1357,200.8142,746840,AMG
2014-06-23,200.7056,201.9161,199.2048,200.8142,332761,AMG
