date,open,high,low,close,volume,Name
2014-01-24,78.877,78.9048,77.5459,77.8787,2321263,ANTM
2014-01-27,77.6014,79.0342,77.509,78.4703,3625767,ANTM
2014-01-28,78.4796,79.0249,77.8879,77.9249,4924971,ANTM
2014-01-29,75.993,81.1122,75.651,78.914,6443113,ANTM
2014-01-30,80.4762,82.3065,79.6258,81.1233,3954673,ANTM
2014-01-31,80.1804,80.8275,79.4317,79.4964,3310985,ANTM
2014-02-03,79.4964,79.7533,78.8493,79.1451,2612236,ANTM
2014-02-04,79.2653,79.5611,78.3132,78.8955,2026280,ANTM
2014-02-05,78.7661,80.1342,78.1837,79.1728,2203481,ANTM
2014-02-06,79.1913,80.1157,78.2485,80.0325,2062640,ANTM
2014-02-07,79.4501,79.4501,77.8787,78.2762,3310912,ANTM
2014-02-10,78.3871,78.951,77.6384,78.2022,2913186,ANTM
2014-02-11,77.7585,79.635,77.6661,79.2006,2840340,ANTM
2014-02-12,79.1821,79.7922,77.6661,77.8787,3183658,ANTM
2014-02-13,77.6753,79.1913,77.6753,78.8585,2246174,ANTM
2014-02-14,79.2006,81.3544,78.6367,81.1602,2436394,ANTM
2014-02-18,81.2434,82.4544,80.8644,80.9014,3209592,ANTM
2014-02-19,80.735,81.909,80.4161,80.8829,3061856,ANTM
2014-02-20,81.1325,81.5392,80.4115,81.077,2402938,ANTM
2014-02-21,80.8506,82.7224,80.7997,81.8535,2944479,ANTM
2014-02-24,81.3636,85.0056,81.3636,84.0535,3622333,ANTM
2014-02-25,84.7098,84.7283,82.7548,82.8981,2636991,ANTM
2014-02-26,82.8334,83.6468,82.2602,82.4081,2506612,ANTM
2014-02-27,82.4451,83.0737,82.1771,82.5283,1967745,ANTM
2014-02-28,82.5098,84.9132,82.5098,83.7392,3752301,ANTM
2014-03-03,83.0737,83.3972,82.2972,82.6762,2594013,ANTM
2014-03-04,83.3048,84.4972,83.1846,83.9426,2475484,ANTM
2014-03-05,82.5098,84.7376,82.5098,84.6359,2733491,ANTM
2014-03-06,84.2899,85.4509,84.2899,85.0051,2448489,ANTM
2014-03-07,85.4509,85.4509,84.8936,85.0144,3281413,ANTM
2014-03-10,84.8565,85.7203,84.8565,85.6738,1792132,ANTM
2014-03-11,85.7388,86.8255,85.6738,86.3797,2712478,ANTM
2014-03-12,85.9618,87.4664,85.9618,86.9556,2496465,ANTM
2014-03-13,87.1135,87.2992,86.5841,86.6305,3576538,ANTM
2014-03-14,86.3983,87.1135,86.2311,86.7048,3482459,ANTM
2014-03-17,86.937,88.6525,86.9091,88.3767,2861725,ANTM
2014-03-18,88.3674,90.9773,88.3302,90.7544,4592553,ANTM
2014-03-19,91.0702,93.4294,91.0238,91.999,5300677,ANTM
2014-03-20,91.8319,93.2529,91.3953,92.6121,3667221,ANTM
