date,open,high,low,close,volume,Name
2014-01-24,42.2293,42.2293,41.0767,41.0767,1351552,APH
2014-01-27,41.0791,41.2824,40.8089,40.8137,1786572,APH
2014-01-28,40.895,41.2919,40.8854,41.1724,2195638,APH
2014-01-29,40.6893,41.1245,40.6463,40.9524,2316712,APH
2014-01-30,41.1771,41.5932,41.0552,41.4498,1553194,APH
2014-01-31,40.9046,41.7032,40.8328,41.5502,1595190,APH
2014-02-03,41.5119,41.5741,40.4598,40.498,2006016,APH
2014-02-04,40.5124,40.7085,40.2254,40.6319,1384732,APH
2014-02-05,40.455,40.938,40.3641,40.8089,1099050,APH
2014-02-06,40.7324,41.6267,40.7276,41.4641,1252746,APH
2014-02-07,41.5454,41.8132,41.3445,41.7797,1112266,APH
2014-02-10,41.7463,41.8419,41.3445,41.6219,742578,APH
2014-02-11,41.6124,42.1767,41.6124,42.0667,855834,APH
2014-02-12,42.1432,42.3728,42.0189,42.2197,644152,APH
2014-02-13,41.8658,42.411,41.8037,42.3441,559974,APH
2014-02-14,42.3823,42.4158,42.0141,42.2149,942918,APH
2014-02-18,42.258,42.5593,42.1863,42.4923,831934,APH
2014-02-19,42.301,42.8869,42.2676,42.3489,930014,APH
2014-02-20,42.3536,42.6119,42.0667,42.5402,632530,APH
2014-02-21,42.5402,42.7267,42.0954,42.1623,1145420,APH
2014-02-24,42.3393,42.9132,42.3202,42.521,960852,APH
2014-02-25,42.4397,42.6071,42.1241,42.2436,684358,APH
2014-02-26,42.2963,42.368,41.5454,41.6458,1531630,APH
2014-02-27,41.5167,42.0476,41.4832,41.8897,1643994,APH
2014-02-28,41.9232,42.2436,41.7606,42.0954,1190850,APH
2014-03-03,41.8515,42.148,41.4928,41.9806,1026238,APH
2014-03-04,42.411,43.1188,42.3584,43.0328,1209164,APH
2014-03-05,42.9658,43.071,42.6502,42.7075,764908,APH
2014-03-06,42.7267,43.2408,42.588,43.1619,1126602,APH
2014-03-07,43.291,43.5971,43.0997,43.2384,755776,APH
2014-03-10,43.1138,43.5116,42.3708,43.3726,1072178,APH
2014-03-11,43.502,43.6937,42.8358,43.061,1058932,APH
2014-03-12,42.8358,43.4589,42.7351,43.4062,1265836,APH
2014-03-13,43.4972,43.8567,43.1617,43.248,1307390,APH
2014-03-14,43.1329,43.6554,43.0922,43.3726,1047832,APH
2014-03-17,43.5979,44.0446,43.5404,43.7321,714282,APH
2014-03-18,43.7321,44.0964,43.6027,43.9765,839454,APH
2014-03-19,43.8279,44.1395,43.4253,43.6841,912960,APH
2014-03-20,43.3582,43.9526,43.109,43.9382,975386,APH
2014-03-21,44.336,44.8728,44.094,44.6955,3203752,APH
