date,open,high,low,close,volume,Name
2014-01-24,45.3904,45.5781,43.8976,43.9155,1039830,AVY
2014-01-27,43.9512,43.987,43.2361,43.7188,1196860,AVY
2014-01-28,43.7188,44.1121,43.6294,44.0406,656688,AVY
2014-01-29,43.6205,44.4786,43.4864,43.7367,912376,AVY
2014-01-30,44.2551,44.5591,43.549,44.4429,879465,AVY
2014-01-31,43.2272,44.2551,42.8192,44.0406,1352731,AVY
2014-02-03,44.1926,44.6038,42.673,42.7356,1273573,AVY
2014-02-04,43.0037,43.1736,42.378,42.53,1080880,AVY
2014-02-05,42.1814,42.3333,41.3412,42.0026,1383813,AVY
2014-02-06,41.949,42.5747,41.8685,42.53,785794,AVY
2014-02-07,42.7713,42.959,42.2976,42.8071,983462,AVY
2014-02-10,42.8875,43.9334,42.7445,43.8529,1266134,AVY
2014-02-11,44.0227,44.2462,42.7535,44.0138,926702,AVY
2014-02-12,44.0585,44.4339,43.8976,44.0317,1147978,AVY
2014-02-13,43.7635,44.2462,43.5758,44.2015,748682,AVY
2014-02-14,44.1658,44.4339,43.9691,44.1568,608523,AVY
2014-02-18,44.2373,44.3624,43.9736,44.2641,445898,AVY
2014-02-19,44.2373,44.7378,43.9334,44.0138,643921,AVY
2014-02-20,44.1032,44.2462,43.7188,44.0674,628148,AVY
2014-02-21,44.1568,44.1568,43.6741,43.701,593209,AVY
2014-02-24,43.7725,43.9512,43.4775,43.6116,818989,AVY
2014-02-25,43.6205,43.8618,43.2898,43.6563,672910,AVY
2014-02-26,43.8797,44.4786,43.8797,44.2551,707189,AVY
2014-02-27,44.1389,44.3177,43.7188,43.8976,803153,AVY
2014-02-28,43.9155,44.7468,43.7546,44.5322,975875,AVY
2014-03-03,44.1007,44.6581,44.0467,44.4154,746719,AVY
2014-03-04,46.0068,46.8429,45.6561,46.5642,1517590,AVY
2014-03-05,46.2136,46.3574,45.4943,45.9079,1408624,AVY
2014-03-06,46.0607,46.2091,45.755,45.9348,715396,AVY
2014-03-07,46.1956,46.5822,46.0787,46.3574,837061,AVY
2014-03-10,46.3035,46.3304,45.5392,46.0427,859504,AVY
2014-03-11,46.2136,46.2855,45.4493,45.4763,855429,AVY
2014-03-12,45.2605,45.737,45.1976,45.5572,1058758,AVY
2014-03-13,45.8269,45.9978,45.1706,45.2066,791994,AVY
