date,open,high,low,close,volume,Name
2014-01-24,126.7698,127.6406,121.4758,122.5681,409024,AYI
2014-01-27,123.3553,124.5833,121.4266,123.3651,685927,AYI
2014-01-28,123.4734,126.3565,123.3159,125.3725,369608,AYI
2014-01-29,123.9162,125.7169,123.8965,125.4217,492044,AYI
2014-01-30,127.0355,127.0355,124.9297,125.0084,587724,AYI
2014-01-31,123.5521,127.006,123.0896,125.0084,357362,AYI
2014-02-03,124.8707,125.6283,121.0035,122.6271,750463,AYI
2014-02-04,123.3061,125.6628,122.3221,124.8018,491075,AYI
2014-02-05,124.3098,125.1462,122.0761,124.8313,401437,AYI
2014-02-06,125.2741,127.5373,124.9395,125.7858,279760,AYI
2014-02-07,126.2778,127.9014,126.1007,127.5373,379193,AYI
2014-02-10,127.1536,127.5078,124.3983,126.14,375861,AYI
2014-02-11,126.2975,127.744,124.8018,126.8092,442889,AYI
2014-02-12,126.878,129.7415,126.4155,129.4069,556671,AYI
2014-02-13,128.9248,131.2077,127.3504,130.8731,317825,AYI
2014-02-14,130.8534,131.2077,129.3085,130.1351,341690,AYI
2014-02-18,130.1745,132.6246,130.1745,132.2901,369030,AYI
2014-02-19,131.6308,133.0871,131.129,131.4438,347297,AYI
2014-02-20,131.7784,134.0613,130.8141,133.9137,304918,AYI
2014-02-21,134.3762,134.819,133.156,133.2741,273898,AYI
2014-02-24,134.0711,135.4586,133.7661,134.1302,275900,AYI
2014-02-25,134.3959,135.9998,134.081,135.124,391974,AYI
2014-02-26,134.7895,138.322,134.6123,138.1548,469357,AYI
2014-02-27,138.9223,141.2446,138.5582,139.7095,541225,AYI
2014-02-28,139.7292,140.3786,138.0367,138.7944,361102,AYI
2014-03-03,137.9481,138.7157,136.1671,137.9776,230588,AYI
2014-03-04,139.7292,143.9407,138.7846,141.0871,528835,AYI
2014-03-05,140.9494,142.081,140.4475,141.3528,213138,AYI
2014-03-06,141.461,142.1695,140.6935,141.2544,170228,AYI
2014-03-07,142.2384,142.3663,140.2999,141.2249,256352,AYI
2014-03-10,140.7722,141.1833,139.4733,139.9949,276186,AYI
2014-03-11,139.7882,141.3331,137.2692,137.7612,306524,AYI
2014-03-12,136.7673,137.5644,135.7735,137.0232,329128,AYI
2014-03-13,137.7612,138.8534,137.3872,138.509,642038,AYI
2014-03-14,137.6923,138.5189,136.4131,137.279,268570,AYI
2014-03-17,138.4598,140.3294,137.6726,139.5717,411802,AYI
2014-03-18,139.8177,141.5865,138.8928,140.9887,231258,AYI
2014-03-19,140.7526,141.3981,137.6037,139.2175,273263,AYI
2014-03-20,139.0601,140.1523,138.2276,139.2962,218543,AYI
2014-03-21,138.9125,140.172,137.092,137.2593,543467,AYI
2014-03-24,137.2692,138.3613,133.5211,137.1708,398329,AYI
2014-03-25,137.8497,138.4008,136.0884,137.2298,465516,AYI
2014-03-26,138.8534,138.8534,132.0244,132.0736,479521,AYI
2014-03-27,131.5226,131.6554,125.1855,126.1007,1229679,AYI
2014-03-28,126.6911,130.5877,125.9531,128.1376,484863,AYI
2014-03-31,129.4069,131.493,128.2261,130.45,437236,AYI
2014-04-01,130.5976,131.985,129.7809,131.3258,661849,AYI
2014-04-02,126.8879,138.0662,124.4672,135.5471,1337639,AYI
2014-04-03,138.4106,138.4106,129.958,131.493,639252,AYI
2014-04-04,133.0281,133.0478,128.7772,129.3184,565171,AYI
2014-04-07,129.8301,130.6074,124.9691,125.1167,952368,AYI
2014-04-08,125.4414,126.1991,123.2569,124.8313,783338,AYI
2014-04-09,125.2249,125.7661,123.3258,124.91,515975,AYI
2014-04-10,125.2052,125.6972,120.0687,120.4426,601858,AYI
2014-04-11,119.2126,124.0146,118.9518,121.5841,618018,AYI
2014-04-14,123.0601,123.2372,119.5964,120.5312,341972,AYI
2014-04-15,120.6395,122.4618,117.2411,121.7034,491285,AYI
2014-04-16,122.9938,125.3481,122.2944,124.3728,505362,AYI
2014-04-17,123.5356,125.417,122.5702,124.1069,562274,AYI
2014-04-21,124.3039,125.811,123.7129,125.7224,287328,AYI
2014-04-22,125.6436,126.7468,124.5206,124.8457,319778,AYI
2014-04-23,124.432,125.6337,122.255,125.4367,542074,AYI
2014-04-24,126.2346,126.2346,123.1021,123.6144,248876,AYI
2014-04-25,123.0726,123.0726,120.8168,122.058,258681,AYI
2014-04-28,122.846,123.7917,119.0831,120.8267,255454,AYI
2014-04-29,121.1123,122.2648,120.5902,122.058,259083,AYI
2014-04-30,121.5753,123.0233,120.6198,122.7081,301861,AYI
2014-05-01,122.8854,124.2743,120.9744,121.7822,282008,AYI
2014-05-02,122.1565,123.8606,121.5556,121.9004,205006,AYI
2014-05-05,120.7479,123.0135,119.7727,122.4815,299610,AYI
2014-05-06,122.0186,122.2747,120.3144,120.7774,261583,AYI
2014-05-07,120.9153,121.6344,117.8813,119.9894,488247,AYI
2014-05-08,119.6544,122.0481,117.1524,117.4578,531104,AYI
2014-05-09,116.7387,118.1769,115.0247,118.1375,597251,AYI
2014-05-12,118.9649,121.2601,118.1552,120.5213,567965,AYI
2014-05-13,120.4622,121.4374,120.2356,120.5705,503655,AYI
2014-05-14,120.2258,120.6789,118.6398,119.1422,430721,AYI
2014-05-15,118.236,118.8073,116.9258,118.039,760325,AYI
2014-05-16,117.8616,119.8121,117.4676,119.7332,306592,AYI
2014-05-19,119.6052,121.0828,119.1127,120.1765,225983,AYI
2014-05-20,119.8022,120.3341,117.7434,118.7482,523234,AYI
2014-05-21,119.487,121.1025,119.2407,120.7282,351706,AYI
2014-05-22,120.6493,122.4618,120.1765,121.8511,227540,AYI
2014-05-23,121.8413,122.9938,121.4275,122.7869,197060,AYI
2014-05-27,123.2696,125.1215,122.5505,124.363,251512,AYI
2014-05-28,123.8606,124.1955,122.8263,122.915,314659,AYI
2014-05-29,123.3287,123.9099,122.2254,123.6932,182122,AYI
2014-05-30,123.8902,123.9,122.4815,123.6341,336482,AYI
2014-06-02,123.6242,123.9887,122.4077,123.6833,299152,AYI
2014-06-03,123.0135,123.9394,122.4717,123.0135,225354,AYI
2014-06-04,122.5209,123.6439,121.8905,123.0135,173694,AYI
2014-06-05,123.0036,126.2839,122.6195,126.1065,234482,AYI
2014-06-06,126.8059,129.2883,125.9785,128.8647,389201,AYI
2014-06-09,128.4805,131.3963,128.2146,130.6378,282269,AYI
2014-06-10,130.2635,130.2635,128.7465,129.1898,254645,AYI
2014-06-11,128.3229,129.3178,127.791,129.1602,190996,AYI
2014-06-12,128.6677,129.6034,125.88,126.3036,408897,AYI
2014-06-13,126.6877,127.5152,125.8996,127.0029,227949,AYI
2014-06-16,126.4612,127.6629,126.1853,127.594,239175,AYI
2014-06-17,127.2689,130.4802,126.9438,129.9778,390142,AYI
2014-06-18,129.6429,130.8151,128.9533,130.756,219157,AYI
2014-06-19,131.4357,132.6769,129.633,132.598,570927,AYI
2014-06-20,132.598,133.4747,131.5243,133.3762,545855,AYI
2014-06-23,133.3664,133.6521,132.2237,132.6473,391772,AYI
2014-06-24,132.0464,134.2037,131.6524,132.076,450053,AYI
2014-06-25,131.5933,134.3219,131.5933,134.0953,420476,AYI
2014-06-26,133.9476,136.1442,132.2631,135.0804,570085,AYI
2014-06-27,134.0953,135.5138,133.7112,134.2726,3800948,AYI
2014-06-30,134.2726,136.3905,133.4846,136.1836,665716,AYI
2014-07-01,127.9289,130.5294,115.5773,115.862,3692159,AYI
2014-07-02,114.8572,118.1966,111.4588,117.7237,1293340,AYI
2014-07-03,117.8813,119.1816,116.1969,117.1032,568615,AYI
2014-07-07,117.6154,118.6792,117.2214,117.6449,966236,AYI
2014-07-08,117.1524,117.6745,112.9659,114.0298,618343,AYI
2014-07-09,114.4731,114.7686,112.7,113.6752,472705,AYI
2014-07-10,112.1877,113.1531,111.6657,111.8528,413913,AYI
2014-07-11,111.4686,112.8182,110.6469,112.4537,492607,AYI
2014-07-14,113.1038,113.6801,111.6755,111.7839,374060,AYI
2014-07-15,111.9907,112.8674,111.2342,111.3898,310688,AYI
2014-07-16,111.8633,112.5536,110.5615,111.8731,317272,AYI
2014-07-17,109.9796,113.2932,109.9796,113.0664,405907,AYI
2014-07-18,109.9796,113.2932,109.9796,113.0664,405907,AYI
2014-07-21,112.5339,113.0071,110.2163,110.9362,403976,AYI
2014-07-22,111.8435,113.1354,111.2913,112.7804,279203,AYI
2014-07-23,112.9086,113.3524,111.9717,112.4254,334414,AYI
2014-07-24,112.307,113.2143,110.7291,111.0349,297155,AYI
2014-07-25,110.7686,111.5575,109.595,111.3307,225763,AYI
2014-07-28,111.5575,111.5575,109.881,109.9303,298558,AYI
2014-07-29,109.9106,110.4037,108.2439,108.3327,307467,AYI
2014-07-30,108.5891,108.9146,107.2923,107.8988,448351,AYI
2014-07-31,107.1296,107.9777,105.5911,105.7883,411900,AYI
2014-08-01,105.8574,106.5181,103.244,106.0152,461096,AYI
2014-08-04,106.0349,107.7015,105.7637,107.5635,317516,AYI
2014-08-05,106.6562,108.7173,106.6562,108.5299,328865,AYI
2014-08-06,107.8199,109.309,107.6128,108.5891,234431,AYI
2014-08-07,108.6976,109.2794,108.0073,109.2203,411365,AYI
2014-08-08,109.5359,111.2272,109.0723,110.9954,507272,AYI
2014-08-11,111.9422,114.0329,111.4145,112.741,312862,AYI
2014-08-12,112.0605,113.4165,111.7548,112.4846,398691,AYI
