date,open,high,low,close,volume,Name
2014-01-24,40.3162,40.4795,39.2882,39.3971,2656341,A
2014-01-27,39.4175,39.7375,38.7912,39.6898,4669012,A
2014-01-28,39.826,40.0847,39.4243,39.5537,2536290,A
2014-01-29,39.2609,39.6336,39.0839,39.2473,2163031,A
2014-01-30,39.7715,40.9221,39.7715,40.5136,3743153,A
2014-01-31,39.9009,40.2685,39.5196,39.5877,3529054,A
2014-02-03,39.5877,39.8124,38.1751,38.2261,2929252,A
2014-02-04,38.3419,39.4039,38.1853,39.3563,2911877,A
2014-02-05,39.1997,39.2814,38.7776,39.0976,2283870,A
2014-02-06,39.152,39.7239,39.118,39.683,1609451,A
2014-02-07,39.7988,40.483,39.5741,40.4523,1975290,A
2014-02-10,40.3502,40.4659,39.683,40.1732,1760468,A
2014-02-11,40.1664,40.8472,40.0847,40.6634,2148202,A
2014-02-12,40.8472,41.1603,40.6225,40.7723,2347270,A
2014-02-13,40.4727,41.1059,40.4183,40.9016,3097011,A
2014-02-14,38.9069,39.329,37.3547,37.6134,17862776,A
2014-02-18,37.7019,38.1513,37.416,37.5454,6553839,A
2014-02-19,37.45,38.5665,37.3752,38.0832,4838795,A
2014-02-20,38.2193,39.169,38.1547,39.0022,4629755,A
2014-02-21,38.975,39.0771,38.3419,38.3555,2407171,A
2014-02-24,38.4304,38.7912,38.3963,38.6346,2392783,A
2014-02-25,38.6687,39.1929,38.6346,38.7299,3375173,A
2014-02-26,38.7912,39.2269,38.6346,38.8729,2400946,A
2014-02-27,38.8184,38.9954,38.2534,38.3691,3123781,A
2014-02-28,38.4304,38.8797,38.3963,38.7572,2876261,A
2014-03-03,38.2057,38.8865,37.9777,38.6074,2488373,A
2014-03-04,38.9546,39.4856,38.7912,39.3358,2841919,A
2014-03-05,39.2882,39.4856,39.1826,39.3494,3113546,A
2014-03-06,39.7511,40.3842,39.5809,40.0098,5178833,A
2014-03-07,40.2072,40.3025,39.1588,39.7715,3247154,A
2014-03-10,39.683,39.7171,39.2133,39.5877,2563418,A
2014-03-11,39.6422,39.6898,38.4644,38.7095,3421731,A
2014-03-12,38.478,38.8593,38.1308,38.8457,1652324,A
2014-03-13,38.9137,39.0771,37.9674,38.0219,2318832,A
2014-03-14,37.8585,38.1104,37.5998,37.7428,1745218,A
2014-03-17,37.9062,38.4031,37.77,37.9879,1437471,A
2014-03-18,38.1036,38.6755,38.0151,38.6618,1294681,A
2014-03-19,38.6142,38.9069,38.2466,38.5529,1804350,A
2014-03-20,38.4916,38.7572,38.233,38.6006,1808447,A
2014-03-21,38.9274,39.3358,38.0968,38.1853,2762931,A
2014-03-24,38.1785,38.2806,37.2118,37.6202,1985703,A
2014-03-25,37.7836,38.267,37.4296,37.5522,1727269,A
2014-03-26,37.7156,38.1172,37.5522,37.559,2560731,A
2014-03-27,37.8517,37.8517,36.9122,37.2322,2972614,A
2014-03-28,37.3411,37.6134,37.0484,37.2322,2006941,A
2014-03-31,37.4228,38.1581,37.1505,38.0696,2190772,A
2014-04-01,38.2602,38.5461,38.0117,38.3691,2090720,A
2014-04-02,38.41,38.6006,38.2602,38.5802,1919493,A
2014-04-03,38.6482,38.9001,38.3078,38.5325,1603010,A
2014-04-04,38.8729,38.9682,37.8177,37.8313,2307668,A
2014-04-07,37.8245,37.8926,36.7216,37.0007,2584538,A
2014-04-08,36.9054,37.4432,36.6399,37.2118,1842491,A
2014-04-09,37.8339,37.9499,37.1071,37.9226,2017519,A
2014-04-10,37.9226,37.9684,36.783,36.8853,1966409,A
2014-04-11,36.6397,36.8853,35.9299,36.0118,2591968,A
2014-04-14,36.2985,36.3387,35.6962,35.9299,2840577,A
2014-04-15,36.0596,36.4145,35.4591,36.2439,2172515,A
2014-04-16,36.5441,36.6943,36.3394,36.6329,1243513,A
2014-04-17,36.6738,37.4586,36.5851,37.2948,2061997,A
2014-04-21,37.2675,37.3972,37.0764,37.3221,1185867,A
2014-04-22,37.3289,37.9431,37.2129,37.5132,1475541,A
2014-04-23,37.4313,37.6701,37.2409,37.5405,894232,A
2014-04-24,37.6906,37.8885,37.2334,37.7247,1806441,A
2014-04-25,37.7043,37.7043,36.899,37.1174,1580495,A
2014-04-28,37.4313,37.4859,36.0733,36.667,3009046,A
2014-04-29,36.3667,36.5441,35.4659,36.3735,3359741,A
2014-04-30,36.4622,36.899,36.1824,36.8785,1678627,A
2014-05-01,36.8103,37.4449,36.6192,37.172,1472407,A
2014-05-02,37.1924,37.5268,36.9126,37.2197,2080946,A
2014-05-05,37.0628,37.7691,36.7748,37.7589,2087256,A
2014-05-06,37.5883,37.8408,37.1651,37.5405,2224227,A
2014-05-07,37.6224,37.6224,37.0355,37.5541,2219204,A
2014-05-08,37.5541,38.3116,37.3221,37.7384,2209139,A
