date,open,high,low,close,volume,Name
2014-01-24,123.4826,123.5441,119.8942,120.1844,5873453,BA
2014-01-27,120.2284,121.7763,119.3049,120.8089,5279775,BA
2014-01-28,121.0287,121.4509,119.9997,120.5714,4611453,BA
2014-01-29,115.8309,115.8836,112.6382,114.1422,16000895,BA
2014-01-30,115.8309,115.8309,110.1141,111.2838,10419713,BA
2014-01-31,109.4632,111.5828,108.2495,110.1668,9736049,BA
2014-02-03,109.2697,111.275,107.9593,108.2495,9342365,BA
2014-02-04,108.2407,108.8828,106.0068,107.3348,9307592,BA
2014-02-05,106.4201,107.2469,104.4588,106.772,9691926,BA
2014-02-06,107.115,107.9329,106.8687,107.8889,6740580,BA
2014-02-07,108.8388,111.8819,108.7508,111.7148,8928435,BA
2014-02-10,113.421,113.4298,111.1255,111.8379,8174510,BA
2014-02-11,112.2689,114.9426,112.1018,114.4764,7878823,BA
2014-02-12,115.237,115.467,113.2116,113.3266,5802666,BA
2014-02-13,112.3802,114.9274,112.3802,114.5383,4204248,BA
2014-02-14,114.1756,115.3431,113.2293,115.122,4813870,BA
2014-02-18,115.0955,115.8118,114.6267,115.5377,4653262,BA
2014-02-19,115.0778,115.4227,113.5388,113.5565,5149154,BA
2014-02-20,113.6361,114.9717,112.7782,114.5913,4470511,BA
2014-02-21,114.8036,114.8036,113.3089,113.4592,5170064,BA
2014-02-24,113.5477,115.6881,113.53,114.6179,4638248,BA
2014-02-25,114.3614,114.7594,111.6284,112.1325,7317397,BA
2014-02-26,112.5394,113.1585,111.7611,111.9822,4804395,BA
2014-02-27,111.8583,113.7069,111.6726,113.7069,4649978,BA
2014-02-28,113.8749,114.9364,113.2646,114.0253,4365211,BA
2014-03-03,112.4863,113.6007,111.9026,113.4062,4847051,BA
2014-03-04,114.4321,115.865,114.3879,115.1839,5423308,BA
2014-03-05,115.3343,115.6881,113.8219,113.9103,4097125,BA
2014-03-06,114.1049,114.4233,113.2381,113.9722,3599923,BA
2014-03-07,114.7594,115.122,113.2735,113.6892,4301861,BA
2014-03-10,111.8937,112.5748,110.3459,112.2298,7039871,BA
2014-03-11,112.3536,112.5659,111.1065,111.1508,4190977,BA
2014-03-12,110.5582,110.7351,109.5057,110.054,5041992,BA
2014-03-13,110.2486,111.0977,107.5775,107.8075,6071160,BA
2014-03-14,108.0109,109.9214,107.8606,108.8865,5702757,BA
2014-03-17,109.6472,111.2834,109.603,110.9297,4381634,BA
2014-03-18,111.08,111.2803,109.373,109.7091,4151560,BA
2014-03-19,109.9567,110.7351,107.3476,108.1171,6672961,BA
2014-03-20,108.4266,109.5875,107.3564,109.4349,4601670,BA
2014-03-21,109.7268,110.0717,108.347,108.4178,7975403,BA
2014-03-24,109.258,109.6295,107.9755,109.1607,4476014,BA
2014-03-25,110.0806,110.5582,109.2845,109.6914,3229412,BA
2014-03-26,110.2132,110.8412,109.0723,109.258,3091527,BA
2014-03-27,108.7981,109.9391,107.7279,108.975,3116046,BA
2014-03-28,109.4791,110.7262,109.2492,110.0806,2863453,BA
2014-03-31,110.8766,111.478,110.3813,110.9916,2962010,BA
2014-04-01,111.6549,113.5654,111.593,113.3973,3953038,BA
2014-04-02,113.7688,113.8891,112.6809,113.4858,2934724,BA
2014-04-03,114.2464,114.2464,113.4592,113.9015,3305277,BA
2014-04-04,114.3879,114.9097,112.5306,112.6632,4157463,BA
2014-04-07,112.4952,113.3664,110.514,111.08,3753854,BA
2014-04-08,110.8058,111.2038,109.7268,109.8064,4122171,BA
2014-04-09,110.5493,112.3448,109.7179,112.221,3691406,BA
2014-04-10,112.1679,112.2033,109.3553,109.3553,3959932,BA
2014-04-11,108.8335,109.1872,107.834,107.9667,3855303,BA
2014-04-14,108.86,109.4703,108.064,109.0104,3086264,BA
2014-04-15,109.0988,110.1602,108.0198,109.9125,2747116,BA
2014-04-16,110.5582,111.478,110.3194,111.478,2826242,BA
2014-04-17,111.8318,113.5388,111.2923,113.1408,3449510,BA
2014-04-21,113.2558,113.6007,112.6544,113.0524,2368601,BA
2014-04-22,113.4327,114.211,112.7517,112.8136,5022752,BA
2014-04-23,115.5731,116.3072,114.3879,115.5377,7123426,BA
2014-04-24,115.3431,115.5289,113.5919,114.8567,4177695,BA
2014-04-25,114.839,114.9805,113.5388,113.7953,2978970,BA
2014-04-28,113.3885,113.9811,111.2658,112.3625,4354586,BA
2014-04-29,112.504,113.7157,111.9114,113.5388,3344129,BA
2014-04-30,113.2558,114.5383,113.0347,114.1137,2775093,BA
