date,open,high,low,close,volume,Name
2014-01-24,33.3908,33.5297,33.1479,33.1999,4852620,BBT
2014-01-27,33.1956,33.3301,32.7747,32.7921,5370472,BBT
2014-01-28,32.4189,32.9049,32.4103,32.8702,4852116,BBT
2014-01-29,32.5404,32.8268,32.202,32.4363,3728929,BBT
2014-01-30,32.7313,32.9396,32.4797,32.8615,2721375,BBT
2014-01-31,32.4537,32.7617,32.228,32.4623,3099470,BBT
2014-02-03,32.497,32.5231,31.5382,31.5946,4340871,BBT
2014-02-04,31.7768,32.0198,31.4818,31.907,2761374,BBT
2014-02-05,31.7855,31.9547,31.6033,31.8028,2545267,BBT
2014-02-06,31.8636,32.2194,31.7421,32.1847,2368009,BBT
2014-02-07,32.3495,32.4884,32.0371,32.3582,2307433,BBT
2014-02-10,32.2888,32.6099,32.1326,32.5838,2758737,BBT
2014-02-11,32.5404,32.74,32.4103,32.6446,3536662,BBT
2014-02-12,32.6271,32.8803,32.3303,32.5136,3190645,BBT
2014-02-13,32.208,32.7144,32.208,32.6795,2833955,BBT
2014-02-14,32.6533,32.9152,32.5485,32.8279,2239831,BBT
2014-02-18,32.793,32.9152,32.6533,32.793,1785649,BBT
2014-02-19,32.6882,32.8148,32.0683,32.1382,3926257,BBT
2014-02-20,32.1993,32.5573,31.9286,32.4612,2703021,BBT
2014-02-21,32.5136,32.6533,32.3477,32.4961,3957660,BBT
2014-02-24,32.3303,33.0549,32.3215,32.9152,3577135,BBT
2014-02-25,32.8541,32.9938,32.7319,32.7843,2189630,BBT
2014-02-26,32.8454,33.0811,32.7843,33.0113,1904016,BBT
2014-02-27,32.5922,32.9327,32.4874,32.7493,4075085,BBT
2014-02-28,32.7755,33.3605,32.7406,33.0025,3996254,BBT
2014-03-03,32.4699,32.7144,32.4088,32.6446,2546560,BBT
2014-03-04,33.02,33.2033,32.8716,33.1248,2653172,BBT
2014-03-05,33.1771,33.6224,33.0913,33.5177,2963559,BBT
2014-03-06,33.6312,34.0284,33.6312,33.8494,3412700,BBT
2014-03-07,33.9804,34.3558,33.9804,34.2074,3936364,BBT
2014-03-10,34.0153,34.251,33.8798,34.251,2873470,BBT
2014-03-11,34.2248,34.286,33.8494,34.0415,2702756,BBT
2014-03-12,33.8494,34.0677,33.8407,34.0677,2689989,BBT
2014-03-13,34.0415,34.2336,33.6181,33.6923,4414269,BBT
2014-03-14,33.605,33.9018,33.5438,33.5875,2283967,BBT
2014-03-17,33.7621,33.9673,33.7097,33.928,2397766,BBT
2014-03-18,33.928,34.1332,33.8407,34.1026,2326153,BBT
2014-03-19,34.0066,34.478,33.9367,34.2161,3327141,BBT
2014-03-20,34.1201,34.8797,34.1026,34.7312,3763289,BBT
2014-03-21,35.0106,35.4428,34.8535,35.0892,8293368,BBT
2014-03-24,35.0979,35.386,34.932,35.0805,5048238,BBT
2014-03-25,35.159,35.6305,35.0237,35.5956,6860220,BBT
2014-03-26,35.6218,35.8313,35.386,35.386,7187396,BBT
2014-03-27,35.2376,35.5257,34.4868,34.6527,7710127,BBT
2014-03-28,34.74,35.194,34.6527,34.7749,4550607,BBT
2014-03-31,35.0368,35.2813,34.9059,35.0717,6078006,BBT
2014-04-01,35.2027,35.3599,35.063,35.3075,3681272,BBT
2014-04-02,35.3075,35.6785,35.0892,35.5432,3938567,BBT
2014-04-03,35.2027,35.6829,35.1678,35.4384,3680456,BBT
2014-04-04,35.5694,35.7527,34.9495,34.9582,3527039,BBT
2014-04-07,34.967,34.9932,34.3034,34.5653,4090548,BBT
2014-04-08,34.5304,34.7574,34.2074,34.5653,3632494,BBT
2014-04-09,34.7662,34.8185,34.4257,34.7836,2665232,BBT
2014-04-10,34.8011,34.8622,33.9105,33.9542,3615171,BBT
2014-04-11,33.6312,33.9629,33.3343,33.7447,4652931,BBT
2014-04-14,34.1637,34.2947,33.5351,33.9105,3207551,BBT
2014-04-15,33.9629,34.3209,33.6748,34.1812,3752211,BBT
2014-04-16,34.4693,34.478,34.0328,34.3471,4273705,BBT
2014-04-17,34.2423,34.2423,32.8279,33.116,8884040,BBT
2014-04-21,33.0549,33.0898,32.7755,33.0025,3921802,BBT
2014-04-22,32.9327,33.4042,32.662,33.2732,3804992,BBT
2014-04-23,33.2645,33.4478,33.0113,33.2208,2606821,BBT
2014-04-24,33.3256,33.3256,32.9414,33.0113,2971472,BBT
2014-04-25,32.8628,32.924,32.5747,32.5922,2724786,BBT
2014-04-28,32.7406,32.7843,32.1207,32.4438,4122832,BBT
2014-04-29,32.6271,32.6533,32.3128,32.5049,2571819,BBT
2014-04-30,32.4961,32.8279,32.4001,32.5922,3419433,BBT
2014-05-01,32.6096,32.6708,32.3041,32.5136,2690334,BBT
2014-05-02,32.566,33.0375,32.4961,32.6446,2574500,BBT
2014-05-05,32.7319,32.8192,32.3303,32.7406,3016666,BBT
2014-05-06,32.5922,32.6053,32.2429,32.2604,2415593,BBT
2014-05-07,32.3565,32.5922,32.1644,32.5573,2903323,BBT
2014-05-08,32.5485,32.8759,32.5005,32.5922,2442532,BBT
2014-05-09,32.5223,32.9065,32.3652,32.8366,3695547,BBT
2014-05-12,32.9589,33.3867,32.9065,33.343,3572537,BBT
2014-05-13,33.3518,33.4391,33.02,33.0898,2291353,BBT
2014-05-14,33.0898,33.1074,32.6154,32.6856,2560197,BBT
2014-05-15,32.5011,32.5011,31.9652,32.343,4203683,BBT
2014-05-16,32.2903,32.3693,32.0267,32.3605,3768459,BBT
2014-05-19,34.5093,34.7051,34.2512,34.5004,3453437,BBT
2014-05-20,32.6769,32.712,32.3847,32.589,2439192,BBT
2014-05-21,32.7384,32.9492,32.6549,32.835,2199702,BBT
2014-05-22,32.8262,33.002,32.7559,32.8965,1987526,BBT
2014-05-23,32.8965,33.1689,32.8262,33.1513,2258351,BBT
2014-05-27,33.2128,33.5907,33.204,33.3622,2710006,BBT
2014-05-28,33.3886,33.5819,33.204,33.5028,3193030,BBT
2014-05-29,33.5467,33.5467,33.1601,33.2919,2478628,BBT
2014-05-30,33.1865,33.5204,33.1777,33.3183,3294694,BBT
2014-06-02,33.4061,33.5423,33.1074,33.4589,2871891,BBT
2014-06-03,33.4061,33.6434,33.3358,33.5291,3863451,BBT
2014-06-04,33.4676,33.6873,33.3886,33.5204,3439356,BBT
2014-06-05,33.5731,33.7576,33.3534,33.7225,3389360,BBT
2014-06-06,33.7927,34.0915,33.6522,33.9948,3232495,BBT
2014-06-09,33.986,34.399,33.9333,34.3551,4210334,BBT
2014-06-10,34.276,34.399,34.0827,34.3463,2544501,BBT
2014-06-11,34.1266,34.2672,33.9631,34.2057,2743213,BBT
2014-06-12,34.0651,34.1003,33.7049,33.7752,2947022,BBT
2014-06-13,33.907,34.1003,33.6346,33.7312,2856259,BBT
2014-06-16,33.7049,33.7049,33.393,33.5643,2854275,BBT
2014-06-17,33.5204,34.0036,33.5204,33.8455,3299101,BBT
2014-06-18,33.8894,34.1706,33.784,34.153,3128017,BBT
2014-06-19,33.4764,34.1266,33.4764,34.1178,2346674,BBT
2014-06-20,34.2672,34.5044,34.2584,34.4342,5393368,BBT
2014-06-23,34.3287,34.5572,34.2496,34.4957,2940190,BBT
2014-06-24,34.3902,34.7065,34.3024,34.3287,3189528,BBT
2014-06-25,34.153,34.399,33.8674,34.3726,2942222,BBT
2014-06-26,34.3287,34.3463,33.9245,34.2848,3211755,BBT
2014-06-27,34.1969,34.5484,34.1881,34.522,3645040,BBT
2014-06-30,34.5308,34.6977,34.3902,34.645,3543841,BBT
2014-07-01,34.6977,35.1195,34.6275,34.9174,5162962,BBT
2014-07-02,34.8032,34.935,34.689,34.8383,4507854,BBT
2014-07-03,35.0053,35.3304,34.9526,35.1283,2609508,BBT
2014-07-07,35.2864,35.2864,34.9613,35.1283,3591772,BBT
2014-07-08,34.9965,35.0536,34.7443,34.7856,3199846,BBT
2014-07-09,34.8471,34.9613,34.7461,34.8559,2787611,BBT
2014-07-10,34.5484,34.8911,34.3902,34.7944,3562049,BBT
2014-07-11,34.6802,34.9438,34.4596,34.8735,2999231,BBT
