date,open,high,low,close,volume,Name
2014-01-24,64.8309,65.3223,64.2212,64.2212,3776555,COF
2014-01-27,64.203,64.385,63.4477,63.657,3277837,COF
2014-01-28,63.6752,64.7126,63.6388,64.4942,2293296,COF
2014-01-29,63.7753,64.5397,63.5023,63.5842,2906182,COF
2014-01-30,64.2576,64.8946,63.9618,64.5761,2205913,COF
2014-01-31,63.6479,64.6034,63.4477,64.2576,3228783,COF
2014-02-03,64.1757,64.2576,62.4193,62.6741,3857134,COF
2014-02-04,62.9016,63.3931,62.21,62.5376,3110966,COF
2014-02-05,62.4375,62.6468,61.755,62.483,2667868,COF
2014-02-06,62.7572,63.9637,62.6658,63.9089,2295893,COF
2014-02-07,64.0917,65.2799,64.0917,65.2616,3551485,COF
2014-02-10,65.2616,65.7825,64.8138,65.2342,2091919,COF
2014-02-11,65.1885,65.7004,64.9326,65.1337,3026193,COF
2014-02-12,65.2616,65.9012,65.152,65.4993,2378687,COF
2014-02-13,64.7224,66.194,64.7224,66.1482,2839791,COF
2014-02-14,65.9929,66.3034,65.8786,66.1757,1603532,COF
2014-02-18,66.4316,66.8155,66.0203,66.194,1850102,COF
2014-02-19,65.938,66.3493,64.8046,64.8503,2275328,COF
2014-02-20,64.7955,64.8869,64.1739,64.7498,2789352,COF
2014-02-21,64.7498,65.3897,64.5121,64.8686,2969861,COF
2014-02-24,64.8686,65.9015,64.8686,65.5633,2823375,COF
2014-02-25,65.6364,65.6821,64.6401,64.9326,3350677,COF
2014-02-26,65.0606,65.4627,64.7041,65.1977,2298712,COF
2014-02-27,65.2251,66.4773,65.0971,66.3768,2609420,COF
2014-02-28,66.5687,67.6975,66.5596,67.1171,2754212,COF
2014-03-03,66.4407,66.5504,65.7781,66.0294,2040133,COF
2014-03-04,66.7972,67.4462,66.395,67.3365,2572958,COF
2014-03-05,67.3182,68.1865,67.0074,67.9672,2438901,COF
2014-03-06,68.1043,68.7624,67.8758,68.5796,2879611,COF
2014-03-07,68.8538,69.3382,68.3054,68.5613,2486957,COF
2014-03-10,68.3328,68.8172,68.0768,68.6892,1939064,COF
2014-03-11,69.0274,69.0274,67.7844,67.9672,2075221,COF
2014-03-12,67.5193,67.9672,67.4005,67.8118,1936476,COF
