date,open,high,low,close,volume,Name
2014-01-24,73.3518,73.4359,72.0429,72.0523,1163093,COL
2014-01-27,72.0336,72.5478,71.3698,71.6129,990308,COL
2014-01-28,71.6316,71.7344,70.8463,71.3979,833936,COL
2014-01-29,70.5565,70.8276,70.0652,70.5097,1036309,COL
2014-01-30,71.0707,71.2296,70.6219,71.0239,693145,COL
2014-01-31,70.061,71.2483,69.8927,70.6406,940532,COL
2014-02-03,70.7434,71.0146,69.6777,69.7151,1822783,COL
2014-02-04,69.9207,70.1358,68.7241,69.9488,1332172,COL
2014-02-05,69.5094,70.1171,68.9578,70.0329,848946,COL
2014-02-06,71.0936,71.4691,70.399,71.4315,1138264,COL
2014-02-07,71.6099,72.4734,71.6099,72.4453,650852,COL
2014-02-10,72.2857,72.6987,71.9008,72.1074,953243,COL
2014-02-11,72.1167,72.6705,71.9102,72.2951,675242,COL
2014-02-12,72.5767,73.0836,72.464,72.802,807654,COL
2014-02-13,72.3232,73.0648,72.1261,73.0648,488654,COL
2014-02-14,72.9991,73.7125,72.7363,73.7031,723853,COL
2014-02-18,73.628,74.0973,73.3182,73.919,958428,COL
2014-02-19,73.9096,75.1768,73.7387,73.9659,1073030,COL
2014-02-20,74.0973,76.1999,74.0222,76.0122,1355882,COL
2014-02-21,76.0309,77.3263,76.0122,76.9414,1305111,COL
2014-02-24,76.6786,78.6592,76.566,77.7393,1236071,COL
2014-02-25,77.4201,77.8425,77.0259,77.3638,1086531,COL
2014-02-26,77.5046,77.9082,76.8851,76.9414,883657,COL
2014-02-27,77.223,77.4295,76.6223,77.4107,584650,COL
2014-02-28,77.5328,78.0678,76.9602,77.4764,611977,COL
2014-03-03,76.9884,77.9739,76.7631,77.6923,679965,COL
2014-03-04,78.1429,78.8093,77.9439,78.3494,912011,COL
2014-03-05,78.5934,78.9032,77.7205,77.9176,958601,COL
2014-03-06,78.0584,78.2274,77.0353,77.2981,919627,COL
2014-03-07,77.6923,77.8425,75.9464,77.1385,1422976,COL
2014-03-10,76.8194,76.8757,76.2187,76.688,599443,COL
2014-03-11,76.7537,76.8945,75.5405,75.7118,642203,COL
2014-03-12,75.4302,75.5241,74.8482,75.3457,1323866,COL
2014-03-13,75.5991,75.9652,74.4164,74.7637,703951,COL
2014-03-14,74.5854,75.449,74.5854,74.8107,662679,COL
2014-03-17,75.1204,75.8385,75.0266,75.7306,621851,COL
2014-03-18,75.8714,76.2187,75.7212,75.9746,477430,COL
2014-03-19,76.0309,76.397,74.5854,75.111,395511,COL
2014-03-20,75.111,75.3269,74.745,75.2518,452035,COL
2014-03-21,76.106,76.3125,75.3175,75.4771,1187060,COL
2014-03-24,75.6273,75.7681,74.8482,75.1298,616747,COL
2014-03-25,75.7775,76.0028,74.9139,75.3457,1064704,COL
2014-03-26,75.7493,75.8244,74.0879,74.1161,638030,COL
2014-03-27,74.1161,74.2569,73.4872,73.7125,592403,COL
2014-03-28,73.9002,74.5854,73.8251,74.163,385576,COL
2014-03-31,74.7262,74.9139,74.2006,74.7825,801967,COL
2014-04-01,74.9515,75.5522,74.5892,75.5241,427498,COL
2014-04-02,75.5991,75.9896,75.3833,75.8995,454610,COL
2014-04-03,76.0591,76.1811,75.4208,75.9277,364069,COL
2014-04-04,76.4017,76.4721,74.3977,74.5572,507190,COL
2014-04-07,74.4915,74.8201,73.168,73.3745,457094,COL
2014-04-08,73.3464,73.4121,71.9853,73.1586,422992,COL
2014-04-09,73.4966,74.1442,73.1887,74.0973,520090,COL
2014-04-10,73.872,74.0691,72.0792,72.0792,576711,COL
2014-04-11,71.8445,72.4547,71.4127,71.4127,726145,COL
2014-04-14,72.0229,72.342,71.3104,72.0792,589265,COL
2014-04-15,72.0041,72.7456,71.3564,72.6799,590282,COL
2014-04-16,73.1962,74.0785,72.6987,73.75,982984,COL
2014-04-17,73.5717,75.5898,73.3981,74.5948,1326582,COL
2014-04-21,74.7168,75.0453,73.9283,74.2756,578257,COL
2014-04-22,74.3601,74.698,73.4027,73.4309,770578,COL
2014-04-23,73.3933,73.9565,72.9803,73.4872,507651,COL
2014-04-24,73.6092,73.7406,72.2012,72.9897,534647,COL
