date,open,high,low,close,volume,Name
2014-01-24,13.1722,13.227,12.4145,12.6975,1269780,COTY
2014-01-27,12.6427,13.1037,12.3051,12.3963,1417228,COTY
2014-01-28,12.5697,12.7888,12.4027,12.6792,1122897,COTY
2014-01-29,12.5149,12.588,12.2274,12.2411,1052957,COTY
2014-01-30,12.2411,12.5423,12.2137,12.3232,628569,COTY
2014-01-31,12.2502,12.4784,12.1865,12.3141,803259,COTY
2014-02-03,12.2776,12.6245,11.9855,12.1316,1217788,COTY
2014-02-04,13.0535,13.1804,11.8303,12.2502,1906916,COTY
2014-02-05,12.2685,12.2685,11.7117,12.1954,1112124,COTY
2014-02-06,12.5241,12.5697,12.1589,12.3324,849798,COTY
2014-02-07,12.3506,12.4419,12.0403,12.095,542674,COTY
2014-02-10,12.0585,12.1954,12.0038,12.095,478073,COTY
2014-02-11,12.1224,12.1498,12.0129,12.095,620006,COTY
2014-02-12,12.0859,12.3232,11.9764,12.2502,557409,COTY
2014-02-13,12.2411,12.5697,12.1498,12.5241,665267,COTY
2014-02-14,12.8071,14.1489,12.8071,13.4552,2970144,COTY
2014-02-18,13.4552,13.5373,12.8709,12.9531,1338349,COTY
2014-02-19,12.8709,13.0353,12.7614,12.8801,643638,COTY
2014-02-20,13.2087,13.5921,12.9896,13.2817,1206879,COTY
2014-02-21,13.2726,13.5098,13.1357,13.2087,618286,COTY
2014-02-24,13.2361,13.6469,13.227,13.4095,1000258,COTY
2014-02-25,13.4734,13.729,13.446,13.5373,1135041,COTY
2014-02-26,13.5191,14.1307,13.4552,13.5099,4069397,COTY
2014-02-27,13.446,13.9207,13.3274,13.4278,962023,COTY
2014-02-28,13.4278,13.6925,13.3456,13.5556,772061,COTY
2014-03-03,13.5099,13.802,13.4734,13.6103,644332,COTY
2014-03-04,13.6742,13.9298,13.6561,13.7564,621499,COTY
2014-03-05,13.7838,13.939,13.583,13.7016,722697,COTY
2014-03-06,13.6925,13.8659,13.6377,13.7655,848996,COTY
2014-03-07,13.6925,14.4228,13.6742,14.2585,2312181,COTY
2014-03-10,14.2402,14.5323,13.9663,14.4684,1266185,COTY
2014-03-11,14.4045,14.4228,13.7929,13.8842,1291890,COTY
2014-03-12,13.8751,14.3132,13.802,14.1033,1567477,COTY
2014-03-13,14.1672,14.2271,13.7564,13.9024,771394,COTY
2014-03-14,13.6012,13.9207,13.446,13.6195,2607503,COTY
2014-03-17,13.7016,13.9116,13.5921,13.8385,758287,COTY
2014-03-18,13.8203,13.9298,13.7655,13.8842,1107706,COTY
2014-03-19,13.8385,13.9344,13.6651,13.7473,1350115,COTY
2014-03-20,13.6925,13.7838,13.6012,13.729,652482,COTY
2014-03-21,13.729,13.9116,13.6925,13.8477,1228961,COTY
2014-03-24,13.7016,13.9116,13.6834,13.7747,606195,COTY
2014-03-25,13.7838,13.8751,13.5921,13.7199,747458,COTY
2014-03-26,13.6925,13.7564,13.5099,13.6012,904026,COTY
2014-03-27,13.5464,13.6971,13.4825,13.6286,542881,COTY
2014-03-28,13.6469,13.7381,13.5921,13.6834,693871,COTY
2014-03-31,13.7108,13.7108,13.5647,13.6742,1327294,COTY
2014-04-01,13.6742,13.8385,13.5738,13.6925,1405931,COTY
2014-04-02,13.7016,13.7747,13.5556,13.6925,1917308,COTY
2014-04-03,13.7473,13.9024,13.6834,13.7929,1752154,COTY
2014-04-04,13.8203,13.9116,13.7838,13.8842,1867522,COTY
2014-04-07,13.8294,13.9116,13.8203,13.8659,1052944,COTY
2014-04-08,13.9116,14.0394,13.8751,13.939,954149,COTY
2014-04-09,13.9024,14.012,13.9024,13.9846,515508,COTY
2014-04-10,14.012,14.3132,13.9207,14.1763,594050,COTY
2014-04-11,14.158,14.2219,13.8385,14.0394,740249,COTY
2014-04-14,14.1398,14.368,14.0485,14.2311,968801,COTY
2014-04-15,14.368,14.4045,14.1489,14.2493,1233755,COTY
2014-04-16,14.3497,14.4045,14.1854,14.3771,822349,COTY
