date,open,high,low,close,volume,Name
2014-01-24,24.2475,24.3382,23.7488,23.7579,9396316,CSX
2014-01-27,23.6581,23.912,23.4722,23.7034,7424974,CSX
2014-01-28,23.7579,24.2112,23.7579,24.048,4908771,CSX
2014-01-29,23.7488,23.9211,23.5946,23.6944,7286100,CSX
2014-01-30,23.9483,24.3654,23.9211,24.2747,5531454,CSX
2014-01-31,23.9483,24.5377,23.8213,24.4017,7427129,CSX
2014-02-03,24.4198,24.5377,23.4314,23.5946,9549010,CSX
2014-02-04,23.649,24.0662,23.5765,23.8939,8696553,CSX
2014-02-05,23.8213,24.0843,23.7488,24.039,6735284,CSX
2014-02-06,24.1568,24.5468,24.1206,24.5105,5257862,CSX
2014-02-07,24.6465,24.8913,24.5016,24.71,5818990,CSX
2014-02-10,24.6556,24.6828,24.3926,24.5468,4643885,CSX
2014-02-11,24.6374,24.8823,24.6102,24.7644,4197797,CSX
2014-02-12,24.8279,24.982,24.6939,24.8369,4672947,CSX
2014-02-13,24.6556,24.8188,24.5196,24.8188,5536771,CSX
2014-02-14,24.7644,25.0183,24.7372,24.9639,5820329,CSX
2014-02-18,24.9548,24.973,24.6374,24.8551,4357411,CSX
2014-02-19,24.7463,25.0183,24.5377,24.5649,7564243,CSX
2014-02-20,24.6374,24.846,24.5377,24.8007,8479010,CSX
2014-02-21,24.8732,25.041,24.7644,24.7735,5603347,CSX
2014-02-24,24.7825,25.2541,24.7825,25.109,6525647,CSX
2014-02-25,25.0818,25.1316,24.71,24.7644,6721682,CSX
2014-02-26,24.8738,25.12,24.7507,24.81,5581125,CSX
2014-02-27,24.7553,25.0653,24.6914,25.0379,5116636,CSX
2014-02-28,25.0653,25.5029,25.0653,25.2659,6000145,CSX
2014-03-03,25.0926,25.3023,24.9376,25.1656,5742810,CSX
2014-03-04,25.4938,25.895,25.4756,25.8038,7274914,CSX
2014-03-05,25.9315,26.1321,25.8403,26.0227,6080622,CSX
2014-03-06,26.0865,26.3235,26.05,26.1959,5003617,CSX
2014-03-07,26.4603,26.5333,26.2369,26.3235,5385163,CSX
2014-03-10,26.3327,26.4147,26.0682,26.3418,5571497,CSX
2014-03-11,26.4238,26.4968,26.1503,26.2962,6129229,CSX
2014-03-12,26.1138,26.3418,25.9041,26.3418,10274015,CSX
2014-03-13,26.4421,26.6153,25.8038,25.9497,9000246,CSX
2014-03-14,26.0318,26.0499,25.7628,25.8768,5340835,CSX
2014-03-17,26.05,26.3099,25.9679,26.1047,3883198,CSX
2014-03-18,26.1594,26.2962,26.1211,26.205,3192027,CSX
2014-03-19,26.2415,26.3874,25.9224,26.0318,4981219,CSX
2014-03-20,25.9679,26.3053,25.9406,26.1047,4055315,CSX
2014-03-21,26.4056,26.5424,26.1868,26.2233,5600657,CSX
2014-03-24,26.3235,26.4877,25.9679,26.1594,5906841,CSX
2014-03-25,26.8524,26.8524,26.4238,26.5059,7333329,CSX
2014-03-26,26.6062,26.6427,26.123,26.123,5405371,CSX
2014-03-27,26.0956,26.1959,25.7491,25.7765,6112486,CSX
2014-03-28,25.8859,26.1594,25.8768,26.0591,3964343,CSX
2014-03-31,26.1959,26.515,26.123,26.4147,4411026,CSX
2014-04-01,26.5059,26.5971,26.3327,26.5515,4271919,CSX
2014-04-02,26.433,26.6883,26.433,26.6427,7395529,CSX
2014-04-03,26.4421,26.5606,26.1321,26.5241,6936782,CSX
2014-04-04,26.6883,26.6883,26.1913,26.2233,4519194,CSX
2014-04-07,26.0774,26.3509,25.7765,25.8859,4625662,CSX
2014-04-08,25.8221,26.0227,25.74,25.7674,6114484,CSX
2014-04-09,25.8403,26.0135,25.7947,25.9953,4226203,CSX
2014-04-10,25.9862,26.1777,25.4756,25.5029,6719576,CSX
2014-04-11,25.4026,25.7491,25.3388,25.5394,7988174,CSX
2014-04-14,25.7491,25.895,25.6215,25.8768,5689081,CSX
2014-04-15,25.7765,26.0227,25.4482,25.7947,14881226,CSX
2014-04-16,24.8464,25.3935,24.7461,25.3388,16488796,CSX
2014-04-17,25.3023,25.7582,25.202,25.6671,8658704,CSX
2014-04-21,25.7856,25.8312,25.5759,25.6944,4604532,CSX
2014-04-22,25.7126,25.9315,25.7035,25.7218,6345588,CSX
2014-04-23,25.7035,25.7947,25.5759,25.6762,4154604,CSX
2014-04-24,25.8129,26.0044,25.585,25.895,5304550,CSX
2014-04-25,25.8312,25.9452,25.4847,25.5576,4171123,CSX
2014-04-28,25.6762,25.7947,25.4026,25.6671,3821144,CSX
2014-04-29,25.7491,25.8403,25.6032,25.6853,3791002,CSX
2014-04-30,25.6762,25.856,25.5485,25.7309,6187206,CSX
2014-05-01,25.7035,25.8221,25.2659,25.4118,7058238,CSX
2014-05-02,25.3935,25.6306,25.3388,25.3753,5463701,CSX
2014-05-05,25.3023,25.5394,25.1472,25.5121,4537748,CSX
2014-05-06,25.3844,25.6397,25.3844,25.4665,6540714,CSX
2014-05-07,25.5394,25.6215,25.3802,25.585,4793514,CSX
2014-05-08,25.6123,25.9178,25.6123,25.8677,4920187,CSX
2014-05-09,25.8312,26.1594,25.7765,26.1594,7344386,CSX
2014-05-12,26.2141,26.5971,26.1503,26.5789,6472258,CSX
2014-05-13,26.6244,26.9515,26.6153,26.9253,5705741,CSX
2014-05-14,27.0165,27.0165,26.6609,26.7703,5027851,CSX
2014-05-15,26.7065,26.7156,26.2962,26.5059,6781637,CSX
2014-05-16,26.5606,26.6883,26.4512,26.6883,4639166,CSX
2014-05-19,26.6062,26.8159,26.588,26.6791,6200093,CSX
2014-05-20,26.67,26.7704,26.4421,26.6244,7771761,CSX
2014-05-21,26.7065,27.1013,26.67,27.0439,5373843,CSX
2014-05-22,27.0348,27.0803,26.8342,26.8524,4230949,CSX
2014-05-23,26.9166,27.1503,26.8341,26.9807,3565802,CSX
2014-05-27,27.0633,27.1549,26.8524,26.8799,4925622,CSX
2014-05-28,26.9349,27.2695,26.9349,27.1274,5756784,CSX
2014-05-29,27.2283,27.2741,26.9349,27.0633,4672619,CSX
2014-05-30,27.0357,27.1182,26.8616,26.9532,9641351,CSX
2014-06-02,27.0082,27.1458,26.9028,27.0908,3815301,CSX
