date,open,high,low,close,volume,Name
2014-01-24,47.1268,47.3173,46.5077,46.7537,2589714,CTXS
2014-01-27,46.9443,46.9522,46.0393,46.1505,3916297,CTXS
2014-01-28,46.3648,46.9681,46.2457,46.6188,3807062,CTXS
2014-01-29,46.4442,46.4442,45.5234,45.7218,4928894,CTXS
2014-01-30,40.9036,42.5705,40.6258,42.3006,18145012,CTXS
2014-01-31,43.4675,43.8088,42.8404,42.9198,6384075,CTXS
2014-02-03,42.9833,43.2294,41.2925,41.8482,5412892,CTXS
2014-02-04,41.872,42.638,41.7609,42.5626,5320764,CTXS
2014-02-05,42.6499,43.0151,42.0942,42.8404,3695139,CTXS
2014-02-06,42.9833,43.5231,42.6658,43.0468,3065731,CTXS
2014-02-07,43.0706,44.0152,42.5705,43.8803,3860120,CTXS
2014-02-10,43.7056,44.3327,43.6739,43.9834,2288669,CTXS
2014-02-11,43.9596,44.7693,43.912,44.4915,2866704,CTXS
2014-02-12,44.5312,45.0312,44.3724,44.6502,3573262,CTXS
2014-02-13,44.6185,46.1346,44.0787,45.7536,6703555,CTXS
2014-02-14,44.9122,45.7456,44.8487,45.3567,5262483,CTXS
2014-02-18,45.4361,45.6655,45.1741,45.6266,2466556,CTXS
2014-02-19,45.4202,45.8885,45.3329,45.4361,1780555,CTXS
2014-02-20,45.4916,48.3889,44.9439,48.0952,8388930,CTXS
2014-02-21,48.4286,48.5079,47.0316,47.4682,3811297,CTXS
2014-02-24,47.3729,48.0397,47.2141,47.3173,1890757,CTXS
2014-02-25,47.6269,47.8412,47.0078,47.8254,2055004,CTXS
2014-02-26,47.865,48.4921,47.6269,48.254,2337012,CTXS
2014-02-27,48.2619,48.4763,47.8492,48.3572,1471711,CTXS
2014-02-28,48.2619,48.2619,47.2776,47.6666,2445223,CTXS
2014-03-03,47.0713,47.6825,46.9681,47.484,1995801,CTXS
2014-03-04,47.8095,48.4286,47.8055,48.2461,2029336,CTXS
2014-03-05,48.2619,49.8098,47.9444,49.659,4050152,CTXS
2014-03-06,49.659,49.8098,48.4128,48.5239,3394349,CTXS
2014-03-07,48.5477,49.151,48.0238,48.4128,1795142,CTXS
2014-03-10,48.4842,48.5794,47.6825,48.2222,1808850,CTXS
2014-03-11,48.1905,48.6747,47.746,47.8889,1501009,CTXS
2014-03-12,47.7301,48.1667,47.2935,48.1429,1305756,CTXS
2014-03-13,48.3254,48.6033,47.2538,47.6428,1915675,CTXS
2014-03-14,47.3094,47.8492,46.5394,47.4682,2722836,CTXS
2014-03-17,47.6904,48.5001,47.6864,48.254,2208192,CTXS
2014-03-18,48.127,48.8493,48.0555,48.6588,1638294,CTXS
2014-03-19,48.5715,49.4605,48.2461,49.0954,2489399,CTXS
2014-03-20,48.9605,49.6193,48.9366,49.5082,1942675,CTXS
2014-03-21,49.9447,49.9447,48.5239,49.2303,3184156,CTXS
2014-03-24,49.4605,49.5082,47.9365,48.5318,1858283,CTXS
2014-03-25,48.7858,49.1589,48.127,48.3413,1596770,CTXS
2014-03-26,48.4921,48.9684,45.1741,46.1663,8011504,CTXS
2014-03-27,46.0235,46.5394,45.3805,46.2219,3873529,CTXS
2014-03-28,46.206,46.6426,45.4996,45.6186,2748744,CTXS
2014-03-31,45.6663,46.0036,45.1265,45.5948,3822734,CTXS
2014-04-01,45.7853,46.468,45.5393,46.4204,1575897,CTXS
2014-04-02,46.4283,47.1268,46.4124,46.6109,1546840,CTXS
2014-04-03,46.6029,46.8331,45.0233,45.2932,2862625,CTXS
2014-04-04,45.5154,45.5154,44.2375,44.8725,3888832,CTXS
2014-04-07,44.5867,44.801,43.7255,43.7533,3347550,CTXS
2014-04-08,43.7056,44.928,43.7056,44.7693,2994327,CTXS
2014-04-09,43.8882,45.575,43.8882,45.2852,3315793,CTXS
2014-04-10,45.317,45.3646,43.7929,43.8406,3810704,CTXS
2014-04-11,43.7215,43.785,43.1341,43.3087,2176920,CTXS
2014-04-14,43.6739,43.9517,43.1738,43.404,2572293,CTXS
2014-04-15,43.4913,43.8803,42.7531,43.7374,2316282,CTXS
2014-04-16,44.1025,44.6423,43.7453,44.3803,2032268,CTXS
2014-04-17,44.166,44.674,43.7374,44.4518,1368267,CTXS
2014-04-21,44.4835,44.9519,44.3406,44.8963,1519695,CTXS
2014-04-22,44.7137,46.214,44.6343,45.6901,2402675,CTXS
2014-04-23,45.4361,45.5012,44.3764,44.4438,4263687,CTXS
2014-04-24,47.7618,49.4129,47.1983,47.6269,8444372,CTXS
2014-04-25,47.9365,48.3411,46.8649,47.1665,9240811,CTXS
2014-04-28,47.2697,47.5872,45.9679,46.6585,3925558,CTXS
2014-04-29,46.9046,46.9204,46.0076,46.333,4043302,CTXS
2014-04-30,46.2854,47.1189,45.8568,47.0792,2333005,CTXS
2014-05-01,47.7539,47.8333,46.9363,47.0236,2705851,CTXS
2014-05-02,47.1665,47.1665,46.3092,46.8331,2980507,CTXS
2014-05-05,46.6982,47.1109,46.5235,47.0395,2663832,CTXS
2014-05-06,47.1348,47.9127,46.9204,46.9204,3508069,CTXS
2014-05-07,46.9601,47.8095,46.595,47.7301,4449034,CTXS
2014-05-08,47.5793,48.6668,47.3808,47.7063,2596654,CTXS
2014-05-09,47.6269,47.8889,47.0474,47.5793,2394287,CTXS
2014-05-12,47.7777,48.6191,47.5396,48.4524,2647658,CTXS
2014-05-13,48.4286,48.5159,47.8174,47.9206,2777252,CTXS
2014-05-14,47.6983,48.2619,47.611,47.7777,2216690,CTXS
2014-05-15,48.0635,48.4207,47.0474,48.2778,4862998,CTXS
2014-05-16,48.4207,48.4207,47.4682,48.0,6823801,CTXS
2014-05-19,47.8968,48.635,47.7658,48.4048,2185065,CTXS
2014-05-20,48.4604,48.6588,47.9206,48.4048,1779963,CTXS
2014-05-21,48.4048,49.0716,48.4048,48.6509,1586404,CTXS
2014-05-22,48.6271,48.9525,48.2699,48.7541,1666490,CTXS
2014-05-23,48.77,48.8731,48.3731,48.77,1409754,CTXS
2014-05-27,48.9684,49.016,48.3016,48.5159,3929953,CTXS
2014-05-28,48.5636,48.6112,47.8968,48.3096,4911972,CTXS
2014-05-29,48.381,49.1351,48.2143,48.9446,3978814,CTXS
2014-05-30,49.0875,49.5637,48.8573,49.1907,5955699,CTXS
2014-06-02,49.2145,49.2145,48.4286,48.7382,2012615,CTXS
2014-06-03,48.6271,48.7858,48.0635,48.2937,2642192,CTXS
2014-06-04,48.1667,48.2761,47.865,48.0635,2053216,CTXS
2014-06-05,48.1111,48.7303,47.865,48.5794,2471214,CTXS
2014-06-06,48.7938,49.3335,48.6112,49.2621,1723439,CTXS
2014-06-09,49.151,50.0718,49.151,49.8177,2880094,CTXS
2014-06-10,49.8654,51.2069,49.7304,50.9211,5679374,CTXS
2014-06-11,50.7147,51.3101,50.4766,51.2704,2351753,CTXS
2014-06-12,50.9767,51.1513,50.4051,50.5163,3466358,CTXS
2014-06-13,50.5163,50.679,50.1194,50.5401,2828510,CTXS
2014-06-16,50.4369,51.064,50.1829,50.9608,2219580,CTXS
2014-06-17,50.8735,51.5641,50.6909,51.4053,2695804,CTXS
2014-06-18,51.3577,51.7863,51.0005,51.7228,3328472,CTXS
2014-06-19,51.8895,52.1673,51.2664,51.5641,2921245,CTXS
2014-06-20,51.6831,51.8339,51.322,51.5403,4772426,CTXS
2014-06-23,51.4371,51.7863,51.1195,51.6434,2109525,CTXS
2014-06-24,51.6514,51.7308,50.937,51.064,2412544,CTXS
2014-06-25,51.1513,51.4529,50.937,51.2783,1842319,CTXS
2014-06-26,51.3577,51.5006,50.556,51.0878,1882429,CTXS
2014-06-27,50.8417,51.1354,50.302,50.9608,2833599,CTXS
2014-06-30,50.7623,50.8814,49.5717,49.651,4943008,CTXS
