date,open,high,low,close,volume,Name
2014-01-24,96.5261,96.7472,95.2076,95.2322,7131317,CVX
2014-01-27,95.2035,96.0184,94.8964,95.3468,6180141,CVX
2014-01-28,95.5843,95.8382,95.052,95.6826,4306359,CVX
2014-01-29,95.1094,95.7235,94.7572,94.9947,5524394,CVX
2014-01-30,95.2486,95.7809,94.3232,95.3632,5539663,CVX
2014-01-31,93.275,93.275,90.9902,91.416,15531717,CVX
2014-02-03,92.0057,92.0957,90.5234,91.0148,11280034,CVX
2014-02-04,91.6044,91.7518,90.4825,90.7609,9718823,CVX
2014-02-05,90.9001,90.9001,89.4834,89.6881,10571392,CVX
2014-02-06,90.1713,91.1867,90.0075,91.1212,7989804,CVX
2014-02-07,91.6453,91.8173,90.4006,91.76,7109393,CVX
2014-02-10,92.1039,92.1039,90.9656,91.4652,9251748,CVX
2014-02-11,91.7436,93.2504,91.6781,93.0129,6880829,CVX
2014-02-12,93.269,93.269,92.3767,92.5585,6436077,CVX
2014-02-13,92.3106,93.1451,91.8562,92.9551,5064114,CVX
2014-02-14,93.0129,94.0456,92.195,93.7565,6787514,CVX
2014-02-18,94.0704,94.277,93.0294,93.1203,6111613,CVX
2014-02-19,92.9881,95.0536,92.922,93.8556,7993616,CVX
2014-02-20,93.7812,95.2849,93.4425,94.6818,8408726,CVX
2014-02-21,94.7809,94.7975,93.0294,93.0955,9222025,CVX
2014-02-24,93.6656,95.0123,93.4012,94.31,7348553,CVX
2014-02-25,94.4918,95.3717,94.3844,94.9875,5976339,CVX
2014-02-26,94.8636,95.7228,94.5166,95.4336,6114023,CVX
2014-02-27,95.5576,95.6898,94.6488,95.5823,4923905,CVX
2014-02-28,95.7311,96.4499,94.8553,95.2849,6947143,CVX
2014-03-03,94.8388,95.9954,94.4009,94.8801,6046576,CVX
2014-03-04,95.7476,96.0615,95.2271,95.2767,5612688,CVX
2014-03-05,95.0784,95.2271,94.1943,94.5413,6704008,CVX
2014-03-06,94.7727,95.1362,94.4753,94.8883,5179876,CVX
2014-03-07,95.0701,95.7972,94.7148,95.0784,5055612,CVX
2014-03-10,95.3841,95.7889,94.2852,95.7063,6203531,CVX
2014-03-11,95.7558,96.0285,94.3844,94.6074,6274518,CVX
2014-03-12,94.3017,96.1359,94.2935,95.5493,6821466,CVX
2014-03-13,95.508,95.6319,94.2852,94.5579,5405112,CVX
2014-03-14,94.4835,94.9297,93.9217,94.2687,6290005,CVX
2014-03-17,94.4009,95.2519,94.2935,95.0701,5895674,CVX
2014-03-18,95.5245,96.297,95.1775,96.0368,6329618,CVX
2014-03-19,95.7393,96.4499,94.7314,95.1775,5569641,CVX
2014-03-20,94.8883,95.9046,94.451,95.4336,5280578,CVX
2014-03-21,96.0781,97.4909,95.4915,95.5328,14894127,CVX
2014-03-24,95.8385,96.4085,95.5526,95.7145,5386996,CVX
2014-03-25,96.0285,96.8216,96.012,96.739,5573789,CVX
2014-03-26,97.3256,97.7222,96.9621,97.2513,5972009,CVX
2014-03-27,97.2843,97.4826,96.5242,97.2182,5224576,CVX
2014-03-28,97.5983,97.9453,97.243,97.904,5875099,CVX
2014-03-31,98.1436,98.8293,97.8916,98.2427,5482812,CVX
2014-04-01,98.441,98.8209,98.1849,98.3171,5391435,CVX
2014-04-02,97.9205,98.7632,97.9205,98.6062,4505159,CVX
2014-04-03,98.9615,98.9697,98.222,98.3501,4448768,CVX
2014-04-04,98.9367,98.9367,97.9783,98.1518,5301335,CVX
2014-04-07,97.7552,98.1683,96.9456,96.9456,5241259,CVX
2014-04-08,97.21,97.747,96.8117,97.3256,4711840,CVX
2014-04-09,97.3504,98.5236,97.1521,98.3997,5377587,CVX
2014-04-10,96.8298,97.5404,96.2929,96.4085,8769453,CVX
2014-04-11,96.2516,97.2678,96.2516,96.6894,7028942,CVX
2014-04-14,97.3587,98.1766,96.9456,98.0692,6819190,CVX
2014-04-15,98.0775,99.3994,97.7718,99.3911,7681867,CVX
2014-04-16,99.8868,100.8906,99.8868,100.6552,7277495,CVX
2014-04-17,100.5643,102.3241,100.5643,102.1836,8604891,CVX
2014-04-21,101.6631,102.7785,101.6631,102.6463,6351118,CVX
2014-04-22,102.3406,102.7367,102.1258,102.448,5851778,CVX
2014-04-23,102.605,103.2412,102.605,103.0181,5596357,CVX
2014-04-24,103.142,103.2081,102.5637,102.6959,5185910,CVX
2014-04-25,102.638,103.0264,102.1011,102.4398,5778653,CVX
2014-04-28,102.6628,104.15,102.6546,103.8773,7687848,CVX
2014-04-29,104.0343,105.1497,103.9021,104.0756,6666828,CVX
2014-04-30,103.9021,104.0839,103.5303,103.7038,6129242,CVX
2014-05-01,103.8195,103.9021,102.6794,103.2246,6380335,CVX
2014-05-02,102.3654,103.9352,102.101,103.0429,5406091,CVX
2014-05-05,103.1255,103.9765,102.7289,103.5716,4224353,CVX
2014-05-06,103.2742,103.8443,102.8776,103.2494,5600010,CVX
2014-05-07,104.0591,104.7448,103.803,104.2904,5436267,CVX
2014-05-08,103.8525,104.2078,103.1668,103.3486,5010009,CVX
2014-05-09,103.5964,104.1582,102.9727,103.299,4826142,CVX
2014-05-12,103.7451,103.7451,102.9685,103.4725,4914743,CVX
2014-05-13,103.7451,104.0921,103.2494,103.9765,4415213,CVX
2014-05-14,104.2161,104.7448,103.9021,104.4474,4961548,CVX
2014-05-15,104.2974,104.5724,102.9476,103.1642,5942941,CVX
2014-05-16,103.2892,103.6142,102.3976,102.6393,6435090,CVX
2014-05-19,102.4476,102.8393,102.3643,102.4476,4045979,CVX
2014-05-20,102.4476,102.5726,101.856,102.0727,4044716,CVX
2014-05-21,102.4893,103.6225,102.4393,103.4559,4758794,CVX
2014-05-22,103.4059,103.6642,102.9559,103.0142,3262734,CVX
2014-05-23,103.4059,103.6225,102.7643,102.7976,3811307,CVX
2014-05-27,103.1226,103.3142,102.281,102.356,4287468,CVX
2014-05-28,102.406,102.7476,102.0893,102.0893,4705743,CVX
2014-05-29,102.3976,102.406,101.3644,101.9227,6255073,CVX
2014-05-30,101.856,102.3893,101.6644,102.3143,5166981,CVX
2014-06-02,102.431,102.5226,101.6644,101.831,3689833,CVX
2014-06-03,101.981,102.3393,101.4227,102.1143,3563774,CVX
2014-06-04,101.9227,102.2227,101.656,101.9477,3285543,CVX
2014-06-05,102.0977,103.1392,102.0393,102.9226,4225026,CVX
2014-06-06,103.0726,103.9058,102.9392,103.4809,4295422,CVX
2014-06-09,103.3309,103.8583,103.2226,103.6308,3660777,CVX
2014-06-10,104.1391,104.4641,103.4475,104.4391,5877350,CVX
2014-06-11,104.2641,104.5474,103.8392,104.3058,4570851,CVX
2014-06-12,104.7641,105.1807,104.5058,105.0807,6815809,CVX
2014-06-13,104.939,106.0389,104.9057,106.0389,5578790,CVX
2014-06-16,105.9473,107.3263,105.9389,107.1055,7074254,CVX
2014-06-17,106.5722,107.5261,106.2972,107.3471,6721037,CVX
2014-06-18,107.4554,108.7386,106.9555,108.5553,7703901,CVX
2014-06-19,108.5637,109.9885,108.247,109.9802,7425763,CVX
2014-06-20,109.9468,110.3218,109.0553,110.2718,11350979,CVX
