date,open,high,low,close,volume,Name
2014-01-24,47.6428,47.757,46.7195,46.9574,59204796,C
2014-01-27,46.7385,47.2716,46.0341,46.4625,39704016,C
2014-01-28,46.9194,47.462,46.9194,47.2145,24815511,C
2014-01-29,46.5672,46.986,45.4058,45.7676,54085368,C
2014-01-30,46.1389,46.3674,45.4915,45.9866,39952062,C
2014-01-31,45.2344,45.8913,45.0249,45.1582,33437552,C
2014-02-03,45.5486,45.5676,43.9776,44.1204,42995248,C
2014-02-04,44.7488,45.2249,44.4441,44.5394,31320159,C
2014-02-05,44.5203,45.1011,44.0919,44.8059,32540249,C
2014-02-06,45.1297,45.958,45.0059,45.9389,33920886,C
2014-02-07,46.7387,47.0243,46.196,46.9767,37935595,C
2014-02-10,47.1767,47.3481,46.4912,46.9577,19640119,C
2014-02-11,46.8815,47.4718,46.6149,47.2814,22992647,C
2014-02-12,47.3957,47.7432,47.2719,47.567,23627925,C
2014-02-13,46.7197,47.5385,46.7006,47.4718,20656743,C
2014-02-14,47.1957,47.4337,47.0434,47.1481,18867147,C
2014-02-18,47.1672,47.5152,46.991,47.0148,16223227,C
2014-02-19,46.6625,46.9482,45.8818,45.8818,30305903,C
2014-02-20,46.1579,46.2103,45.5914,45.8247,25242451,C
2014-02-21,45.9104,46.177,45.7961,45.9485,26883446,C
2014-02-24,46.0151,47.1129,45.9961,46.634,23880484,C
2014-02-25,46.5959,46.7101,45.9866,46.0818,20509553,C
2014-02-26,46.1103,46.2817,45.3962,46.0056,28825528,C
2014-02-27,45.7866,46.3579,45.6628,46.3579,18602465,C
2014-02-28,45.958,46.9291,45.8057,46.3007,31735422,C
2014-03-03,45.5105,45.9389,45.2725,45.3296,28678018,C
2014-03-04,46.0151,46.6149,45.8342,46.4912,23956058,C
2014-03-05,46.6911,47.529,46.6148,47.0529,23628360,C
2014-03-06,47.5099,47.786,47.3005,47.329,26975414,C
2014-03-07,47.8051,47.9955,47.0053,47.2433,25784426,C
2014-03-10,46.8054,47.2338,46.7292,47.1957,15398387,C
2014-03-11,47.3957,47.4337,46.0818,46.1103,33264192,C
2014-03-12,45.8152,45.8342,45.4725,45.6819,25861551,C
2014-03-13,45.8628,45.9818,44.8155,45.063,38925373,C
2014-03-14,45.1011,45.5295,44.5489,44.6346,26135925,C
2014-03-17,45.1963,45.5105,45.044,45.4439,18929683,C
2014-03-18,45.4629,45.8342,45.2249,45.8342,19517186,C
2014-03-19,45.9104,47.1482,45.72,46.5959,30308826,C
