date,open,high,low,close,volume,Name
2014-01-24,77.4595,77.6686,75.5583,75.7852,4671508,DE
2014-01-27,76.8394,76.8926,75.8118,76.1927,3365654,DE
2014-01-28,76.2725,77.0166,76.1927,76.7065,2097842,DE
2014-01-29,76.0599,76.7774,75.8384,76.1219,2402953,DE
2014-01-30,76.4762,76.8926,75.5638,76.6977,1997626,DE
2014-01-31,75.9358,76.8837,75.8384,76.1484,3384926,DE
2014-02-03,75.9979,76.4762,74.9437,75.1031,3381862,DE
2014-02-04,75.0234,75.6612,74.2084,75.3955,3013792,DE
2014-02-05,74.8817,75.2183,73.8895,75.0323,3157538,DE
2014-02-06,75.2537,76.1396,75.0323,75.6789,3198543,DE
2014-02-07,75.9713,76.9634,75.9536,76.68,2096201,DE
2014-02-10,76.7818,77.6367,76.7243,77.3886,3843974,DE
2014-02-11,77.4595,78.0088,77.1406,77.4772,3679513,DE
2014-02-12,76.999,77.9113,76.2282,76.9812,5472517,DE
2014-02-13,76.2282,76.4231,75.4486,76.051,4417709,DE
2014-02-14,75.7144,76.3345,75.5461,76.0421,2717644,DE
2014-02-18,76.175,76.2548,75.0411,75.3866,3450375,DE
2014-02-19,74.9348,75.7321,74.5893,74.6691,2876279,DE
2014-02-20,75.112,75.5992,74.6691,75.4043,3241526,DE
2014-02-21,75.4398,75.6878,75.0145,75.0234,2226760,DE
2014-02-24,75.2449,75.6081,75.0411,75.1209,2659284,DE
2014-02-25,75.1031,75.1829,74.4122,74.4565,3002562,DE
2014-02-26,74.6071,74.9968,74.3679,74.7222,1884924,DE
2014-02-27,74.7399,75.5549,74.5628,75.2714,2712074,DE
2014-02-28,74.9703,76.8215,74.9082,76.1219,3316793,DE
2014-03-03,75.8561,77.4772,75.5638,77.0343,5401004,DE
2014-03-04,77.4418,77.4595,76.4142,76.742,3301256,DE
2014-03-05,76.6268,77.2558,76.1042,76.9989,2267629,DE
2014-03-06,77.2115,78.3188,77.0432,78.1594,3797768,DE
2014-03-07,78.6377,79.0541,78.2656,78.6643,2844391,DE
2014-03-10,78.4251,78.4694,77.5658,78.4162,2499642,DE
