date,open,high,low,close,volume,Name
2014-01-24,12.2382,12.3036,12.0585,12.1238,3102338,DRE
2014-01-27,12.1238,12.2055,11.8297,11.8706,4144512,DRE
2014-01-28,11.9032,12.1067,11.9032,12.0176,3392459,DRE
2014-01-29,11.9441,12.0176,11.8787,11.9523,2155415,DRE
2014-01-30,12.3444,12.6875,12.2954,12.5813,3983601,DRE
2014-01-31,12.5813,12.949,12.4016,12.8346,3274571,DRE
2014-02-03,12.7856,12.8019,12.4179,12.4506,4064601,DRE
2014-02-04,13.2022,13.2022,12.712,12.8101,4525640,DRE
2014-02-05,12.8182,12.8264,12.6957,12.7856,1609960,DRE
2014-02-06,12.7937,13.0552,12.7284,13.0143,1895554,DRE
2014-02-07,13.0307,13.1532,12.9408,13.047,1759369,DRE
2014-02-10,13.0143,13.2186,12.9081,13.1859,2018311,DRE
2014-02-11,13.2186,13.3901,13.096,13.2921,2104923,DRE
2014-02-12,13.3581,13.3953,13.1773,13.3003,2392819,DRE
2014-02-13,13.2095,13.4407,13.2013,13.3251,1779013,DRE
2014-02-14,13.2508,13.482,13.2508,13.4324,1273635,DRE
2014-02-18,13.4737,13.5398,13.2756,13.5315,2573308,DRE
2014-02-19,13.4737,13.7792,13.4572,13.6223,2145187,DRE
2014-02-20,13.6141,13.7544,13.5233,13.6141,1327680,DRE
2014-02-21,13.6306,13.7503,13.482,13.6801,1602189,DRE
2014-02-24,13.6884,13.837,13.6636,13.6884,2300701,DRE
2014-02-25,13.7049,13.7709,13.6223,13.6554,2207810,DRE
2014-02-26,13.7049,13.7379,13.5563,13.5645,2395246,DRE
2014-02-27,13.5398,13.7255,13.4985,13.5976,3369837,DRE
2014-02-28,13.6223,13.9691,13.6058,13.87,3476010,DRE
2014-03-03,13.7131,13.8618,13.5852,13.8535,1999181,DRE
2014-03-04,14.0021,14.0599,13.8618,13.9278,2188138,DRE
2014-03-05,13.9361,13.9773,13.7875,13.9361,1429073,DRE
2014-03-06,13.9526,13.9691,13.7751,13.8618,1375497,DRE
2014-03-07,13.8205,13.837,13.548,13.6554,1668121,DRE
2014-03-10,13.6388,13.6884,13.5315,13.6141,1855959,DRE
2014-03-11,13.6471,13.8535,13.6141,13.7627,1561600,DRE
2014-03-12,13.7131,13.8535,13.6884,13.7875,2267821,DRE
2014-03-13,13.7957,13.7957,13.6471,13.6884,1721257,DRE
2014-03-14,13.6554,13.8287,13.6471,13.7049,2035072,DRE
2014-03-17,13.7709,13.8452,13.6801,13.7131,1193320,DRE
2014-03-18,13.7297,13.8287,13.6636,13.804,1583304,DRE
2014-03-19,13.8205,13.87,13.4572,13.4902,1577114,DRE
2014-03-20,13.4324,13.482,13.3169,13.4572,1649359,DRE
2014-03-21,13.4902,13.7049,13.4572,13.6223,2888987,DRE
2014-03-24,13.6801,13.7214,13.3994,13.5645,1955220,DRE
2014-03-25,13.6388,13.7709,13.4737,13.6884,1997253,DRE
2014-03-26,13.7297,13.7297,13.4242,13.4324,1800428,DRE
2014-03-27,13.4572,13.6306,13.3664,13.6306,1419846,DRE
2014-03-28,13.6471,13.8205,13.6471,13.7462,1474315,DRE
2014-03-31,13.7957,13.9773,13.6388,13.9361,2055098,DRE
2014-04-01,13.9443,13.9443,13.7214,13.9278,2590644,DRE
2014-04-02,13.903,13.9113,13.7792,13.8865,1976319,DRE
2014-04-03,14.0269,14.0269,13.7875,13.8948,2246028,DRE
2014-04-04,14.0186,14.0847,13.8535,13.9691,1985123,DRE
2014-04-07,13.9691,14.1259,13.9608,13.9773,2376964,DRE
2014-04-08,13.9278,14.1425,13.8783,14.1342,2396171,DRE
2014-04-09,14.1507,14.1631,13.9897,14.1342,2022746,DRE
2014-04-10,14.1177,14.3406,13.965,14.0351,3065243,DRE
2014-04-11,13.9939,14.0929,13.7792,13.7875,2122519,DRE
