date,open,high,low,close,volume,Name
2014-01-24,54.4331,55.0344,54.2437,54.3013,2475718,D
2014-01-27,54.326,54.9767,54.2354,54.7049,2171743,D
2014-01-28,54.7049,54.8861,54.4084,54.5731,2380455,D
2014-01-29,54.4249,54.7378,54.2519,54.5896,2646219,D
2014-01-30,54.7296,55.3226,54.6267,55.2238,2184335,D
2014-01-31,54.046,56.3769,53.6012,55.9321,4436940,D
2014-02-03,55.8744,56.7145,55.1167,55.2814,3096271,D
2014-02-04,55.2897,55.4722,54.1613,54.2354,3507338,D
2014-02-05,54.0295,54.2313,53.5856,54.1119,2684091,D
2014-02-06,54.0707,54.4413,53.626,54.3013,1734952,D
2014-02-07,54.4249,55.1661,54.3178,55.1249,2147644,D
2014-02-10,55.405,56.4757,55.1249,56.4098,3972415,D
2014-02-11,56.5745,57.3158,56.3027,56.9452,3114006,D
2014-02-12,56.8298,57.2581,56.6322,57.1263,1846598,D
2014-02-13,56.8793,58.2712,56.8298,58.2218,2736155,D
2014-02-14,58.057,58.6179,57.7358,58.5677,2383064,D
2014-02-18,58.6006,58.7323,58.2135,58.3618,2094941,D
2014-02-19,58.3288,59.0783,58.0406,58.1806,2125137,D
2014-02-20,58.2547,59.0783,58.1579,58.8889,2031970,D
2014-02-21,58.9713,59.3584,58.7406,58.7983,1549200,D
2014-02-24,58.8065,59.4819,58.6995,58.7159,1514408,D
2014-02-25,58.7983,59.2678,58.5677,58.6912,1894751,D
2014-02-26,58.9321,58.9903,57.8108,57.9437,2633920,D
2014-02-27,57.9437,58.251,57.5201,57.7942,1652573,D
2014-02-28,57.7028,57.9852,57.3872,57.6447,4112456,D
2014-03-03,57.2875,57.6862,56.8057,56.9719,2861747,D
2014-03-04,57.5616,57.7457,57.192,57.5533,2891654,D
2014-03-05,57.5284,57.5616,56.7725,56.9137,2721251,D
2014-03-06,57.1048,57.2294,56.3074,56.4569,2294647,D
2014-03-07,56.3904,56.9013,56.1412,56.8473,3006848,D
2014-03-10,56.7393,57.03,56.4569,56.7725,2016924,D
2014-03-11,56.839,56.839,56.2741,56.5233,2222988,D
2014-03-12,56.4901,57.3207,56.3572,57.2958,2711219,D
2014-03-13,57.3456,57.8772,57.1961,57.7277,3369841,D
2014-03-14,57.6613,58.2178,57.4204,58.0517,4787478,D
2014-03-17,58.3341,58.6829,57.8772,58.6414,3800674,D
2014-03-18,58.6414,58.8657,58.3133,58.5583,2411051,D
2014-03-19,58.6746,59.1647,57.628,58.0018,3163460,D
2014-03-20,58.2095,58.2095,57.2875,57.952,2537618,D
2014-03-21,58.8241,58.9404,58.0849,58.1929,4528681,D
2014-03-24,58.1763,58.467,57.6862,57.952,2236149,D
2014-03-25,58.1015,58.3175,57.7443,58.2012,1658345,D
2014-03-26,58.251,58.9487,58.1181,58.4421,2189541,D
2014-03-27,58.4919,58.9903,58.2095,58.9321,1823557,D
2014-03-28,58.8241,59.0816,58.6414,59.0484,1866519,D
2014-03-31,59.2062,59.4056,58.3424,58.9653,2850459,D
2014-04-01,58.8491,59.1085,58.1763,58.4753,2418527,D
2014-04-02,58.4753,58.7411,58.0517,58.3756,1817837,D
2014-04-03,58.5334,58.6165,57.8606,57.952,2319919,D
2014-04-04,58.143,58.7452,57.7693,57.8274,2602539,D
2014-04-07,57.8274,58.0766,57.4619,57.4702,2503831,D
2014-04-08,57.5616,58.6871,57.1339,58.5417,3601111,D
2014-04-09,58.4919,58.5833,57.6031,58.3922,2687705,D
2014-04-10,58.2925,58.6829,57.5118,57.7942,3408868,D
2014-04-11,57.7526,58.0849,57.5118,57.6613,2285426,D
2014-04-14,57.9188,58.5749,57.6447,58.3341,1865544,D
2014-04-15,58.3258,58.6331,57.952,58.6165,2149432,D
2014-04-16,58.8075,59.4139,58.5749,59.4139,1799309,D
2014-04-17,59.1647,59.5468,58.6746,58.6995,1831158,D
2014-04-21,58.874,59.2561,58.4537,58.7494,1235393,D
2014-04-22,58.8241,59.0152,58.4753,58.8657,1603008,D
2014-04-23,58.7992,59.4388,58.7411,59.0235,1733054,D
2014-04-24,59.065,59.6132,58.6497,59.4056,1489895,D
2014-04-25,59.4056,60.1199,59.3806,60.0784,1689219,D
2014-04-28,60.0784,60.502,59.7337,60.4189,1864620,D
2014-04-29,60.394,60.477,59.9039,60.1863,2323830,D
2014-04-30,60.5518,61.2578,59.9546,60.2528,2745272,D
2014-05-01,60.286,60.6349,59.6298,60.203,1572129,D
2014-05-02,59.9122,60.0019,58.5334,58.8574,1906793,D
2014-05-05,58.7328,59.1896,58.6414,59.1065,1621818,D
2014-05-06,58.9404,59.1065,58.5417,58.6746,1895174,D
2014-05-07,59.065,60.0036,58.9819,59.9787,1942707,D
2014-05-08,59.8707,60.1199,58.8657,59.0401,1425304,D
2014-05-09,59.0484,59.2145,57.9354,58.0267,1664815,D
2014-05-12,58.1846,58.2012,57.5616,57.5865,1901157,D
2014-05-13,57.7443,58.1347,57.5533,57.9769,2003836,D
2014-05-14,58.0766,58.9653,58.0766,58.6165,2071201,D
2014-05-15,58.6663,58.7743,58.1181,58.2095,1309802,D
2014-05-16,58.1929,58.4504,57.9603,58.4171,1513049,D
2014-05-19,58.3175,58.359,57.3041,57.3456,2053686,D
2014-05-20,57.4619,57.8523,57.0632,57.246,1937469,D
2014-05-21,57.3955,57.5284,57.0798,57.2792,1461740,D
2014-05-22,57.4453,58.251,57.2792,57.9935,1518508,D
2014-05-23,58.0932,58.143,57.5782,57.5782,2387613,D
2014-05-27,57.9105,58.143,57.3789,57.6613,2416210,D
2014-05-28,57.6864,57.7953,57.1795,57.2675,3679429,D
2014-05-29,57.3177,57.4853,57.125,57.4099,2983808,D
2014-05-30,57.4686,57.8037,57.1586,57.7786,2523956,D
2014-06-02,57.8121,58.4572,57.5942,58.3148,2051340,D
2014-06-03,58.2478,58.6667,58.1975,58.541,2551099,D
2014-06-04,58.2813,58.7421,58.164,58.6918,2026237,D
2014-06-05,58.5662,59.0018,58.4773,58.8426,2265074,D
2014-06-06,58.9851,59.1527,58.4237,58.5243,1619816,D
2014-06-09,58.3902,58.4572,57.6864,57.8205,1799576,D
2014-06-10,57.5105,57.8624,57.3345,57.5021,1887215,D
2014-06-11,57.3429,57.5381,56.7061,56.7312,2006602,D
2014-06-12,56.6391,57.2004,56.1866,56.9994,1926629,D
2014-06-13,56.9742,57.4769,56.6475,57.3429,2691701,D
