date,open,high,low,close,volume,Name
2014-01-24,95.4749,95.7298,93.7284,93.7945,1974110,ECL
2014-01-27,93.7567,93.8794,92.4633,93.2375,1255751,ECL
2014-01-28,93.464,94.4742,93.464,94.2665,936690,ECL
2014-01-29,93.8039,95.2011,93.7001,94.6253,2023265,ECL
2014-01-30,95.0784,95.9186,94.5025,95.1917,1238663,ECL
2014-01-31,93.8983,95.3711,93.6812,94.9179,1154000,ECL
2014-02-03,94.6819,95.6071,92.3972,92.5483,1580065,ECL
2014-02-04,93.4168,93.549,92.4199,93.1808,1280099,ECL
2014-02-05,92.8787,93.8039,92.1895,93.6151,943836,ECL
2014-02-06,93.549,94.3515,93.0014,94.3043,1117212,ECL
2014-02-07,94.7763,95.0312,94.2287,94.5308,1373275,ECL
2014-02-10,94.3609,95.2106,93.5868,94.9934,1040718,ECL
2014-02-11,94.9934,95.9942,94.6913,95.7393,943372,ECL
2014-02-12,95.6826,96.0697,95.3805,95.4844,788740,ECL
2014-02-13,95.0501,97.0232,94.9274,96.5795,743717,ECL
2014-02-14,96.9571,97.5047,96.4191,97.382,584159,ECL
2014-02-18,97.6085,97.8918,97.2498,97.3159,762077,ECL
2014-02-19,97.2687,98.326,96.2396,96.268,927094,ECL
2014-02-20,96.3529,96.4662,95.3616,96.1735,1523715,ECL
2014-02-21,96.5795,99.1285,95.6826,96.4756,1998381,ECL
2014-02-24,96.1924,96.976,95.6826,96.6645,1339599,ECL
2014-02-25,96.4284,99.1663,96.4284,98.732,1576128,ECL
2014-02-26,98.9491,100.252,98.732,99.5345,1201620,ECL
2014-02-27,99.1285,100.809,99.0058,100.6863,953571,ECL
2014-02-28,100.6485,102.1496,100.5163,101.7247,1331542,ECL
2014-03-03,100.2614,102.1401,100.2614,101.9419,1401843,ECL
2014-03-04,102.8954,103.8112,102.2912,103.5279,1617478,ECL
2014-03-05,103.8489,103.8489,102.9615,103.2636,1125144,ECL
2014-03-06,103.3202,104.1794,103.1692,103.7167,729990,ECL
2014-03-07,104.0433,104.3461,103.6836,103.9581,1016274,ECL
2014-03-10,103.6174,104.365,103.3618,104.2799,747063,ECL
2014-03-11,104.2704,105.8396,103.8824,105.2831,1816350,ECL
2014-03-12,104.6395,105.0276,104.0243,104.6963,1749694,ECL
2014-03-13,104.772,105.3494,103.3618,103.3997,1438665,ECL
2014-03-14,103.3618,104.5922,102.7182,102.8129,1273689,ECL
