date,open,high,low,close,volume,Name
2014-01-24,44.4271,44.9305,44.2291,44.2703,2624938,ED
2014-01-27,44.5344,44.5344,44.0228,44.0723,2905765,ED
2014-01-28,44.1465,44.2291,43.8165,43.8412,2444367,ED
2014-01-29,43.8,44.1548,43.7422,43.9403,2292591,ED
2014-01-30,44.2043,44.5509,44.0104,44.4766,1504921,ED
2014-01-31,44.13,44.9717,44.0558,44.8974,3262379,ED
2014-02-03,44.9305,45.5658,44.2456,44.3446,3375377,ED
2014-02-04,44.3941,44.5179,43.9403,44.2208,2278134,ED
2014-02-05,44.0805,44.2208,43.9403,44.0558,2475329,ED
2014-02-06,44.1218,44.4766,44.064,44.3941,1390902,ED
2014-02-07,44.5674,44.7242,44.3033,44.5756,2364920,ED
2014-02-10,44.4754,44.862,44.25,44.8344,1935648,ED
2014-02-11,44.8344,45.5692,44.7927,45.4439,1954585,ED
2014-02-12,45.2769,45.3354,44.9263,45.0933,2183327,ED
2014-02-13,45.0933,45.5191,45.0682,45.5191,1352138,ED
2014-02-14,45.5024,46.0534,45.3771,46.0534,1695931,ED
2014-02-18,46.2538,46.4208,46.0784,46.1452,1755305,ED
2014-02-19,46.0117,46.3289,45.6568,45.7027,1254717,ED
2014-02-20,45.7445,46.2371,45.6526,46.1703,1859368,ED
2014-02-21,46.212,47.3225,46.1619,46.1619,5280673,ED
2014-02-24,46.6378,47.2473,46.4876,46.546,3135838,ED
2014-02-25,47.1388,47.1388,46.7714,46.8466,2549661,ED
2014-02-26,46.8132,46.9885,46.4166,46.5043,1850927,ED
2014-02-27,46.5043,46.7464,46.2538,46.3957,2101863,ED
2014-02-28,46.546,46.9801,46.5209,46.7965,1551351,ED
2014-03-03,46.5376,46.7464,46.2705,46.3039,1868991,ED
2014-03-04,46.6211,46.7547,46.3206,46.4709,1813656,ED
2014-03-05,46.4208,46.5293,46.0868,46.1536,1456846,ED
2014-03-06,46.4876,46.6294,46.1285,46.1619,2055208,ED
2014-03-07,46.1035,46.2955,45.7612,46.2872,2094529,ED
2014-03-10,46.2705,46.354,45.995,46.3206,1462578,ED
2014-03-11,46.3456,46.3623,46.02,46.02,1107469,ED
2014-03-12,45.995,46.2162,45.2352,45.6026,6746892,ED
2014-03-13,45.0933,45.5441,44.3502,44.8261,6837826,ED
2014-03-14,44.801,45.7445,44.7927,45.6359,3612072,ED
2014-03-17,45.6693,46.0367,45.2185,45.9616,2853984,ED
2014-03-18,45.9699,46.0367,45.3938,45.4272,2269810,ED
2014-03-19,45.3604,45.3855,43.8576,43.9828,5441775,ED
2014-03-20,43.9661,44.0747,43.6071,44.0663,2723437,ED
2014-03-21,44.4253,44.5422,43.7741,43.7992,3983395,ED
2014-03-24,43.8493,44.1999,43.7741,43.9745,1998983,ED
2014-03-25,44.0663,44.3752,43.8743,44.2834,2523958,ED
2014-03-26,44.4003,44.6126,44.2751,44.3752,2098529,ED
2014-03-27,44.2584,44.7927,44.2584,44.776,2119016,ED
2014-03-28,44.7676,44.8587,44.2751,44.3919,2178331,ED
2014-03-31,44.609,44.9012,44.3752,44.7927,2414531,ED
2014-04-01,44.7259,44.7593,44.1415,44.3418,2421278,ED
2014-04-02,44.6424,44.7927,44.1665,44.7343,2359801,ED
2014-04-03,44.8261,45.1517,44.7176,44.801,2754653,ED
2014-04-04,44.8762,45.686,44.8762,45.3855,2977222,ED
2014-04-07,45.3855,46.2705,45.3855,45.7111,3089945,ED
2014-04-08,45.7695,46.4124,45.4272,46.379,3385692,ED
2014-04-09,46.3373,46.4291,45.5859,46.1369,2790093,ED
2014-04-10,46.2621,46.6044,46.02,46.2538,2329350,ED
2014-04-11,46.2621,46.5877,46.1536,46.4208,2113111,ED
2014-04-14,46.5376,46.7297,46.2204,46.6378,1864598,ED
2014-04-15,46.6629,47.8568,46.6629,47.7483,3953561,ED
2014-04-16,47.8234,48.0906,47.431,48.0822,2593145,ED
2014-04-17,47.9904,48.0906,47.0219,47.1722,2691654,ED
2014-04-21,47.2139,47.7149,47.1471,47.4644,2045551,ED
2014-04-22,47.3893,47.5312,47.1722,47.4644,1720121,ED
2014-04-23,47.5562,47.8651,47.2891,47.3141,1585402,ED
2014-04-24,47.3726,47.6898,46.9551,47.5562,1373769,ED
2014-04-25,47.5562,48.2242,47.1722,48.2075,1979199,ED
2014-04-28,48.1323,48.6583,48.0321,48.6416,2233735,ED
2014-04-29,48.7334,48.9004,48.3243,48.4329,2335531,ED
2014-04-30,48.483,48.8253,48.4245,48.4496,1691027,ED
2014-05-01,48.508,48.7293,48.1323,48.4913,2488340,ED
2014-05-02,48.0906,48.3995,47.0469,47.4393,2715755,ED
2014-05-05,47.4226,47.7775,47.2139,47.6147,2177438,ED
2014-05-06,47.623,47.9653,47.5813,47.6147,1672590,ED
2014-05-07,47.7232,48.3327,47.6982,48.2576,1909446,ED
2014-05-08,48.6667,48.7001,47.694,47.9319,4341335,ED
2014-05-09,48.1574,48.4162,46.8466,46.9217,4227915,ED
2014-05-12,46.9386,47.0821,46.1871,46.3644,4281313,ED
2014-05-13,46.5502,46.7275,45.976,46.3306,2468222,ED
2014-05-14,46.4404,46.9386,46.2842,46.6515,2006078,ED
2014-05-15,46.6262,46.9217,46.2378,46.4066,2820079,ED
2014-05-16,46.4404,46.6008,46.1575,46.5924,2436398,ED
2014-05-19,46.5237,46.5659,45.7006,45.8399,2991599,ED
2014-05-20,45.8494,46.1364,45.2667,45.6636,3156907,ED
2014-05-21,45.7565,45.8156,45.3343,45.4778,1822978,ED
2014-05-22,45.5454,45.8578,45.5032,45.7396,1383270,ED
2014-05-23,45.7649,46.0182,45.6425,45.7058,1440255,ED
2014-05-27,45.976,46.1618,45.7649,45.9338,1571929,ED
2014-05-28,46.0182,46.128,45.8494,46.0351,1826793,ED
2014-05-29,46.1787,46.2293,45.8494,46.1449,1639758,ED
2014-05-30,46.1449,46.4826,46.052,46.4489,1992356,ED
2014-06-02,46.4404,46.6262,46.28,46.4404,1468860,ED
2014-06-03,46.4151,46.6008,46.3053,46.4404,1437930,ED
2014-06-04,46.3644,46.6431,46.1533,46.6262,1824620,ED
2014-06-05,46.5671,47.0821,46.4235,47.0568,1776916,ED
2014-06-06,47.0061,47.1244,46.5755,46.6346,1609972,ED
2014-06-09,46.5586,46.6684,46.2209,46.356,1732137,ED
2014-06-10,46.2631,46.7359,46.2631,46.5164,1819556,ED
2014-06-11,46.4826,46.5586,46.0942,46.1871,1610881,ED
2014-06-12,46.1449,46.5333,45.6974,46.432,1754735,ED
2014-06-13,46.3222,46.7275,46.1618,46.6262,1376555,ED
2014-06-16,46.7528,47.2932,46.6515,46.9386,2596933,ED
2014-06-17,46.9133,46.9893,46.6093,46.8795,1655728,ED
2014-06-18,46.8964,47.707,46.7446,47.6901,2737187,ED
2014-06-19,47.6985,48.2136,47.6732,48.1038,2678301,ED
2014-06-20,48.2305,48.298,47.8758,47.9096,2726571,ED
2014-06-23,48.0025,48.1629,47.5888,47.8421,1407724,ED
2014-06-24,47.8083,48.0278,47.7407,47.859,1580268,ED
2014-06-25,47.8336,48.1883,47.7576,48.1629,1607391,ED
2014-06-26,48.0363,48.374,47.9181,48.3656,1633448,ED
2014-06-27,48.2389,48.7181,48.0447,48.5936,2058584,ED
2014-06-30,48.5513,48.8384,48.3487,48.754,1977364,ED
2014-07-01,48.7624,48.7709,48.0067,48.2051,2325984,ED
2014-07-02,48.146,48.222,46.9977,47.3017,4122790,ED
2014-07-03,46.9724,47.2848,46.6768,47.2848,2182758,ED
2014-07-07,47.2848,48.07,47.2763,47.631,3093299,ED
2014-07-08,47.5212,48.0869,47.5212,47.7914,2628807,ED
2014-07-09,47.8252,47.9096,47.3354,47.6225,1721689,ED
2014-07-10,47.6479,47.9856,47.5297,47.7998,1400648,ED
2014-07-11,47.7998,47.859,47.3608,47.4283,1187669,ED
2014-07-14,47.5128,47.707,47.1835,47.2341,1823741,ED
2014-07-15,47.2341,47.631,47.2088,47.6056,1394269,ED
2014-07-16,47.707,47.8758,47.4283,47.8505,1134514,ED
2014-07-17,47.7239,47.8944,47.5465,47.5465,1653806,ED
2014-07-18,47.6985,48.1038,47.4114,48.0616,1788105,ED
2014-07-21,48.0278,48.4247,47.9518,48.2896,1669752,ED
2014-07-22,48.298,48.5176,48.2575,48.4416,1161589,ED
2014-07-23,48.4162,48.4669,48.1883,48.3402,1114777,ED
2014-07-24,48.3402,48.4922,48.146,48.3909,843814,ED
2014-07-25,48.3402,48.4922,48.0447,48.1123,843881,ED
2014-07-28,48.146,48.7962,48.0785,48.7202,1663670,ED
2014-07-29,48.7118,48.8469,48.3571,48.6358,1722583,ED
2014-07-30,48.5936,48.6105,47.7239,47.9518,1924290,ED
2014-07-31,47.707,47.9417,47.2932,47.3608,2979293,ED
2014-08-01,47.2172,47.859,47.1919,47.3608,1851633,ED
2014-08-04,47.4368,47.4368,46.2331,47.0568,3455744,ED
2014-08-05,46.8542,47.1329,46.4657,46.6346,1906761,ED
2014-08-06,46.5164,46.5586,46.0858,46.2378,4968625,ED
2014-08-07,46.4911,46.9301,46.4657,46.7275,2750539,ED
2014-08-08,47.1075,48.1038,46.9808,48.0447,3476477,ED
2014-08-11,48.0533,48.3094,47.8142,47.8398,2169787,ED
