date,open,high,low,close,volume,Name
2014-01-24,65.7919,66.215,65.397,65.6038,839602,EFX
2014-01-27,65.5662,65.7731,64.8328,64.8892,921157,EFX
2014-01-28,64.8704,65.1995,64.5413,64.7576,625478,EFX
2014-01-29,64.1182,64.8046,64.0336,64.3344,434759,EFX
2014-01-30,64.7106,66.6005,64.4661,66.5159,742738,EFX
2014-01-31,65.4064,66.6099,65.2747,65.8765,763572,EFX
2014-02-03,65.8295,66.0176,63.7515,64.0524,793279,EFX
2014-02-04,64.2404,65.5474,63.8267,65.2183,817078,EFX
2014-02-05,64.9832,65.2935,63.9301,64.0524,1017788,EFX
2014-02-06,64.1652,66.121,63.9818,66.0458,611463,EFX
2014-02-07,66.2902,66.9766,66.0553,66.7134,693793,EFX
2014-02-10,66.5723,67.0237,66.3702,66.9108,620043,EFX
2014-02-11,66.9296,67.3246,66.5253,66.9766,680057,EFX
2014-02-12,67.1083,67.428,66.8074,67.1177,658686,EFX
2014-02-13,66.6946,67.6349,66.3608,67.5408,652604,EFX
2014-02-14,65.5756,67.1365,64.5789,65.632,1452564,EFX
2014-02-18,64.8422,65.7449,64.5037,65.6132,1040114,EFX
2014-02-19,65.3406,66.4172,65.2371,65.7825,903349,EFX
2014-02-20,64.3815,65.9235,64.3815,65.5756,834971,EFX
2014-02-21,65.0661,65.5568,64.33,65.0094,1308072,EFX
2014-02-24,65.151,66.3023,65.0245,65.8965,539587,EFX
2014-02-25,65.9248,66.1324,65.3256,65.604,456906,EFX
2014-02-26,65.821,66.5759,65.821,65.9059,807896,EFX
2014-02-27,65.8776,66.34,65.821,66.0758,529702,EFX
2014-02-28,66.189,66.3353,65.8116,66.1135,631290,EFX
2014-03-03,65.7455,65.955,65.2406,65.6417,348296,EFX
2014-03-04,66.2173,66.8024,66.0286,66.6892,643412,EFX
2014-03-05,66.6986,66.708,65.8587,65.9531,338145,EFX
2014-03-06,66.2362,66.4627,65.8304,66.4249,354128,EFX
2014-03-07,66.6514,67.1704,66.189,66.7741,787853,EFX
2014-03-10,66.7647,67.2365,66.3117,67.2365,621178,EFX
2014-03-11,67.2837,67.765,66.8307,67.2365,661379,EFX
2014-03-12,66.7458,67.9443,66.7364,67.9065,603579,EFX
2014-03-13,67.9443,68.5576,67.5573,67.6328,940191,EFX
2014-03-14,67.4441,67.7555,66.9298,67.0289,574343,EFX
2014-03-17,67.2648,67.9065,67.1233,67.5102,558669,EFX
2014-03-18,67.6234,68.7464,67.5668,68.7086,489885,EFX
2014-03-19,68.6143,68.7936,67.1233,67.529,460926,EFX
2014-03-20,67.4724,67.9443,67.1704,67.9443,379147,EFX
2014-03-21,68.435,68.501,67.1516,67.2082,827849,EFX
2014-03-24,67.2931,67.4441,66.2173,66.5948,558307,EFX
2014-03-25,66.8496,66.9251,65.8965,66.1135,648623,EFX
2014-03-26,66.4721,66.6231,65.2737,65.2831,487326,EFX
2014-03-27,65.3869,65.3869,64.6225,64.8018,547058,EFX
2014-03-28,64.9717,65.4624,64.2262,64.3489,796942,EFX
2014-03-31,64.8585,64.9528,64.0941,64.1979,1592329,EFX
2014-04-01,64.3772,65.913,64.3772,65.8021,1085356,EFX
2014-04-02,65.9437,66.2362,65.4718,65.4907,452287,EFX
2014-04-03,65.7172,65.7172,64.9339,65.2359,560982,EFX
2014-04-04,65.4718,65.5285,63.877,63.8865,553177,EFX
2014-04-07,63.7827,64.0752,62.5465,62.9617,726648,EFX
2014-04-08,63.0372,63.3675,62.8767,63.2165,656981,EFX
2014-04-09,63.3769,64.0941,63.3203,64.0941,517880,EFX
2014-04-10,64.0658,64.2923,62.2917,62.2917,755186,EFX
2014-04-11,61.9708,62.5842,61.1498,61.3763,739414,EFX
2014-04-14,61.9708,62.018,61.1026,61.7349,622309,EFX
2014-04-15,61.8387,62.4922,61.4249,62.4143,530439,EFX
2014-04-16,62.8579,63.7355,62.5936,63.6977,593430,EFX
2014-04-17,64.4904,65.1887,64.1035,64.7452,784712,EFX
2014-04-21,64.6603,64.9561,64.1979,64.4432,395766,EFX
2014-04-22,64.4055,64.9339,64.113,64.5942,327235,EFX
2014-04-23,65.9437,66.4438,65.4294,66.1135,1012168,EFX
2014-04-24,64.2734,65.67,63.4146,65.1887,1656406,EFX
