date,open,high,low,close,volume,Name
2014-01-24,48.9438,49.6203,48.6653,48.7687,1300156,ETR
2014-01-27,48.912,49.2144,48.713,48.7767,1792400,ETR
2014-01-28,48.7449,49.0711,48.4424,48.6414,1673750,ETR
2014-01-29,48.5141,49.3497,48.5141,48.9756,1935655,ETR
2014-01-30,49.1507,50.44,48.9836,50.2729,2622946,ETR
2014-01-31,49.8033,50.5275,49.7635,50.1614,1787073,ETR
2014-02-03,50.3206,50.8697,49.8232,49.9147,1894515,ETR
2014-02-04,50.3047,50.3524,49.5805,49.7158,1784173,ETR
2014-02-05,49.676,50.0341,49.3497,49.8033,1957637,ETR
2014-02-06,49.8272,50.8061,49.7794,50.7344,3359854,ETR
2014-02-07,50.7822,50.8538,50.2888,50.5832,1737185,ETR
2014-02-10,50.4718,50.8777,50.1853,50.6151,1875528,ETR
2014-02-11,51.1472,51.2198,49.7281,50.4618,2934798,ETR
2014-02-12,50.4215,51.3367,50.4215,51.2521,2357010,ETR
2014-02-13,50.9779,52.0746,50.9779,51.9536,2326050,ETR
2014-02-14,51.8085,52.1391,51.6875,52.002,1477914,ETR
2014-02-18,52.0262,52.5584,51.9501,52.3407,1944862,ETR
2014-02-19,51.9778,52.6874,51.7601,51.9778,1692784,ETR
2014-02-20,51.9697,52.6551,51.9697,52.4535,1378756,ETR
2014-02-21,52.3729,52.6632,51.9617,51.9697,1369533,ETR
2014-02-24,52.3003,52.4535,51.7036,51.7036,943877,ETR
2014-02-25,51.9294,52.0746,51.623,51.6956,1390751,ETR
2014-02-26,52.1794,52.2439,51.6109,51.6633,770193,ETR
2014-02-27,51.494,51.7681,51.2279,51.4133,983096,ETR
2014-02-28,51.5182,51.7359,51.3085,51.4617,1535826,ETR
2014-03-03,51.2843,51.5182,51.0021,51.0263,1550617,ETR
2014-03-04,51.373,51.4133,50.9779,51.1553,1771018,ETR
2014-03-05,51.2279,51.2521,50.6493,50.8247,1439213,ETR
2014-03-06,50.8812,51.0868,50.099,50.3006,1406357,ETR
2014-03-07,50.2361,50.5183,49.849,50.4457,1683325,ETR
2014-03-10,50.3812,50.5183,50.0506,50.1957,1509101,ETR
2014-03-11,50.3167,50.3893,49.9619,50.2441,1303613,ETR
2014-03-12,50.1312,50.8005,50.0667,50.8005,1571215,ETR
2014-03-13,50.8973,51.9939,50.865,51.9455,1963037,ETR
2014-03-14,51.8085,52.3568,51.6875,52.0746,1389984,ETR
2014-03-17,52.0988,52.5745,51.6794,52.5745,1004224,ETR
2014-03-18,52.6309,52.7761,52.4132,52.4213,939939,ETR
2014-03-19,52.5664,52.9132,51.7843,52.0665,1138313,ETR
2014-03-20,51.9294,52.2116,51.502,52.2116,1166377,ETR
2014-03-21,52.4858,53.776,52.389,53.2438,2710361,ETR
2014-03-24,53.3809,53.7276,53.0825,53.276,1560196,ETR
2014-03-25,53.3809,53.5099,52.7519,53.2922,1036782,ETR
2014-03-26,53.3163,53.397,52.9535,53.0341,843661,ETR
2014-03-27,53.2518,53.7357,52.8648,53.7034,1172977,ETR
2014-03-28,53.7679,53.8719,53.3163,53.7437,917804,ETR
2014-03-31,53.8485,54.0421,53.526,53.905,1370385,ETR
2014-04-01,53.8727,54.155,53.6308,54.0743,1418299,ETR
2014-04-02,54.034,54.4049,53.5502,54.1146,1218216,ETR
2014-04-03,54.163,54.9452,53.8808,54.9129,1749061,ETR
2014-04-04,55.0742,56.3805,54.9533,55.6951,2810822,ETR
2014-04-07,55.6387,56.2676,55.5338,55.7516,1719569,ETR
2014-04-08,55.7193,56.6547,55.4693,56.5982,2322051,ETR
2014-04-09,56.8079,57.3481,56.1144,56.6708,2964943,ETR
2014-04-10,56.7837,57.1627,56.445,56.5257,1674077,ETR
2014-04-11,56.5257,57.2514,56.5257,56.7272,1808618,ETR
2014-04-14,56.8885,57.2836,56.6547,57.2111,2531954,ETR
2014-04-15,58.2432,58.5254,57.4449,58.0335,3795767,ETR
2014-04-16,58.2513,59.0818,57.8078,58.0658,2902635,ETR
2014-04-17,58.1303,58.4045,57.3078,57.461,1861082,ETR
2014-04-21,57.3804,57.8723,57.1788,57.3159,1512077,ETR
2014-04-22,57.2998,57.59,56.9611,57.2675,1895682,ETR
2014-04-23,57.4207,57.8965,57.203,57.2675,1787737,ETR
2014-04-24,57.5739,57.7191,56.7272,57.59,2013280,ETR
2014-04-25,57.4207,58.0174,57.3562,57.9287,2001643,ETR
2014-04-28,57.9771,58.8883,57.7836,58.7189,2954433,ETR
2014-04-29,58.9689,59.4366,58.5657,58.7754,2505910,ETR
2014-04-30,59.0254,59.6059,58.4287,58.4609,2864768,ETR
2014-05-01,58.6141,59.0657,58.1263,58.8318,1677118,ETR
2014-05-02,58.598,58.8399,57.7997,58.2513,1606157,ETR
2014-05-05,58.2351,58.9689,58.1142,58.9689,1554543,ETR
2014-05-06,59.0334,59.4447,58.8641,58.9689,2153838,ETR
2014-05-07,59.1544,60.6381,59.0334,60.6058,2693749,ETR
2014-05-08,60.4607,60.5332,59.9365,60.3075,2723074,ETR
2014-05-09,60.251,60.7066,59.9688,60.1623,1660770,ETR
2014-05-12,60.2349,60.5091,59.7269,59.9769,2812734,ETR
2014-05-13,60.034,60.1644,59.353,59.8627,2371986,ETR
2014-05-14,59.9035,60.5803,59.8138,60.564,2113780,ETR
2014-05-15,60.5885,60.6863,60.034,60.5803,2603720,ETR
2014-05-16,60.4906,60.8494,60.352,60.7679,1461201,ETR
2014-05-19,60.7026,60.7679,59.6099,59.6507,1500971,ETR
2014-05-20,59.6507,60.1481,59.5854,59.9279,1454766,ETR
2014-05-21,59.9442,60.0666,59.5284,60.0584,1607562,ETR
2014-05-22,59.9035,60.6292,59.8709,60.3764,1605803,ETR
2014-05-23,60.3601,60.5558,60.2215,60.3927,981643,ETR
2014-05-27,60.7271,60.8372,60.1979,60.4335,1379934,ETR
2014-05-28,60.4906,60.8983,60.2215,60.8494,1203978,ETR
2014-05-29,60.7597,61.6078,60.6537,61.5915,1868338,ETR
2014-05-30,61.4855,61.7219,61.143,61.5018,2236924,ETR
2014-06-02,61.6159,62.0074,61.5344,61.7872,1762552,ETR
2014-06-03,61.7709,62.1949,61.5018,62.1541,2033841,ETR
2014-06-04,62.0807,62.5048,61.885,62.4722,1290785,ETR
2014-06-05,63.9481,64.258,63.4099,64.1031,2560702,ETR
2014-06-06,64.5108,64.5271,63.8666,63.94,1730644,ETR
2014-06-09,63.7198,64.258,63.6546,64.1683,1403444,ETR
2014-06-10,64.1357,64.2662,63.467,63.834,1406798,ETR
2014-06-11,63.834,63.9563,62.9941,63.1327,1715451,ETR
2014-06-12,63.1001,63.569,62.464,63.4833,1607380,ETR
2014-06-13,63.4181,63.8177,62.9018,63.7687,1030130,ETR
2014-06-16,63.7687,64.6413,63.6872,64.4293,1972730,ETR
2014-06-17,63.9644,64.2662,63.4222,64.0297,1117113,ETR
2014-06-18,64.0297,65.4037,63.9563,65.3752,1507439,ETR
2014-06-19,65.3997,66.0031,65.3263,65.8808,1650330,ETR
2014-06-20,66.052,66.4842,65.8074,65.9134,2163520,ETR
2014-06-23,65.8318,65.9052,65.0653,65.6769,1572469,ETR
2014-06-24,65.6198,65.9786,65.5505,65.6035,1702361,ETR
2014-06-25,65.6525,66.2396,65.5627,66.1906,1090799,ETR
2014-06-26,66.1743,66.3211,65.7748,65.9379,1136167,ETR
2014-06-27,65.7014,66.2967,65.4812,66.1988,1460352,ETR
2014-06-30,66.313,67.1121,66.1743,66.9409,1266118,ETR
2014-07-01,66.7696,67.2589,66.2233,66.2967,1412816,ETR
2014-07-02,66.2314,66.2967,63.6709,64.1439,3072998,ETR
2014-07-03,63.7769,63.9278,62.7657,62.7657,2087367,ETR
2014-07-07,62.9451,64.0378,62.9451,63.9318,2244321,ETR
2014-07-08,63.9889,64.5597,63.8258,63.9889,1781579,ETR
2014-07-09,63.9889,64.3396,63.0919,63.5812,1651662,ETR
2014-07-10,63.1979,64.2825,63.1408,64.1765,1617826,ETR
2014-07-11,64.1439,64.3722,63.4996,63.622,1077365,ETR
2014-07-14,63.9318,63.9644,62.937,62.9533,1332171,ETR
2014-07-15,63.1245,63.3039,62.7902,63.2224,1622350,ETR
2014-07-16,63.2958,63.6138,62.8799,63.5649,1638724,ETR
2014-07-17,62.9125,63.2876,62.1297,62.1949,1758961,ETR
2014-07-18,62.7902,63.0104,61.934,62.9696,1544141,ETR
2014-07-21,62.831,63.1775,62.5537,63.0756,1506011,ETR
2014-07-22,63.2061,63.4833,61.9503,61.9747,2177795,ETR
2014-07-23,62.0726,62.1949,61.6241,61.6812,2310453,ETR
2014-07-24,61.5344,62.3254,61.5344,62.2601,2139185,ETR
2014-07-25,62.2928,62.6108,61.4569,61.5507,1449853,ETR
2014-07-28,61.1674,61.5752,59.985,60.4743,2102892,ETR
2014-07-29,62.3498,62.3498,60.7026,61.1511,2322364,ETR
2014-07-30,61.1674,61.5752,59.985,60.4743,2102892,ETR
2014-07-31,60.2704,60.4335,59.3734,59.3897,1323906,ETR
2014-08-01,59.4631,59.5121,57.9953,59.0636,4022305,ETR
2014-08-04,59.4631,59.5121,57.9953,59.0636,4022305,ETR
2014-08-05,58.8597,59.5936,58.562,58.8108,2417859,ETR
2014-08-06,58.6314,58.6477,57.6528,57.7507,2524047,ETR
2014-08-07,57.9382,58.6395,57.9382,58.3623,1447965,ETR
2014-08-08,58.509,59.3,58.509,59.2674,1286514,ETR
2014-08-11,59.243,59.8138,59.0758,59.1614,1348952,ETR
2014-08-12,59.0212,59.281,58.7819,58.9139,1128467,ETR
2014-08-13,58.9469,59.4666,58.6829,59.3264,1564306,ETR
2014-08-14,59.2686,60.3987,59.2686,60.2255,1667015,ETR
2014-08-15,60.2255,60.7452,59.6811,60.0688,1255196,ETR
2014-08-18,60.1348,60.3822,59.8626,60.011,783910,ETR
2014-08-19,60.1265,61.0174,60.0523,61.0091,1120157,ETR
2014-08-20,61.1329,62.0155,60.7452,61.9578,2191705,ETR
2014-08-21,61.8175,62.527,61.4876,61.7186,1199903,ETR
2014-08-22,61.7928,61.9825,61.1081,61.5123,936608,ETR
2014-08-25,61.6031,62.3908,61.5371,62.3455,1191179,ETR
2014-08-26,62.2217,62.5022,61.3061,61.4298,1287791,ETR
2014-08-27,61.7681,62.3125,61.5041,62.263,929654,ETR
2014-08-28,62.1805,63.0054,62.0485,62.9641,852419,ETR
2014-08-29,63.0466,63.888,62.9889,63.855,1353884,ETR
2014-09-02,63.789,63.8633,62.6012,63.0054,1959805,ETR
2014-09-03,63.1456,63.9293,63.1456,63.6323,887746,ETR
2014-09-04,63.5251,63.7519,63.0673,63.4013,1804407,ETR
2014-09-05,63.4921,64.0448,63.1869,63.855,1385609,ETR
2014-09-08,63.9128,63.9773,62.7414,62.9806,1194316,ETR
2014-09-09,62.7909,63.2776,62.329,62.7992,1296984,ETR
2014-09-10,62.8404,62.9806,62.3455,62.8239,831937,ETR
2014-09-11,62.8487,63.5828,62.6094,63.5663,984874,ETR
2014-09-12,63.1374,63.2281,62.1063,62.263,844340,ETR
2014-09-15,62.428,63.0466,62.3207,62.6507,1340370,ETR
2014-09-16,62.5682,63.921,62.4527,63.5251,1194795,ETR
2014-09-17,63.6983,63.8963,62.8899,63.1209,1080284,ETR
2014-09-18,63.2611,63.5416,62.362,62.56,930224,ETR
2014-09-19,62.7992,63.4178,62.5764,63.3683,1591877,ETR
2014-09-22,63.1209,63.9788,62.9641,63.5086,1196769,ETR
2014-09-23,63.4838,63.5457,62.9889,63.1126,1762546,ETR
2014-09-24,63.2199,63.2859,62.7002,62.9476,859085,ETR
2014-09-25,62.9559,63.1291,62.527,62.6919,1222489,ETR
2014-09-26,62.7744,63.0631,62.2217,62.8074,934215,ETR
2014-09-29,62.6919,63.3271,62.6094,63.3024,998041,ETR
2014-09-30,63.4673,64.6469,63.3436,63.789,1615800,ETR
2014-10-01,63.789,64.9191,63.5168,64.3747,1463391,ETR
2014-10-02,64.1685,64.6057,63.7808,63.9045,1593674,ETR
2014-10-03,64.0778,64.3335,63.1126,64.1932,1149726,ETR
2014-10-06,64.2592,64.5727,63.9045,64.1025,907247,ETR
2014-10-07,63.9293,65.0346,63.822,64.185,1612713,ETR
2014-10-08,64.3335,65.6945,64.185,65.678,1771716,ETR
2014-10-09,65.2079,65.711,63.8798,63.9375,2109935,ETR
2014-10-10,64.1602,64.8861,64.0778,64.2015,1556071,ETR
2014-10-13,64.3335,65.6368,64.1025,64.9026,1942514,ETR
2014-10-14,65.2079,67.3031,64.9521,66.8494,2777732,ETR
2014-10-15,65.1501,67.3608,64.053,65.1254,2778952,ETR
2014-10-16,64.2213,65.578,63.545,65.4831,1965224,ETR
2014-10-17,65.8265,65.975,64.3747,65.4388,2377032,ETR
2014-10-20,65.4058,65.9503,65.2491,65.8595,1271721,ETR
2014-10-21,66.041,66.0493,65.4966,65.9915,1282578,ETR
2014-10-22,65.9915,67.1299,65.9585,66.7669,1256424,ETR
2014-10-23,67.2206,67.6083,66.6102,67.0556,1422417,ETR
2014-10-24,67.0474,67.798,67.0145,67.7568,1089043,ETR
2014-10-27,67.7568,68.1775,67.4598,67.732,1636183,ETR
2014-10-28,67.7485,67.8228,66.8989,67.5423,1885754,ETR
2014-10-29,67.6825,68.3672,66.9649,67.6908,1382567,ETR
2014-10-30,68.5867,68.7284,67.137,68.0035,2543361,ETR
2014-10-31,69.753,69.7695,68.9199,69.3076,2165376,ETR
2014-11-03,69.5385,69.5468,68.8621,69.1673,2165159,ETR
2014-11-04,66.6267,69.0849,66.0245,68.029,1756960,ETR
2014-11-05,68.5239,69.3983,68.0372,69.0436,3751633,ETR
2014-11-06,69.0684,69.1673,66.8164,67.6083,3669621,ETR
2014-11-07,67.9548,68.227,67.2371,68.2022,2325541,ETR
2014-11-10,68.3797,69.4128,68.3797,69.3878,2366733,ETR
2014-11-11,69.5461,69.6252,68.713,69.1128,1629900,ETR
2014-11-12,68.5797,68.7213,67.1301,67.9965,2543361,ETR
2014-11-13,68.1715,68.9796,67.8774,68.0465,1931013,ETR
2014-11-14,67.9049,68.2714,67.555,67.8549,1633898,ETR
2014-11-17,67.7383,69.5211,67.6133,69.3711,1854348,ETR
2014-11-18,69.5294,70.3458,69.0379,69.8959,1237480,ETR
2014-11-19,69.7127,70.0792,69.1962,69.4294,1444856,ETR
2014-11-20,69.0629,69.3794,68.3464,68.5047,1232139,ETR
2014-11-21,69.0712,69.1295,68.1465,68.6463,1542018,ETR
2014-11-24,68.7796,68.9137,67.7841,67.8716,1233041,ETR
2014-11-25,67.8299,67.9299,67.4508,67.7383,1254424,ETR
2014-11-26,68.0382,68.7213,67.9299,68.4547,1378583,ETR
2014-11-28,68.6047,69.9876,68.6047,69.8959,915403,ETR
2014-12-01,69.3211,70.804,68.9462,69.8376,2016828,ETR
2014-12-02,69.5877,70.0709,69.3711,69.7293,1548214,ETR
2014-12-03,69.7293,69.8626,69.2295,69.5377,1033696,ETR
2014-12-04,69.3961,69.9709,69.3128,69.6127,1037058,ETR
2014-12-05,68.7296,69.1462,68.463,68.9129,1635047,ETR
2014-12-08,69.0045,70.2458,68.8296,70.0126,1105538,ETR
2014-12-09,69.8376,70.6374,69.4378,69.9626,2127612,ETR
2014-12-10,69.9709,70.4125,69.1795,69.2211,1205790,ETR
2014-12-11,69.3211,70.9873,69.2462,70.729,1642516,ETR
2014-12-12,70.2625,73.3033,70.1042,71.987,4041598,ETR
2014-12-15,72.0703,73.245,71.5788,71.9537,3077907,ETR
2014-12-16,72.062,72.8201,71.5288,71.6454,2697106,ETR
2014-12-17,71.7996,73.1117,71.7121,72.7451,2248478,ETR
2014-12-18,72.7618,73.9031,72.5452,73.8948,1627491,ETR
2014-12-19,74.1947,74.9445,73.7781,74.1697,3446942,ETR
2014-12-22,72.0953,73.8531,71.7537,73.5699,1965852,ETR
2014-12-23,73.7281,74.0281,72.9284,73.3699,1379155,ETR
2014-12-24,73.4366,74.9694,73.2033,74.5862,1282887,ETR
2014-12-26,74.7862,75.8359,74.7862,75.3277,852200,ETR
2014-12-29,75.436,76.6606,75.2694,75.9442,1229924,ETR
2014-12-30,75.9525,75.9525,74.7113,74.9195,1141732,ETR
2014-12-31,75.1944,75.4443,72.8118,72.8784,1565904,ETR
2015-01-02,72.8784,73.3949,72.1953,73.07,1945307,ETR
2015-01-05,73.1533,73.528,72.112,72.5202,1662065,ETR
2015-01-06,72.5702,73.9364,72.3369,72.3869,1838006,ETR
2015-01-07,72.4952,73.5667,72.2036,73.12,1094190,ETR
2015-01-08,73.2616,73.9198,73.145,73.5532,1018479,ETR
2015-01-09,73.7365,74.0514,72.3785,73.1367,1468234,ETR
2015-01-12,73.4199,73.4949,72.1036,72.5118,1114882,ETR
2015-01-13,72.9117,73.8364,71.4038,71.6788,2595390,ETR
2015-01-14,71.3122,72.6451,70.954,72.6035,1521252,ETR
2015-01-15,72.8201,73.8448,72.4785,73.7198,1482739,ETR
2015-01-16,73.7698,74.1447,73.3116,73.8698,1295743,ETR
2015-01-20,74.228,74.6112,73.2616,73.8948,1196882,ETR
2015-01-21,73.7032,74.7778,73.2533,74.7112,957553,ETR
2015-01-22,75.0111,75.2527,73.9031,74.4946,1503876,ETR
2015-01-23,74.7029,74.8778,74.328,74.6445,1255198,ETR
2015-01-26,74.5529,74.7445,73.6448,74.0031,1217345,ETR
2015-01-27,74.053,74.3717,73.5949,73.6782,1145713,ETR
2015-01-28,73.6865,75.0777,73.6865,74.0864,2028579,ETR
2015-01-29,73.8698,75.0278,73.5365,74.8945,1200952,ETR
2015-01-30,74.6195,74.8003,72.8367,72.9034,1281377,ETR
2015-02-02,72.945,73.7865,72.2952,73.4366,1542265,ETR
2015-02-03,73.4865,74.5779,72.8701,74.4946,1757523,ETR
2015-02-04,74.1947,74.353,72.6118,72.8701,1581846,ETR
2015-02-05,72.8784,73.4199,71.3122,72.0786,2212510,ETR
2015-02-06,71.7704,71.9537,68.3048,68.6547,2851671,ETR
2015-02-09,68.763,69.2628,67.505,67.7299,2098965,ETR
2015-02-10,67.8983,68.9251,67.8309,68.883,2476638,ETR
2015-02-11,68.8493,68.8578,67.7383,68.1423,1725067,ETR
2015-02-12,68.2433,68.4117,67.5532,67.8814,1509757,ETR
2015-02-13,67.469,67.5447,65.9456,66.5936,2088228,ETR
2015-02-17,66.56,67.1997,65.7772,66.3748,1516703,ETR
2015-02-18,66.4085,67.6457,66.0971,67.5532,1303475,ETR
2015-02-19,67.7047,68.0077,66.8714,67.1323,812706,ETR
2015-02-20,67.065,67.1912,66.0718,66.762,1160649,ETR
2015-02-23,67.0902,67.5868,66.7788,67.57,999863,ETR
2015-02-24,67.5447,68.2349,67.225,67.7215,1370560,ETR
2015-02-25,67.4774,68.0161,66.6357,66.8125,1208582,ETR
2015-02-26,67.0902,67.1912,66.4506,66.661,1028067,ETR
2015-02-27,66.7031,66.9724,66.0802,66.9219,1509468,ETR
2015-03-02,66.6442,66.8209,64.6746,65.3732,2070320,ETR
2015-03-03,65.2722,65.4658,64.5736,65.2133,1067737,ETR
2015-03-04,64.7251,65.045,63.976,64.3885,1146681,ETR
2015-03-05,64.6746,65.0702,64.4895,64.8261,846204,ETR
2015-03-06,64.0518,64.0518,62.5384,62.8482,1245147,ETR
