date,open,high,low,close,volume,Name
2016-12-02,66.25,72.0,64.38,69.91,2727446,EVHC
2016-12-05,70.36,74.745,70.36,71.75,3297416,EVHC
2016-12-06,71.55,74.19,71.29,71.7,2414604,EVHC
2016-12-07,73.01,73.72,68.885,69.19,2388256,EVHC
2016-12-08,69.47,70.21,68.05,70.21,1863593,EVHC
2016-12-09,70.59,71.73,68.9,71.68,1261991,EVHC
2016-12-12,71.65,71.65,69.11,69.75,1600083,EVHC
2016-12-13,70.04,70.84,68.08,68.59,2323357,EVHC
2016-12-14,68.12,68.5599,65.79,66.0,1897094,EVHC
2016-12-15,66.05,67.3,65.55,65.86,1341281,EVHC
2016-12-16,65.56,66.55,65.44,65.85,3206871,EVHC
2016-12-19,66.19,67.43,64.94,65.3,1327467,EVHC
2016-12-20,65.63,65.82,64.68,65.11,1417572,EVHC
2016-12-21,64.9,66.0,63.9,65.64,2116361,EVHC
2016-12-22,65.35,66.12,64.0,64.96,1522064,EVHC
2016-12-23,64.62,65.56,64.62,65.34,609191,EVHC
2016-12-27,65.74,66.65,65.29,65.78,723023,EVHC
2016-12-28,65.06,65.73,64.29,64.61,1166885,EVHC
2016-12-29,64.97,64.97,64.0,64.31,1337813,EVHC
2016-12-30,64.16,64.645,63.07,63.29,1224029,EVHC
2017-01-03,64.14,64.88,63.09,63.31,1461940,EVHC
2017-01-04,63.71,66.78,63.1,66.52,1559900,EVHC
2017-01-05,67.0,68.36,65.82,65.94,1814299,EVHC
2017-01-06,65.62,66.02,64.46,65.62,1041013,EVHC
2017-01-09,65.64,67.95,65.64,67.25,1289142,EVHC
2017-01-10,66.98,67.95,65.01,65.22,1437966,EVHC
2017-01-11,65.37,67.19,65.0,66.98,1246960,EVHC
2017-01-12,66.8,67.95,66.2,67.83,1176050,EVHC
2017-01-13,67.91,68.26,67.0598,67.27,827372,EVHC
2017-01-17,67.04,68.89,66.23,68.54,1222258,EVHC
2017-01-18,68.99,69.57,68.36,68.92,1368038,EVHC
2017-01-19,68.79,68.8,67.0697,67.43,1027716,EVHC
2017-01-20,67.49,67.65,66.64,67.19,1069009,EVHC
2017-01-23,67.24,67.72,66.26,67.5,1118368,EVHC
2017-01-24,67.74,68.46,67.28,68.18,1278850,EVHC
2017-01-25,68.24,69.1,68.0,68.95,644700,EVHC
2017-01-26,68.68,69.14,67.99,68.02,565397,EVHC
2017-01-27,68.29,68.4,67.73,68.14,542571,EVHC
2017-01-30,68.19,68.19,66.06,66.94,920259,EVHC
