date,open,high,low,close,volume,Name
2014-01-24,23.4934,24.2846,23.4851,23.5434,13805769,EXC
2014-01-27,23.6933,23.6933,23.3853,23.4851,8275201,EXC
2014-01-28,23.6433,23.6683,23.2353,23.4018,5938006,EXC
2014-01-29,23.3685,23.5351,23.277,23.4768,6116433,EXC
2014-01-30,23.5684,24.2138,23.5184,24.143,9983226,EXC
2014-01-31,23.9848,24.4095,23.9681,24.1514,10412341,EXC
2014-02-03,24.2513,24.4845,23.9015,24.1264,14383308,EXC
2014-02-04,24.3262,24.3596,24.0014,24.0764,9383593,EXC
2014-02-05,23.9598,24.218,23.7932,24.0348,9930753,EXC
2014-02-06,23.9931,24.8842,23.9931,24.5594,13763414,EXC
2014-02-07,24.7343,24.7343,24.218,24.5178,9390546,EXC
2014-02-10,24.4428,24.6094,24.3429,24.4845,7130167,EXC
2014-02-11,24.4262,24.6677,24.2679,24.5428,7617930,EXC
2014-02-12,24.5428,24.5512,24.2314,24.3576,5453861,EXC
2014-02-13,24.3071,24.9047,24.2819,24.7448,9758902,EXC
2014-02-14,24.6943,25.0814,24.6269,25.0309,7361988,EXC
2014-02-18,25.0478,25.4013,24.9426,25.2918,8592493,EXC
2014-02-19,25.2161,25.5275,25.0393,25.2161,7017696,EXC
2014-02-20,25.1993,25.4854,25.0225,25.4433,6189211,EXC
2014-02-21,25.4686,25.8473,25.3339,25.6033,8391757,EXC
2014-02-24,25.6033,26.0493,25.5612,25.578,10331880,EXC
2014-02-25,25.5528,25.8726,25.4097,25.5528,5712028,EXC
2014-02-26,25.6201,25.7968,25.5359,25.6033,3632197,EXC
2014-02-27,25.5528,25.6538,25.2161,25.3928,6059666,EXC
2014-02-28,25.4938,25.7337,25.4602,25.5948,4558963,EXC
2014-03-03,25.4518,25.5359,25.2666,25.275,3731141,EXC
2014-03-04,25.477,25.6706,25.275,25.5864,5405788,EXC
2014-03-05,25.5948,25.6706,25.4055,25.4854,3923230,EXC
2014-03-06,25.4181,25.578,24.9215,25.0898,7124686,EXC
2014-03-07,24.9804,25.1025,24.5259,25.0983,8027872,EXC
2014-03-10,25.0898,25.2161,24.9131,25.1488,4319143,EXC
2014-03-11,25.3676,25.3676,24.9804,25.1151,3017005,EXC
2014-03-12,25.0393,25.4097,24.9804,25.4013,3311804,EXC
2014-03-13,25.3928,25.8221,25.376,25.679,4760385,EXC
2014-03-14,25.6117,25.982,25.5359,25.7884,5138045,EXC
2014-03-17,25.8642,26.1377,25.6874,26.1083,5664281,EXC
2014-03-18,26.1672,26.3103,26.0157,26.2177,4165336,EXC
2014-03-19,26.2513,26.5375,26.0073,26.1419,8728501,EXC
2014-03-20,26.0325,26.4617,25.7379,26.4028,7417698,EXC
2014-03-21,27.4381,27.6653,26.8742,27.396,14184870,EXC
2014-03-24,27.4044,27.7495,27.3707,27.7158,9380261,EXC
2014-03-25,27.699,27.8042,27.3287,27.7158,6488479,EXC
2014-03-26,27.7158,27.7747,26.9836,27.3034,10412048,EXC
2014-03-27,27.3202,27.699,27.0593,27.6232,6203770,EXC
