date,open,high,low,close,volume,Name
2016-07-01,,,,49.018,0,FTV
2016-07-05,48.8795,53.7674,47.8851,48.0879,6230697,FTV
2016-07-06,46.574,48.0879,45.8023,47.2469,6706473,FTV
2016-07-07,47.1182,47.4942,46.8461,47.237,5486829,FTV
2016-07-08,47.4547,50.0767,47.0292,49.6711,4243498,FTV
2016-07-11,48.6915,50.6902,48.4639,50.5814,6042339,FTV
2016-07-12,50.4626,50.522,49.7304,50.0372,5552928,FTV
2016-07-13,50.0372,50.5616,49.3049,50.0866,4864712,FTV
2016-07-14,49.7997,51.1948,49.4237,51.0266,3481590,FTV
2016-07-15,51.2344,51.363,50.0767,50.6902,3689804,FTV
2016-07-18,50.235,51.0365,49.9778,50.7496,1557534,FTV
2016-07-19,50.5022,51.0167,49.9085,51.0068,1954651,FTV
2016-07-20,51.2938,51.3729,49.4831,49.8096,3351687,FTV
2016-07-21,49.8689,50.0866,49.4633,49.7106,3037115,FTV
2016-07-22,49.4732,49.7601,48.7706,48.8795,2450622,FTV
2016-07-25,48.7014,48.929,47.3557,48.4639,3044828,FTV
2016-07-26,48.0483,48.8993,47.7713,48.7607,1571409,FTV
2016-07-27,48.5629,48.9784,48.2017,48.4045,1628596,FTV
2016-07-28,48.2264,48.5727,47.8356,48.1374,2923057,FTV
2016-07-29,47.9494,48.2858,47.5041,47.702,4484073,FTV
2016-08-01,47.6031,47.9989,47.0886,47.2963,2980989,FTV
2016-08-02,46.9995,47.514,46.6829,46.9995,3267301,FTV
2016-08-03,46.9995,48.9586,46.8511,48.7607,4709939,FTV
2016-08-04,49.0675,49.582,48.9586,49.5028,3046799,FTV
2016-08-05,49.7304,50.4428,49.7304,50.047,2665875,FTV
2016-08-08,50.0965,50.334,49.4138,49.5226,2116463,FTV
2016-08-09,48.2165,49.9976,47.9103,49.9283,1077911,FTV
2016-08-10,49.9382,50.2647,49.5721,49.9184,1182411,FTV
2016-08-11,50.1955,52.1546,50.1658,51.9963,1992681,FTV
2016-08-12,51.4521,52.3129,51.2542,52.1546,1287802,FTV
2016-08-15,52.3921,53.2034,52.303,53.0946,1457937,FTV
2016-08-16,53.0154,53.3815,52.7087,52.9858,1002284,FTV
2016-08-17,53.1045,53.1639,52.778,52.8472,1032288,FTV
2016-08-18,52.6592,52.9561,52.3723,52.5999,874672,FTV
2016-08-19,52.3921,52.3921,51.1651,51.3729,1196193,FTV
2016-08-22,51.3729,51.4917,50.5418,50.7199,1081677,FTV
2016-08-23,50.8188,51.551,50.6011,51.3533,2513773,FTV
2016-08-24,50.7885,51.3037,50.1386,50.8975,692793,FTV
2016-08-25,50.7092,51.4127,50.5111,51.1452,1384867,FTV
2016-08-26,51.165,51.8586,51.056,51.3929,937562,FTV
2016-08-29,51.3037,52.3044,51.0857,51.9279,1044848,FTV
2016-08-30,51.7099,52.9782,51.7099,52.1261,952121,FTV
2016-08-31,51.9874,52.3341,51.5217,52.1855,1653599,FTV
2016-09-01,52.4729,52.6215,51.6604,52.1459,959371,FTV
2016-09-02,52.5323,52.9782,52.3242,52.889,840803,FTV
2016-09-06,53.0079,53.0574,51.809,52.245,1293788,FTV
2016-09-07,51.9477,52.6314,51.5415,52.453,1743200,FTV
2016-09-08,52.1954,52.4729,51.7892,51.8487,1097798,FTV
2016-09-09,51.2938,51.5316,50.085,50.085,2170702,FTV
2016-09-12,49.5599,50.9668,49.4014,50.739,1862444,FTV
2016-09-13,50.3922,50.9272,49.5104,49.5797,1607116,FTV
2016-09-14,49.5896,50.0355,49.1834,49.5599,1152272,FTV
2016-09-15,49.5203,50.1346,49.0447,50.0256,1417223,FTV
2016-09-16,49.6491,49.9265,48.9654,49.7977,2351863,FTV
2016-09-19,49.9463,50.9322,49.9166,50.3129,975306,FTV
2016-09-20,50.3129,50.6102,49.7482,49.7878,1070439,FTV
2016-09-21,50.0058,50.5408,49.7581,50.5111,850841,FTV
2016-09-22,50.8777,51.5118,50.8182,51.165,1649215,FTV
2016-09-23,50.8281,51.1056,50.1841,50.412,807188,FTV
2016-09-26,50.194,51.0164,49.8373,50.7489,1066265,FTV
2016-09-27,50.63,51.3037,50.5804,51.1353,1196391,FTV
2016-09-28,51.2641,51.2938,50.8777,51.2443,905666,FTV
2016-09-29,50.6201,51.1353,50.1643,50.2336,1458059,FTV
2016-09-30,50.6498,50.7984,49.8175,50.4318,1952443,FTV
2016-10-03,50.1445,51.1847,50.1445,50.9173,1361493,FTV
2016-10-04,50.7885,50.9767,50.0949,50.3426,1212754,FTV
2016-10-05,50.5507,50.8232,50.1346,50.4714,884504,FTV
2016-10-06,50.3625,50.5012,50.0355,50.2336,764013,FTV
2016-10-07,50.0355,50.3426,49.4113,49.4707,1055658,FTV
2016-10-10,49.768,49.8571,49.441,49.4905,1021172,FTV
2016-10-11,49.4608,49.6986,48.5691,48.7673,1401859,FTV
2016-10-12,48.9456,48.9456,48.2025,48.5394,1620016,FTV
2016-10-13,48.1827,49.223,47.5585,48.3709,1209563,FTV
2016-10-14,48.6186,49.4757,48.3611,49.0051,872344,FTV
2016-10-17,49.1041,49.1334,48.4601,48.6087,1116544,FTV
2016-10-18,49.1933,49.8571,48.5493,48.6385,1152647,FTV
2016-10-19,48.8168,49.338,48.0143,48.9357,759918,FTV
2016-10-20,48.688,48.7276,47.9944,48.252,1419279,FTV
2016-10-21,47.7765,48.4403,47.6873,48.2223,1706970,FTV
2016-10-24,48.4205,48.8069,47.9152,48.1034,1269604,FTV
2016-10-25,48.0539,48.0539,47.4198,47.4792,1279439,FTV
2016-10-26,47.3603,47.6774,47.1027,47.3306,1574685,FTV
2016-10-27,47.2513,47.2513,46.3794,47.0532,3144196,FTV
2016-10-28,49.768,51.2144,49.2726,49.7482,3978783,FTV
2016-10-31,49.7482,50.8777,49.5797,50.5804,1561747,FTV
2016-11-01,50.4714,50.5507,49.5302,50.0256,1775822,FTV
2016-11-02,49.9859,50.6795,49.8175,49.8571,879788,FTV
2016-11-03,49.8274,50.7291,49.5302,50.5111,1145737,FTV
2016-11-04,50.5507,51.1848,50.0751,50.6399,1568224,FTV
2016-11-07,51.0956,51.591,50.5656,51.3136,1413931,FTV
2016-11-08,51.4028,52.3143,50.8975,52.1657,1165927,FTV
2016-11-09,51.5118,53.4339,51.4269,52.9683,1673874,FTV
2016-11-10,53.4538,54.831,53.2011,53.7015,1796173,FTV
2016-11-11,53.5925,54.2365,52.7899,52.9088,1431376,FTV
2016-11-14,53.1664,53.5627,52.998,53.3249,2630365,FTV
2016-11-15,53.4438,53.9492,53.1961,53.6222,1703435,FTV
2016-11-16,53.2952,53.9541,53.216,53.9392,1533521,FTV
2016-11-17,53.8798,54.1572,53.424,53.9987,933070,FTV
2016-11-18,53.9789,54.2464,53.5925,54.1275,1214944,FTV
2016-11-21,53.751,54.6526,53.5033,54.3257,1391314,FTV
2016-11-22,54.3058,55.3277,54.1273,54.9308,1333194,FTV
2016-11-23,55.1689,55.4864,54.8316,55.3574,1052992,FTV
2016-11-25,55.6352,55.7047,55.0102,55.5261,489276,FTV
2016-11-28,55.6352,55.7939,54.8812,55.1491,1054130,FTV
2016-11-29,54.9209,55.536,54.7721,54.8416,1077962,FTV
2016-11-30,55.2086,55.7096,54.3654,54.5539,4718924,FTV
2016-12-01,54.7027,54.7721,53.5715,53.7602,3325307,FTV
2016-12-02,53.8594,54.5935,53.5816,54.0479,2545434,FTV
2016-12-05,54.3356,54.4546,53.1451,53.4824,1420805,FTV
2016-12-06,53.5419,53.6908,53.1154,53.5717,2281347,FTV
