date,open,high,low,close,volume,Name
2014-01-24,157.4837,158.82,156.2596,156.6521,4182028,GS
2014-01-27,156.1288,156.6147,152.718,153.8954,5599857,GS
2014-01-28,154.2132,155.6335,153.802,155.3532,3190078,GS
2014-01-29,153.2226,155.213,152.8956,153.1572,3489836,GS
2014-01-30,154.4935,155.2784,153.7833,154.9701,2850700,GS
2014-01-31,153.0638,155.1,152.5965,153.3628,3420994,GS
2014-02-03,154.3253,154.671,149.2979,149.3446,5112315,GS
2014-02-04,150.3539,151.9191,149.3727,151.1575,3366839,GS
2014-02-05,150.0642,151.9892,149.8119,149.9053,3238037,GS
2014-02-06,150.5968,151.3818,149.6064,151.1481,3798525,GS
2014-02-07,152.1106,152.2228,149.7651,151.3163,5003902,GS
2014-02-10,150.466,151.1668,149.7745,150.4473,4331377,GS
2014-02-11,150.6435,154.1459,149.8025,153.6151,5034450,GS
2014-02-12,153.7179,154.4,152.5311,152.7834,3067337,GS
2014-02-13,151.8957,153.6244,151.4752,153.3067,3138242,GS
2014-02-14,152.6246,153.7179,152.2508,152.989,4221951,GS
2014-02-18,153.288,154.7365,152.989,153.8581,3425988,GS
2014-02-19,153.1666,155.2878,152.2975,152.5592,3730651,GS
2014-02-20,152.7741,154.1571,152.0095,153.7179,2656478,GS
2014-02-21,153.531,154.7916,153.3908,153.7179,2601608,GS
2014-02-24,153.3254,156.4372,153.3254,155.6242,3268511,GS
2014-02-25,155.2224,155.3999,152.4657,152.7648,3706698,GS
2014-02-26,153.0741,153.6695,150.7395,152.6428,3987988,GS
2014-02-27,152.5115,155.4463,152.2115,155.0618,3853776,GS
2014-02-28,154.5274,157.3496,154.3024,156.0651,4291928,GS
2014-03-03,153.9742,154.9962,153.4492,154.4618,3122876,GS
2014-03-04,156.2432,158.231,155.8307,158.2028,3453120,GS
2014-03-05,158.2685,162.1127,157.7529,161.1751,4465314,GS
2014-03-06,161.9345,163.144,161.7282,161.8314,3408257,GS
2014-03-07,163.1253,164.6348,162.3096,163.3878,4095634,GS
2014-03-10,162.769,163.6028,161.7095,162.6846,2191673,GS
2014-03-11,163.1065,163.1065,159.253,159.2905,3837217,GS
2014-03-12,158.5779,159.3842,157.3402,159.1311,2565816,GS
2014-03-13,159.8437,160.5553,156.1776,156.2995,3421385,GS
2014-03-14,156.487,156.9511,154.7337,155.0337,2762052,GS
2014-03-17,155.9995,158.2685,155.9526,156.4308,3207398,GS
2014-03-18,156.8339,158.456,156.5901,157.6028,1941251,GS
2014-03-19,157.9778,159.5436,156.3932,157.6872,3534103,GS
2014-03-20,157.4059,159.8155,156.8339,158.6623,3950521,GS
2014-03-21,159.1029,159.3936,156.4964,156.5339,4795425,GS
2014-03-24,156.7027,157.4996,154.7993,155.3806,2722989,GS
2014-03-25,156.1964,156.9746,152.6428,153.0647,4437493,GS
2014-03-26,154.4618,154.7056,151.6302,151.6396,2597634,GS
2014-03-27,151.7052,153.121,150.7395,152.1646,3890239,GS
2014-03-28,152.0896,153.9461,151.227,152.174,2630486,GS
2014-03-31,153.0366,153.8992,152.099,153.6273,2494292,GS
2014-04-01,154.4805,155.9151,153.9742,155.5682,3325853,GS
2014-04-02,155.5494,157.0871,155.3853,156.8339,2407076,GS
2014-04-03,156.8714,157.209,154.7056,155.7275,2337292,GS
2014-04-04,156.5901,156.6183,152.6897,153.0554,3267440,GS
2014-04-07,152.7835,153.0179,148.5501,148.6673,4650839,GS
2014-04-08,148.7986,148.8549,145.7795,146.7921,6844255,GS
2014-04-09,147.3078,149.0799,146.6609,148.2923,4009981,GS
2014-04-10,148.5267,148.9674,146.0889,146.2483,4806565,GS
2014-04-11,144.8138,144.8513,142.1885,143.1917,6461662,GS
2014-04-14,145.1419,145.449,143.848,145.0857,3053683,GS
2014-04-15,145.3295,146.2858,143.5481,145.2545,3639593,GS
2014-04-16,146.5859,147.4766,145.442,147.4109,3196346,GS
2014-04-17,150.9832,151.3677,147.5328,147.6172,4526106,GS
2014-04-21,147.6735,148.3954,146.4827,147.9548,4551711,GS
2014-04-22,147.8047,150.777,147.4578,150.4488,4547285,GS
2014-04-23,150.2613,150.8989,149.3424,150.4394,2040561,GS
2014-04-24,150.9926,151.9959,150.5707,150.8145,2934201,GS
2014-04-25,150.4676,150.7395,148.0579,148.3673,3302143,GS
2014-04-28,148.7049,148.9204,144.3918,146.7734,3897822,GS
2014-04-29,147.2328,148.4986,146.8671,148.3673,2160500,GS
2014-04-30,148.4986,150.355,148.3204,149.8487,2745673,GS
2014-05-01,149.83,150.9551,149.7362,150.3644,2079547,GS
2014-05-02,150.4488,151.7427,148.6767,148.9674,2562493,GS
2014-05-05,146.7359,147.1109,144.8794,146.5952,3016295,GS
2014-05-06,146.1264,146.1264,144.5606,144.8982,3073107,GS
2014-05-07,145.7139,146.5577,144.1199,145.817,3261095,GS
2014-05-08,146.042,148.3486,145.517,147.5797,2719646,GS
2014-05-09,147.7391,148.0485,145.967,147.3922,2637013,GS
2014-05-12,148.0579,149.9706,148.0579,149.5956,2256120,GS
2014-05-13,149.605,150.8604,149.2018,150.28,1901488,GS
