date,open,high,low,close,volume,Name
2014-01-24,224.1972,227.3807,216.7841,218.1098,1658474,GWW
2014-01-27,217.9565,219.4715,213.6457,215.4764,824681,GWW
2014-01-28,215.9544,215.9724,214.0335,214.5114,641842,GWW
2014-01-29,213.5104,216.8833,212.7348,214.782,495369,GWW
2014-01-30,214.791,216.261,213.6637,213.8892,402747,GWW
2014-01-31,211.0393,212.9332,209.4611,211.4632,538545,GWW
2014-02-03,211.4812,211.4812,205.7906,206.7827,702347,GWW
2014-02-04,207.9911,209.0914,206.3137,208.5863,634767,GWW
2014-02-05,207.6304,210.859,207.3959,208.2076,612795,GWW
2014-02-06,209.602,212.0377,208.5607,211.8385,449517,GWW
2014-02-07,212.4452,213.7219,209.7378,211.8838,844099,GWW
2014-02-10,211.1866,214.3467,210.5437,212.1464,643771,GWW
2014-02-11,209.9823,216.4203,208.3615,215.379,715589,GWW
2014-02-12,215.9675,216.959,215.0113,215.551,508261,GWW
2014-02-13,214.7904,217.0632,213.0881,216.9907,644954,GWW
2014-02-14,219.7072,222.7134,218.2222,222.4508,715530,GWW
2014-02-18,222.8945,224.5968,221.8804,224.3433,607898,GWW
2014-02-19,223.9268,225.783,222.7768,224.5606,625610,GWW
2014-02-20,223.8,226.77,223.5012,224.5968,593941,GWW
2014-02-21,225.122,226.9511,224.4429,225.6834,546148,GWW
2014-02-24,226.5889,228.5085,225.9913,227.8294,711963,GWW
2014-02-25,227.7932,228.9522,226.2267,226.4983,624637,GWW
2014-02-26,226.9873,228.2731,225.8192,227.7026,635923,GWW
2014-02-27,222.3693,229.0428,214.8357,229.0065,267871,GWW
2014-02-28,229.5317,231.5147,229.0256,230.9171,667195,GWW
2014-03-03,229.2329,229.7943,227.096,229.3506,489590,GWW
2014-03-04,231.8045,232.2346,229.4683,230.8085,416048,GWW
2014-03-05,230.9714,233.2985,230.3331,232.6828,320939,GWW
2014-03-06,232.9273,234.865,231.9856,233.1446,422589,GWW
2014-03-07,234.041,234.8198,232.2844,232.6647,407466,GWW
2014-03-10,229.912,232.4275,229.912,231.5962,310515,GWW
2014-03-11,233.2804,233.2804,229.3144,229.8486,337054,GWW
2014-03-12,227.0597,228.581,225.0948,228.0286,591291,GWW
2014-03-13,229.6313,229.7038,222.3331,222.6048,675565,GWW
2014-03-14,221.8441,225.0315,220.9296,223.6823,635039,GWW
2014-03-17,224.0988,228.0015,224.0988,227.8928,440980,GWW
2014-03-18,227.8928,229.6132,227.0235,229.1967,362744,GWW
2014-03-19,229.3778,229.4955,224.461,226.3354,417729,GWW
2014-03-20,225.3303,227.4582,223.7366,227.3133,358208,GWW
2014-03-21,229.3416,230.4644,226.9918,228.1554,887387,GWW
2014-03-24,229.1786,229.577,227.0507,227.6936,372797,GWW
2014-03-25,228.5629,231.1163,228.5629,230.5459,426553,GWW
2014-03-26,231.4876,231.7411,227.0145,227.0235,429849,GWW
2014-03-27,227.7389,228.5085,225.7287,226.5889,429196,GWW
2014-03-28,227.1775,228.1463,225.6291,225.8736,505686,GWW
2014-03-31,228.0015,229.414,226.5436,228.7802,559069,GWW
2014-04-01,229.9482,230.8718,228.5538,229.1333,542067,GWW
2014-04-02,229.0609,231.9403,229.0065,230.8809,347877,GWW
2014-04-03,231.3518,232.8911,230.4282,232.4746,354266,GWW
2014-04-04,233.1084,234.8288,230.3557,230.5278,543100,GWW
2014-04-07,229.8577,229.9664,223.139,223.311,395159,GWW
2014-04-08,223.1933,229.8849,222.0524,229.4683,533750,GWW
2014-04-09,231.1797,234.5028,230.8085,234.1406,641310,GWW
2014-04-10,234.3308,234.7202,228.2369,228.3908,447838,GWW
2014-04-11,228.1735,230.8175,226.3716,226.5798,513479,GWW
2014-04-14,227.7751,227.7751,223.6098,225.4027,475652,GWW
2014-04-15,226.3354,227.5215,223.4197,227.0688,687817,GWW
2014-04-16,231.8045,233.6152,225.0678,226.5527,745883,GWW
2014-04-17,225.9551,230.5368,225.1401,228.3184,596927,GWW
2014-04-21,228.0286,229.405,227.5668,228.3727,299781,GWW
2014-04-22,229.414,231.5419,228.6353,230.9443,372758,GWW
2014-04-23,230.3557,231.7321,230.3557,230.8718,270626,GWW
2014-04-24,231.5872,231.6234,227.1684,228.6625,308098,GWW
2014-04-25,227.7479,227.766,224.1079,225.7649,485991,GWW
2014-04-28,226.7972,227.766,223.2205,226.3987,370125,GWW
2014-04-29,227.3495,228.0648,224.6059,224.7598,286993,GWW
2014-04-30,224.6421,230.736,222.8583,230.3557,739853,GWW
2014-05-01,231.1163,231.1163,228.0467,228.8617,323918,GWW
2014-05-02,228.4633,230.3738,228.264,228.4089,278924,GWW
2014-05-05,226.933,228.581,226.3725,227.9109,200112,GWW
2014-05-06,227.2952,227.9471,226.444,227.1594,237612,GWW
2014-05-07,226.77,228.9069,226.5708,228.4542,327293,GWW
2014-05-08,226.6082,230.9551,225.8253,229.4273,334399,GWW
2014-05-09,229.0999,229.1636,226.9447,228.1542,304965,GWW
2014-05-12,228.7271,231.7826,228.7271,231.5462,379541,GWW
2014-05-13,231.8372,232.6283,229.5274,230.9551,346351,GWW
2014-05-14,231.4825,231.8372,229.7092,230.5913,256606,GWW
2014-05-15,230.2458,231.6189,228.2269,229.3728,451388,GWW
2014-05-16,229.6001,231.2552,228.6634,231.146,330372,GWW
2014-05-19,231.0096,233.0467,229.782,232.9011,282520,GWW
2014-05-20,232.0281,232.6374,226.0081,227.1902,448070,GWW
2014-05-21,227.4994,229.8365,226.7628,229.491,343617,GWW
2014-05-22,229.5274,230.7095,228.7453,229.3,200126,GWW
2014-05-23,229.4364,230.6368,227.7722,230.2821,194408,GWW
2014-05-27,231.2097,232.0372,229.6092,229.9002,299679,GWW
2014-05-28,230.564,232.3828,229.5001,231.4461,234803,GWW
2014-05-29,232.5465,233.465,230.6823,233.3831,242521,GWW
2014-05-30,233.1921,235.8384,232.592,234.9563,406383,GWW
2014-06-02,235.2928,237.8691,234.1652,236.4932,306405,GWW
2014-06-03,236.0567,239.6306,235.7111,239.2668,530385,GWW
2014-06-04,239.0758,240.9855,237.6117,237.7754,314104,GWW
2014-06-05,237.8391,241.0128,236.0203,240.9946,528341,GWW
2014-06-06,241.322,244.3048,240.9946,243.5045,284757,GWW
2014-06-09,243.5045,244.8322,241.7585,243.1589,343241,GWW
2014-06-10,243.3317,244.7322,242.6497,244.7231,335755,GWW
2014-06-11,243.6682,245.2505,242.6861,244.8231,337500,GWW
2014-06-12,240.6218,240.9855,235.8384,236.6296,938620,GWW
2014-06-13,236.9297,237.6026,235.5747,236.2659,432325,GWW
2014-06-16,235.9476,236.766,234.7745,236.5387,216526,GWW
2014-06-17,235.5656,236.2022,233.9378,234.8745,285924,GWW
2014-06-18,234.7199,236.0294,232.1646,235.8839,407218,GWW
2014-06-19,235.9203,239.2668,235.1928,237.439,479857,GWW
2014-06-20,238.4938,239.5032,237.3025,237.7481,361007,GWW
2014-06-23,238.3665,238.3665,235.9294,236.375,180183,GWW
2014-06-24,235.7566,236.4295,232.8011,232.8921,328084,GWW
