date,open,high,low,close,volume,Name
2014-01-24,44.8012,45.1517,44.6697,44.9326,1522960,HAS
2014-01-27,44.9414,45.3182,44.5821,44.7836,1197675,HAS
2014-01-28,44.8275,45.6688,44.6259,45.5461,1905407,HAS
2014-01-29,45.0553,45.2569,44.2666,44.5383,1340296,HAS
2014-01-30,44.696,45.0027,44.547,44.9055,1074610,HAS
2014-01-31,43.0603,43.5461,42.1505,43.3871,4776746,HAS
2014-02-03,41.9385,43.5638,41.9385,42.4685,2313923,HAS
2014-02-04,42.6628,43.4313,42.4067,42.9985,1641802,HAS
2014-02-05,42.8395,43.3871,42.6451,43.0691,1716459,HAS
2014-02-06,43.3164,44.107,43.2635,43.8641,2096246,HAS
2014-02-07,44.0937,44.4206,43.6521,44.2439,1775357,HAS
2014-02-10,44.9947,47.4149,44.2439,46.249,6195559,HAS
2014-02-11,46.3373,46.4433,45.7013,46.2578,1854959,HAS
2014-02-12,45.9928,46.2401,45.8073,45.8868,2264369,HAS
2014-02-13,45.8073,46.8408,45.6218,46.7436,1148755,HAS
2014-02-14,46.7613,46.8408,46.3373,46.6553,841283,HAS
2014-02-18,46.6464,46.8054,46.2136,46.7789,1896108,HAS
2014-02-19,46.5493,47.6004,46.3638,47.5827,2261764,HAS
2014-02-20,47.7329,48.1039,47.5297,47.936,1646725,HAS
2014-02-21,47.9537,48.254,47.8742,47.9625,1257903,HAS
2014-02-24,48.2717,48.5985,48.0597,48.1215,2047795,HAS
2014-02-25,48.1922,48.4572,48.0553,48.2982,979935,HAS
2014-02-26,48.1392,48.8017,48.042,48.6162,1257565,HAS
2014-02-27,48.5455,48.7398,48.3401,48.6073,1282526,HAS
2014-02-28,48.3954,49.0932,48.1215,48.7222,1367550,HAS
2014-03-03,48.4395,48.6515,48.1017,48.2717,769434,HAS
2014-03-04,48.6162,49.0932,48.3954,48.5455,1246412,HAS
2014-03-05,48.4219,48.5588,48.1127,48.4307,1067569,HAS
2014-03-06,48.5632,48.8635,48.413,48.6515,866375,HAS
2014-03-07,48.8635,49.1108,48.3424,48.3777,967665,HAS
2014-03-10,48.4042,48.4925,48.1304,48.4395,631261,HAS
2014-03-11,48.2894,48.3865,48.0597,48.1392,1226212,HAS
2014-03-12,47.8389,48.2982,47.5562,48.2099,1283476,HAS
2014-03-13,48.413,48.7487,47.9449,48.2629,1456990,HAS
