date,open,high,low,close,volume,Name
2014-01-24,71.4953,71.8455,71.0912,71.0912,7120767,HD
2014-01-27,70.8217,71.1001,70.5164,70.8936,6591287,HD
2014-01-28,70.4266,70.8846,69.8886,70.5344,10586815,HD
2014-01-29,70.3009,70.7229,68.819,68.8639,9195417,HD
2014-01-30,69.3579,69.8339,68.8369,69.0885,6821172,HD
2014-01-31,68.4329,69.5734,68.1185,69.0166,10598937,HD
2014-02-03,68.828,68.9088,67.2923,67.436,9527573,HD
2014-02-04,67.8132,68.1185,66.6098,67.3282,9573497,HD
2014-02-05,67.1127,67.8446,66.4212,67.5887,10093459,HD
2014-02-06,67.5258,68.4329,67.5079,68.3969,6107248,HD
2014-02-07,68.4059,68.7921,68.1185,68.6574,6223667,HD
2014-02-10,68.7562,68.7831,68.1455,68.6215,6343591,HD
2014-02-11,68.6484,69.1423,68.4059,68.8819,6293074,HD
2014-02-12,69.0705,69.4477,68.855,69.4028,7346941,HD
2014-02-13,69.4567,69.9285,69.0974,69.6812,6587379,HD
2014-02-14,69.8249,70.1661,69.4387,69.9865,4754671,HD
2014-02-18,69.9775,70.1212,69.2142,69.6632,4954868,HD
2014-02-19,69.3758,69.6183,68.6125,68.6574,7768088,HD
2014-02-20,68.7831,69.6542,68.7382,69.5824,5852270,HD
2014-02-21,69.4746,70.0853,69.4746,69.8159,7765502,HD
2014-02-24,69.9057,70.2739,69.5644,69.9326,11743785,HD
2014-02-25,71.5581,72.7436,71.2438,72.7256,13425902,HD
2014-02-26,72.7346,74.2793,72.555,73.3722,9737916,HD
2014-02-27,73.3363,73.8213,72.3934,73.6147,6041528,HD
2014-02-28,73.5429,74.6295,73.0938,73.6686,7239956,HD
2014-03-03,72.5011,73.6685,72.4023,73.6417,8359542,HD
2014-03-04,74.441,74.7194,74.2793,74.423,6368258,HD
2014-03-05,74.4589,74.7194,74.1581,74.4589,5071030,HD
2014-03-06,74.3422,74.441,73.8482,74.0099,6174796,HD
2014-03-07,74.1895,74.2434,73.6776,74.1356,5288531,HD
2014-03-10,74.0368,74.1266,73.3992,73.8033,4139181,HD
2014-03-11,73.7852,73.9297,73.2072,73.424,4667987,HD
2014-03-12,72.9181,73.0265,72.4756,72.7646,7048929,HD
2014-03-13,73.2162,73.2162,71.1026,71.1749,7665899,HD
2014-03-14,71.193,72.1504,71.1659,71.6988,6739016,HD
2014-03-17,71.8704,72.4259,71.5814,71.8794,5547699,HD
2014-03-18,71.9426,72.7646,71.9155,72.0962,5032641,HD
2014-03-19,72.2317,72.6968,71.7168,72.033,6568371,HD
2014-03-20,71.9968,72.4756,71.7801,72.3401,5097855,HD
2014-03-21,72.9633,73.9749,72.4846,72.6381,10086173,HD
2014-03-24,72.6291,72.6743,71.5362,71.9517,7574336,HD
2014-03-25,72.3039,72.3401,71.5,71.7801,5375497,HD
2014-03-26,71.7981,72.0601,71.0846,71.2381,6365519,HD
2014-03-27,71.0213,71.3736,70.7865,71.0665,5803263,HD
2014-03-28,71.2833,71.8072,70.8949,71.1026,5132693,HD
2014-03-31,71.5452,71.6536,71.211,71.473,5736200,HD
2014-04-01,71.5723,72.5207,71.5723,71.6988,6697949,HD
2014-04-02,71.8433,72.9452,71.7936,72.2136,6611747,HD
2014-04-03,72.2136,72.2768,71.3375,71.7168,5505760,HD
2014-04-04,71.9336,71.9878,70.8949,71.1026,6422052,HD
2014-04-07,71.0755,71.0755,69.5762,69.6665,11121603,HD
2014-04-08,69.4678,69.9465,69.0252,69.6484,7372045,HD
2014-04-09,69.7659,70.3891,69.6755,70.2355,8028618,HD
2014-04-10,70.1091,70.651,69.2781,69.3504,6208182,HD
2014-04-11,69.2058,69.6033,68.3297,68.3749,8399700,HD
2014-04-14,68.9168,69.4226,68.2033,68.6187,8677247,HD
2014-04-15,68.9078,69.0071,67.3903,68.5465,7022954,HD
2014-04-16,69.0252,69.1697,68.4652,69.1697,6104717,HD
2014-04-17,68.8807,70.1633,68.5646,69.6304,6875585,HD
2014-04-21,70.7684,70.7684,70.1542,70.4162,6254150,HD
2014-04-22,71.1207,72.4665,71.0213,71.9607,11189099,HD
2014-04-23,72.1414,72.3039,70.8498,70.922,7497133,HD
2014-04-24,71.3284,72.0872,71.1026,72.051,7275948,HD
2014-04-25,71.7259,71.9878,71.3826,71.6988,6381366,HD
2014-04-28,71.8343,73.2975,71.6536,72.4123,14562447,HD
2014-04-29,72.5478,72.5478,71.8252,71.8252,5147142,HD
2014-04-30,72.0239,72.0239,71.1117,71.8162,8529063,HD
2014-05-01,71.8162,71.9426,71.3104,71.6536,3936731,HD
2014-05-02,71.6446,72.4033,71.4955,71.7168,3738436,HD
2014-05-05,71.3917,71.5181,70.9581,71.0755,3521058,HD
2014-05-06,71.0304,71.1343,69.8652,69.9284,6475767,HD
2014-05-07,70.3168,70.4162,69.1155,69.6213,5378709,HD
2014-05-08,69.4949,70.2084,69.242,69.5942,5485251,HD
2014-05-09,69.6033,70.2265,69.3775,70.1904,4345789,HD
2014-05-12,70.2897,70.8497,70.227,70.6962,4324568,HD
2014-05-13,70.7775,71.062,69.5852,69.793,5455496,HD
2014-05-14,69.8471,69.8833,68.7994,68.9258,6870062,HD
2014-05-15,68.691,68.9078,68.0316,68.8626,6304743,HD
2014-05-16,69.3594,69.8833,69.2398,69.8742,7039965,HD
2014-05-19,69.1697,69.6123,68.98,69.0975,7742147,HD
2014-05-20,70.3801,71.193,69.9104,70.4162,15432815,HD
2014-05-21,70.6781,70.913,70.2265,70.5246,6693930,HD
2014-05-22,70.2355,71.4007,70.2355,71.1568,5266571,HD
2014-05-23,71.1478,71.7168,70.913,71.5181,5004516,HD
2014-05-27,71.6988,72.2588,71.6265,71.9788,4765351,HD
2014-05-28,72.033,72.2588,71.5994,71.9697,4002211,HD
2014-05-29,72.1504,72.2497,71.753,72.1685,4408854,HD
2014-05-30,72.051,72.5027,71.8794,72.4665,4527602,HD
2014-06-02,72.4846,73.2162,72.4123,73.0175,6817733,HD
2014-06-03,72.854,73.4808,72.8176,73.2901,5477706,HD
2014-06-04,72.9721,73.4899,72.7359,73.1719,4961627,HD
2014-06-05,73.2901,73.4627,72.9357,73.0266,5666434,HD
2014-06-06,73.2083,73.8352,73.1447,73.2628,4460494,HD
2014-06-09,73.2537,73.8806,73.0629,73.2355,3718643,HD
2014-06-10,72.9176,73.4536,72.8812,73.3537,4249496,HD
2014-06-11,73.0993,73.3446,72.4633,72.5087,4918112,HD
2014-06-12,72.436,72.4815,71.046,71.255,7644311,HD
2014-06-13,71.3095,71.4003,70.6372,70.9279,7971901,HD
2014-06-16,70.828,71.8546,70.828,71.682,7171923,HD
2014-06-17,71.6275,73.0993,71.5275,72.6995,9587295,HD
2014-06-18,72.7086,73.3718,72.4906,73.3264,8071483,HD
2014-06-19,73.3264,73.4536,72.6359,73.0811,5095449,HD
2014-06-20,73.3082,73.4082,72.5542,72.8358,13661014,HD
2014-06-23,72.8267,73.4082,72.6541,73.2628,4920429,HD
2014-06-24,73.0266,73.4354,72.5269,73.072,5579388,HD
2014-06-25,73.0084,73.2355,72.7904,73.1629,4486434,HD
2014-06-26,73.0902,73.5626,72.7904,73.3627,5165279,HD
2014-06-27,73.2719,74.0169,73.2537,73.708,5011045,HD
2014-06-30,73.608,73.7988,73.1174,73.5535,5046410,HD
2014-07-01,73.8806,74.4711,73.7897,74.3348,5234564,HD
2014-07-02,74.353,74.6619,74.1531,74.4802,4185721,HD
2014-07-03,74.562,74.8164,74.3167,74.5438,2764040,HD
2014-07-07,74.2531,74.5802,73.7171,73.9714,6071028,HD
2014-07-08,73.9714,74.0714,73.181,73.3718,7322936,HD
2014-07-09,73.6898,73.7988,72.8403,73.3446,6981406,HD
2014-07-10,71.8183,72.2998,70.8189,72.1362,11532172,HD
2014-07-11,72.3089,72.5905,71.9636,72.327,4746427,HD
2014-07-14,72.6087,72.7359,71.9454,72.1907,7657313,HD
2014-07-15,72.2271,72.7359,72.1544,72.5542,6052321,HD
2014-07-16,72.7177,72.8994,72.1181,72.3725,9033661,HD
2014-07-17,72.4996,72.9357,72.1817,72.754,5323227,HD
2014-07-18,72.4996,72.9357,72.1817,72.754,5323239,HD
2014-07-21,72.6904,72.7086,72.2498,72.4179,4112787,HD
2014-07-22,73.0084,73.3627,72.8631,73.1719,6336102,HD
2014-07-23,73.0993,73.6716,72.8721,73.608,3676298,HD
2014-07-24,73.7625,74.0805,73.4899,73.7716,4359832,HD
2014-07-25,73.6807,73.8624,73.4899,73.6171,4680707,HD
2014-07-28,73.7716,73.8988,73.281,73.6535,3441590,HD
2014-07-29,73.7807,74.3258,73.4899,73.5717,4537437,HD
2014-07-30,74.0441,74.3621,73.6535,74.2803,5808459,HD
2014-07-31,73.6716,74.1168,73.4536,73.4536,5749154,HD
2014-08-01,73.1901,73.6625,72.4451,72.4542,8708569,HD
2014-08-04,72.4088,72.9085,72.3725,72.7086,7025005,HD
2014-08-05,72.4815,73.4627,72.4815,72.7086,5895525,HD
2014-08-06,72.6268,73.608,72.5451,73.1538,4228246,HD
2014-08-07,73.3627,73.6535,72.9448,73.1084,4045922,HD
2014-08-08,73.6535,74.9163,73.4808,74.889,7226693,HD
2014-08-11,75.0526,75.4705,74.9526,75.2979,3952040,HD
2014-08-12,75.1798,75.4887,75.1162,75.3342,3657210,HD
2014-08-13,75.3887,75.7567,75.1707,75.5159,4498701,HD
2014-08-14,75.4887,76.2836,75.1707,76.1882,4922998,HD
2014-08-15,76.3472,76.3972,75.2661,76.0338,5383543,HD
2014-08-18,76.5062,76.8787,75.6731,75.9429,9481596,HD
2014-08-19,78.9501,80.8489,78.6503,80.1584,18244640,HD
2014-08-20,80.1039,82.7386,80.0222,82.4479,13399352,HD
2014-08-21,82.3843,83.4091,82.3752,82.8113,8316018,HD
2014-08-22,82.4388,82.9748,82.3571,82.7023,6940088,HD
2014-08-25,82.9022,83.42,82.6296,82.8567,7328730,HD
2014-08-26,82.6569,83.4291,82.5842,83.2474,5397060,HD
2014-08-27,83.2928,83.5472,82.9576,83.4654,4321230,HD
2014-08-28,83.0384,84.2468,82.9203,84.0469,7575902,HD
2014-08-29,84.2559,84.9645,84.1377,84.9463,7673516,HD
2014-09-02,84.9555,85.202,82.0427,83.2297,20753212,HD
2014-09-03,83.1932,83.3758,81.2483,81.2665,15413898,HD
2014-09-04,81.2665,82.8645,81.2665,82.1157,8453181,HD
2014-09-05,81.8692,83.6771,81.523,83.6497,7748251,HD
2014-09-08,83.4397,83.805,82.7001,82.9284,4888298,HD
2014-09-09,82.3714,82.481,81.0611,81.2026,8105284,HD
2014-09-10,80.9561,81.6318,80.6547,81.4948,6245512,HD
2014-09-11,81.3304,81.65,80.9195,81.4674,4538983,HD
2014-09-12,81.6135,81.7231,80.7735,81.1204,4593705,HD
