date,open,high,low,close,volume,Name
2014-01-24,30.5251,30.5888,29.7797,29.7888,6257723,HIG
2014-01-27,29.8615,30.1524,29.0525,29.7615,9682051,HIG
2014-01-28,30.0524,30.5978,29.9888,30.4615,4687696,HIG
2014-01-29,30.0888,30.4842,29.7524,29.8797,5272240,HIG
2014-01-30,30.2979,30.7796,30.2706,30.6797,4473640,HIG
2014-01-31,30.0888,30.6797,29.9161,30.2251,4565995,HIG
2014-02-03,30.4251,30.4342,29.1161,29.2525,7776273,HIG
2014-02-04,29.607,30.1161,29.5525,29.8343,8371139,HIG
2014-02-05,29.9979,30.5433,29.7888,30.4888,6833178,HIG
2014-02-06,30.5251,30.9342,30.4615,30.8706,3971145,HIG
2014-02-07,30.9524,31.3251,30.7887,31.2796,3390382,HIG
2014-02-10,31.1887,31.1978,30.8706,31.116,3677602,HIG
2014-02-11,31.0433,31.6069,31.0433,31.4887,3992581,HIG
2014-02-12,31.4341,31.7978,31.3932,31.5432,2905764,HIG
2014-02-13,31.1887,31.4523,30.9978,31.4069,3739497,HIG
2014-02-14,31.2887,31.5887,31.1614,31.516,2186240,HIG
2014-02-18,31.5523,31.7159,31.3523,31.6614,2127103,HIG
2014-02-19,31.5614,31.8068,31.1637,31.2342,3608585,HIG
2014-02-20,31.1705,31.316,30.8069,31.216,2791679,HIG
2014-02-21,31.2705,31.4432,31.1523,31.1887,2078622,HIG
2014-02-24,31.2342,31.7614,31.2069,31.4887,2715327,HIG
2014-02-25,31.4432,31.4614,31.016,31.2523,4273435,HIG
2014-02-26,31.2887,31.416,30.9251,31.3523,3304719,HIG
2014-02-27,31.3251,31.616,31.2045,31.525,2302686,HIG
2014-02-28,31.6069,32.1432,31.4251,31.9887,3572108,HIG
2014-03-03,31.6432,31.8705,31.4796,31.5978,4374962,HIG
2014-03-04,32.0432,32.6068,31.925,32.5704,5279696,HIG
2014-03-05,32.525,32.7977,32.4068,32.7886,3684323,HIG
2014-03-06,32.9894,33.2268,32.8342,32.9894,3169241,HIG
2014-03-07,33.2085,33.3089,32.6334,32.8342,4526749,HIG
2014-03-10,32.743,32.8525,32.4235,32.7338,2298521,HIG
2014-03-11,32.7886,32.8251,32.4783,32.5604,3167075,HIG
2014-03-12,32.3322,32.4783,31.9306,32.4417,2981123,HIG
2014-03-13,32.5513,32.5695,31.8119,31.894,3002516,HIG
2014-03-14,31.8301,32.8525,31.5928,32.177,7306695,HIG
2014-03-17,32.5239,32.7704,32.0857,32.1405,2526004,HIG
2014-03-18,32.1588,32.3139,31.894,32.031,5213000,HIG
2014-03-19,32.0036,32.2227,31.6932,31.8028,4353078,HIG
2014-03-20,31.7662,32.4783,31.748,32.3687,3705083,HIG
2014-03-21,32.6699,32.7704,32.2957,32.3322,3986177,HIG
2014-03-24,32.4509,32.5695,32.0675,32.2957,2388559,HIG
2014-03-25,32.4144,32.6197,32.0492,32.2592,3321749,HIG
2014-03-26,32.4783,32.5777,31.8393,31.8575,3070281,HIG
2014-03-27,31.8119,31.894,31.0999,31.465,4668771,HIG
2014-03-28,31.6567,31.9808,31.5289,31.8393,2476544,HIG
2014-03-31,32.0949,32.3413,32.0127,32.1953,2174725,HIG
2014-04-01,32.3596,32.6334,32.3322,32.5787,3045234,HIG
2014-04-02,32.5878,32.9347,32.4509,32.816,3121259,HIG
2014-04-03,32.9164,33.0305,32.606,32.889,2555847,HIG
2014-04-04,33.0898,33.1811,32.2683,32.2866,3626183,HIG
2014-04-07,32.1679,32.2135,31.5289,31.7936,4531667,HIG
2014-04-08,31.7297,31.9214,31.4741,31.8301,3495098,HIG
2014-04-09,31.9488,32.0036,31.5198,31.9488,4394104,HIG
2014-04-10,31.9853,32.0584,31.0542,31.0542,5613435,HIG
2014-04-11,30.8078,30.8626,30.3605,30.397,6500685,HIG
2014-04-14,30.7621,30.9264,30.4436,30.7804,5711949,HIG
2014-04-15,30.8626,31.1181,30.3925,30.9995,4603291,HIG
2014-04-16,31.3555,31.5472,31.2003,31.4924,4238944,HIG
2014-04-17,31.4924,31.8119,31.4011,31.6476,3012333,HIG
2014-04-21,31.5928,31.6293,31.3874,31.5107,2648918,HIG
2014-04-22,31.5198,31.7662,31.4102,31.6658,3016995,HIG
2014-04-23,31.5928,31.894,31.5837,31.7206,2213353,HIG
2014-04-24,31.9032,31.9853,31.5654,31.821,2836724,HIG
2014-04-25,31.6932,31.9716,31.4194,31.9306,5665514,HIG
2014-04-28,32.25,32.2683,31.0725,31.465,5953074,HIG
2014-04-29,31.7845,32.1223,31.4741,32.0949,8303804,HIG
2014-04-30,32.104,32.7795,31.9853,32.743,6739818,HIG
2014-05-01,32.6334,32.7795,32.4874,32.7338,5785551,HIG
2014-05-02,32.7612,33.1537,32.5969,32.6608,3220590,HIG
2014-05-05,32.4052,32.6836,32.2318,32.5604,2380935,HIG
2014-05-06,32.3778,32.5056,31.9123,31.9214,3970821,HIG
2014-05-07,32.0857,32.2683,31.8758,32.25,3614558,HIG
2014-05-08,32.2135,32.6973,32.1861,32.3596,2681603,HIG
2014-05-09,32.2866,32.387,31.7662,32.0218,4125832,HIG
2014-05-12,32.25,32.5148,32.1679,32.4874,2479576,HIG
2014-05-13,32.4783,32.5695,32.104,32.1223,3350008,HIG
2014-05-14,32.1131,32.1496,31.5654,31.6476,3402091,HIG
2014-05-15,31.5472,31.6019,30.7074,31.2551,5143656,HIG
2014-05-16,31.1912,31.4102,30.9538,31.3007,4248428,HIG
2014-05-19,31.109,31.319,30.9538,31.2825,4150911,HIG
2014-05-20,31.2459,31.3555,30.8899,31.0999,2728606,HIG
2014-05-21,31.2459,31.5335,31.1547,31.3555,2617658,HIG
2014-05-22,31.3281,31.6019,31.2642,31.5928,3422590,HIG
2014-05-23,31.5654,31.8393,31.465,31.7115,2344556,HIG
2014-05-27,31.8119,31.9123,31.6978,31.8301,3194292,HIG
2014-05-28,31.894,31.894,31.5791,31.6019,3336595,HIG
2014-05-29,31.6845,31.932,31.5836,31.9137,2334594,HIG
2014-05-30,31.8036,32.0695,31.6753,31.767,2462565,HIG
2014-06-02,31.9137,32.1704,31.8036,31.987,2599276,HIG
2014-06-03,31.9687,32.4546,31.8495,32.4454,3301402,HIG
2014-06-04,32.3812,32.8763,32.3262,32.7204,2952854,HIG
2014-06-05,32.8213,32.968,32.5004,32.913,3060440,HIG
2014-06-06,32.9588,33.2522,32.9038,33.2155,2218381,HIG
2014-06-09,33.1422,33.3072,33.0642,33.1513,2201553,HIG
2014-06-10,32.9863,33.353,32.9221,33.3439,2682838,HIG
2014-06-11,33.1605,33.3026,32.9863,33.1605,1740160,HIG
2014-06-12,33.0597,33.2522,32.7434,32.8396,1708316,HIG
2014-06-13,32.7021,32.9771,32.6288,32.7571,2009155,HIG
2014-06-16,32.6746,32.7113,32.4729,32.6746,1504024,HIG
2014-06-17,32.5096,32.9955,32.4637,32.968,2197333,HIG
2014-06-18,32.8763,33.0413,32.6104,32.9955,2893595,HIG
2014-06-19,33.0597,33.078,32.7938,33.023,1424244,HIG
2014-06-20,33.1422,33.1605,32.9496,33.023,2512803,HIG
2014-06-23,32.9588,33.0688,32.7397,33.0413,1994958,HIG
2014-06-24,32.8946,33.2522,32.7754,32.803,1639718,HIG
2014-06-25,32.6654,33.0551,32.6196,32.9405,1705631,HIG
2014-06-26,32.8946,32.9863,32.4454,32.8488,1603279,HIG
2014-06-27,32.7663,32.913,32.5463,32.6929,2161969,HIG
2014-06-30,32.7113,32.968,32.5921,32.8305,1668174,HIG
2014-07-01,32.9771,33.5456,32.913,33.3989,3266653,HIG
2014-07-02,33.3255,33.4401,32.9405,32.9955,2659439,HIG
2014-07-03,33.2889,33.8023,33.2613,33.7839,3011736,HIG
2014-07-07,33.4172,33.7564,33.3439,33.7381,3650097,HIG
2014-07-08,33.5822,33.6739,33.463,33.4905,2933201,HIG
2014-07-09,33.5456,33.6831,33.3439,33.5456,1542334,HIG
