date,open,high,low,close,volume,Name
2014-01-24,57.2086,57.5328,55.9731,56.0958,1488978,HOG
2014-01-27,56.3149,56.972,55.4387,56.2711,1637120,HOG
2014-01-28,56.4551,57.156,56.2623,56.8757,1022137,HOG
2014-01-29,56.1659,56.9983,55.8505,56.1133,2142534,HOG
2014-01-30,58.1024,58.4353,54.5099,55.3686,2821980,HOG
2014-01-31,54.6238,54.8954,53.9491,54.0542,2565967,HOG
2014-02-03,54.1594,54.3469,53.0553,53.6512,2373955,HOG
2014-02-04,53.8352,54.7377,53.5986,54.615,2029977,HOG
2014-02-05,54.2119,54.7552,53.6862,54.4573,1474359,HOG
2014-02-06,54.9392,56.7793,54.9392,56.5339,2247685,HOG
2014-02-07,56.7092,57.0771,56.2711,56.937,1243476,HOG
2014-02-10,56.9458,57.2261,56.2097,56.5953,993355,HOG
2014-02-11,56.7004,56.8932,56.1922,56.6829,1037973,HOG
2014-02-12,56.6654,57.4978,56.6216,57.1035,1910577,HOG
2014-02-13,56.788,56.9239,56.3674,56.7442,1115373,HOG
2014-02-14,56.8806,57.1974,56.5022,57.1798,1011872,HOG
2014-02-18,56.8542,56.9334,55.7454,56.1062,1415894,HOG
2014-02-19,56.0094,56.4406,55.4815,55.5255,954392,HOG
2014-02-20,55.6046,56.643,55.2104,56.5902,1544479,HOG
2014-02-21,56.4494,57.0038,56.379,56.599,1137128,HOG
2014-02-24,56.6254,57.259,56.562,57.0038,1138966,HOG
2014-02-25,56.687,56.7662,55.7894,56.3086,1497130,HOG
2014-02-26,56.4846,56.7574,56.159,56.6254,1547456,HOG
2014-02-27,56.6078,57.5582,56.6078,57.5494,1047309,HOG
2014-02-28,57.4262,58.7109,57.215,58.1301,1614233,HOG
2014-03-03,57.5318,57.7781,56.5726,57.2326,1282991,HOG
2014-03-04,57.8705,58.6582,57.8398,58.4733,1074889,HOG
2014-03-05,58.4733,59.1421,58.2621,58.9309,1322883,HOG
2014-03-06,59.0541,59.9428,59.0277,59.6437,1418796,HOG
2014-03-07,59.8549,60.2772,59.7757,59.9341,1099416,HOG
2014-03-10,59.4853,59.4853,58.5437,59.3181,1254649,HOG
2014-03-11,59.4941,60.066,59.172,59.9253,1321448,HOG
2014-03-12,59.5469,60.0132,59.4941,59.8285,787460,HOG
2014-03-13,60.0484,60.2618,58.9837,59.1421,850279,HOG
2014-03-14,59.0717,59.4677,58.7329,59.1509,735944,HOG
2014-03-17,59.3973,59.7933,59.1861,59.5205,658676,HOG
