date,open,high,low,close,volume,Name
2015-10-19,13.5457,13.5457,12.0667,12.1179,1581576,HPE
2015-10-20,11.8983,12.3962,11.8983,12.3522,709632,HPE
2015-10-21,12.6305,12.7037,12.0081,12.0667,78598,HPE
2015-10-22,12.2351,12.484,11.891,12.4108,110000,HPE
2015-10-23,12.6305,12.6305,12.3376,12.4474,59910,HPE
2015-10-26,12.528,12.528,11.9422,12.0228,514799,HPE
2015-10-27,12.1253,12.2644,11.4223,11.5175,636017,HPE
2015-10-28,11.642,11.9715,11.6017,11.9202,296321,HPE
2015-10-29,11.7226,11.9129,11.3857,11.6786,290446,HPE
2015-10-30,11.642,11.7884,10.778,10.778,2449278,HPE
2015-11-02,10.9758,11.1076,10.1484,10.6097,40866212,HPE
2015-11-03,10.3022,10.7708,10.0129,10.5145,40205820,HPE
2015-11-04,10.5365,10.6243,9.9654,10.002,31525806,HPE
2015-11-05,9.9873,10.1704,9.6066,9.7237,22190459,HPE
2015-11-06,9.6505,10.6024,9.6285,10.5438,30049954,HPE
2015-11-09,10.4413,10.6024,10.3461,10.3974,17528088,HPE
2015-11-10,10.3461,10.5731,10.2582,10.5511,14777765,HPE
2015-11-11,10.3974,10.4779,10.3168,10.3315,11009387,HPE
2015-11-12,10.1118,10.1191,9.9507,10.0313,20371666,HPE
2015-11-13,9.9654,10.0752,9.6285,9.8043,14924533,HPE
2015-11-16,9.7896,9.9654,9.6212,9.7969,13781675,HPE
2015-11-17,9.7969,9.8775,9.6066,9.6798,12420759,HPE
2015-11-18,9.8702,10.0532,9.6568,9.9873,13020475,HPE
2015-11-19,9.9068,10.1704,9.8995,10.0898,13171491,HPE
2015-11-20,10.0898,10.7122,10.0166,10.4047,18559394,HPE
2015-11-23,10.3754,10.4047,9.9361,10.1411,15317345,HPE
2015-11-24,9.9434,10.2692,9.8848,10.0239,24110878,HPE
2015-11-25,10.185,10.8806,10.1338,10.3388,22677094,HPE
2015-11-27,10.3388,10.7195,10.2875,10.5072,6041718,HPE
2015-11-30,10.4193,10.9831,10.3827,10.8806,29104253,HPE
2015-12-01,10.8953,11.6275,10.8733,11.4298,25106564,HPE
2015-12-02,11.254,11.3785,10.8879,10.9465,12681142,HPE
2015-12-03,10.9831,11.2321,10.6756,10.7049,18905240,HPE
2015-12-04,10.5365,11.1991,10.4266,11.1442,12001085,HPE
2015-12-07,11.023,11.3757,10.9642,11.3537,9546047,HPE
2015-12-08,11.0891,11.2361,10.7437,11.1479,11617601,HPE
2015-12-09,11.0156,11.3096,10.7878,10.9127,14261925,HPE
2015-12-10,10.8686,10.8833,10.6776,10.8172,11350209,HPE
2015-12-11,11.0156,11.3169,10.391,10.4204,10614763,HPE
2015-12-14,10.5086,10.6555,10.2293,10.6114,11528144,HPE
2015-12-15,10.6629,11.0083,10.6445,10.6996,12888739,HPE
2015-12-16,10.7437,10.8833,10.6923,10.8025,7840968,HPE
2015-12-17,10.7364,10.8172,10.4498,10.5159,7625458,HPE
2015-12-18,10.4865,10.571,10.2881,10.4057,19337615,HPE
2015-12-21,10.3763,10.582,10.1926,10.3028,9863255,HPE
2015-12-22,10.3175,10.391,10.2294,10.3322,7292476,HPE
2015-12-23,10.4277,11.0009,10.3248,10.9568,11252128,HPE
