date,open,high,low,close,volume,Name
2014-01-24,78.1181,78.3363,77.2996,77.2996,517088,IFF
2014-01-27,77.1905,77.6815,76.854,77.3542,720121,IFF
2014-01-28,77.918,79.5367,77.918,79.3003,512485,IFF
2014-01-29,78.7001,78.9092,77.7725,78.0635,551276,IFF
2014-01-30,78.4727,79.8459,78.3909,79.3912,442199,IFF
2014-01-31,78.3363,79.2184,78.0271,78.8274,443727,IFF
2014-02-03,78.6,79.2421,76.372,76.4266,402337,IFF
2014-02-04,76.6903,76.8722,76.0173,76.2447,448766,IFF
2014-02-05,75.9355,77.2996,75.3989,76.9813,375065,IFF
2014-02-06,77.054,78.2699,76.9267,78.1453,317033,IFF
2014-02-07,78.5637,79.1548,78.4182,79.0366,260271,IFF
2014-02-10,78.9456,79.8368,78.6864,79.8186,301471,IFF
2014-02-11,80.0551,80.7644,79.7641,80.5462,295012,IFF
2014-02-12,80.5553,80.8508,79.6822,80.1278,582714,IFF
2014-02-13,80.6189,82.4559,79.6368,82.3559,630095,IFF
2014-02-14,82.9561,83.7018,82.4377,83.429,387232,IFF
2014-02-18,83.6927,84.2111,83.3108,84.1565,449004,IFF
2014-02-19,83.9655,84.8386,83.1653,83.2198,384540,IFF
2014-02-20,83.3471,83.7473,82.706,83.6382,405116,IFF
2014-02-21,83.8928,84.2384,83.0743,83.1107,386329,IFF
2014-02-24,83.238,83.8018,83.0925,83.1562,276804,IFF
2014-02-25,83.1107,84.0474,82.9743,83.4017,422842,IFF
2014-02-26,83.6109,85.0841,83.6063,84.8568,584599,IFF
2014-02-27,84.7294,85.0295,84.4521,84.7385,372199,IFF
2014-02-28,84.9295,85.7662,84.6658,85.2933,505889,IFF
2014-03-03,85.2114,89.04,84.7658,85.4842,602841,IFF
2014-03-04,86.3937,87.3494,85.5843,87.2849,571010,IFF
2014-03-05,87.1121,87.3122,86.3391,86.6483,496640,IFF
2014-03-06,86.9211,87.1376,86.3482,86.6028,405767,IFF
2014-03-07,86.9211,86.9666,86.2936,86.6665,368673,IFF
2014-03-10,86.7301,87.0484,86.0845,86.6483,299559,IFF
2014-03-11,86.9757,87.6941,85.6479,85.7389,396251,IFF
2014-03-12,85.4206,85.7934,85.241,85.5388,396415,IFF
2014-03-13,85.8207,86.23,84.2384,84.3384,469722,IFF
2014-03-14,84.3748,85.0841,84.302,84.4293,484772,IFF
2014-03-17,84.8568,85.6207,84.6021,85.0659,350749,IFF
2014-03-18,85.2387,85.4206,84.7567,85.0932,253859,IFF
2014-03-19,85.1205,85.3115,83.9474,84.3202,255748,IFF
2014-03-20,84.1656,84.8295,83.9201,84.8022,517530,IFF
2014-03-21,85.5388,85.657,84.9477,85.2751,769946,IFF
2014-03-24,85.7662,86.1699,84.0201,84.4021,296935,IFF
2014-03-25,84.9135,85.3518,84.5482,85.2605,493898,IFF
2014-03-26,85.4614,85.8084,84.5573,84.5573,398714,IFF
2014-03-27,84.6486,85.3975,84.2194,85.1144,441421,IFF
2014-03-28,85.1966,86.3016,85.1783,85.9728,349492,IFF
2014-03-31,86.5847,87.4523,86.4879,87.3701,513529,IFF
2014-04-01,87.4249,88.1098,87.1509,88.0459,429968,IFF
2014-04-02,88.1372,88.2194,87.7902,88.0642,707158,IFF
2014-04-03,88.2742,88.6121,87.7445,88.3838,612045,IFF
2014-04-04,88.6943,88.9591,86.3381,86.6212,439659,IFF
2014-04-07,86.603,86.9135,85.1235,85.3792,749971,IFF
2014-04-08,85.1418,85.4431,84.1737,85.0231,619143,IFF
2014-04-09,85.1144,86.2742,84.8404,86.1463,409325,IFF
2014-04-10,86.2559,86.3016,84.1098,84.1098,339816,IFF
2014-04-11,83.6897,84.2285,83.3883,83.6075,460504,IFF
2014-04-14,84.1281,84.6578,83.9728,84.4568,303752,IFF
2014-04-15,84.4842,85.3062,84.1098,85.1144,520349,IFF
2014-04-16,85.6258,86.5482,85.4249,86.192,375750,IFF
2014-04-17,86.4568,87.0413,86.4386,86.8861,377288,IFF
2014-04-21,86.7765,86.9043,86.2559,86.8952,284753,IFF
2014-04-22,86.9957,87.8632,86.9957,87.5071,327852,IFF
2014-04-23,87.4523,87.708,87.2769,87.5893,325998,IFF
2014-04-24,87.9546,88.1737,87.0961,87.3792,269089,IFF
2014-04-25,87.0048,87.4249,86.6121,86.9591,361205,IFF
2014-04-28,87.16,87.4614,86.4842,87.2057,678350,IFF
2014-04-29,87.6075,88.5573,87.6075,88.4112,435484,IFF
2014-04-30,88.1555,90.0094,87.8724,89.9728,611235,IFF
2014-05-01,90.1281,90.3929,89.539,89.7537,428738,IFF
2014-05-02,89.6989,90.0642,89.0139,89.1966,620385,IFF
2014-05-05,88.9043,89.4705,88.4934,89.3518,385102,IFF
2014-05-06,89.5893,89.7062,88.7126,89.5527,484945,IFF
2014-05-07,89.5253,91.3244,89.4979,91.3244,455154,IFF
2014-05-08,91.1053,92.1738,90.0094,90.4112,378452,IFF
2014-05-09,90.2742,90.4477,89.6349,89.7811,472140,IFF
2014-05-12,90.3016,90.6395,89.8176,90.1372,466642,IFF
2014-05-13,90.3929,90.6121,89.5071,89.6806,333420,IFF
2014-05-14,89.6167,89.6715,88.7308,88.8221,375346,IFF
2014-05-15,88.7126,88.7947,87.224,87.918,470030,IFF
2014-05-16,88.0094,88.9409,87.8267,88.9043,342084,IFF
2014-05-19,88.7582,89.5893,88.676,89.434,234538,IFF
2014-05-20,89.434,89.4979,88.2103,88.5299,270775,IFF
2014-05-21,88.7765,89.8815,88.7765,89.5893,273571,IFF
2014-05-22,89.4614,89.9984,89.2879,89.5527,198685,IFF
2014-05-23,89.4979,90.3381,89.3154,90.2833,157746,IFF
