date,open,high,low,close,volume,Name
2014-01-24,14.8615,14.8877,14.5303,14.6349,4291008,IPG
2014-01-27,14.6175,14.661,14.2252,14.356,5046127,IPG
2014-01-28,14.4344,14.6349,14.4257,14.6262,3355416,IPG
2014-01-29,14.4954,14.5346,14.3167,14.3298,3526169,IPG
2014-01-30,14.4693,14.5564,14.3734,14.4431,2757035,IPG
2014-01-31,14.1991,14.3734,14.1293,14.2252,3920851,IPG
2014-02-03,14.2426,14.3037,13.8591,13.9899,5977846,IPG
2014-02-04,14.016,14.4083,14.016,14.2688,5824935,IPG
2014-02-05,14.1903,14.2688,14.0509,14.1816,4887924,IPG
2014-02-06,14.2601,14.5564,14.2252,14.5564,5406498,IPG
2014-02-07,14.5913,14.6523,14.3908,14.4693,3572059,IPG
2014-02-10,14.4344,14.5826,14.2949,14.4693,3746787,IPG
2014-02-11,14.5477,14.5739,14.369,14.4257,5358267,IPG
2014-02-12,14.4257,14.7918,14.4083,14.7831,3212573,IPG
2014-02-13,14.7221,14.94,14.661,14.9312,3569270,IPG
2014-02-14,14.8179,14.8615,14.2644,14.3647,9610278,IPG
2014-02-18,14.417,14.4344,14.1991,14.3124,7921637,IPG
2014-02-19,14.3211,14.7744,14.2949,14.5564,5617113,IPG
2014-02-20,14.6175,14.8572,14.5739,14.8354,3963329,IPG
2014-02-21,14.8615,14.8877,14.6698,14.6785,2709695,IPG
2014-02-24,14.7221,15.0707,14.6872,14.9661,3741594,IPG
2014-02-25,14.94,14.9923,14.8005,14.9835,4006681,IPG
2014-02-26,14.9835,15.0184,14.8528,14.9138,3657127,IPG
2014-02-27,14.9533,15.3302,14.8831,15.3302,5977242,IPG
2014-02-28,15.3389,15.6282,15.3389,15.5318,4856246,IPG
2014-03-03,15.3389,15.3389,14.9445,15.0935,4167291,IPG
2014-03-04,15.2951,15.3477,15.1811,15.1899,3017120,IPG
2014-03-05,15.2337,15.2776,15.076,15.1811,3566549,IPG
2014-03-06,15.225,15.4704,15.2074,15.4178,4671638,IPG
2014-03-07,15.4616,15.58,15.3652,15.558,2958524,IPG
2014-03-10,15.5142,15.5668,15.2337,15.3039,6234464,IPG
2014-03-11,15.3039,15.4266,15.1724,15.3302,2962482,IPG
2014-03-12,15.2776,15.7772,15.1461,15.3039,3058592,IPG
2014-03-13,15.3477,15.4003,15.168,15.2425,5290764,IPG
2014-03-14,15.2074,15.2688,14.9401,14.9883,3072365,IPG
2014-03-17,15.0497,15.1636,14.9445,15.0058,3806118,IPG
2014-03-18,15.0321,15.225,14.8919,15.1987,2713673,IPG
2014-03-19,15.1724,15.2337,14.8744,14.9971,2690270,IPG
2014-03-20,14.9533,15.1548,14.9094,15.0321,3095205,IPG
2014-03-21,15.0847,15.1373,14.8919,14.9094,5353076,IPG
2014-03-24,14.9182,15.0409,14.778,14.8656,4218256,IPG
2014-03-25,14.9533,15.0409,14.813,14.8393,2436206,IPG
2014-03-26,14.8919,14.9357,14.5588,14.5676,3368423,IPG
2014-03-27,14.5588,14.7078,14.515,14.6903,4001960,IPG
2014-03-28,14.7254,15.1373,14.7078,14.9357,3668295,IPG
2014-03-31,15.0497,15.076,14.9007,15.0234,4146411,IPG
2014-04-01,15.1023,15.1987,14.9576,15.1636,5755698,IPG
2014-04-02,15.1636,15.1899,15.0847,15.1023,5078324,IPG
2014-04-03,15.1636,15.2819,14.962,14.9795,3985265,IPG
2014-04-04,15.0497,15.0847,14.8042,14.8305,5471698,IPG
2014-04-07,14.7867,14.813,14.3572,14.4536,4431046,IPG
2014-04-08,14.4624,14.6903,14.4273,14.4536,5142444,IPG
2014-04-09,14.5325,14.7692,14.4887,14.6728,3452849,IPG
2014-04-10,14.6552,14.778,14.4098,14.4449,4138205,IPG
2014-04-11,14.366,14.4011,14.1995,14.2696,5482583,IPG
2014-04-14,14.3485,14.4098,14.217,14.3134,3094412,IPG
2014-04-15,14.366,14.4712,14.1469,14.2871,5141779,IPG
2014-04-16,14.4186,14.9007,14.3748,14.8831,4802681,IPG
2014-04-17,14.9007,14.9883,14.8042,14.8393,3303133,IPG
2014-04-21,14.8481,14.905,14.7517,14.7867,4406498,IPG
2014-04-22,15.3564,15.7158,15.1636,15.2162,11310861,IPG
2014-04-23,15.2776,15.4003,15.2074,15.2776,3736767,IPG
2014-04-24,15.3652,15.374,14.8831,15.1636,6374675,IPG
2014-04-25,15.111,15.1811,14.9708,15.076,3856784,IPG
2014-04-28,15.0146,15.1548,14.6377,14.813,6934867,IPG
2014-04-29,14.8568,15.0847,14.8042,15.0234,9045827,IPG
2014-04-30,15.0146,15.3477,14.8568,15.2688,13654279,IPG
2014-05-01,15.3039,15.3915,15.1899,15.1987,3557133,IPG
2014-05-02,15.225,15.4353,15.1987,15.2513,7738446,IPG
2014-05-05,15.1724,15.3039,15.076,15.2688,2557203,IPG
2014-05-06,15.2513,15.4266,15.2513,15.3214,5633695,IPG
2014-05-07,15.4003,15.4792,15.1373,15.3302,8770169,IPG
2014-05-08,15.3039,15.5843,15.2337,15.2951,3692743,IPG
2014-05-09,15.5142,15.7596,15.4441,15.6369,17436424,IPG
2014-05-12,15.672,15.7509,15.5449,15.6983,4588409,IPG
2014-05-13,15.7158,15.7772,15.6501,15.7246,2662151,IPG
2014-05-14,15.6808,15.8122,15.5493,15.5493,6369252,IPG
2014-05-15,15.523,15.5405,15.2337,15.3915,4358039,IPG
2014-05-16,15.4003,15.6369,15.3126,15.6019,4582571,IPG
2014-05-19,15.5756,15.6895,15.5318,15.6194,3138741,IPG
2014-05-20,15.6106,15.7684,15.5756,15.7158,11029075,IPG
2014-05-21,15.6895,16.0927,15.6895,15.9875,8645960,IPG
2014-05-22,16.0226,16.2593,15.8999,16.2593,9316498,IPG
2014-05-23,16.2154,16.3206,16.1541,16.268,3758155,IPG
2014-05-27,16.4258,16.5748,16.3294,16.4959,11672241,IPG
2014-05-28,16.4784,16.6712,16.3907,16.5923,15395698,IPG
2014-05-29,16.68,17.0919,16.6186,16.7501,12741489,IPG
2014-05-30,16.7897,16.9219,16.6664,16.8426,7972122,IPG
2014-06-02,16.8514,16.9747,16.8251,16.9483,6134574,IPG
2014-06-03,16.8602,17.0452,16.8338,17.0188,7330020,IPG
2014-06-04,17.0011,17.076,16.9835,17.0188,6632289,IPG
2014-06-05,17.0892,17.2698,17.054,17.2478,3828131,IPG
2014-06-06,17.2478,17.2654,17.1509,17.1773,10945619,IPG
2014-06-09,17.2037,17.3579,17.0628,17.2918,10509177,IPG
2014-06-10,17.3006,17.4196,17.239,17.2478,8219193,IPG
2014-06-11,17.283,17.4019,17.2214,17.3447,6355491,IPG
2014-06-12,17.3095,17.3711,17.1685,17.2302,7310576,IPG
2014-06-13,17.2302,17.3095,17.1597,17.2302,7534527,IPG
2014-06-16,17.2654,17.283,17.0804,17.2214,5552072,IPG
2014-06-17,17.2126,17.3359,17.1597,17.283,3752356,IPG
2014-06-18,17.2566,17.2918,17.1509,17.2126,6040346,IPG
2014-06-19,17.1861,17.3447,16.9395,17.1773,6120472,IPG
2014-06-20,17.1773,17.3183,17.1773,17.3183,4988161,IPG
2014-06-23,17.3535,17.3799,17.1465,17.2214,5589108,IPG
2014-06-24,17.1685,17.1773,16.9747,17.0452,6758242,IPG
2014-06-25,17.0452,17.2037,16.9263,17.1421,6479344,IPG
2014-06-26,17.1245,17.1861,16.9835,17.0892,4678288,IPG
2014-06-27,17.1509,17.2566,17.0602,17.2037,6110032,IPG
2014-06-30,17.2126,17.283,17.0716,17.1861,7349524,IPG
2014-07-01,17.2214,17.2742,17.0892,17.1685,7120162,IPG
2014-07-02,17.1597,17.1773,17.054,17.0716,3547362,IPG
2014-07-03,17.2037,17.2214,17.054,17.0804,4633756,IPG
2014-07-07,17.0892,17.098,16.9571,17.0011,4811436,IPG
2014-07-08,17.0276,17.0452,16.6047,16.7105,8340884,IPG
2014-07-09,16.7985,16.9923,16.5959,16.9835,10024734,IPG
2014-07-10,16.7369,16.8778,16.6136,16.8514,9160907,IPG
2014-07-11,16.8338,17.0892,16.8162,17.0188,6387860,IPG
2014-07-14,16.9659,17.1333,16.5959,17.098,8416057,IPG
2014-07-15,16.9483,17.0716,16.9042,16.9747,10883951,IPG
2014-07-16,17.0628,17.1685,16.9483,16.9835,4763042,IPG
2014-07-17,17.0011,17.1245,16.7809,17.0892,8515785,IPG
