date,open,high,low,close,volume,Name
2014-01-24,18.3347,18.4209,18.0362,18.1821,3826149,IRM
2014-01-27,18.1755,18.4541,18.0096,18.0428,2440373,IRM
2014-01-28,18.0163,18.2683,17.9804,18.0693,1783345,IRM
2014-01-29,17.9566,18.1158,17.7244,17.7377,1665752,IRM
2014-01-30,17.8372,17.93,17.6713,17.731,1064691,IRM
2014-01-31,17.5387,17.6912,17.4524,17.5188,2541658,IRM
2014-02-03,17.5652,17.6249,17.0776,17.1805,3231508,IRM
2014-02-04,17.3065,17.5917,17.2468,17.5055,1965918,IRM
2014-02-05,17.3795,17.5917,17.3596,17.5453,1619097,IRM
2014-02-06,17.5652,18.0295,17.5519,17.9168,2013234,IRM
2014-02-07,18.0428,18.2219,17.6713,17.7377,2605077,IRM
2014-02-10,17.8173,18.1821,17.7576,17.8969,3019198,IRM
2014-02-11,17.8969,18.1357,17.8902,17.9897,1479848,IRM
2014-02-12,18.0229,18.0892,17.8703,18.0295,1179454,IRM
2014-02-13,17.9499,18.328,17.9101,18.3148,954285,IRM
2014-02-14,18.2949,18.6332,18.2352,18.5801,997114,IRM
2014-02-18,18.5867,18.8056,18.4872,18.7459,1240257,IRM
2014-02-19,18.6597,18.9582,18.6597,18.7791,1087324,IRM
2014-02-20,18.7758,18.8454,18.6398,18.7725,1164891,IRM
2014-02-21,18.8056,19.0577,18.6796,18.9781,1457653,IRM
2014-02-24,19.0046,19.3628,18.925,18.9847,1516906,IRM
2014-02-25,18.9648,19.1705,18.8985,19.1041,1274169,IRM
2014-02-26,19.1837,19.2368,18.8587,18.925,982142,IRM
2014-02-27,18.9118,19.1837,18.7658,18.8454,2092010,IRM
2014-02-28,19.1373,19.2965,17.9897,18.0428,3258571,IRM
2014-03-03,17.8438,18.2882,17.6581,18.2086,2153612,IRM
2014-03-04,18.3081,18.5403,18.2352,18.3546,1436377,IRM
2014-03-05,18.3877,18.5138,18.2551,18.328,895389,IRM
2014-03-06,18.3479,18.3546,18.129,18.2551,1026932,IRM
2014-03-07,18.2882,18.6498,18.2617,18.4474,2247851,IRM
2014-03-10,18.4209,18.6896,18.4209,18.6531,1542275,IRM
2014-03-11,18.6663,18.7857,18.2551,18.3148,1975524,IRM
2014-03-12,18.2285,18.4541,18.1158,18.4541,1063352,IRM
2014-03-13,18.4872,18.5927,18.2219,18.2949,1332742,IRM
2014-03-14,18.2882,18.5469,18.1556,18.1887,884386,IRM
2014-03-17,18.2949,18.4408,18.2484,18.4275,1011779,IRM
2014-03-18,18.4275,18.8454,18.3944,18.8189,1234319,IRM
2014-03-19,18.8255,18.9449,18.6,18.7393,1218869,IRM
2014-03-20,18.7194,18.7459,18.411,18.4806,977263,IRM
2014-03-21,18.494,18.8088,18.4203,18.494,2088012,IRM
2014-03-24,18.561,18.6079,18.2863,18.5208,1154975,IRM
2014-03-25,18.494,18.5677,18.2395,18.2462,1295697,IRM
2014-03-26,18.4203,18.4672,18.2127,18.2127,1004102,IRM
2014-03-27,18.206,18.2194,18.0117,18.0318,937461,IRM
2014-03-28,18.0787,18.3466,18.0701,18.1457,917716,IRM
2014-03-31,18.1323,18.4739,18.1055,18.4672,1729635,IRM
2014-04-01,18.5342,18.6748,18.4973,18.6481,1752016,IRM
2014-04-02,18.6615,18.8691,18.6079,18.8289,2106341,IRM
2014-04-03,18.715,18.8691,18.2127,18.36,2267203,IRM
2014-04-04,18.5074,18.7217,18.3868,18.4806,1842923,IRM
2014-04-07,18.4806,18.6213,18.4069,18.4136,1550971,IRM
2014-04-08,18.4538,18.4605,18.2596,18.3868,1967560,IRM
2014-04-09,18.4069,18.7686,18.36,18.7619,1215557,IRM
2014-04-10,18.7887,19.056,18.2997,18.2997,1926610,IRM
2014-04-11,18.1859,18.2462,17.5629,17.6031,2030026,IRM
2014-04-14,17.6835,17.7706,17.5294,17.6433,1455806,IRM
2014-04-15,17.6031,17.6902,17.3821,17.5964,1142987,IRM
2014-04-16,17.6902,18.5476,17.5696,18.2663,4074675,IRM
2014-04-17,18.2796,18.3332,17.938,18.1524,2258171,IRM
2014-04-21,18.1122,18.4203,18.1122,18.273,863238,IRM
2014-04-22,18.3131,18.4538,18.2663,18.427,751481,IRM
2014-04-23,18.4672,19.2777,18.4605,18.7083,1846109,IRM
2014-04-24,18.8021,18.8356,18.7016,18.8155,1451015,IRM
2014-04-25,18.8222,18.8356,18.4739,18.494,718530,IRM
2014-04-28,18.5878,18.715,18.4488,18.6481,709525,IRM
2014-04-29,18.7284,18.8222,18.6681,18.7954,763566,IRM
2014-04-30,18.7887,19.05,18.6949,19.05,1320176,IRM
2014-05-01,19.0433,19.2375,18.8557,18.9495,1848107,IRM
2014-05-02,18.849,18.9227,18.6146,18.8289,1188438,IRM
2014-05-05,18.7351,18.7954,18.4538,18.6213,1133199,IRM
2014-05-06,18.5744,18.6414,18.36,18.3734,1176495,IRM
2014-05-07,18.3734,18.4136,18.0988,18.1725,1021555,IRM
2014-05-08,18.1591,18.293,17.9715,18.0452,913760,IRM
2014-05-09,18.0117,18.0854,17.8844,18.072,611393,IRM
2014-05-12,18.1591,18.561,18.1591,18.3868,1240521,IRM
2014-05-13,18.4136,18.5811,18.2863,18.5744,1436664,IRM
2014-05-14,19.137,20.2021,19.1102,19.9073,6911512,IRM
2014-05-15,19.8203,19.9741,19.6528,19.827,4193530,IRM
2014-05-16,19.7734,20.1619,19.7466,20.1016,3321219,IRM
2014-05-19,20.0949,20.3092,20.0145,20.1887,1127840,IRM
2014-05-20,20.2088,20.2222,19.8236,19.9877,1723943,IRM
2014-05-21,20.0145,20.0949,19.7466,19.9609,1420599,IRM
2014-05-22,19.847,20.0078,19.7131,19.9743,1173143,IRM
2014-05-23,19.9609,20.1686,19.9341,20.1418,1118249,IRM
2014-05-27,20.2021,20.47,20.182,20.4633,1534348,IRM
2014-05-28,20.4298,20.8116,20.4298,20.6575,2239108,IRM
2014-05-29,20.604,20.825,20.5303,20.8049,1217094,IRM
2014-05-30,20.758,20.8652,20.691,20.8585,1499815,IRM
2014-06-02,20.8585,20.9389,20.6776,20.8652,1403918,IRM
2014-06-03,20.8451,20.8451,20.6508,20.7044,1229517,IRM
2014-06-04,20.6843,20.7178,20.5772,20.6174,1335311,IRM
2014-06-05,20.6977,20.9791,20.5772,20.9054,1336807,IRM
2014-06-06,20.9188,21.18,20.9121,21.1666,1193485,IRM
2014-06-09,21.1465,21.4814,21.1264,21.2738,1491858,IRM
2014-06-10,21.2805,21.3274,21.1063,21.1666,898721,IRM
2014-06-11,21.0728,21.1733,20.9255,20.9657,1101771,IRM
2014-06-12,20.9791,21.0126,20.6709,20.7379,1364261,IRM
2014-06-13,20.7513,20.8987,20.691,20.7647,1493607,IRM
2014-06-16,20.7714,20.835,20.4365,20.7245,1533076,IRM
2014-06-17,20.7647,20.9188,20.6241,20.6308,1137540,IRM
2014-06-18,20.6843,20.8585,20.2623,20.7044,1219694,IRM
2014-06-19,20.6709,20.7647,20.3561,20.4298,857050,IRM
2014-06-20,20.4968,20.6375,20.2222,20.2556,2043724,IRM
2014-06-23,20.2421,20.499,20.0198,20.4517,1651728,IRM
2014-06-24,20.4314,20.7355,20.1881,20.1881,1718999,IRM
2014-06-25,20.1408,20.3503,20.0259,20.1205,3261966,IRM
2014-06-26,24.1081,24.3311,23.7228,24.1554,15309615,IRM
2014-06-27,24.0135,24.1077,23.3376,23.5268,5991477,IRM
2014-06-30,23.7566,24.0337,23.4593,23.9594,4121476,IRM
2014-07-01,23.9324,23.9932,23.7431,23.8986,1591489,IRM
2014-07-02,23.9188,24.0202,23.8715,23.9932,1670723,IRM
2014-07-03,23.9932,24.0473,23.8546,23.9256,1408765,IRM
2014-07-07,23.8445,23.9526,23.6215,23.858,1731424,IRM
2014-07-08,23.8445,23.885,23.6958,23.7837,1371443,IRM
2014-07-09,23.8242,23.9999,23.7026,23.9391,965794,IRM
2014-07-10,23.689,23.8715,23.5404,23.8445,1300267,IRM
2014-07-11,23.8039,23.9729,23.6958,23.885,1375748,IRM
2014-07-14,23.885,23.9999,23.7701,23.8986,1119341,IRM
2014-07-15,23.9526,23.9999,23.4458,23.689,1861517,IRM
2014-07-16,23.8039,23.9256,23.6282,23.7566,1520282,IRM
2014-07-17,23.7296,23.7904,23.4525,23.5539,1177180,IRM
2014-07-18,23.3984,23.635,23.3241,23.4998,2369665,IRM
2014-07-21,23.4998,23.5471,23.1484,23.2295,2850687,IRM
2014-07-22,23.4322,23.662,23.3984,23.4052,1018629,IRM
2014-07-23,23.4795,23.5133,23.2362,23.2497,846084,IRM
2014-07-24,23.2565,23.3781,23.1686,23.2497,1370626,IRM
2014-07-25,23.2295,23.2633,22.9794,23.0132,924817,IRM
2014-07-28,22.9794,23.0977,22.7834,23.0402,1131781,IRM
2014-07-29,23.074,23.1957,23.0064,23.0943,1001863,IRM
2014-07-30,23.1213,23.243,22.9266,23.0064,1708820,IRM
2014-07-31,22.8983,23.1416,22.6347,22.6482,3008308,IRM
2014-08-01,23.0335,23.0402,22.6888,22.6955,2160639,IRM
2014-08-04,23.0335,23.0402,22.6888,22.6955,2160639,IRM
2014-08-05,22.682,22.7226,22.3846,22.5874,2054100,IRM
2014-08-06,22.4725,22.4928,22.0334,22.3643,1808967,IRM
2014-08-07,22.4319,22.6415,22.3711,22.4455,1003859,IRM
2014-08-08,22.1278,22.9253,22.1143,22.9118,1308787,IRM
2014-08-11,22.9794,23.3241,22.9388,23.1754,1022126,IRM
2014-08-12,23.1146,23.3444,23.0537,23.3106,2003208,IRM
2014-08-13,23.4119,23.466,23.1923,23.3038,966504,IRM
2014-08-14,23.3376,23.5741,23.27,23.4863,965835,IRM
2014-08-15,23.6688,23.8039,23.4187,23.5066,1561621,IRM
2014-08-18,23.6553,24.0202,23.6282,23.9459,1100513,IRM
2014-08-19,23.9594,24.1419,23.8715,24.0405,976956,IRM
2014-08-20,24.0473,24.2838,23.9932,24.2162,849944,IRM
2014-08-21,24.2365,24.4663,24.1622,24.4393,1010389,IRM
2014-08-22,24.4122,24.4257,23.9729,24.0946,1025396,IRM
2014-08-25,24.2568,24.2906,24.0405,24.1554,505581,IRM
2014-08-26,24.1689,24.277,23.9932,24.0473,735496,IRM
2014-08-27,24.1554,24.2162,23.858,23.9188,606842,IRM
2014-08-28,23.7972,24.0067,23.7499,23.9526,432184,IRM
2014-08-29,23.9864,24.5542,23.9864,24.3176,940339,IRM
2014-09-02,24.3514,24.5677,24.2433,24.3919,1082861,IRM
2014-09-03,24.3717,24.4933,24.2635,24.3717,602087,IRM
2014-09-04,24.3514,24.6623,24.1351,24.3244,1610636,IRM
2014-09-05,24.3446,24.4798,24.1486,24.4798,845341,IRM
2014-09-08,24.4798,25.0746,24.2973,24.4663,1177119,IRM
2014-09-09,24.3784,24.4055,24.0405,24.0743,774666,IRM
2014-09-10,24.2027,24.3379,24.1419,24.1892,1149666,IRM
2014-09-11,24.1757,24.2095,23.9932,24.0608,745211,IRM
2014-09-12,24.0135,24.0405,23.7161,23.7972,953678,IRM
2014-09-15,24.0067,24.223,23.8513,24.0675,1546509,IRM
2014-09-16,24.1622,24.2027,23.8242,24.0337,1230330,IRM
2014-09-17,24.0946,24.446,24.0608,24.1419,2805668,IRM
2014-09-18,24.1148,24.277,24.1148,24.1554,955089,IRM
2014-09-19,24.2906,24.2973,24.0878,24.0946,1989866,IRM
2014-09-22,23.9797,24.0473,23.7093,23.8715,1853578,IRM
2014-09-23,23.8475,24.1969,23.7592,24.1079,3256906,IRM
2014-09-24,24.1147,24.2175,23.9092,24.1695,2625717,IRM
2014-09-25,24.149,24.7655,24.1353,24.1421,3754499,IRM
2014-09-26,24.4323,24.4323,23.7985,24.3559,2876298,IRM
2014-09-29,24.165,26.196,24.1498,25.8829,9291798,IRM
2014-09-30,24.8904,25.3408,24.6537,24.9285,7719803,IRM
2014-10-01,24.8598,24.9896,24.3559,24.5697,2945190,IRM
2014-10-02,24.4857,25.0202,24.4704,24.9285,2316374,IRM
2014-10-03,25.1499,25.3332,24.982,25.2721,2125485,IRM
2014-10-06,25.3256,25.4076,24.9743,25.1729,1718226,IRM
2014-10-07,25.0812,25.1576,24.7835,24.7835,1499986,IRM
2014-10-08,24.7758,25.4324,24.7071,25.4248,1913821,IRM
2014-10-09,25.4172,25.4706,24.6689,24.7071,1868983,IRM
2014-10-10,24.7071,24.9591,24.3101,24.3406,1881134,IRM
2014-10-13,24.3559,24.5315,24.0085,24.0352,1690855,IRM
2014-10-14,24.2414,24.8942,24.0352,24.5468,2178868,IRM
2014-10-15,24.4399,24.6079,23.7527,24.4552,1899718,IRM
2014-10-16,24.0734,24.8369,24.0581,24.5315,1944550,IRM
2014-10-17,24.7606,24.814,24.4704,24.7147,2672010,IRM
2014-10-20,24.6155,25.3103,24.6079,25.3026,1684631,IRM
2014-10-21,25.5088,26.1196,25.4401,26.0967,1788062,IRM
2014-10-22,26.1578,26.6159,26.1425,26.257,1932230,IRM
2014-10-23,26.4784,26.6617,26.1654,26.5548,1786233,IRM
2014-10-24,26.5624,27.2038,26.3746,27.1809,1819520,IRM
2014-10-27,27.0664,27.0664,26.6006,26.8373,1223710,IRM
2014-10-28,26.9671,27.4863,26.822,27.3718,1996637,IRM
2014-10-29,27.387,27.4176,26.9824,27.2114,1862596,IRM
2014-10-30,28.7995,29.1431,28.7537,29.0515,1291003,IRM
2014-10-31,27.4252,27.7382,27.3412,27.5397,3876486,IRM
2014-11-03,27.5245,28.1963,27.3947,27.9826,3353524,IRM
2014-11-04,28.0513,28.1734,27.6313,27.723,2437999,IRM
2014-11-05,27.9444,28.1276,27.5245,27.5703,2366369,IRM
2014-11-06,27.639,27.8757,27.639,27.8451,1767882,IRM
2014-11-07,28.0207,29.0591,28.0207,29.0515,4389204,IRM
2014-11-10,29.2805,29.3951,28.7384,28.7766,2065778,IRM
2014-11-11,28.6544,28.8835,28.58,28.8835,1805788,IRM
2014-11-12,28.7995,29.1431,28.7537,29.0515,1291003,IRM
2014-11-13,29.0744,29.3111,29.0286,29.2958,2048787,IRM
2014-11-14,29.2805,29.3951,28.7384,28.7766,2065778,IRM
2014-11-17,28.9904,29.0973,28.8682,28.9064,2069538,IRM
2014-11-18,28.9217,28.9904,28.6621,28.8148,2116837,IRM
