date,open,high,low,close,volume,Name
2014-01-24,92.2367,94.1988,91.0679,91.6224,3365295,KMB
2014-01-27,91.9893,92.2964,91.1618,91.6651,2011158,KMB
2014-01-28,91.6651,92.7912,91.486,92.6888,1876241,KMB
2014-01-29,91.6395,91.9765,90.4708,91.2897,2743706,KMB
2014-01-30,91.7845,92.7912,91.6907,92.4755,2297398,KMB
2014-01-31,91.503,93.6358,90.8888,93.303,3158457,KMB
2014-02-03,92.9874,93.4651,89.8309,89.993,2673826,KMB
2014-02-04,90.5475,90.8547,89.5153,90.0528,2491327,KMB
2014-02-05,89.7456,90.4793,89.5409,90.0869,1763439,KMB
2014-02-06,90.4878,90.7352,90.0528,90.7267,1717603,KMB
2014-02-07,90.8803,91.4945,90.8461,91.1959,1555625,KMB
2014-02-10,91.1959,91.8272,90.8376,91.8016,1819146,KMB
2014-02-11,91.8016,92.9255,91.4092,92.6376,1707259,KMB
2014-02-12,92.7059,92.8321,91.358,92.1002,1779014,KMB
2014-02-13,91.8272,92.8594,91.648,92.7741,1442852,KMB
2014-02-14,92.7571,94.2159,92.3902,94.0452,1483623,KMB
2014-02-18,93.832,93.9514,92.8424,93.6102,1552827,KMB
2014-02-19,93.3542,93.8405,92.7059,92.7997,1634038,KMB
2014-02-20,93.0898,94.4206,92.9874,93.8149,1776607,KMB
2014-02-21,94.1305,94.941,93.6358,93.7125,1646019,KMB
2014-02-24,94.1647,94.8983,93.8661,93.977,1834114,KMB
2014-02-25,94.0708,94.4718,93.7381,93.832,1328235,KMB
2014-02-26,94.0111,94.267,92.5864,92.612,1731661,KMB
2014-02-27,92.5097,93.3201,92.1599,92.9021,1792069,KMB
2014-02-28,92.9874,94.5912,92.8594,94.1391,1960194,KMB
2014-03-03,93.559,93.559,92.5951,93.0215,1411812,KMB
2014-03-04,93.6699,94.8557,93.4737,94.5742,1753400,KMB
2014-03-05,93.3793,94.2991,93.1128,93.3879,1481721,KMB
2014-03-06,93.6286,94.4538,93.4824,94.0326,1697194,KMB
2014-03-07,94.4796,94.5484,93.087,93.6544,1732425,KMB
2014-03-10,93.6716,94.2647,93.5254,93.8435,1167827,KMB
2014-03-11,93.7833,94.0842,93.4481,93.7403,1279686,KMB
2014-03-12,93.4137,94.4839,93.1214,94.3421,2160054,KMB
2014-03-13,94.5312,95.2962,93.6887,93.7661,2016034,KMB
2014-03-14,93.3449,94.4323,93.2718,94.2647,1613263,KMB
2014-03-17,94.5913,95.6057,94.385,95.4595,1442696,KMB
