date,open,high,low,close,volume,Name
2014-01-24,29.4382,29.4957,29.1013,29.1424,6046270,KMI
2014-01-27,29.3766,29.4464,29.0685,29.2985,6743592,KMI
2014-01-28,29.2246,29.545,29.1917,29.4875,5712817,KMI
2014-01-29,29.2132,29.2215,27.9666,28.3406,13418340,KMI
2014-01-30,28.8475,28.8475,28.4735,28.5234,5677283,KMI
2014-01-31,28.2408,28.6605,27.925,28.2658,6404503,KMI
2014-02-03,28.3073,28.4154,27.6341,27.6923,9047849,KMI
2014-02-04,27.8419,28.1079,27.6757,27.9749,7952544,KMI
2014-02-05,27.8419,27.9084,27.4347,27.6258,5314005,KMI
2014-02-06,27.6341,28.0912,27.576,27.95,5342510,KMI
2014-02-07,28.1744,28.3239,28.0081,28.2492,5682073,KMI
2014-02-10,28.2325,28.2325,27.8087,28.0829,4661399,KMI
2014-02-11,28.1827,28.3406,28.1328,28.2076,6610505,KMI
2014-02-12,28.2159,28.3738,28.0164,28.1162,4010278,KMI
2014-02-13,28.0414,28.1993,27.8918,27.9749,5474593,KMI
2014-02-14,28.0081,28.1494,27.8752,28.0746,4395323,KMI
2014-02-18,28.0996,28.1993,27.95,28.0164,4523496,KMI
2014-02-19,28.0081,28.0663,27.4928,27.551,5968638,KMI
2014-02-20,27.7006,27.7339,27.3017,27.6175,8088235,KMI
2014-02-21,27.7422,27.8835,27.4347,27.4513,6384612,KMI
2014-02-24,26.828,27.1022,26.1382,26.6784,24357825,KMI
2014-02-25,26.8197,27.5219,26.7698,27.3349,14892716,KMI
2014-02-26,27.3433,27.3682,26.6617,26.7365,10362882,KMI
2014-02-27,26.6368,26.8446,26.4124,26.4872,10291011,KMI
2014-02-28,26.5454,26.6036,26.3542,26.4706,8645811,KMI
2014-03-03,26.3625,26.4124,26.1714,26.2961,7994322,KMI
2014-03-04,26.5121,26.7449,26.4207,26.6368,6804003,KMI
2014-03-05,26.8446,27.0524,26.7282,26.7615,6326186,KMI
2014-03-06,26.9609,27.0025,26.7906,26.8363,5284516,KMI
2014-03-07,26.9526,26.9859,26.5703,26.5953,9107904,KMI
2014-03-10,26.6119,26.7365,26.3875,26.429,6721078,KMI
2014-03-11,26.3459,26.5205,26.2088,26.2545,10245928,KMI
2014-03-12,26.1631,26.2628,25.9886,26.0052,11107129,KMI
2014-03-13,26.0218,26.1631,25.706,25.7309,10796613,KMI
2014-03-14,25.8057,26.508,25.7642,26.3459,7393430,KMI
2014-03-17,26.4041,26.4207,25.8888,26.3293,6366936,KMI
2014-03-18,26.3293,26.4706,26.213,26.2296,3639164,KMI
2014-03-19,26.2878,26.321,25.7475,25.814,5843662,KMI
2014-03-20,25.7226,26.1714,25.6074,26.1631,4707987,KMI
2014-03-21,26.3709,26.4207,25.8722,25.8888,7637863,KMI
2014-03-24,26.0301,26.2794,25.9138,26.0883,4438691,KMI
2014-03-25,26.1382,26.2878,26.0717,26.2711,4612869,KMI
2014-03-26,26.3376,26.6202,26.3293,26.4623,6137064,KMI
2014-03-27,26.4623,26.9202,26.3958,26.8446,5989588,KMI
2014-03-28,26.9776,26.9942,26.6285,26.7116,4773011,KMI
2014-03-31,26.7947,27.0856,26.6285,27.0025,4057452,KMI
2014-04-01,27.0939,27.3349,26.9111,27.3266,4153345,KMI
2014-04-02,27.2851,27.3349,27.1521,27.2685,3101249,KMI
2014-04-03,27.3765,27.4347,27.2518,27.3931,3221576,KMI
2014-04-04,27.5178,27.7671,27.3433,27.443,4207717,KMI
2014-04-07,27.4097,27.4264,26.7698,26.7947,5076215,KMI
2014-04-08,26.8612,27.4928,26.7947,27.4679,5535126,KMI
2014-04-09,27.4928,27.5012,27.0524,27.3599,8765691,KMI
2014-04-10,27.3599,27.6341,27.0357,27.1604,4469833,KMI
2014-04-11,27.1189,27.3017,26.7698,26.8363,4518065,KMI
2014-04-14,27.1687,27.1687,26.7947,26.9609,4283837,KMI
2014-04-15,26.9194,27.3682,26.8471,27.3433,5423398,KMI
2014-04-16,27.5095,27.7173,27.4347,27.684,5409824,KMI
2014-04-17,27.1022,28.2159,27.0274,28.0663,9640056,KMI
2014-04-21,28.1827,28.2408,27.551,27.7588,5303883,KMI
2014-04-22,27.792,27.9167,27.5593,27.8004,4672841,KMI
2014-04-23,27.8835,28.2408,27.8253,27.9333,5404196,KMI
2014-04-24,28.0248,28.166,27.925,27.9915,5201860,KMI
2014-04-25,27.9998,27.9998,27.4264,27.4264,7112823,KMI
2014-04-28,27.5442,27.7294,27.157,27.258,6946077,KMI
2014-04-29,27.4684,27.9483,27.359,27.7968,5545941,KMI
2014-04-30,27.721,27.7378,27.4348,27.4937,4696936,KMI
