date,open,high,low,close,volume,Name
2014-01-24,33.256,33.4007,33.0347,33.0518,16533729,KO
2014-01-27,33.0347,33.1709,32.9411,32.9582,14603927,KO
2014-01-28,32.9922,33.2517,32.8645,33.0773,8931212,KO
2014-01-29,32.822,32.822,32.1838,32.2518,23776371,KO
2014-01-30,32.3369,32.6858,32.3369,32.4816,13663569,KO
2014-01-31,32.2944,32.4731,32.0987,32.1838,16185576,KO
2014-02-03,32.354,32.354,31.5711,31.6562,23195836,KO
2014-02-04,31.8604,31.954,31.6647,31.8944,17797978,KO
2014-02-05,31.9029,32.0944,31.8093,32.0051,13716618,KO
2014-02-06,32.9837,33.1369,32.2689,32.3625,22665049,KO
2014-02-07,32.4816,32.6348,32.2263,32.2944,20495016,KO
2014-02-10,32.3965,32.8645,32.2008,32.822,20915498,KO
2014-02-11,32.9071,33.005,32.7709,32.8816,15417558,KO
2014-02-12,33.0603,33.1198,32.6773,32.7709,10633637,KO
2014-02-13,32.4476,32.9827,32.4476,32.8901,10449553,KO
2014-02-14,32.8475,33.2049,32.5667,33.1283,16047482,KO
2014-02-18,32.3199,32.4305,31.7072,31.8859,46195701,KO
2014-02-19,31.9115,31.9966,31.5285,31.5711,26650629,KO
2014-02-20,31.537,31.9285,31.3924,31.7413,22652321,KO
2014-02-21,31.988,32.0136,31.6051,31.6391,19440449,KO
2014-02-24,31.7413,31.9966,31.6732,31.9115,24225051,KO
2014-02-25,32.0221,32.2859,31.9115,32.1412,22879234,KO
2014-02-26,32.2518,32.2859,32.0987,32.2263,18202510,KO
2014-02-27,32.2008,32.4305,32.1667,32.3965,18441483,KO
2014-02-28,32.405,32.6646,32.371,32.5071,15765571,KO
2014-03-03,32.2348,32.4731,32.2093,32.4391,18684354,KO
2014-03-04,32.6263,32.668,32.5327,32.6007,20456788,KO
2014-03-05,32.6943,32.7199,32.5497,32.6348,14367749,KO
2014-03-06,32.6773,32.8051,32.5667,32.7369,14740674,KO
2014-03-07,32.8135,32.856,32.6433,32.805,17074233,KO
2014-03-10,32.805,32.8901,32.7114,32.8901,14541439,KO
2014-03-11,33.0518,33.0518,32.7965,33.0177,13845663,KO
2014-03-12,32.8247,33.022,32.7733,32.9963,15692277,KO
2014-03-13,32.9791,33.0134,32.5254,32.5674,18302808,KO
2014-03-14,32.5503,32.8676,32.4902,32.739,14687231,KO
2014-03-17,32.739,32.9105,32.636,32.8247,19202973,KO
2014-03-18,32.8247,32.9877,32.7089,32.9362,16880363,KO
2014-03-19,32.9019,33.0949,32.6789,32.7132,20882157,KO
2014-03-20,32.6875,32.9963,32.5503,32.9791,13227981,KO
2014-03-21,33.2622,33.3051,32.8333,32.9706,19210757,KO
