date,open,high,low,close,volume,Name
2014-01-24,26.1924,26.1924,25.4039,25.5239,2621137,LEG
2014-01-27,25.5239,25.5993,25.1553,25.2753,1997635,LEG
2014-01-28,25.3353,25.601,25.2325,25.4639,1841231,LEG
2014-01-29,25.2582,25.4982,25.121,25.3267,1619705,LEG
2014-01-30,25.5067,25.6781,25.3867,25.601,1138617,LEG
2014-01-31,25.2239,25.9438,25.181,25.7296,1223597,LEG
2014-02-03,25.7296,25.7639,24.8211,24.9068,1489459,LEG
2014-02-04,25.0011,25.3267,24.7696,25.2325,1175633,LEG
2014-02-05,25.1125,25.3353,25.0182,25.1553,992993,LEG
2014-02-06,25.1982,25.7296,25.1982,25.6524,796620,LEG
2014-02-07,25.6524,26.0467,25.6439,26.021,776827,LEG
2014-02-10,25.9353,26.1924,25.7639,25.9867,1310492,LEG
2014-02-11,25.961,26.3981,25.9181,26.1495,960816,LEG
2014-02-12,26.1581,26.3638,26.0381,26.1753,937966,LEG
2014-02-13,25.9781,26.4667,25.8753,26.4067,793803,LEG
2014-02-14,26.3895,26.6638,26.2695,26.6466,606610,LEG
2014-02-18,26.6981,26.8095,26.4067,26.5609,668783,LEG
2014-02-19,26.4752,26.8695,26.3981,26.7666,1124674,LEG
2014-02-20,26.7409,26.9295,26.6552,26.8952,691285,LEG
2014-02-21,26.9809,27.0152,26.8523,26.9038,629723,LEG
2014-02-24,26.998,27.298,26.8781,26.8781,925944,LEG
2014-02-25,26.9123,26.9638,26.7238,26.7752,781535,LEG
2014-02-26,26.8781,27.4437,26.7152,27.3495,1037796,LEG
2014-02-27,27.3409,27.4609,27.2037,27.4523,578391,LEG
2014-02-28,27.478,27.6409,27.238,27.4694,774303,LEG
2014-03-03,27.1438,27.3323,26.9209,27.178,672614,LEG
2014-03-04,27.4352,27.6666,27.358,27.4523,933075,LEG
2014-03-05,27.478,27.478,27.2209,27.3837,875052,LEG
2014-03-06,27.4094,27.628,27.298,27.5552,712025,LEG
2014-03-07,27.7951,27.8294,27.4694,27.5037,724551,LEG
