date,open,high,low,close,volume,Name
2014-01-24,96.9785,97.0784,94.5901,94.5992,774171,LLL
2014-01-27,94.8172,94.8172,93.3923,94.1815,648162,LLL
2014-01-28,94.2541,95.026,94.2087,94.8717,570758,LLL
2014-01-29,93.9817,94.6083,93.4822,94.1906,628834,LLL
2014-01-30,94.908,95.7435,93.9181,95.7253,1234065,LLL
2014-01-31,94.9897,101.3375,94.7445,100.8653,1910666,LLL
2014-02-03,100.1206,101.6099,98.377,98.6404,1879566,LLL
2014-02-04,98.6858,98.9764,96.8695,98.377,1085287,LLL
2014-02-05,97.8049,99.4123,97.0784,98.9491,825532,LLL
2014-02-06,98.9491,99.8845,98.9037,99.5394,484734,LLL
2014-02-07,101.5555,103.4807,100.5656,102.6361,1292834,LLL
2014-02-10,102.4636,102.6543,101.4102,102.0731,697102,LLL
2014-02-11,102.3909,102.8359,102.0458,102.2002,1475296,LLL
2014-02-12,102.1185,103.3717,102.1185,102.7269,680697,LLL
2014-02-13,102.3728,103.1628,102.0368,102.6906,901913,LLL
2014-02-14,102.7905,103.1901,102.0186,103.072,581714,LLL
2014-02-18,103.3172,104.3888,102.8267,104.2707,862913,LLL
2014-02-19,103.5261,104.6068,102.9812,103.2264,1279109,LLL
2014-02-20,103.3808,105.2515,102.9267,105.0245,581342,LLL
2014-02-21,105.0699,105.7873,104.3252,104.9609,760185,LLL
2014-02-24,104.6522,106.6773,104.6158,105.6148,1016297,LLL
2014-02-25,104.9155,105.3423,103.1901,103.3808,1450828,LLL
2014-02-26,103.5261,103.8984,102.8087,103.5079,715160,LLL
2014-02-27,102.6224,103.9552,102.6224,103.9096,653582,LLL
2014-02-28,103.5444,105.8085,103.5444,105.352,777205,LLL
2014-03-03,104.8864,106.3197,104.6126,105.9089,748509,LLL
2014-03-04,106.3928,107.8717,106.3928,107.2601,948358,LLL
2014-03-05,107.2601,108.1547,106.6119,106.9588,1442763,LLL
2014-03-06,107.1414,107.4244,106.7032,106.9223,1241694,LLL
2014-03-07,107.5248,107.9356,106.6438,107.0409,1084112,LLL
2014-03-10,106.3563,106.5206,105.4068,106.0732,1035368,LLL
2014-03-11,106.3745,106.3745,104.8317,105.0508,622813,LLL
2014-03-12,104.8134,105.4821,104.3113,105.4068,847895,LLL
2014-03-13,105.8176,106.1098,104.0283,104.3843,702765,LLL
2014-03-14,104.2656,105.8907,103.8731,105.2607,776097,LLL
2014-03-17,105.6259,107.187,105.5437,106.8675,469679,LLL
2014-03-18,107.7256,108.456,107.2144,107.4518,509295,LLL
2014-03-19,107.6983,107.7165,105.4159,106.2923,531450,LLL
2014-03-20,105.7994,106.9131,105.7994,105.9546,501796,LLL
2014-03-21,106.8949,106.8949,105.6168,105.9089,1367212,LLL
2014-03-24,105.9089,106.2467,104.7769,105.7355,433235,LLL
2014-03-25,106.128,106.7214,105.3977,106.0641,811589,LLL
2014-03-26,106.8766,108.278,106.8766,107.0592,1540022,LLL
2014-03-27,107.1961,107.2007,106.0459,106.3654,780086,LLL
2014-03-28,106.5662,107.7439,106.5114,107.187,354126,LLL
2014-03-31,107.3331,108.3647,107.2874,107.8626,1409304,LLL
2014-04-01,108.1821,108.7846,107.7622,108.4469,991415,LLL
2014-04-02,108.8394,109.7889,108.6842,109.7341,1298849,LLL
2014-04-03,109.5059,109.6884,109.0129,109.4693,675506,LLL
2014-04-04,109.8345,110.1632,106.0732,106.2102,1286478,LLL
2014-04-07,106.3563,107.0866,104.4482,104.9503,854334,LLL
2014-04-08,104.9138,105.0599,103.517,104.7404,717409,LLL
