date,open,high,low,close,volume,Name
2014-01-24,43.8641,44.0448,42.922,42.922,995846,L
2014-01-27,42.874,43.2489,42.6817,42.9124,948571,L
2014-01-28,42.9509,43.3162,42.9124,43.2008,873962,L
2014-01-29,42.8451,43.2393,42.7202,42.8451,950899,L
2014-01-30,43.297,43.6142,43.1624,43.5853,824691,L
2014-01-31,42.8932,43.2681,42.6625,42.8644,900313,L
2014-02-03,42.7875,43.0278,41.6531,41.73,995731,L
2014-02-04,41.9992,42.874,41.7396,42.7971,1528223,L
2014-02-05,42.6913,42.9413,42.451,42.8067,1182263,L
2014-02-06,42.8355,43.0951,42.7202,43.0086,741838,L
2014-02-07,43.2104,43.4315,42.9413,43.4315,1106535,L
2014-02-10,41.9415,42.0761,40.9802,41.5858,2850477,L
2014-02-11,41.4224,42.2203,41.4224,42.153,1318299,L
2014-02-12,42.3068,42.6337,42.0857,42.153,1437910,L
2014-02-13,41.9223,42.3068,41.6156,42.2876,1248102,L
2014-02-14,42.1722,42.3453,42.0184,42.326,587590,L
2014-02-18,42.4222,42.5568,42.0857,42.2299,754967,L
2014-02-19,42.1338,42.3626,41.6339,41.6724,760337,L
2014-02-20,41.7204,42.0953,41.5666,41.98,814508,L
2014-02-21,42.0473,42.1242,41.706,41.8165,926168,L
2014-02-24,41.7685,42.3741,41.7073,41.8935,797279,L
2014-02-25,41.8742,41.9992,41.6435,41.7589,765231,L
2014-02-26,41.9127,41.9127,41.5955,41.8069,868811,L
2014-02-27,41.742,41.9826,41.4098,41.9345,1117024,L
2014-02-28,41.9345,42.1367,41.6216,41.8575,1306993,L
2014-03-03,41.5494,41.7612,41.3617,41.5398,1508370,L
2014-03-04,41.9249,42.3051,41.8142,42.2522,1538152,L
2014-03-05,42.2522,42.4062,42.0404,42.3966,886510,L
2014-03-06,42.5313,42.849,42.4062,42.7431,839317,L
2014-03-07,42.9453,43.5133,42.8875,43.3689,1761488,L
2014-03-10,43.3978,43.3978,42.7143,42.9742,1000475,L
2014-03-11,42.9357,42.9983,42.5939,42.7335,840902,L
2014-03-12,42.5987,43.2582,42.5131,43.0319,1450590,L
2014-03-13,43.0801,43.0993,42.5458,42.7239,989170,L
2014-03-14,42.5217,42.8587,42.2811,42.3292,1042256,L
2014-03-17,42.618,42.618,42.127,42.3292,845695,L
2014-03-18,42.3677,42.3966,42.1174,42.2907,691901,L
2014-03-19,42.3581,42.3773,41.8286,42.05,940973,L
2014-03-20,41.9537,42.5313,41.9537,42.2714,760638,L
2014-03-21,42.6084,42.8202,42.3484,42.5795,1734580,L
2014-03-24,42.3003,42.464,41.7708,41.9634,1105861,L
2014-03-25,42.2233,42.2233,41.8478,41.9634,735777,L
2014-03-26,42.2233,42.3388,41.5494,41.559,870663,L
2014-03-27,41.5687,41.6746,41.2991,41.4243,1064340,L
2014-03-28,41.5783,41.9441,41.559,41.7997,976370,L
2014-03-31,42.0308,42.4736,41.9441,42.4062,1052985,L
2014-04-01,42.5506,42.7046,42.3966,42.695,934098,L
2014-04-02,42.6661,42.9934,42.6372,42.9838,946768,L
2014-04-03,43.0897,43.2341,42.8298,43.2052,691085,L
2014-04-04,43.5229,43.7347,43.0127,43.0319,828628,L
2014-04-07,43.0127,43.0464,42.4928,42.5025,970668,L
2014-04-08,42.4736,42.9742,42.4351,42.8587,1277008,L
2014-04-09,42.9646,43.0127,42.5458,42.8779,880712,L
2014-04-10,42.8779,43.1378,42.2811,42.2811,692171,L
2014-04-11,42.0211,42.1848,41.7227,41.819,1152886,L
2014-04-14,42.2137,42.2329,41.6842,42.0885,936489,L
2014-04-15,42.1752,42.2618,41.7998,42.1463,1108297,L
2014-04-16,42.4543,42.6084,42.3099,42.4255,1267434,L
2014-04-17,42.3581,42.4351,42.1752,42.3099,1022106,L
2014-04-21,42.3196,42.3884,42.0693,42.204,724413,L
2014-04-22,42.1848,42.3869,42.0885,42.1559,909778,L
2014-04-23,42.1463,42.3966,42.0693,42.1944,1344295,L
2014-04-24,42.3099,42.825,42.3003,42.7816,1458584,L
2014-04-25,42.7624,42.7624,42.3677,42.4928,904394,L
2014-04-28,42.7431,43.2052,41.973,42.127,1096790,L
2014-04-29,42.1655,42.5217,42.1174,42.4543,890822,L
2014-04-30,42.4447,42.4832,42.1078,42.3292,1481233,L
2014-05-01,42.3869,42.5795,42.2522,42.4447,1169087,L
2014-05-02,42.4351,42.8298,42.2714,42.4543,1167939,L
2014-05-05,42.2618,42.5217,42.0885,42.1174,915262,L
2014-05-06,42.0211,42.0596,41.5398,41.5494,1558487,L
2014-05-07,41.7516,42.2233,41.7516,42.2137,1174752,L
2014-05-08,42.1848,42.3773,41.896,42.0308,1178281,L
2014-05-09,42.05,42.05,41.5398,41.6361,1272840,L
2014-05-12,41.9152,41.9537,41.559,41.6938,1180496,L
2014-05-13,41.7805,41.9152,41.6457,41.6649,999318,L
2014-05-14,41.6553,41.6553,41.0777,41.2317,943943,L
2014-05-15,41.1066,41.1355,40.7119,40.9718,1228585,L
2014-05-16,40.9333,41.0488,40.7311,40.9622,1061595,L
2014-05-19,40.8467,41.0584,40.7985,40.9911,1164741,L
2014-05-20,40.9526,41.2029,40.813,40.8948,1071119,L
2014-05-21,41.0488,41.2316,40.9526,41.1066,1002637,L
2014-05-22,41.2317,41.4435,41.1066,41.3376,736069,L
2014-05-23,41.3761,42.9934,41.2606,41.5494,1271112,L
2014-05-27,41.6553,41.7805,41.5687,41.6649,830797,L
2014-05-28,41.6072,41.7516,41.5687,41.6457,1351186,L
2014-05-29,41.6963,41.8795,41.5806,41.7156,1197123,L
2014-05-30,41.706,41.7542,41.5228,41.5806,2099918,L
2014-06-02,41.6674,41.812,41.4167,41.7445,885042,L
2014-06-03,41.7156,41.9325,41.6095,41.9277,1104830,L
2014-06-04,41.8602,42.4001,41.6963,42.294,995316,L
2014-06-05,42.3326,42.4676,42.0627,42.4097,890125,L
2014-06-06,42.4965,42.5543,42.3422,42.4001,702976,L
2014-06-09,42.3422,42.5929,42.294,42.429,586640,L
2014-06-10,42.294,42.4676,42.2458,42.2844,601463,L
2014-06-11,42.2073,42.2748,41.8795,41.9759,836675,L
2014-06-12,41.8795,42.1109,41.8602,42.0241,976601,L
2014-06-13,42.0723,42.1301,41.8313,41.9566,786195,L
2014-06-16,41.9084,42.0048,41.6288,41.677,1271746,L
2014-06-17,41.6288,41.7831,41.5035,41.7638,943674,L
2014-06-18,41.7156,42.0916,41.5613,42.053,1240663,L
2014-06-19,42.1398,42.2555,41.9662,42.2073,1331161,L
2014-06-20,42.4097,42.4868,42.1205,42.2265,1750982,L
2014-06-23,42.2073,42.3615,42.0048,42.0627,992254,L
2014-06-24,41.9373,42.3808,41.9373,42.1591,1340093,L
2014-06-25,42.0916,42.429,41.947,42.2748,1174020,L
2014-06-26,42.1687,42.2555,41.9373,42.0819,1008221,L
2014-06-27,42.0048,42.5158,42.0048,42.2265,4349435,L
2014-06-30,42.2265,42.5061,42.0337,42.429,1620446,L
2014-07-01,42.6122,42.9882,42.4772,42.805,1366498,L
2014-07-02,42.6893,42.7221,42.0723,42.1591,1153271,L
2014-07-03,42.4868,42.6411,42.3712,42.4483,777181,L
2014-07-07,42.294,42.5254,42.1012,42.5061,1226469,L
2014-07-08,42.4194,42.5833,42.4194,42.4676,1197589,L
2014-07-09,42.5158,42.6893,42.294,42.4676,1052730,L
2014-07-10,42.3037,42.3037,42.0627,42.1494,793070,L
2014-07-11,42.0145,42.1301,41.8409,42.0434,741625,L
2014-07-14,42.3326,42.4868,42.2458,42.3133,1057000,L
2014-07-15,42.3904,42.617,42.294,42.5736,1105523,L
2014-07-16,42.6893,42.7684,42.4386,42.6604,1008073,L
2014-07-17,42.6122,42.7375,42.1109,42.188,1041253,L
2014-07-18,42.2555,42.8918,42.1301,42.8146,1706977,L
2014-07-21,42.7086,42.8532,42.4386,42.7086,724455,L
2014-07-22,42.8146,42.9014,42.3133,42.323,1060030,L
2014-07-23,42.4194,42.6315,42.3422,42.4194,868283,L
2014-07-24,42.5447,42.5447,42.2169,42.2748,911802,L
2014-07-25,42.0819,42.2169,41.9566,42.053,997296,L
2014-07-28,41.9759,42.0145,41.6674,41.9084,829677,L
2014-07-29,41.9277,41.9855,41.5999,41.7156,1131130,L
2014-07-30,41.7445,41.9277,41.301,41.4649,1113775,L
2014-07-31,41.1661,41.2914,40.5973,40.6165,1335655,L
2014-08-01,40.5876,40.954,40.3852,40.7708,1454563,L
2014-08-04,40.5876,40.954,40.3852,40.7708,1454563,L
2014-08-05,40.7322,41.0986,40.4623,40.5973,1504635,L
2014-08-06,40.5298,40.9829,40.5105,40.6262,1060006,L
2014-08-07,40.7419,40.9154,40.1441,40.2309,1028265,L
