date,open,high,low,close,volume,Name
2014-01-24,81.6442,82.7043,81.3512,81.3857,6952410,MCD
2014-01-27,81.265,81.6011,80.9418,81.0754,6608685,MCD
2014-01-28,81.2995,81.5667,81.1012,81.1702,3686206,MCD
2014-01-29,80.9806,81.2736,80.0412,80.2825,8017792,MCD
2014-01-30,80.4893,81.0151,80.0886,80.8427,4988702,MCD
2014-01-31,80.1963,81.4891,80.1101,81.1616,6028697,MCD
2014-02-03,81.4805,81.6528,80.0756,80.1704,6908865,MCD
2014-02-04,80.0325,80.5583,79.7998,80.2308,6531117,MCD
2014-02-05,79.9808,80.8772,79.4809,80.6531,4958957,MCD
2014-02-06,80.903,82.0407,80.7479,81.8252,5361338,MCD
2014-02-07,81.9545,82.6957,81.5494,82.6698,6610561,MCD
2014-02-10,82.5233,82.6785,81.4632,81.7563,6975657,MCD
2014-02-11,81.9286,82.6009,81.7304,82.17,5365373,MCD
2014-02-12,82.2561,82.4544,81.6959,81.7821,4269118,MCD
2014-02-13,81.6097,82.3768,81.446,82.2734,3618018,MCD
2014-02-14,82.1355,82.7129,81.9683,82.5492,3537846,MCD
2014-02-18,82.7646,83.23,82.3423,82.756,5458110,MCD
2014-02-19,82.5492,83.3076,82.2734,82.3509,4505475,MCD
2014-02-20,82.4458,82.8336,82.2949,82.5233,2975158,MCD
2014-02-21,82.7733,83.6006,82.7733,83.1266,5289923,MCD
2014-02-24,83.1094,83.5489,82.9456,83.1697,4487632,MCD
2014-02-25,83.1352,83.3593,82.644,83.2731,4233964,MCD
2014-02-26,83.2818,83.3766,82.4888,82.644,4265938,MCD
2014-02-27,82.783,82.9308,82.2702,82.644,4183929,MCD
2014-02-28,82.67,82.9743,82.4519,82.7048,5108016,MCD
2014-03-03,81.9138,82.4006,81.7052,81.9834,5149263,MCD
2014-03-04,82.7917,82.8091,82.4527,82.557,4655238,MCD
2014-03-05,82.87,83.1046,82.5223,82.5918,3913441,MCD
2014-03-06,82.6266,83.1568,82.3571,83.0786,4363227,MCD
2014-03-07,83.2176,83.2611,82.5484,83.009,3726306,MCD
2014-03-10,82.8004,83.1655,82.5484,82.7483,4395086,MCD
2014-03-11,83.3915,85.9817,83.1916,85.86,16375774,MCD
2014-03-12,85.5384,86.1121,85.3124,85.7992,6702123,MCD
2014-03-13,85.9643,85.9643,84.3215,84.6344,5480267,MCD
2014-03-14,84.5997,85.0864,84.3215,84.817,5510673,MCD
2014-03-17,85.3037,85.3559,84.7127,84.8344,5554918,MCD
2014-03-18,85.0082,85.1734,84.5041,84.5823,3269489,MCD
2014-03-19,84.5475,84.5649,83.2524,83.5306,5556948,MCD
2014-03-20,83.3915,84.2694,83.2785,83.9652,4242571,MCD
2014-03-21,84.5041,84.6605,82.983,82.983,12640611,MCD
2014-03-24,83.5219,84.0868,83.4349,83.6001,6401178,MCD
2014-03-25,83.8261,83.8695,83.2959,83.3654,4929902,MCD
2014-03-26,83.4784,83.9347,83.3046,83.3046,4126987,MCD
2014-03-27,83.2437,83.7565,83.0264,83.5827,3755967,MCD
2014-03-28,83.6783,84.6953,83.6262,84.5214,4344100,MCD
2014-03-31,84.6953,85.5732,84.5736,85.2081,4853293,MCD
2014-04-01,85.269,85.634,84.8604,85.0951,4493973,MCD
2014-04-02,85.3124,85.382,84.6085,84.8257,3701174,MCD
2014-04-03,85.2081,85.2777,84.6171,84.8865,2576064,MCD
2014-04-04,84.9821,85.5471,84.6518,85.069,5413601,MCD
2014-04-07,84.817,85.3907,83.9391,84.3215,6000476,MCD
2014-04-08,84.2955,85.3733,83.8987,85.2516,5585144,MCD
2014-04-09,85.2516,85.6514,85.0951,85.4863,3669495,MCD
2014-04-10,85.6601,86.7901,85.3211,86.425,8874797,MCD
2014-04-11,86.1816,86.6858,86.1034,86.3033,6553636,MCD
2014-04-14,86.6249,87.0595,86.3294,87.0161,6155873,MCD
2014-04-15,87.5289,87.7375,86.9813,87.6419,5886192,MCD
2014-04-16,87.7897,87.894,87.3427,87.6419,3532731,MCD
2014-04-17,87.555,87.7897,87.1378,87.1378,4545196,MCD
2014-04-21,86.7466,87.2594,86.2685,86.6336,6358323,MCD
2014-04-22,86.9378,87.1551,85.9556,86.3294,8934500,MCD
2014-04-23,86.3555,86.9118,86.0599,86.1642,4179128,MCD
2014-04-24,86.5032,87.0074,86.1642,86.7814,4765762,MCD
2014-04-25,86.7901,87.5724,86.3859,87.555,5048938,MCD
2014-04-28,87.7723,87.9461,86.6162,87.1899,7444635,MCD
2014-04-29,87.103,88.4676,86.7553,88.2243,6630910,MCD
