date,open,high,low,close,volume,Name
2014-01-24,69.6105,70.7728,68.4012,68.4012,1106208,MCO
2014-01-27,68.3918,69.5167,68.1013,69.0574,903279,MCO
2014-01-28,69.0386,70.4775,69.0386,70.0229,774853,MCO
2014-01-29,69.1933,70.0042,68.3544,68.7012,843693,MCO
2014-01-30,69.2355,70.6603,69.2355,70.4635,641415,MCO
2014-01-31,69.0949,70.4916,68.7106,69.9104,751448,MCO
2014-02-03,69.8073,70.1776,68.0638,68.1013,1296991,MCO
2014-02-04,68.4668,70.3041,68.0263,70.1823,1252193,MCO
2014-02-05,70.0791,70.3979,69.3011,69.8823,839505,MCO
2014-02-06,70.0229,72.7226,69.9479,71.9633,1238840,MCO
2014-02-07,78.9,80.3342,74.7333,75.0098,3931512,MCO
2014-02-10,75.1504,75.1504,74.138,74.3724,979120,MCO
2014-02-11,74.1193,74.7286,73.5428,74.5224,1135695,MCO
2014-02-12,74.4193,74.8505,74.288,74.5974,1034914,MCO
2014-02-13,73.9506,74.6817,73.9506,74.4755,952802,MCO
2014-02-14,74.3443,74.7283,73.8474,74.5505,958114,MCO
2014-02-18,74.8609,75.0397,74.3436,74.7104,1055502,MCO
2014-02-19,74.4753,75.3125,74.2777,74.5129,1000205,MCO
2014-02-20,74.6258,74.7857,73.8544,74.2495,1306547,MCO
2014-02-21,74.0708,74.6822,74.0331,74.1272,1110398,MCO
2014-02-24,74.0802,74.6258,73.7509,74.0896,1516998,MCO
2014-02-25,74.3059,74.9174,73.5722,73.7039,995098,MCO
2014-02-26,73.9391,74.4753,73.6663,74.2213,1337548,MCO
2014-02-27,74.193,74.4847,73.7885,74.2119,1102025,MCO
2014-02-28,74.1272,74.5693,73.8638,74.3153,1429512,MCO
2014-03-03,73.3746,74.4706,73.0642,73.9955,1332471,MCO
2014-03-04,74.6352,76.4225,74.6069,76.3284,1520037,MCO
2014-03-05,76.1685,77.4949,75.7734,77.1468,1370188,MCO
2014-03-06,77.2503,78.0311,77.1948,77.937,840477,MCO
