date,open,high,low,close,volume,Name
2014-01-24,30.0597,30.3268,29.9629,30.1811,13636248,MO
2014-01-27,30.1973,30.1973,29.6956,29.8008,10832537,MO
2014-01-28,29.8413,29.8413,29.5904,29.817,8115409,MO
2014-01-29,29.6794,29.6875,29.2587,29.4772,14370082,MO
2014-01-30,29.3234,29.3234,28.4495,28.6033,18662055,MO
2014-01-31,28.3201,28.7489,27.7779,28.4981,15457401,MO
2014-02-03,28.4576,28.4657,27.5757,27.5999,16124174,MO
2014-02-04,27.7537,27.9802,27.6323,27.8589,9864959,MO
2014-02-05,27.6323,27.7779,27.3491,27.5109,15804938,MO
2014-02-06,27.5918,28.1097,27.5514,28.0854,18469100,MO
2014-02-07,28.2553,28.5952,28.1421,28.5628,11717427,MO
2014-02-10,28.6518,28.7246,28.3605,28.4738,7507868,MO
2014-02-11,28.401,28.5224,28.138,28.4334,9614458,MO
2014-02-12,28.5224,28.5305,28.1663,28.2634,10044103,MO
2014-02-13,28.1178,28.5466,28.1097,28.5466,8231863,MO
2014-02-14,28.4657,28.8217,28.3605,28.7813,6607807,MO
2014-02-18,28.7651,28.8865,28.6195,28.6923,5701079,MO
2014-02-19,28.6437,28.7246,28.4002,28.4495,6340901,MO
2014-02-20,28.4657,28.8217,28.4091,28.7489,5979425,MO
2014-02-21,28.7651,28.7894,28.5385,28.6195,7104715,MO
2014-02-24,28.5952,28.8865,28.5466,28.6276,6287500,MO
2014-02-25,28.6356,29.024,28.6276,28.7813,7847614,MO
2014-02-26,28.8298,28.9674,28.6437,28.6761,5787393,MO
2014-02-27,28.7166,29.0807,28.7085,29.024,5595739,MO
2014-02-28,29.1049,29.461,29.1049,29.3396,8773053,MO
2014-03-03,29.1859,29.8574,29.1292,29.4933,12823828,MO
2014-03-04,29.8332,30.2074,29.7927,29.995,11941598,MO
2014-03-05,29.9788,30.1811,29.817,29.8979,7815748,MO
2014-03-06,29.9626,29.9626,29.6398,29.8494,10802207,MO
2014-03-07,29.9384,29.9617,29.5985,29.7846,6629397,MO
2014-03-10,29.7846,29.8817,29.6713,29.8251,5166335,MO
