date,open,high,low,close,volume,Name
2014-01-24,30.4489,30.467,29.9582,29.9855,4796426,MRO
2014-01-27,29.9855,30.1331,29.6674,29.9128,3429224,MRO
2014-01-28,29.9582,30.3853,29.9309,30.3126,3856862,MRO
2014-01-29,30.1308,30.3398,29.9218,30.0218,4636062,MRO
2014-01-30,30.149,30.3126,29.9128,30.0218,2969418,MRO
2014-01-31,29.6947,29.8764,29.4403,29.7946,6718393,MRO
2014-02-03,29.7855,29.8492,29.0495,29.1313,8982979,MRO
2014-02-04,29.2858,29.4493,28.9632,29.3857,10932959,MRO
2014-02-05,29.3948,29.4584,28.7043,29.1677,6537213,MRO
2014-02-06,28.786,29.94,28.6861,28.9042,9408513,MRO
2014-02-07,28.9859,29.831,28.786,29.622,8263961,MRO
2014-02-10,29.522,29.522,29.1222,29.3221,5871382,MRO
2014-02-11,29.3948,29.8946,29.3494,29.7129,6144524,MRO
2014-02-12,29.94,30.3035,29.8492,30.249,5216350,MRO
2014-02-13,30.0036,30.3671,29.731,30.2308,6756007,MRO
2014-02-14,30.1851,30.5506,30.0389,30.3587,6103249,MRO
2014-02-18,30.4136,30.706,30.2582,30.6512,7382423,MRO
2014-02-19,30.505,31.1172,30.4318,30.4684,6145067,MRO
2014-02-20,30.4684,30.7928,30.4044,30.5963,4224744,MRO
2014-02-21,30.6832,30.6877,30.377,30.3953,7255077,MRO
2014-02-24,30.6055,31.3731,30.5963,30.971,6836305,MRO
2014-02-25,31.0076,31.2315,30.8431,31.099,5396215,MRO
2014-02-26,31.0259,31.1081,30.7608,30.8614,4798553,MRO
2014-02-27,30.3679,30.8888,30.2034,30.4501,6228162,MRO
2014-02-28,30.5232,30.8888,30.3679,30.6146,8611326,MRO
2014-03-03,30.505,31.044,30.3862,30.6512,5809596,MRO
2014-03-04,30.8522,31.1629,30.6329,30.9527,5220712,MRO
2014-03-05,30.971,31.0716,30.6512,30.7151,4804320,MRO
2014-03-06,30.8065,31.2406,30.6786,30.9071,7479120,MRO
2014-03-07,31.1081,31.364,30.9802,31.2909,5256680,MRO
2014-03-10,31.2086,31.364,31.0716,31.3457,4341819,MRO
2014-03-11,31.3823,31.4371,30.7334,31.0076,4647834,MRO
2014-03-12,30.7608,30.8157,30.4227,30.5781,4875701,MRO
2014-03-13,30.6603,30.7151,29.9384,30.0389,6292286,MRO
2014-03-14,29.8927,30.2536,29.8104,30.2308,7438992,MRO
2014-03-17,30.2308,30.505,30.1303,30.3222,3528395,MRO
2014-03-18,30.377,30.8339,30.2765,30.7517,5949916,MRO
2014-03-19,30.77,30.8979,30.3313,30.4227,5181360,MRO
2014-03-20,30.4684,30.9345,30.2673,30.9071,4839841,MRO
2014-03-21,31.1355,31.5925,30.9802,31.428,9354445,MRO
2014-03-24,31.3823,31.7661,31.1629,31.2817,8145012,MRO
2014-03-25,31.364,31.6381,31.2178,31.5925,4765830,MRO
2014-03-26,31.7021,31.894,31.4462,31.5285,5780386,MRO
2014-03-27,31.5285,31.8301,31.4005,31.5193,5565123,MRO
2014-03-28,31.6747,32.223,31.6107,32.1865,6256587,MRO
2014-03-31,32.2961,32.5703,32.2413,32.4606,6897866,MRO
2014-04-01,32.6434,32.6434,32.1499,32.3692,4455214,MRO
2014-04-02,32.287,32.5612,32.2413,32.3327,4943784,MRO
2014-04-03,32.4698,32.7257,32.351,32.6343,4366275,MRO
2014-04-04,32.8079,32.8902,32.3875,32.5246,5549838,MRO
2014-04-07,32.3601,32.3601,31.8026,31.894,6872304,MRO
2014-04-08,31.9032,32.2961,31.7935,32.2322,8045031,MRO
2014-04-09,32.3236,32.5794,31.9854,32.4149,6265855,MRO
2014-04-10,32.4515,32.5977,32.223,32.351,5292134,MRO
2014-04-11,32.223,32.4789,31.9077,32.0494,5452845,MRO
2014-04-14,32.3601,32.5657,32.1591,32.4789,6407363,MRO
2014-04-15,32.4789,32.881,32.3692,32.8079,5315845,MRO
2014-04-16,32.9907,33.3288,32.8261,33.3288,6610910,MRO
2014-04-17,33.3562,33.6761,33.3379,33.5664,8062194,MRO
2014-04-21,33.6395,33.7492,33.2466,33.4202,5731933,MRO
2014-04-22,33.3197,33.4567,32.9907,33.2374,6089967,MRO
2014-04-23,33.2557,33.5573,33.2283,33.3288,8145234,MRO
2014-04-24,33.4385,33.475,33.21,33.2466,10106508,MRO
2014-04-25,33.2466,33.3197,32.8627,32.9724,6560251,MRO
2014-04-28,33.1186,33.1826,32.817,33.0912,6816898,MRO
2014-04-29,33.3288,33.804,33.3288,33.7218,7797487,MRO
2014-04-30,33.5756,33.5756,33.0364,33.0364,6852851,MRO
2014-05-01,33.1095,33.2374,32.881,33.1917,6837391,MRO
2014-05-02,33.1643,33.539,33.1186,33.3928,6211870,MRO
2014-05-05,33.3197,33.539,33.1369,33.3105,5214185,MRO
2014-05-06,33.3105,33.4111,33.0181,33.0729,5705099,MRO
2014-05-07,33.1278,33.2054,32.3144,32.4606,11845515,MRO
2014-05-08,32.5886,32.7165,32.4332,32.6251,7721590,MRO
2014-05-09,32.6525,32.8536,32.4789,32.817,7180408,MRO
2014-05-12,33.0272,33.306,32.9724,33.1735,7649590,MRO
2014-05-13,33.3562,33.4567,33.1826,33.3379,6559280,MRO
2014-05-14,33.4659,33.5527,33.3288,33.4293,5260928,MRO
2014-05-15,33.3836,33.3836,32.8262,33.1003,5648641,MRO
2014-05-16,33.1369,33.1369,32.5063,32.7622,5915615,MRO
2014-05-19,32.6612,33.0103,32.6612,32.7347,4871900,MRO
2014-05-20,32.7347,32.7714,32.482,32.5233,3379479,MRO
2014-05-21,32.6428,33.1021,32.6428,33.0286,5478431,MRO
2014-05-22,33.0286,33.534,32.9552,33.24,5510464,MRO
2014-05-23,33.2491,33.4329,33.1573,33.3318,5206380,MRO
2014-05-27,33.3594,33.4605,33.24,33.341,5957431,MRO
2014-05-28,33.4513,33.782,33.3686,33.5799,5857705,MRO
2014-05-29,33.6718,33.7177,33.3548,33.681,3820764,MRO
2014-05-30,33.6534,33.7912,33.4788,33.681,5427134,MRO
2014-06-02,33.7636,34.076,33.3318,33.4788,6979197,MRO
2014-06-03,33.4513,33.8785,33.3318,33.8188,8083657,MRO
2014-06-04,33.7361,33.9106,33.6351,33.681,3926391,MRO
2014-06-05,33.681,34.0852,33.5431,34.0576,6834764,MRO
2014-06-06,34.1219,34.4435,34.1036,34.2781,5614298,MRO
2014-06-09,34.3608,34.8202,34.3149,34.7651,5247234,MRO
2014-06-10,34.8569,35.105,34.7651,35.0682,5739184,MRO
2014-06-11,35.0223,35.4082,34.8386,35.3531,6418564,MRO
2014-06-12,35.5552,36.1524,35.4449,35.9686,10010836,MRO
2014-06-13,35.9319,35.9594,35.4679,35.9043,8458628,MRO
2014-06-16,36.0329,36.042,35.7665,35.84,4442881,MRO
2014-06-17,35.7114,35.7389,35.4449,35.7206,4357576,MRO
2014-06-18,35.7114,35.9962,35.4909,35.7757,5618245,MRO
2014-06-19,35.8124,36.1064,35.6838,36.1064,5660609,MRO
2014-06-20,36.2902,36.6071,36.134,36.4923,10682811,MRO
2014-06-23,36.575,36.9517,36.5107,36.8965,5481705,MRO
2014-06-24,36.7404,36.8139,35.7757,35.8584,5523270,MRO
2014-06-25,35.8216,36.5796,35.8216,36.4831,9327933,MRO
2014-06-26,36.4923,36.5566,36.088,36.4096,5189932,MRO
2014-06-27,36.2902,36.4373,36.0145,36.235,7592190,MRO
2014-06-30,36.3361,36.6944,36.1983,36.676,5469507,MRO
2014-07-01,36.7955,37.016,36.5061,36.529,7024968,MRO
2014-07-02,36.5015,36.6025,36.281,36.4004,5629713,MRO
2014-07-03,36.6301,37.0527,36.5934,37.0435,3335237,MRO
2014-07-07,36.7771,36.8598,36.3499,36.3545,10598045,MRO
2014-07-08,36.3545,36.5015,36.0467,36.235,6111985,MRO
2014-07-09,36.2259,36.4372,36.0789,36.3545,3662088,MRO
2014-07-10,36.0237,36.4326,35.8492,36.1891,5851619,MRO
2014-07-11,36.1248,36.2534,35.9227,35.9594,3122869,MRO
2014-07-14,36.2259,36.575,36.1707,36.4647,3465873,MRO
2014-07-15,36.3361,36.4831,36.0467,36.1156,4357532,MRO
2014-07-16,36.4188,36.9976,36.4188,36.9976,6068970,MRO
2014-07-17,36.4096,36.6944,36.2902,36.5658,3914018,MRO
2014-07-18,36.4096,36.6944,36.2902,36.5658,3914018,MRO
2014-07-21,36.428,36.5796,36.1615,36.5382,2985768,MRO
2014-07-22,36.6117,36.9976,36.58,36.9333,4599931,MRO
2014-07-23,36.9792,37.3906,36.9425,37.1905,4696727,MRO
2014-07-24,37.1354,37.434,37.1078,37.4018,4734790,MRO
2014-07-25,37.1262,37.2916,36.8414,37.2181,2977872,MRO
2014-07-28,37.163,37.2457,36.8139,36.9608,4174936,MRO
2014-07-29,36.8782,36.9884,36.6944,36.6944,3815850,MRO
2014-07-30,36.9976,37.117,36.2811,36.4372,4197512,MRO
2014-07-31,36.1615,36.281,35.569,35.6011,5271027,MRO
2014-08-01,35.5552,35.8032,34.9488,35.4725,6148760,MRO
2014-08-04,35.6195,36.1983,35.3071,36.0329,5704656,MRO
2014-08-05,36.4372,36.7955,35.0866,35.3347,6897031,MRO
2014-08-06,35.3439,36.2902,35.2336,35.7665,7247882,MRO
2014-08-07,35.2887,35.6011,34.8211,34.9947,7313647,MRO
2014-08-08,35.0591,35.941,34.9304,35.9043,6961437,MRO
2014-08-11,36.0421,36.2718,35.84,35.9319,3969331,MRO
2014-08-12,35.8859,36.1331,35.6471,35.8676,5558596,MRO
2014-08-13,35.9594,36.2442,35.794,35.9686,3860242,MRO
2014-08-14,36.1432,36.2259,35.8032,35.8308,6960153,MRO
2014-08-15,35.9227,36.0513,35.7114,35.8492,10380950,MRO
2014-08-18,36.0247,36.1078,35.6829,35.96,4707717,MRO
2014-08-19,36.0616,36.7175,35.96,36.699,5256559,MRO
2014-08-20,36.6251,36.893,36.4588,36.8745,3812285,MRO
2014-08-21,36.9484,37.2163,36.7452,37.2163,4275771,MRO
2014-08-22,36.9299,37.0777,36.6731,36.9484,4185912,MRO
2014-08-25,37.0223,37.3364,36.8837,37.2902,3155257,MRO
2014-08-26,37.3918,37.7243,37.3918,37.5673,5001344,MRO
2014-08-27,37.5765,37.8536,37.4149,37.7705,4595756,MRO
2014-08-28,37.595,37.8398,37.4934,37.789,4447521,MRO
2014-08-29,37.7797,38.5557,37.752,38.5095,7048113,MRO
2014-09-02,38.5187,38.5649,37.6042,37.8906,5390742,MRO
2014-09-03,38.1862,38.7219,38.1169,38.1307,6811127,MRO
2014-09-04,38.0753,38.3524,37.2486,37.438,8240000,MRO
2014-09-05,37.5211,37.7936,37.2347,37.789,3921167,MRO
2014-09-08,37.6319,37.6319,36.8283,37.1424,5041108,MRO
2014-09-09,37.3086,37.4934,36.7821,37.0038,4976500,MRO
2014-09-10,36.8468,37.0223,36.3387,36.9669,6324037,MRO
2014-09-11,36.6066,37.1054,36.4404,36.9669,4483877,MRO
2014-09-12,36.8283,36.9576,36.4588,36.5604,3908903,MRO
2014-09-15,36.4865,36.9669,36.2556,36.7914,3225493,MRO
2014-09-16,36.8098,37.3825,36.7452,37.0592,5516417,MRO
2014-09-17,37.2347,37.5442,37.0592,37.2532,4861476,MRO
2014-09-18,37.3271,37.4103,36.3203,36.3203,7756772,MRO
2014-09-19,36.4681,36.7914,36.1586,36.2371,6923037,MRO
2014-09-22,36.1078,36.2002,35.4982,35.7568,4311462,MRO
2014-09-23,35.7106,35.9323,35.3966,35.4797,4039464,MRO
2014-09-24,35.4058,35.9577,34.9901,35.7383,4364624,MRO
2014-09-25,35.766,35.766,35.2118,35.2211,3901807,MRO
2014-09-26,35.1841,35.8122,35.0456,35.5998,3357523,MRO
2014-09-29,35.1656,35.7614,35.0178,35.6552,3938279,MRO
2014-09-30,35.5721,35.646,34.4636,34.7223,6082112,MRO
2014-10-01,34.7223,35.1379,34.1403,34.2974,5984086,MRO
2014-10-02,34.0295,34.2512,33.2074,34.0849,5336350,MRO
2014-10-03,34.1403,34.1763,33.5445,33.854,4385426,MRO
2014-10-06,33.9463,34.1403,33.6046,33.8355,5473694,MRO
2014-10-07,33.6415,33.8309,33.1011,33.1058,4464248,MRO
2014-10-08,33.0781,33.4291,32.4315,33.4014,5906529,MRO
2014-10-09,33.1704,33.2628,32.0158,32.062,6450384,MRO
2014-10-10,32.0989,32.3206,31.383,31.6186,7416402,MRO
2014-10-13,31.6648,31.9511,30.3993,30.4085,8138942,MRO
2014-10-14,30.5748,31.0043,29.9282,30.0668,9099554,MRO
2014-10-15,29.5033,30.2792,28.9583,30.233,10577784,MRO
2014-10-16,30.0668,31.2999,29.5033,30.9443,12782108,MRO
2014-10-17,31.3599,31.8541,31.0921,31.3415,9648046,MRO
2014-10-20,31.2214,31.8218,31.0458,31.6463,5146616,MRO
2014-10-21,31.9142,32.3206,31.7017,32.219,5679863,MRO
2014-10-22,32.3021,32.4869,31.4246,31.4338,7197096,MRO
2014-10-23,31.8218,32.4222,31.7294,32.0804,6567003,MRO
2014-10-24,31.9881,32.0712,31.5262,31.868,3703997,MRO
2014-10-27,31.3138,31.3415,30.4732,30.4824,8299942,MRO
2014-10-28,30.8057,31.7017,30.6579,31.6555,7575841,MRO
2014-10-29,31.0459,31.7479,30.8704,31.0089,8337455,MRO
2014-10-30,31.6186,31.7387,31.2999,31.5077,4738852,MRO
2014-10-31,31.5909,32.7917,31.1013,32.6993,8286718,MRO
2014-11-03,32.8471,33.0503,31.8218,31.9327,8408242,MRO
2014-11-04,31.4893,31.6463,30.3745,30.815,9431970,MRO
2014-11-05,31.0459,31.7479,30.8704,31.0089,8342345,MRO
2014-11-06,31.0367,31.7294,30.6764,31.7202,8647962,MRO
2014-11-07,31.8403,32.3483,31.6555,31.7664,9862871,MRO
2014-11-10,32.0158,32.3021,30.5748,30.7134,12915593,MRO
2014-11-11,30.8334,31.0459,30.3901,30.6025,6345631,MRO
2014-11-12,30.4732,30.815,30.0945,30.1591,7131637,MRO
2014-11-13,30.1314,30.1314,29.1985,29.5125,8212912,MRO
2014-11-14,29.6234,30.0298,29.4571,29.8912,6098723,MRO
2014-11-17,29.6495,29.9098,29.3055,29.5844,6130040,MRO
2014-11-18,29.5007,29.9749,29.4543,29.8076,5513546,MRO
2014-11-19,29.8169,30.6257,29.6588,30.4677,7552455,MRO
2014-11-20,30.5049,31.0395,30.4398,30.9418,5940067,MRO
2014-11-21,31.5276,31.76,31.2115,31.4532,7244014,MRO
2014-11-24,31.3044,31.509,31.0162,31.2115,5734690,MRO
2014-11-25,31.2301,31.3695,30.5736,30.7838,6013758,MRO
2014-11-26,30.7652,30.8303,30.198,30.2166,5356587,MRO
2014-11-28,28.6454,28.6547,26.5442,26.8882,8542602,MRO
2014-12-01,26.5163,26.9997,26.2373,26.9532,11985657,MRO
2014-12-02,26.8696,28.0132,26.7208,27.6413,13241433,MRO
2014-12-03,27.9853,28.8313,27.7249,28.3851,9051791,MRO
2014-12-04,28.1154,28.1712,27.7156,27.7435,8888097,MRO
2014-12-05,27.6784,27.7714,27.0741,27.1764,8508861,MRO
2014-12-08,26.9347,27.1206,25.2518,25.3355,12535095,MRO
2014-12-09,25.2425,26.0049,25.1495,25.8283,11294769,MRO
2014-12-10,25.2332,25.2704,24.4708,24.5731,10365036,MRO
2014-12-11,24.5917,25.0566,24.3128,24.4058,8571328,MRO
2014-12-12,23.9316,24.4801,23.5225,23.662,11411400,MRO
2014-12-15,23.9781,24.0617,22.9135,23.0576,9969602,MRO
2014-12-16,22.6764,24.1919,22.5742,23.5318,13011365,MRO
2014-12-17,23.6248,25.2611,23.5039,24.7962,15846479,MRO
2014-12-18,26.4605,26.4884,24.9288,25.6237,19714331,MRO
2014-12-19,25.8097,26.3582,25.3448,26.2466,17719397,MRO
2014-12-22,26.1992,26.679,25.8933,26.2838,10721154,MRO
2014-12-23,26.5163,26.7766,26.2466,26.6836,8052092,MRO
2014-12-24,26.4977,26.5814,25.9584,26.3675,3238412,MRO
2014-12-26,26.5256,26.6557,26.1537,26.2745,3280691,MRO
2014-12-29,26.4977,26.9114,26.3675,26.5721,4901633,MRO
2014-12-30,26.321,26.6929,26.1072,26.4233,4477390,MRO
2014-12-31,26.1723,26.7766,25.9753,26.3024,6082724,MRO
2015-01-02,26.0886,26.7766,25.8933,26.5907,5282315,MRO
2015-01-05,26.07,26.07,25.0194,25.3541,7905134,MRO
2015-01-06,25.2239,25.9119,24.6103,24.9729,11319995,MRO
2015-01-07,25.3913,25.7353,25.0101,25.2797,7213727,MRO
2015-01-08,25.6888,25.805,25.2146,25.7911,11658155,MRO
2015-01-09,25.8097,25.9352,25.4424,25.7074,9600672,MRO
2015-01-12,25.2332,25.2797,24.2663,24.3965,8148149,MRO
2015-01-13,24.4429,24.8334,23.8665,24.071,10820389,MRO
2015-01-14,23.7363,24.1919,23.0669,24.1361,10407592,MRO
2015-01-15,24.6754,24.7405,23.6573,23.6806,6164984,MRO
2015-01-16,23.9037,24.8148,23.8386,24.7312,7354182,MRO
2015-01-20,24.3965,24.5173,23.8605,24.1175,7265754,MRO
2015-01-21,24.4151,24.9032,24.257,24.7219,6111928,MRO
2015-01-22,25.0194,25.0473,24.3593,24.945,6521339,MRO
2015-01-23,24.8892,25.3216,24.6475,24.6568,6296591,MRO
2015-01-26,24.6661,25.4564,24.4429,25.3541,5068004,MRO
2015-01-27,24.9171,25.1681,24.5545,25.0752,6458451,MRO
2015-01-28,24.9171,25.0008,23.6759,23.7549,7137674,MRO
2015-01-29,23.9967,24.1175,23.1041,23.7735,7761757,MRO
2015-01-30,23.569,24.9543,23.383,24.7312,9581106,MRO
2015-02-02,25.1588,26.0049,24.9729,25.9398,11663232,MRO
2015-02-03,26.4047,26.9133,26.0235,26.7673,12666462,MRO
2015-02-04,26.1816,26.7301,25.8097,26.0142,11043632,MRO
2015-02-05,26.4791,26.6557,26.1258,26.3861,7309666,MRO
2015-02-06,26.6557,26.758,25.9076,25.9956,8563999,MRO
2015-02-09,26.2002,26.7022,26.1258,26.321,6373702,MRO
2015-02-10,26.2652,26.4605,25.4192,26.3861,7840153,MRO
2015-02-11,25.9398,26.3074,25.5029,26.1072,6472699,MRO
2015-02-12,26.5814,27.0276,26.414,26.758,6066446,MRO
2015-02-13,27.1607,27.6384,27.0718,27.6197,6615016,MRO
2015-02-17,27.5166,27.7882,27.1795,27.7508,8148928,MRO
2015-02-18,27.2638,27.6712,27.0203,27.1795,8283433,MRO
2015-02-19,26.6644,27.416,26.0462,27.1701,10128358,MRO
2015-02-20,27.1795,27.2638,26.4021,26.6644,9721418,MRO
