date,open,high,low,close,volume,Name
2014-01-24,58.6533,58.6533,57.9872,57.9872,1700579,MSI
2014-01-27,58.0952,58.4012,57.7261,57.9962,987760,MSI
2014-01-28,58.0052,58.2662,57.709,57.9152,1431460,MSI
2014-01-29,57.6001,58.1852,57.4021,57.5911,1474298,MSI
2014-01-30,58.2662,58.6893,58.1042,58.4282,1178178,MSI
2014-01-31,57.7171,57.9062,57.3751,57.4291,2110706,MSI
2014-02-03,57.5191,57.5911,56.4119,56.4569,1394303,MSI
2014-02-04,56.709,56.988,56.3669,56.7,916484,MSI
2014-02-05,56.628,56.808,56.2589,56.61,1117964,MSI
2014-02-06,56.799,57.1275,56.718,57.069,862652,MSI
2014-02-07,57.2491,58.1672,57.096,58.1492,1310496,MSI
2014-02-10,58.1402,58.6263,57.8972,58.5813,1096107,MSI
2014-02-11,58.6803,58.8693,58.3112,58.5363,1205076,MSI
2014-02-12,58.5723,59.2699,58.5723,59.2114,1086556,MSI
2014-02-13,58.7883,59.2384,58.7883,59.1124,639200,MSI
2014-02-14,59.1214,59.2384,58.9863,59.0583,592296,MSI
2014-02-18,59.2204,59.4004,59.0133,59.2114,689970,MSI
2014-02-19,59.0403,59.1934,58.4373,58.4462,826119,MSI
2014-02-20,58.5003,58.7613,58.1402,58.7073,994867,MSI
2014-02-21,59.0043,59.2474,58.5093,58.5273,797932,MSI
2014-02-24,58.4643,59.0043,58.3652,58.4733,765951,MSI
2014-02-25,58.5183,58.9863,58.4102,58.5993,795681,MSI
2014-02-26,58.6353,58.9953,58.2122,58.9143,957004,MSI
2014-02-27,58.6803,59.3284,58.5273,59.3194,853359,MSI
2014-02-28,59.3464,59.7154,59.2024,59.5894,2038430,MSI
2014-03-03,59.2294,59.5174,58.8603,59.3914,896710,MSI
2014-03-04,59.6974,60.7596,59.6659,60.0935,1632036,MSI
2014-03-05,59.9405,60.0755,59.5714,59.7064,821833,MSI
2014-03-06,59.7695,60.1205,59.6974,59.9225,687233,MSI
2014-03-07,60.0395,60.2645,59.801,59.9855,628751,MSI
2014-03-10,59.8955,60.0035,59.5264,59.7965,724629,MSI
2014-03-11,59.8595,59.9225,59.3824,59.4814,843222,MSI
2014-03-12,56.7863,59.1377,56.4969,58.8031,1469048,MSI
2014-03-13,58.8393,58.9388,57.9846,58.0706,1242885,MSI
2014-03-14,57.7359,58.0072,57.4194,57.5822,1142270,MSI
2014-03-17,57.9349,58.9116,57.7812,58.8574,1278610,MSI
2014-03-18,58.8935,59.7708,58.8755,59.4362,1053223,MSI
2014-03-19,59.4543,60.024,59.0654,59.4181,912898,MSI
2014-03-20,59.201,60.5486,59.0202,60.2863,1051848,MSI
2014-03-21,60.7837,60.9013,60.1146,60.422,2518191,MSI
2014-03-24,60.4129,60.4762,59.5357,59.7346,1021686,MSI
2014-03-25,59.9336,60.3044,59.4814,59.8522,834944,MSI
2014-03-26,60.0964,60.3858,58.9116,58.9297,1121654,MSI
2014-03-27,58.5951,58.9116,57.8625,58.2062,1155648,MSI
2014-03-28,58.369,58.6222,58.0163,58.1519,752829,MSI
2014-03-31,58.3509,58.7579,58.0706,58.1429,1063369,MSI
2014-04-01,58.2424,58.7669,58.0344,58.7036,1067895,MSI
2014-04-02,58.7488,59.2553,58.5861,58.8755,844460,MSI
2014-04-03,58.6313,59.3277,58.5606,58.8664,1072485,MSI
2014-04-04,59.0382,59.3258,58.0796,58.1158,1281777,MSI
2014-04-07,57.953,58.5047,57.953,58.2695,1215863,MSI
2014-04-08,58.17,59.0473,58.0669,58.7398,1511386,MSI
2014-04-09,58.785,59.192,58.653,59.0202,1019527,MSI
