date,open,high,low,close,volume,Name
2014-01-24,45.2056,45.3791,44.6932,44.9742,3460821,M
2014-01-27,44.9163,45.28,44.4486,44.7758,4051372,M
2014-01-28,45.0568,45.5692,44.9659,45.0155,2945805,M
2014-01-29,44.7263,45.1643,44.0569,44.123,4437914,M
2014-01-30,44.6271,44.908,44.313,44.5527,2582749,M
2014-01-31,43.9825,44.4535,43.8978,43.9659,3597852,M
2014-02-03,43.8998,43.9577,41.9081,42.0734,7244640,M
2014-02-04,42.3048,42.7594,41.9412,42.123,4436456,M
2014-02-05,41.8916,42.685,41.3627,42.4371,5773518,M
2014-02-06,42.5032,43.6767,42.5032,43.4205,3913404,M
2014-02-07,43.6932,44.3874,43.4618,43.875,2933068,M
2014-02-10,43.7263,43.9081,43.2552,43.7263,2275188,M
2014-02-11,43.8007,44.3626,43.5599,44.2717,2322128,M
2014-02-12,44.313,44.5031,43.4866,43.6519,2523412,M
2014-02-13,43.437,44.1643,43.4205,43.9164,2269921,M
2014-02-14,43.8668,44.3296,43.6519,44.1312,2159998,M
2014-02-18,44.3544,44.4205,43.718,43.9246,2775383,M
2014-02-19,43.9577,44.3544,43.8503,44.0816,2893804,M
2014-02-20,44.0238,44.4618,43.9742,44.1808,3208085,M
2014-02-21,44.2635,44.6188,44.2221,44.3874,3103180,M
2014-02-24,44.5197,44.7097,43.8255,43.8503,5582042,M
2014-02-25,44.3213,46.7345,44.0734,46.4866,10908839,M
2014-02-26,46.1808,48.4774,46.0485,47.8997,8986974,M
2014-02-27,47.5279,48.0733,47.3708,47.8171,4064579,M
2014-02-28,47.6849,48.0402,47.5196,47.8171,3235020,M
2014-03-03,47.2634,47.627,46.8584,47.6188,3857916,M
2014-03-04,48.0981,48.2716,47.6022,47.6436,3464471,M
2014-03-05,47.5609,47.8006,47.1973,47.3708,3566548,M
2014-03-06,47.5857,47.6849,47.1725,47.3543,4017682,M
2014-03-07,47.5361,48.3295,47.3295,47.9741,3914963,M
2014-03-10,47.6849,48.2055,47.5609,48.032,4128573,M
2014-03-11,48.8749,49.5443,48.6353,48.7096,5717399,M
2014-03-12,48.6184,48.7844,47.9129,48.7678,3696987,M
2014-03-13,48.9504,49.4483,48.1868,48.3113,3843463,M
2014-03-14,48.303,48.9669,48.0382,48.6184,3542004,M
2014-03-17,48.9006,49.1246,48.552,48.884,2724678,M
2014-03-18,48.8342,49.2823,48.8176,48.8674,2923753,M
2014-03-19,48.8591,49.108,48.2947,48.5935,3565816,M
2014-03-20,48.5022,48.8217,48.2947,48.718,1890545,M
2014-03-21,49.0416,49.4317,48.7346,48.9421,8054453,M
2014-03-24,49.0084,49.1744,48.0125,48.4773,4304380,M
2014-03-25,48.5935,48.6599,47.9876,48.1453,3412513,M
2014-03-26,48.3528,48.8176,48.2034,48.2117,2959171,M
2014-03-27,48.2532,48.9752,48.054,48.469,2780046,M
2014-03-28,48.4275,48.9669,48.4275,48.9006,1849314,M
2014-03-31,49.0748,49.5894,48.8342,49.2076,3558156,M
2014-04-01,49.1246,49.9504,49.0748,49.3902,2802559,M
2014-04-02,49.3819,50.5272,49.3819,50.3281,4943055,M
2014-04-03,50.2451,50.4609,49.9131,50.2949,3093853,M
2014-04-04,50.5522,50.8426,49.5313,49.5811,3773150,M
2014-04-07,49.5562,49.5894,48.1536,48.3528,3048096,M
2014-04-08,48.1453,48.8176,47.6639,48.4524,3805724,M
2014-04-09,48.6433,48.9047,48.1851,48.8342,2452027,M
2014-04-10,48.8176,49.1703,48.0291,48.1951,3036592,M
2014-04-11,47.2324,47.9627,47.1245,47.2241,4063816,M
2014-04-14,47.6805,47.9461,46.863,47.2905,2937733,M
2014-04-15,47.4149,48.0374,47.1162,47.7884,2682735,M
2014-04-16,48.1951,48.7512,47.9544,48.6848,2595658,M
2014-04-17,48.4939,48.6184,47.0249,47.166,6443543,M
2014-04-21,47.2573,47.7635,47.0747,47.5809,2634293,M
2014-04-22,47.6971,48.2449,47.3983,47.7386,3338050,M
2014-04-23,47.7884,48.3362,47.7801,48.2366,2709301,M
2014-04-24,48.3943,48.5437,48.137,48.1785,2071660,M
2014-04-25,47.9959,48.0208,47.6556,47.7801,2034832,M
2014-04-28,48.0872,48.5354,47.6722,48.1536,2649883,M
2014-04-29,48.1453,48.2864,47.2075,48.22,3574423,M
2014-04-30,48.1287,48.2283,47.0498,47.6639,4083648,M
2014-05-01,47.8797,47.9378,47.1411,47.249,4063930,M
2014-05-02,47.4315,48.054,47.2697,47.4647,4402959,M
2014-05-05,47.2573,47.3901,46.4356,47.0332,3314871,M
2014-05-06,46.917,46.917,45.697,45.7301,4625710,M
2014-05-07,45.8878,46.087,45.4978,45.838,3835289,M
2014-05-08,45.8297,47.1328,45.8297,46.4522,4220842,M
2014-05-09,46.4439,46.8589,46.2447,46.7676,3143246,M
2014-05-12,47.0996,47.9951,47.0,47.6307,5765271,M
2014-05-13,47.7054,48.0831,47.6141,48.0042,5040439,M
2014-05-14,48.5603,48.8674,47.6141,47.9959,11508248,M
2014-05-15,47.7552,47.8465,46.5103,47.3569,7008269,M
2014-05-16,47.7801,48.2698,47.473,48.1951,4998664,M
2014-05-19,48.0374,48.3694,47.888,48.22,2654763,M
2014-05-20,48.0042,48.0125,46.7593,46.9004,4317645,M
2014-05-21,46.9502,47.2988,46.7178,47.1411,2700210,M
2014-05-22,47.1909,47.9212,47.0749,47.8133,2204693,M
2014-05-23,47.888,48.2283,47.639,48.1785,1837812,M
2014-05-27,48.3113,48.5769,47.9129,48.4773,2569729,M
2014-05-28,48.4358,48.718,47.9959,48.635,3419232,M
2014-05-29,48.7678,49.1952,48.5271,49.0997,3148304,M
2014-05-30,49.0831,49.7388,49.0831,49.7056,3628926,M
2014-06-02,49.8716,50.0791,49.4732,49.8384,2677653,M
2014-06-03,49.7554,50.0085,49.5728,49.6641,2846349,M
2014-06-04,49.5313,50.0459,49.3653,49.8135,2140649,M
2014-06-05,49.5064,49.5064,48.5271,49.1412,4243418,M
2014-06-06,49.3321,49.7139,49.2491,49.5064,2121278,M
2014-06-09,49.4649,49.8965,49.0084,49.1578,2066922,M
2014-06-10,49.1329,49.2884,48.7678,48.8674,1941099,M
2014-06-11,48.8027,48.8194,48.2019,48.3855,2405502,M
2014-06-12,48.3605,48.5357,47.5845,47.8014,2922692,M
2014-06-13,47.8181,48.1185,47.6262,47.8932,2359576,M
2014-06-16,47.9683,48.0017,47.6012,47.7514,2414074,M
2014-06-17,47.768,48.4522,47.6012,48.3688,2364722,M
2014-06-18,48.2019,48.4606,47.9266,48.2019,1850591,M
2014-06-19,48.1852,48.5524,48.1685,48.4689,2502670,M
2014-06-20,48.6441,48.8444,48.4689,48.5273,3285990,M
2014-06-23,48.4272,49.1615,48.3104,49.0196,2660980,M
2014-06-24,48.8611,49.4285,48.6108,48.786,3354218,M
2014-06-25,48.6859,49.1615,48.3605,48.3938,2762940,M
2014-06-26,48.4272,48.544,47.8515,48.4522,2227299,M
2014-06-27,48.3688,49.0196,48.3271,48.9529,2177066,M
2014-06-30,49.0363,49.0363,48.2436,48.4105,2942487,M
2014-07-01,48.5607,49.1948,48.5273,48.9445,2512451,M
2014-07-02,49.053,49.6204,48.9779,49.1865,3069166,M
2014-07-03,49.1698,50.2712,49.1698,49.9625,2319264,M
2014-07-07,49.7288,49.8373,49.2115,49.6287,2783591,M
2014-07-08,49.5286,49.829,48.9695,49.3617,3765536,M
2014-07-09,49.5453,49.9708,49.3617,49.6204,2903088,M
2014-07-10,48.9529,49.295,48.7776,49.0613,3082768,M
2014-07-11,48.9111,49.0113,48.3438,48.4856,2813132,M
2014-07-14,48.811,48.9529,48.2186,48.252,3009835,M
2014-07-15,48.0434,48.2186,47.2507,47.3091,6005255,M
2014-07-16,47.5845,47.7347,47.1589,47.6262,3900680,M
2014-07-17,47.2924,47.743,47.184,47.2591,2583978,M
2014-07-18,47.2758,47.7347,47.0338,47.6512,2933449,M
2014-07-21,47.5678,47.6512,47.209,47.3342,2313831,M
2014-07-22,47.234,47.6846,47.234,47.5428,2884985,M
2014-07-23,47.5094,48.1852,47.4093,47.96,1899508,M
