date,open,high,low,close,volume,Name
2014-01-24,76.2451,76.5828,75.3706,75.3793,3696414,NEE
2014-01-27,75.4918,75.9074,74.5654,75.2321,2605819,NEE
2014-01-28,75.3187,77.9248,75.0849,76.8685,3692315,NEE
2014-01-29,76.5915,77.2928,76.2105,76.8599,2347238,NEE
2014-01-30,77.1975,78.9985,77.111,78.756,2898927,NEE
2014-01-31,78.3318,79.873,78.2279,79.5959,3427456,NEE
2014-02-03,79.6998,80.3059,78.8599,78.9811,3234471,NEE
2014-02-04,79.163,79.2063,77.7517,78.0461,2432468,NEE
2014-02-05,77.8383,78.098,77.2625,77.3707,2333329,NEE
2014-02-06,77.3447,77.795,77.0694,77.7344,2282170,NEE
2014-02-07,78.4703,79.2063,77.7733,78.453,2625124,NEE
2014-02-10,78.2279,79.1543,77.8729,79.085,1518649,NEE
2014-02-11,78.9032,80.2279,78.7993,79.6392,2423839,NEE
2014-02-12,79.6219,80.3059,79.2755,79.8297,1886375,NEE
2014-02-13,79.4574,80.6167,79.3794,80.3925,1272895,NEE
2014-02-14,80.124,80.834,80.0375,80.7561,1455856,NEE
2014-02-18,80.8167,81.4228,80.6695,80.8254,1826535,NEE
2014-02-19,80.8687,81.1457,79.9076,80.0375,1711446,NEE
2014-02-20,80.1414,80.557,79.7007,80.0461,2207181,NEE
2014-02-21,80.0981,80.9206,79.9872,80.1414,1624641,NEE
2014-02-24,80.2712,80.3232,79.44,79.466,2626139,NEE
2014-02-25,79.6652,80.2799,79.1197,79.3448,2211126,NEE
2014-02-26,79.611,79.8116,78.808,78.9477,2270871,NEE
2014-02-27,78.9389,79.2793,78.5462,79.0524,2071140,NEE
2014-02-28,78.9739,80.0299,78.8517,79.7593,2174262,NEE
2014-03-03,79.3055,79.5411,78.3804,78.7906,2048239,NEE
2014-03-04,79.384,80.3091,79.3055,79.995,2628652,NEE
2014-03-05,79.9513,79.9862,78.9477,79.1135,1633675,NEE
2014-03-06,79.4277,79.5673,78.7731,79.192,1632781,NEE
2014-03-07,79.0699,80.1608,78.808,80.1171,1976539,NEE
2014-03-10,79.9862,80.2044,79.0699,79.576,1791596,NEE
2014-03-11,80.0299,80.1171,79.0873,79.384,2153051,NEE
2014-03-12,79.2357,80.4837,79.1571,80.4575,1785038,NEE
2014-03-13,80.5971,82.5172,80.5099,81.8452,3103568,NEE
2014-03-14,81.6881,82.8226,81.2953,82.2641,2157099,NEE
2014-03-17,82.6917,82.971,82.3688,82.7441,1821728,NEE
2014-03-18,83.0321,83.1543,82.4124,82.4473,1226924,NEE
2014-03-19,82.4212,82.8052,80.7368,81.4262,2326757,NEE
2014-03-20,81.1644,81.6793,80.1259,81.6357,1912041,NEE
2014-03-21,82.4124,83.2852,81.8277,82.5346,4153861,NEE
2014-03-24,82.7615,83.0168,81.627,82.107,1765574,NEE
2014-03-25,82.2466,82.9186,81.9412,82.5346,1741571,NEE
2014-03-26,82.6306,82.8183,81.8626,81.9324,1687879,NEE
2014-03-27,81.8102,82.6655,81.5048,82.5695,1592636,NEE
2014-03-28,82.4299,82.7964,82.1157,82.6655,1470854,NEE
2014-03-31,83.0408,83.8961,82.8924,83.451,1618845,NEE
2014-04-01,83.4423,83.4423,82.4386,82.7877,1163865,NEE
2014-04-02,82.8052,82.8401,81.4088,82.0721,2097662,NEE
2014-04-03,82.6306,83.1281,82.4212,82.5608,1283417,NEE
2014-04-04,82.7964,83.7041,82.5608,82.9186,1779757,NEE
2014-04-07,82.7266,83.1499,81.9324,81.9499,2096335,NEE
2014-04-08,81.9499,84.2801,81.5833,84.219,2295471,NEE
2014-04-09,84.2975,84.9259,83.4859,84.1579,2433918,NEE
2014-04-10,83.9048,84.3499,83.067,83.5819,2802073,NEE
2014-04-11,83.4161,84.0183,82.9273,83.0408,2141379,NEE
2014-04-14,83.6517,84.2539,83.3114,83.8786,1101391,NEE
2014-04-15,83.8263,84.8823,83.739,84.8648,1719060,NEE
