date,open,high,low,close,volume,Name
2014-01-24,63.1452,63.5231,62.7361,62.9888,1595267,OMC
2014-01-27,62.7717,63.0236,62.207,62.5111,1568443,OMC
2014-01-28,63.6925,64.066,63.1278,63.5709,1367555,OMC
2014-01-29,63.3276,63.6404,62.5371,62.9454,1274920,OMC
2014-01-30,63.2321,64.4309,63.2321,64.2658,925458,OMC
2014-01-31,62.902,63.7055,62.4068,63.0497,2284681,OMC
2014-02-03,63.1626,63.2234,61.321,61.4513,1847276,OMC
2014-02-04,61.625,62.928,61.5034,62.6848,1262192,OMC
2014-02-05,62.2939,63.5448,62.2939,62.624,1833735,OMC
2014-02-06,63.6491,64.179,63.5709,63.7359,1621737,OMC
2014-02-07,64.2832,64.6915,64.0139,64.4569,2132367,OMC
2014-02-10,64.2745,64.6307,64.0139,64.4309,1578973,OMC
2014-02-11,66.0727,66.0727,63.3494,63.4145,5707050,OMC
2014-02-12,63.2495,63.4058,62.3808,63.3016,3509487,OMC
2014-02-13,63.7533,64.6654,63.4883,64.622,1829962,OMC
2014-02-14,64.8565,66.2812,64.4656,65.9685,1562244,OMC
2014-02-18,66.1075,66.329,65.7513,66.1596,967497,OMC
2014-02-19,66.0119,66.62,65.4994,65.5428,812938,OMC
2014-02-20,65.5862,65.6818,65.0563,65.0824,1401858,OMC
2014-02-21,65.1519,65.6036,64.7523,64.7697,1319500,OMC
2014-02-24,65.4386,66.7069,65.4038,65.8903,1219806,OMC
2014-02-25,66.481,66.7763,66.2378,66.3681,1244789,OMC
2014-02-26,66.2204,66.2464,65.3864,65.4299,992366,OMC
2014-02-27,65.0303,65.6297,64.9521,65.3951,1123452,OMC
2014-02-28,66.2597,66.9758,65.9671,66.0938,1787447,OMC
2014-03-03,65.3689,65.5523,64.5043,65.037,904471,OMC
2014-03-04,65.5348,65.858,65.2728,65.7008,976918,OMC
2014-03-05,65.5174,65.692,64.8536,65.2903,951568,OMC
2014-03-06,65.823,66.2073,65.7008,65.989,910467,OMC
2014-03-07,66.1724,66.5304,65.8754,65.9366,1533668,OMC
2014-03-10,65.8318,65.8318,64.2074,64.251,1328817,OMC
2014-03-11,64.155,64.2991,63.5262,63.9628,2068318,OMC
2014-03-12,63.0546,63.9541,62.8363,63.9192,2040711,OMC
2014-03-13,64.0764,64.1113,63.1419,63.1419,926424,OMC
2014-03-14,62.7227,63.1943,62.4694,63.0982,1009808,OMC
2014-03-17,63.2904,64.024,62.941,63.5786,1263948,OMC
2014-03-18,63.5698,64.286,63.4388,63.7532,1236781,OMC
2014-03-19,63.6659,63.6659,62.3996,62.6441,2134638,OMC
2014-03-20,61.9018,63.2991,61.762,63.2642,1538794,OMC
2014-03-21,63.4301,64.4781,62.6965,62.9323,1528679,OMC
2014-03-24,62.9672,63.0895,62.2598,62.8712,1257056,OMC
2014-03-25,62.9323,63.1768,62.4738,62.8799,758506,OMC
2014-03-26,63.5174,64.1899,63.238,63.4039,1801438,OMC
2014-03-27,63.5611,63.7882,62.9847,63.0284,1281608,OMC
2014-03-28,63.3515,63.7882,62.8624,63.1506,1170117,OMC
2014-03-31,63.465,63.7707,63.2292,63.4039,1204421,OMC
2014-04-01,63.5786,63.6135,61.7096,63.1943,1718168,OMC
2014-04-02,62.8624,63.2205,62.3559,62.8013,1302581,OMC
2014-04-03,63.107,63.5873,62.9324,63.1856,720779,OMC
2014-04-04,63.3864,63.4476,62.7489,62.941,1195548,OMC
2014-04-07,62.286,62.2948,60.8276,60.9673,2059708,OMC
2014-04-08,60.8887,61.1987,60.2948,61.0372,2808458,OMC
2014-04-09,61.6572,61.9542,61.0634,61.5874,1904670,OMC
2014-04-10,61.5874,61.9018,60.3996,60.6354,1902884,OMC
2014-04-11,59.9455,59.9542,59.404,59.4914,1926837,OMC
2014-04-14,58.9586,60.1726,58.9586,60.1464,2182454,OMC
2014-04-15,60.0241,60.6966,59.6049,60.3036,1640928,OMC
2014-04-16,60.9149,62.1376,60.8276,62.024,1666240,OMC
2014-04-17,62.7314,62.8624,61.9105,62.1463,1044266,OMC
2014-04-21,61.9367,62.6703,61.7533,62.4345,1143026,OMC
2014-04-22,62.3996,62.4083,60.1603,61.0197,2595207,OMC
2014-04-23,59.666,60.1988,59.4669,60.0678,2650231,OMC
2014-04-24,60.4433,61.4389,59.8582,61.0459,2142308,OMC
2014-04-25,60.7315,60.8363,58.8888,59.308,3823117,OMC
2014-04-28,59.3778,59.5263,57.605,57.9805,2812814,OMC
2014-04-29,58.2949,58.6442,57.963,58.2425,1952932,OMC
