date,open,high,low,close,volume,Name
2014-01-24,27.0541,27.6756,26.9879,27.3607,6005016,PEG
2014-01-27,27.3193,27.6549,27.2364,27.5265,5450340,PEG
2014-01-28,27.5845,27.6176,27.195,27.2862,2960864,PEG
2014-01-29,27.253,27.4105,27.0459,27.253,5093493,PEG
2014-01-30,27.3856,27.6715,27.2862,27.6507,2373837,PEG
2014-01-31,27.3276,27.7585,27.3193,27.6259,4354330,PEG
2014-02-03,27.7005,28.0816,27.4933,27.5347,4269847,PEG
2014-02-04,27.7253,27.7916,27.2447,27.4436,2926001,PEG
2014-02-05,27.427,27.4395,27.2364,27.3525,2947937,PEG
2014-02-06,27.4022,27.8538,27.2944,27.8165,2939179,PEG
2014-02-07,27.8745,28.2929,27.7502,28.1313,6033528,PEG
2014-02-10,28.0071,28.1396,27.7088,28.0982,4143645,PEG
2014-02-11,28.1313,28.5208,28.0816,28.4794,2672827,PEG
2014-02-12,28.4545,28.6699,28.2888,28.5042,5401775,PEG
2014-02-13,28.4296,28.6285,28.4048,28.5871,3529245,PEG
2014-02-14,28.4794,28.7528,28.3973,28.7528,2823184,PEG
2014-02-18,28.7859,29.1257,28.7114,29.0925,3949476,PEG
2014-02-19,29.0594,29.2496,28.8854,28.9765,3376518,PEG
2014-02-20,29.2417,30.7166,29.2417,30.2692,12224460,PEG
2014-02-21,30.0952,30.9403,30.091,30.3106,6386932,PEG
2014-02-24,30.4183,30.7,30.2774,30.4349,4708742,PEG
2014-02-25,30.5757,30.6255,30.3769,30.4763,4737634,PEG
2014-02-26,30.5343,30.6255,30.3603,30.3769,2794842,PEG
2014-02-27,30.3603,30.5177,30.1034,30.2029,2384992,PEG
2014-02-28,30.2443,30.468,30.2029,30.3769,2312714,PEG
2014-03-03,30.2112,30.3354,29.9377,29.946,2745219,PEG
2014-03-04,30.1366,30.2112,29.9377,30.0289,3184920,PEG
2014-03-05,30.0456,30.0958,29.7861,29.9786,3356417,PEG
2014-03-06,30.1042,30.1042,29.6312,29.7275,3724754,PEG
2014-03-07,29.7777,29.8129,29.3759,29.6689,5650031,PEG
2014-03-10,29.6773,29.9493,29.5935,29.7191,6331135,PEG
2014-03-11,29.7191,29.7945,29.4177,29.4429,5005535,PEG
2014-03-12,29.3173,29.9619,29.3005,29.9619,2621903,PEG
2014-03-13,29.9535,30.4684,29.9368,30.3051,3333114,PEG
2014-03-14,30.1963,30.7321,30.1377,30.6819,3737962,PEG
2014-03-17,30.7153,30.8535,30.3993,30.7991,2437992,PEG
2014-03-18,30.8493,31.0251,30.6567,30.8828,2608242,PEG
2014-03-19,30.8828,31.0837,30.3386,30.4642,3550145,PEG
2014-03-20,30.3721,30.4642,30.0038,30.3721,3261801,PEG
2014-03-21,30.6902,31.2009,30.5647,30.8911,3658742,PEG
2014-03-24,30.9163,31.1255,30.7656,30.933,1913242,PEG
2014-03-25,31.0418,31.0502,30.7153,30.9665,2452731,PEG
2014-03-26,31.0586,31.3181,30.9581,31.1423,3107739,PEG
2014-03-27,31.1088,31.226,30.9079,31.2093,1690492,PEG
2014-03-28,31.1507,31.3014,31.0669,31.2846,1350246,PEG
2014-03-31,31.4102,32.1804,31.3432,31.9292,4166644,PEG
2014-04-01,31.9125,31.9125,31.3558,31.4772,3225379,PEG
2014-04-02,31.5358,31.5441,31.2595,31.4772,2258979,PEG
2014-04-03,31.5358,31.9795,31.4437,31.8957,2577291,PEG
2014-04-04,31.9543,32.7455,31.9376,32.2055,5423664,PEG
2014-04-07,32.2306,32.4817,32.0129,32.0213,5528157,PEG
2014-04-08,32.0129,32.2306,31.5182,32.1134,6597594,PEG
