date,open,high,low,close,volume,Name
2014-01-24,67.5094,69.5262,67.2711,67.3817,20190733,PG
2014-01-27,67.4328,67.4796,66.7349,66.7775,10396538,PG
2014-01-28,66.9477,67.671,66.7435,67.3221,10061868,PG
2014-01-29,67.0583,67.0583,65.8499,66.0712,13443126,PG
2014-01-30,66.4201,66.4201,65.3308,65.4159,9462515,PG
2014-01-31,64.7011,65.6891,64.0458,65.2032,12996679,PG
2014-02-03,65.2627,65.3223,64.3351,64.4202,14304728,PG
2014-02-04,64.6755,65.0074,64.1649,64.7521,15598441,PG
2014-02-05,64.6245,65.3563,64.3947,65.0585,9734258,PG
2014-02-06,65.1266,65.518,65.084,65.4414,7821991,PG
2014-02-07,65.518,65.8584,65.3138,65.7903,7301419,PG
2014-02-10,65.8925,66.4541,65.6882,66.4031,8964308,PG
2014-02-11,66.4626,67.3221,66.0746,67.0924,10516106,PG
2014-02-12,66.4882,66.8286,65.5776,65.9435,11035220,PG
2014-02-13,65.6031,66.3095,65.5265,66.2073,7422665,PG
2014-02-14,66.1137,67.8668,65.7393,67.5689,10819496,PG
2014-02-18,67.637,67.7647,66.0031,66.352,15763668,PG
2014-02-19,66.0712,67.1928,65.9946,66.4967,8740119,PG
2014-02-20,66.3435,66.752,65.952,66.3095,8275272,PG
2014-02-21,66.4201,67.1349,66.3009,66.352,8095885,PG
2014-02-24,66.4031,67.0327,66.0456,66.2584,7838896,PG
2014-02-25,66.1478,66.6413,65.8669,66.4797,8182444,PG
2014-02-26,66.5733,67.0328,66.2244,66.2584,7772528,PG
2014-02-27,66.1818,66.5733,65.9988,66.5392,6549833,PG
2014-02-28,66.5818,67.1519,66.3822,66.9392,8489944,PG
2014-03-03,66.5988,66.7251,65.8244,65.935,8598611,PG
2014-03-04,66.4541,66.9902,66.2882,66.7605,8306976,PG
2014-03-05,66.6498,66.7264,65.9946,66.2244,8542659,PG
2014-03-06,66.4116,66.7562,66.2414,66.4286,6475573,PG
2014-03-07,66.7264,66.8839,66.4711,66.7009,5865449,PG
2014-03-10,66.6243,66.8626,66.5477,66.8286,5233421,PG
2014-03-11,66.8796,67.5604,66.8626,67.186,6599692,PG
