date,open,high,low,close,volume,Name
2014-01-24,107.6569,107.8024,104.2202,104.2202,1642912,PH
2014-01-27,105.0476,105.4476,102.7201,103.9929,1861697,PH
2014-01-28,104.393,105.8295,104.2111,104.7657,2823243,PH
2014-01-29,104.0202,105.4458,103.5565,103.6474,1085695,PH
2014-01-30,104.1748,104.593,103.8111,104.1475,1321233,PH
2014-01-31,103.8838,103.8838,101.7745,103.0746,1122370,PH
2014-02-03,102.9292,103.3838,99.2106,99.4561,2473670,PH
2014-02-04,99.8925,101.5381,98.7924,100.8199,1795472,PH
2014-02-05,101.0199,102.6291,100.2016,102.3927,1705868,PH
2014-02-06,102.201,104.4289,102.201,104.3467,1637202,PH
2014-02-07,104.9402,108.6839,104.7667,108.3551,3010379,PH
2014-02-10,108.0082,108.0356,105.3055,105.5337,1727724,PH
2014-02-11,105.835,106.5929,104.9859,106.3829,1577262,PH
2014-02-12,106.5016,107.4329,106.2112,107.022,760416,PH
2014-02-13,104.9767,107.5882,104.9767,106.6112,1131569,PH
2014-02-14,106.8577,107.9899,106.3281,107.6064,890838,PH
2014-02-18,107.9808,108.5286,107.2594,107.6338,946138,PH
2014-02-19,107.369,108.5743,106.5472,106.602,1207283,PH
2014-02-20,106.6659,108.1817,106.6166,107.5516,1304515,PH
2014-02-21,107.8803,108.4282,107.4786,107.5334,871410,PH
2014-02-24,107.6977,109.0582,107.6977,108.3277,1291297,PH
2014-02-25,108.2912,108.4465,107.1955,107.5608,1175323,PH
2014-02-26,107.7982,109.0582,107.1773,108.6291,1237024,PH
2014-02-27,108.6108,110.0078,108.3734,109.7248,872023,PH
2014-02-28,109.5148,111.0031,109.3687,110.0717,945498,PH
2014-03-03,108.6565,109.9713,108.4373,109.0126,975127,PH
2014-03-04,110.6378,111.4596,110.2087,110.6013,895924,PH
2014-03-05,110.8844,111.3683,110.2178,111.3135,626366,PH
2014-03-06,111.7244,112.1672,111.3409,111.8066,873704,PH
2014-03-07,112.4823,114.4545,112.3545,113.5688,1653184,PH
2014-03-10,113.3953,113.6693,111.8248,112.5097,695628,PH
2014-03-11,112.5827,112.7744,109.8115,110.2543,1162007,PH
2014-03-12,109.7065,109.8891,108.136,108.9304,1130397,PH
2014-03-13,109.3778,109.5878,106.0177,106.6568,1056070,PH
2014-03-14,106.529,107.4055,106.0359,106.0907,1024939,PH
2014-03-17,107.2229,109.7339,107.1864,109.4143,1366383,PH
2014-03-18,109.4052,110.0626,108.693,109.46,924777,PH
2014-03-19,109.4965,110.4096,108.3734,109.2591,770734,PH
2014-03-20,108.9304,110.1539,108.5469,108.8665,620303,PH
2014-03-21,110.72,111.0761,108.8117,109.0034,1459297,PH
2014-03-24,109.2134,109.7065,108.1817,108.5834,852180,PH
2014-03-25,109.5695,111.487,109.4234,110.6013,1301389,PH
2014-03-26,111.2039,111.3682,108.3186,108.4099,1039618,PH
2014-03-27,108.273,108.5469,107.2868,107.7525,894433,PH
2014-03-28,108.1817,109.7522,107.9899,108.8756,649296,PH
2014-03-31,109.9713,110.5557,109.2025,109.3047,1242002,PH
2014-04-01,110.1083,111.624,109.6152,111.3866,1283709,PH
2014-04-02,111.4048,113.3862,111.4048,112.9936,1126598,PH
2014-04-03,113.0575,113.2447,111.8431,112.5462,727852,PH
2014-04-04,114.2171,114.2171,111.0213,111.2131,1099849,PH
2014-04-07,110.7931,111.1382,108.1634,108.9304,1165706,PH
2014-04-08,108.6473,110.3822,108.4601,109.2682,1303893,PH
2014-04-09,110.163,112.1444,109.7887,111.8796,1059510,PH
2014-04-10,111.4413,112.464,109.2865,109.4052,957062,PH
2014-04-11,108.7386,109.6426,108.3095,108.7843,1146683,PH
2014-04-14,109.7339,110.5283,108.693,109.8709,984173,PH
2014-04-15,110.6196,111.7335,109.0947,110.7291,1496964,PH
2014-04-16,111.8705,113.4227,111.834,113.4227,1262855,PH
2014-04-17,113.4227,115.048,113.3123,114.4545,1343217,PH
2014-04-21,114.2262,114.7924,113.5072,114.3084,623110,PH
2014-04-22,114.2536,115.1393,113.9523,114.0801,751672,PH
2014-04-23,114.2902,115.1941,113.7697,113.9249,649382,PH
2014-04-24,114.6006,114.7924,113.0758,113.6419,688179,PH
2014-04-25,113.5049,114.0162,111.2222,111.7609,977915,PH
2014-04-28,112.3453,113.4684,110.8935,112.0622,1662918,PH
2014-04-29,114.1349,115.4954,112.7836,114.9202,1600311,PH
2014-04-30,116.0067,116.0524,114.3449,115.8515,1104442,PH
2014-05-01,115.4315,116.2168,114.7832,115.1302,768046,PH
2014-05-02,115.048,115.3493,114.0071,114.208,952593,PH
2014-05-05,113.6054,114.3906,112.7197,113.4684,1057769,PH
2014-05-06,113.1579,113.8245,112.5005,112.674,927397,PH
2014-05-07,112.8115,113.6182,111.7024,113.5632,1091418,PH
2014-05-08,113.4257,115.4973,113.0682,113.8748,815398,PH
2014-05-09,113.7648,114.0215,112.7749,113.8473,468011,PH
2014-05-12,114.6173,116.2948,114.6173,115.9373,541275,PH
2014-05-13,116.1756,116.1848,115.4432,115.534,588559,PH
2014-05-14,115.6348,115.8365,114.3515,114.5257,637035,PH
2014-05-15,114.049,114.3973,111.4549,112.344,1191043,PH
2014-05-16,112.4265,113.1415,111.7941,112.7749,821946,PH
2014-05-19,112.399,113.6182,112.124,113.4898,407217,PH
2014-05-20,113.1782,113.3432,110.9232,111.1524,928912,PH
2014-05-21,111.6382,112.5457,111.2991,112.2615,714998,PH
2014-05-22,112.5274,113.6548,111.6657,111.7207,793622,PH
2014-05-23,111.4274,113.0499,111.4274,112.839,430403,PH
2014-05-27,113.2699,115.3231,113.1049,114.3882,918620,PH
2014-05-28,114.6082,114.9381,113.8932,114.0215,475288,PH
2014-05-29,114.3515,114.5394,113.0774,114.2782,505689,PH
2014-05-30,114.0398,115.0115,113.5815,114.7915,943132,PH
2014-06-02,115.1123,115.5156,113.5723,115.2773,758811,PH
2014-06-03,114.8465,115.5247,114.5807,115.2406,727928,PH
2014-06-04,115.1031,116.1389,114.874,115.3506,836522,PH
2014-06-05,115.7723,116.9089,115.4057,116.7714,1047247,PH
2014-06-06,117.0281,117.6331,116.8768,117.5139,686341,PH
2014-06-09,117.4498,119.5672,117.2481,118.6231,686463,PH
2014-06-10,118.1647,118.8247,117.5048,118.7239,477398,PH
2014-06-11,117.6056,118.2472,117.1106,118.1556,567818,PH
2014-06-12,117.7522,117.9081,115.9648,116.2489,727601,PH
2014-06-13,116.4873,117.0373,116.1298,116.5698,380783,PH
2014-06-16,116.0015,116.8814,115.7815,116.5789,407119,PH
2014-06-17,116.5514,117.8531,115.8768,116.6339,713225,PH
2014-06-18,116.4414,117.3993,115.6165,117.3214,580159,PH
2014-06-19,117.3214,117.3398,114.819,116.8539,1321499,PH
2014-06-20,116.7806,117.5872,116.6706,117.0739,944683,PH
2014-06-23,117.1289,117.2848,116.0106,116.4048,837293,PH
2014-06-24,115.7356,117.1839,114.984,115.2315,820630,PH
2014-06-25,114.709,115.7815,114.434,115.424,730276,PH
2014-06-26,115.6623,115.6623,114.2598,115.1765,956741,PH
2014-06-27,114.7273,115.5523,113.829,115.1581,1473142,PH
2014-06-30,115.4881,115.7081,114.3057,115.2498,871701,PH
2014-07-01,115.5798,116.5789,115.1398,116.2948,840273,PH
2014-07-02,116.1481,116.4323,115.2773,115.7265,597374,PH
2014-07-03,116.2489,116.9639,116.0748,116.7531,754902,PH
2014-07-07,116.2948,116.3589,115.0848,115.4423,998826,PH
2014-07-08,115.1948,115.3781,114.159,114.3423,715635,PH
2014-07-09,114.6356,115.0573,113.6457,114.104,491332,PH
2014-07-10,112.674,112.9765,112.1424,112.5457,852238,PH
2014-07-11,112.6465,113.0957,111.8765,112.7657,871721,PH
2014-07-14,113.829,113.829,112.619,112.7657,718533,PH
2014-07-15,112.8574,113.4944,112.4082,113.1965,1081278,PH
2014-07-16,113.7373,114.2461,112.9857,114.2323,806493,PH
2014-07-17,113.0957,113.664,111.5832,111.7574,766823,PH
2014-07-18,112.2524,113.4623,111.9316,113.1415,874861,PH
2014-07-21,112.8115,113.2744,112.2061,112.7565,548637,PH
2014-07-22,113.554,114.3423,113.2149,113.3157,529589,PH
2014-07-23,113.3615,113.3798,112.5365,113.0132,474640,PH
2014-07-24,113.0499,113.6915,112.7565,113.0499,803983,PH
2014-07-25,112.7015,113.389,112.4724,112.6832,616135,PH
2014-07-28,112.454,112.454,110.5199,111.5557,702699,PH
2014-07-29,111.1157,111.4549,107.88,107.9258,1915784,PH
2014-07-30,108.2558,108.9066,107.1833,107.8066,1449804,PH
2014-07-31,106.7617,107.165,105.3134,105.3684,1358228,PH
2014-08-01,105.0842,106.2529,104.7817,105.9367,961575,PH
2014-08-04,105.0842,106.2529,104.7817,105.9367,963424,PH
2014-08-05,105.1667,107.2292,104.8367,105.4325,1621596,PH
2014-08-06,102.3343,102.3343,97.0819,100.4185,5933278,PH
2014-08-07,101.1518,102.5808,100.2443,100.6935,2954222,PH
2014-08-08,101.106,102.3068,100.2443,102.2609,1620425,PH
2014-08-11,103.1776,103.2601,102.3434,102.4443,892941,PH
2014-08-12,102.4626,103.6176,102.2059,103.1043,1159919,PH
2014-08-13,103.4709,104.0209,102.9118,103.7551,886947,PH
2014-08-14,103.9567,104.1492,103.5167,104.0576,926058,PH
2014-08-15,104.3417,104.5159,102.7651,103.3792,996166,PH
2014-08-18,103.9017,105.1667,103.9017,105.02,1053549,PH
2014-08-19,105.3317,106.01,105.2217,105.7075,760286,PH
2014-08-20,105.8359,108.87,105.5242,107.9808,1890458,PH
2014-08-21,107.9258,108.0651,106.5783,107.2933,1191258,PH
2014-08-22,107.0275,107.5317,106.0146,106.4683,810782,PH
2014-08-25,107.0825,107.4217,106.5508,107.2658,903385,PH
2014-08-26,107.4039,107.4407,105.922,106.2258,1195820,PH
2014-08-27,107.1002,107.2511,106.235,106.6768,697480,PH
2014-08-28,105.8576,106.0233,105.2777,105.6183,1251397,PH
2014-08-29,106.0233,106.3638,105.3422,106.3086,1398450,PH
2014-09-02,106.4467,107.1738,106.1521,106.7688,952538,PH
2014-09-03,107.4039,107.4407,105.922,106.2258,1195820,PH
2014-09-04,106.4006,107.8825,106.0877,107.726,3112352,PH
2014-09-05,107.726,108.7293,106.8655,108.6557,1528276,PH
2014-09-08,108.3796,108.6004,108.0206,108.2231,1679264,PH
2014-09-09,108.2323,109.8338,107.9124,108.9686,1894634,PH
2014-09-10,108.8398,109.1159,107.6064,109.0146,1308586,PH
2014-09-11,108.536,109.2539,108.3427,108.9318,848537,PH
2014-09-12,108.7477,109.2632,108.0574,108.4072,918108,PH
2014-09-15,108.1218,108.1218,106.8424,107.7813,832919,PH
2014-09-16,107.137,107.9193,106.4283,107.68,903369,PH
2014-09-17,108.131,108.6465,106.8701,107.3303,762972,PH
2014-09-18,107.4407,108.0482,107.1922,107.9285,675043,PH
2014-09-19,108.4808,108.8121,106.9437,107.3487,1402518,PH
2014-09-22,106.9253,107.1048,105.0752,105.6091,960487,PH
2014-09-23,105.0844,105.2777,104.1916,104.6426,1089356,PH
2014-09-24,104.4401,105.6919,103.6026,105.517,979760,PH
2014-09-25,104.8451,105.1995,103.8603,103.8603,968958,PH
2014-09-26,103.9431,105.1581,103.3909,104.8083,571052,PH
2014-09-29,103.6578,105.0108,103.4047,104.9556,895938,PH
2014-09-30,105.1673,105.83,104.4862,105.066,1765290,PH
2014-10-01,104.6334,104.9004,102.5073,102.7834,1379646,PH
2014-10-02,102.857,103.3356,101.4948,102.2864,1013680,PH
2014-10-03,102.8478,103.6026,102.719,103.2988,957965,PH
2014-10-06,103.7774,104.2469,102.5441,103.3356,531930,PH
2014-10-07,102.4428,102.6499,100.9425,100.9794,915339,PH
2014-10-08,101.1819,103.6302,100.3167,103.4645,1199314,PH
2014-10-09,103.1239,103.3264,100.7032,100.8137,826641,PH
2014-10-10,100.5744,101.3291,98.9821,100.3075,1434345,PH
2014-10-13,99.5435,99.9117,94.7757,94.8862,2614223,PH
2014-10-14,95.7514,98.4574,95.4845,95.8986,2434532,PH
2014-10-15,94.9506,95.1071,91.8764,94.7665,3049510,PH
2014-10-16,93.6113,96.9891,93.1327,96.7314,2460685,PH
2014-10-17,97.8407,99.8564,96.1103,96.1103,1815466,PH
2014-10-20,96.2024,98.4942,95.9631,98.3286,1512008,PH
2014-10-21,99.6448,102.6269,99.3042,102.4336,1233248,PH
2014-10-22,102.2311,102.7282,100.3075,100.4547,1504896,PH
2014-10-23,109.0883,110.3078,106.5387,107.1278,2709492,PH
2014-10-24,107.0081,107.542,106.0325,107.2934,1283217,PH
2014-10-27,107.1646,108.2691,106.1705,107.9101,1806470,PH
2014-10-28,113.0737,116.0098,111.7023,113.1657,2306478,PH
2014-10-29,116.6909,117.685,116.0559,117.6114,899308,PH
2014-10-30,118.9373,119.3782,117.2077,117.4389,1269814,PH
2014-10-31,116.332,117.4319,115.8902,116.9211,1922244,PH
2014-11-03,117.28,117.5315,115.7613,116.6817,1239064,PH
2014-11-04,116.6725,116.8842,115.3655,116.3228,1066992,PH
2014-11-05,116.6909,117.685,116.0559,117.6114,899308,PH
2014-11-06,118.2251,119.0298,117.9291,118.3546,1441388,PH
2014-11-07,118.3361,119.0391,117.9384,118.8541,1426336,PH
2014-11-10,118.8263,119.3628,118.3361,118.7893,723630,PH
2014-11-11,118.6598,119.3165,118.0124,118.4656,753781,PH
2014-11-12,118.0586,119.557,117.9014,118.9188,873898,PH
2014-11-13,118.9373,119.3782,117.2077,117.4389,1269814,PH
2014-11-14,117.2354,118.8726,117.2354,118.7986,866986,PH
2014-11-17,118.1974,119.3165,118.1974,118.9651,1170509,PH
2014-11-18,119.1778,121.0379,118.7893,120.6762,1497219,PH
2014-11-19,120.3432,120.3432,118.8541,119.5385,1929311,PH
2014-11-20,118.6136,120.8149,118.5119,120.6392,1097782,PH
2014-11-21,121.3607,123.2383,120.8519,121.9434,1742820,PH
2014-11-24,122.4891,122.896,121.7584,122.6741,860484,PH
2014-11-25,122.8868,123.3955,121.6381,122.8128,1329868,PH
2014-11-26,122.3226,122.6648,121.5364,121.8046,804017,PH
2014-11-28,119.4923,119.89,117.6147,118.0771,1397066,PH
