date,open,high,low,close,volume,Name
2014-01-24,56.4374,56.4374,53.9223,54.3922,1398918,PKG
2014-01-27,54.4184,54.8274,53.6421,54.1138,1313031,PKG
2014-01-28,54.0877,54.9927,54.0615,54.8361,723681,PKG
2014-01-29,54.3922,56.4896,54.1486,55.5584,1171859,PKG
2014-01-30,56.3852,56.4374,55.3408,55.6803,648313,PKG
2014-01-31,55.0624,56.7768,54.9405,56.2198,948363,PKG
2014-02-03,56.2372,56.8534,53.8353,54.2704,2232477,PKG
2014-02-04,54.7491,55.1494,53.7047,54.8535,1184855,PKG
2014-02-05,54.662,54.984,53.3914,54.723,1749879,PKG
2014-02-06,54.7491,55.3931,54.7491,54.984,675615,PKG
2014-02-07,55.2973,56.8116,55.2103,56.5766,1069835,PKG
2014-02-10,56.6027,57.621,56.6027,57.0118,1617995,PKG
2014-02-11,57.1075,57.4904,56.5766,57.0466,1595672,PKG
2014-02-12,61.4676,62.773,60.6321,62.7121,3753935,PKG
2014-02-13,62.6599,62.9645,61.894,62.0768,1556694,PKG
2014-02-14,62.1377,63.3474,62.1029,63.1733,905467,PKG
2014-02-18,63.5911,63.7999,62.8861,63.1472,833650,PKG
2014-02-19,63.4605,63.6476,62.6686,62.7121,1071411,PKG
2014-02-20,63.095,63.5127,62.2247,62.9471,844159,PKG
2014-02-21,63.1559,63.3561,62.3814,62.8513,744848,PKG
2014-02-24,62.9819,63.7738,62.7817,62.9123,1070889,PKG
2014-02-25,63.1646,63.4344,62.4945,62.5989,722784,PKG
2014-02-26,62.7904,63.1472,62.0855,62.5989,794327,PKG
2014-02-27,62.6164,63.0341,62.4249,62.8861,588251,PKG
2014-02-28,62.9993,63.7651,62.773,63.4344,717492,PKG
2014-03-03,63.4344,63.8696,62.5815,63.4083,914333,PKG
2014-03-04,64.2873,64.9031,63.9392,64.6441,842680,PKG
2014-03-05,65.0096,65.0096,64.1393,64.9313,809668,PKG
2014-03-06,65.0966,65.3555,64.4874,64.5745,574204,PKG
2014-03-07,64.9487,65.2619,64.2612,64.5832,568710,PKG
2014-03-10,64.6789,64.8356,63.8086,64.2699,485105,PKG
2014-03-11,64.4439,64.5571,63.1646,63.3387,651822,PKG
2014-03-12,62.6474,63.4612,62.2273,63.0762,1057085,PKG
