date,open,high,low,close,volume,Name
2014-01-24,31.4937,31.5616,30.9678,31.1629,2855041,PLD
2014-01-27,31.0866,31.2986,30.8151,30.9678,3319431,PLD
2014-01-28,31.0187,31.6633,30.9508,31.5785,2752921,PLD
2014-01-29,31.2562,31.5616,30.9805,31.3919,3230181,PLD
2014-01-30,30.9593,33.1986,30.9593,32.9187,4294299,PLD
2014-01-31,32.3928,33.2155,32.2825,32.8763,4104532,PLD
2014-02-03,32.9272,32.9865,32.2359,32.3758,2916138,PLD
2014-02-04,32.3673,33.0205,32.2825,32.8678,3206504,PLD
2014-02-05,32.766,33.2325,32.5794,33.1816,3138880,PLD
2014-02-06,33.224,33.6566,33.0756,33.5718,3014126,PLD
2014-02-07,33.6905,34.0383,33.47,33.8687,2457765,PLD
2014-02-10,33.8687,34.2928,33.716,34.2164,1942365,PLD
2014-02-11,34.1401,34.6914,34.0044,34.4539,2496556,PLD
2014-02-12,34.4539,34.6405,34.3267,34.5303,1672994,PLD
2014-02-13,34.3606,34.8186,34.3097,34.632,1759331,PLD
2014-02-14,34.5387,34.7593,34.4539,34.4963,2041767,PLD
2014-02-18,34.5218,34.6151,34.174,34.6066,2594079,PLD
2014-02-19,34.5048,35.0731,34.4115,34.5387,2051713,PLD
2014-02-20,34.5642,34.6914,34.0849,34.2588,2063368,PLD
2014-02-21,34.2334,34.5387,34.1062,34.4454,2416537,PLD
2014-02-24,34.4454,34.9968,34.403,34.5133,3029047,PLD
2014-02-25,34.5133,34.8526,34.4794,34.6999,1804812,PLD
2014-02-26,34.7847,34.9713,34.5896,34.7932,2009285,PLD
2014-02-27,34.8441,35.0307,34.42,34.6914,1900673,PLD
2014-02-28,34.6914,35.107,34.6236,34.9374,3511324,PLD
2014-03-03,34.7084,34.9459,34.3352,34.7169,2779910,PLD
2014-03-04,34.9798,35.7093,34.9798,35.599,3041190,PLD
2014-03-05,35.582,35.6329,35.1664,35.4209,2682285,PLD
2014-03-06,35.4463,35.5311,34.9035,35.0477,2472694,PLD
2014-03-07,34.9035,34.9883,34.42,34.666,2214394,PLD
2014-03-10,34.6403,34.7173,34.2812,34.4778,2178889,PLD
2014-03-11,34.4436,34.8028,34.4436,34.589,1384994,PLD
2014-03-12,34.4693,34.7942,34.4351,34.7429,1875336,PLD
2014-03-13,34.7258,34.8883,34.4693,34.512,1669452,PLD
2014-03-14,34.512,34.7173,34.341,34.3667,1542341,PLD
2014-03-17,34.6317,34.9139,34.5206,34.6317,1131685,PLD
2014-03-18,34.5633,35.0165,34.5462,34.9225,1217991,PLD
2014-03-19,34.837,35.1534,34.0588,34.2213,2035664,PLD
2014-03-20,34.093,34.4351,33.8622,34.418,3269111,PLD
2014-03-21,34.7258,34.8669,34.4864,34.7087,2887093,PLD
2014-03-24,34.6916,34.8199,34.1956,34.2983,1588933,PLD
2014-03-25,34.5291,34.7771,34.2983,34.6061,2084637,PLD
2014-03-26,34.6831,34.7002,34.1187,34.1272,1519284,PLD
2014-03-27,33.9819,34.3239,33.8536,34.3068,1653720,PLD
2014-03-28,34.4436,34.8284,34.3923,34.666,1250832,PLD
2014-03-31,34.8626,35.2218,34.4778,34.9139,1890952,PLD
2014-04-01,34.9738,35.0165,34.589,34.9567,2301638,PLD
2014-04-02,34.9823,35.1534,34.7942,34.8968,2634653,PLD
2014-04-03,35.0508,35.0679,34.7215,34.9567,2430120,PLD
2014-04-04,35.085,35.4355,34.8968,35.0935,1720275,PLD
2014-04-07,35.0935,35.4783,34.9994,35.1363,1568445,PLD
2014-04-08,35.1277,35.2474,34.9055,35.1961,1809104,PLD
2014-04-09,35.3415,35.4698,35.0422,35.3244,3628261,PLD
2014-04-10,35.3329,35.4783,34.3581,34.589,3711696,PLD
2014-04-11,34.3752,34.6146,34.17,34.247,2552695,PLD
2014-04-14,34.4778,34.5719,33.9648,34.2897,2318632,PLD
2014-04-15,34.3581,34.8199,34.2384,34.8113,3184440,PLD
2014-04-16,34.9994,35.0508,34.6617,34.9738,2850087,PLD
2014-04-17,34.7173,35.35,34.7002,35.3073,3288723,PLD
2014-04-21,35.2303,35.4441,35.0508,35.3928,2791198,PLD
2014-04-22,34.0332,35.4355,34.0332,35.256,3451452,PLD
2014-04-23,35.504,35.5895,34.7942,35.008,3600291,PLD
2014-04-24,35.1363,35.4056,34.9396,35.256,2104933,PLD
2014-04-25,35.2047,35.2132,34.7215,34.8284,2092205,PLD
2014-04-28,35.0593,35.0764,34.4607,35.008,3318507,PLD
2014-04-29,35.0165,35.2645,34.7557,34.9652,2194201,PLD
2014-04-30,34.8712,34.9225,34.512,34.7429,2455411,PLD
2014-05-01,34.7429,35.0251,34.512,35.008,1833804,PLD
2014-05-02,34.9054,35.2987,34.7429,34.8797,2403710,PLD
2014-05-05,34.7173,35.2987,34.589,35.2218,2026272,PLD
2014-05-06,34.7942,35.0593,34.5804,34.7429,2887598,PLD
2014-05-07,34.9481,35.2816,34.7087,35.2474,2659791,PLD
2014-05-08,35.256,35.5724,35.2132,35.3842,3137192,PLD
2014-05-09,35.4099,35.6194,35.0422,35.2303,2758716,PLD
2014-05-12,35.3329,35.4612,35.1363,35.4099,2070742,PLD
2014-05-13,35.4355,35.7348,35.2389,35.3671,1825523,PLD
2014-05-14,35.3415,35.504,35.085,35.2902,1812816,PLD
2014-05-15,35.2218,35.3842,34.6317,35.0508,2402805,PLD
2014-05-16,35.008,35.4527,34.8883,35.4441,2380250,PLD
2014-05-19,35.3415,35.3415,35.008,35.1619,3133877,PLD
2014-05-20,35.1534,35.2389,34.8712,34.9054,2326605,PLD
2014-05-21,34.9909,35.1277,34.7002,34.7173,1549123,PLD
2014-05-22,34.76,34.8541,34.5633,34.6317,2382812,PLD
2014-05-23,34.7429,35.1021,34.6831,35.0764,1477455,PLD
2014-05-27,35.2047,35.6237,35.1277,35.4527,1862392,PLD
2014-05-28,35.3757,35.4013,34.9909,35.0935,2385010,PLD
2014-05-29,35.2303,35.3586,35.0165,35.35,2223543,PLD
2014-05-30,35.3158,35.5895,35.2218,35.4954,2842971,PLD
2014-06-02,35.5553,35.7006,35.4013,35.4954,1611150,PLD
2014-06-03,35.4441,35.4441,34.9481,35.1021,2103624,PLD
2014-06-04,35.0935,35.504,34.9652,35.3842,1660662,PLD
2014-06-05,35.427,36.4018,35.3073,36.3676,2990992,PLD
2014-06-06,36.4617,36.4788,35.9914,36.0769,2247386,PLD
2014-06-09,36.051,36.3268,35.6546,35.7063,1801921,PLD
2014-06-10,35.6029,35.7925,35.2926,35.4564,1953816,PLD
2014-06-11,35.3271,35.5425,35.3271,35.4994,2182983,PLD
2014-06-12,35.4219,35.4736,35.0858,35.3012,2018718,PLD
2014-06-13,35.396,35.4693,35.0944,35.2581,1695182,PLD
2014-06-16,35.2237,35.4908,35.0341,35.2581,1499383,PLD
2014-06-17,35.1806,35.4046,34.9565,35.3616,2026652,PLD
2014-06-18,35.2926,35.7408,35.1289,35.6632,1958726,PLD
2014-06-19,35.6718,35.939,35.5598,35.9218,2154723,PLD
2014-06-20,35.87,35.9735,35.465,35.577,3112348,PLD
2014-06-23,35.5253,35.7925,35.4822,35.5167,1852503,PLD
