date,open,high,low,close,volume,Name
2014-01-24,119.7768,121.366,119.7371,119.9953,965073,PVH
2014-01-27,120.0947,121.4058,119.9159,120.343,980685,PVH
2014-01-28,120.2039,122.1706,119.9854,121.4058,749246,PVH
2014-01-29,120.2536,121.4554,119.0021,119.6874,1404919,PVH
2014-01-30,120.9191,121.5647,120.4324,120.631,929322,PVH
2014-01-31,119.0021,120.4125,118.8928,120.0549,773319,PVH
2014-02-03,119.8265,119.8364,114.8503,115.8038,1534573,PVH
2014-02-04,116.2905,118.2273,115.6651,115.9329,826542,PVH
2014-02-05,115.9329,116.7971,114.0159,116.36,1236761,PVH
2014-02-06,116.5487,120.6608,116.2508,119.8861,1051209,PVH
2014-02-07,120.7601,122.9354,120.5913,121.0383,905007,PVH
2014-02-10,120.8098,121.2419,118.2869,119.9655,878265,PVH
2014-02-11,119.9854,120.3728,118.2571,119.5086,1468047,PVH
2014-02-12,119.9953,120.7601,116.4097,116.7474,1415719,PVH
2014-02-13,116.6083,119.3398,116.1117,118.6544,982479,PVH
2014-02-14,118.1975,118.6246,117.0752,117.4526,936314,PVH
2014-02-18,117.7009,118.5253,116.2011,116.7871,1104959,PVH
2014-02-19,116.7772,118.0386,116.4196,117.4029,842158,PVH
2014-02-20,117.2738,118.0287,116.3699,117.2937,862615,PVH
2014-02-21,117.2937,121.8031,117.2937,120.4224,1928797,PVH
2014-02-24,121.2148,123.4105,120.2609,122.3872,1331638,PVH
2014-02-25,122.1984,126.2323,122.1885,124.7121,2018296,PVH
2014-02-26,125.4772,125.9739,124.3047,124.9406,1084601,PVH
2014-02-27,124.8711,125.7554,124.4737,125.3977,793335,PVH
2014-02-28,125.1791,125.9441,124.6028,125.6163,677046,PVH
2014-03-03,124.414,125.3023,123.7086,124.1955,710503,PVH
2014-03-04,125.4374,126.2323,125.2387,125.5268,593085,PVH
2014-03-05,125.5467,125.9044,124.1855,124.8611,559576,PVH
2014-03-06,124.9208,125.5467,124.3346,125.04,502216,PVH
2014-03-07,125.2983,126.4309,124.8512,125.4871,883166,PVH
2014-03-10,125.4871,125.9044,123.3609,123.9073,732297,PVH
2014-03-11,124.1955,124.3942,121.642,121.95,1021550,PVH
2014-03-12,121.7016,122.417,120.6385,121.2545,996978,PVH
2014-03-13,118.1844,119.1978,114.2797,114.2996,3604714,PVH
2014-03-14,113.8922,115.9986,113.3666,114.2996,1741298,PVH
2014-03-17,114.9156,115.78,113.8326,115.5813,2075993,PVH
2014-03-18,117.5286,119.6648,117.0021,118.2937,1099243,PVH
2014-03-19,118.5023,118.9594,116.8332,117.6876,820162,PVH
2014-03-20,117.1809,118.6911,116.9722,118.3533,718564,PVH
2014-03-21,119.2972,119.7244,117.7611,119.1084,1416580,PVH
2014-03-24,113.4948,119.6847,113.4948,118.5222,1150298,PVH
2014-03-25,118.5222,118.9991,115.6827,116.4953,2332584,PVH
2014-03-26,124.2551,125.0797,119.9529,120.6484,4693197,PVH
2014-03-27,121.801,124.4438,121.1055,122.2878,2852274,PVH
2014-03-28,123.3013,123.3311,121.9917,123.0131,1151597,PVH
2014-03-31,123.0727,124.4339,122.3872,123.9669,1794069,PVH
2014-04-01,125.3579,126.3515,124.5829,125.1095,1264421,PVH
2014-04-02,125.0102,125.8945,124.2948,124.9208,931894,PVH
2014-04-03,125.6461,126.0336,123.3211,123.7285,1191474,PVH
2014-04-04,125.199,125.651,123.0131,124.1657,1925704,PVH
2014-04-07,123.6689,124.2153,121.543,121.7811,1289639,PVH
2014-04-08,121.7115,122.8939,121.4334,122.6952,1336020,PVH
2014-04-09,122.7349,124.6426,122.725,124.3743,1283082,PVH
2014-04-10,124.6922,125.4473,122.5859,122.8939,1267901,PVH
2014-04-11,121.9003,122.7846,120.8571,120.9266,1761404,PVH
2014-04-14,121.493,122.4567,120.559,121.5526,639395,PVH
2014-04-15,121.7115,122.6654,120.2113,121.1651,728954,PVH
2014-04-16,122.1388,123.2615,121.5128,123.2516,871265,PVH
2014-04-17,123.0827,123.8477,121.7513,121.801,616579,PVH
2014-04-21,121.9599,122.0772,120.3802,120.6087,638367,PVH
2014-04-22,120.9366,121.5128,119.7145,120.6981,603532,PVH
2014-04-23,120.8074,121.8805,120.2311,120.2709,559319,PVH
2014-04-24,120.9862,121.1552,119.2773,120.1715,762439,PVH
2014-04-25,120.6782,122.0692,120.405,121.4532,901149,PVH
2014-04-28,122.1189,124.573,121.5824,123.4602,1166484,PVH
2014-04-29,123.4403,124.727,122.6852,124.6227,819649,PVH
2014-04-30,124.6426,125.0499,122.9833,124.7618,753896,PVH
2014-05-01,124.6624,126.2223,124.27,125.7852,739959,PVH
2014-05-02,126.0733,127.8716,125.4871,127.3947,1092946,PVH
2014-05-05,126.6098,127.4275,125.0301,127.3351,706992,PVH
2014-05-06,126.8681,127.3947,125.7852,125.8448,918707,PVH
2014-05-07,126.2621,126.6794,124.1458,126.5601,781812,PVH
2014-05-08,126.7589,129.819,126.0137,128.6764,1919477,PVH
2014-05-09,126.8582,129.6104,126.5502,129.4117,776530,PVH
2014-05-12,130.1072,132.2632,129.511,132.0247,808954,PVH
2014-05-13,132.1142,133.0282,131.2001,131.7863,604416,PVH
2014-05-14,131.3988,132.1142,130.5841,131.0411,770282,PVH
2014-05-15,130.8027,130.8523,128.8851,129.7594,767912,PVH
2014-05-16,130.127,132.2632,129.7197,132.1936,917592,PVH
2014-05-19,131.8856,132.8593,131.3491,132.7997,697521,PVH
2014-05-20,132.144,132.4917,129.4117,129.67,681395,PVH
2014-05-21,130.2538,130.7407,129.1208,130.6216,528533,PVH
2014-05-22,130.0551,131.3868,129.3494,130.3632,542123,PVH
2014-05-23,130.7011,130.8402,129.906,130.6713,453018,PVH
2014-05-27,131.2576,132.1322,130.8601,132.0328,692640,PVH
2014-05-28,131.9334,131.9334,129.3196,130.1445,949795,PVH
2014-05-29,130.1942,131.2477,129.9159,131.2179,553200,PVH
2014-05-30,131.2278,131.7148,130.3532,130.8203,579361,PVH
2014-06-02,130.9396,131.0986,129.8464,130.5321,871949,PVH
2014-06-03,130.2737,131.526,129.2202,129.5283,1116740,PVH
2014-06-04,129.0513,130.1346,127.0934,129.8762,2128639,PVH
2014-06-05,121.0905,122.631,118.8345,119.3513,5433017,PVH
2014-06-06,119.3613,119.8781,118.3773,118.9438,1741005,PVH
2014-06-09,118.9438,121.6272,118.8246,120.8222,1850889,PVH
2014-06-10,120.3054,120.7626,119.1923,119.3314,1102419,PVH
2014-06-11,119.5103,119.7489,117.6518,117.8208,1126820,PVH
2014-06-12,117.6817,118.0494,115.8629,116.3996,1210335,PVH
2014-06-13,116.3002,116.7574,115.2169,115.7834,1386507,PVH
